x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,y,x20
0.298,0.006,-0.194,-4.361,-1.281,9.039,-2.697,0.074,0.391,0.199,3.185,0.786,1.028,-3.272,-0.488,0.699,-0.872,-1.777,0.056,1.0,-0.539
0.125,-0.103,1.25,-3.546,-2.605,8.048,-1.87,-0.218,0.2,0.111,2.214,0.805,0.888,-2.567,-0.401,0.77,-0.798,-2.554,-0.42,1.0,-0.167
-0.064,-0.243,0.247,-3.677,-2.486,8.59,-1.977,-0.208,0.122,0.426,2.528,0.6,0.716,-2.446,-0.076,0.259,-0.127,-2.29,-0.569,1.0,-0.264
0.03,-0.17,0.743,-3.661,-2.084,8.211,-2.217,0.029,0.116,0.224,2.489,0.736,0.9,-2.605,-0.097,0.452,-0.396,-2.124,-0.365,1.0,-0.054
0.003,-0.263,0.165,-4.266,-1.783,8.195,-2.277,0.138,0.149,0.229,2.777,0.823,0.945,-2.919,-0.174,0.248,-0.178,-1.355,-0.553,1.0,-0.106
-0.179,-0.342,0.769,-3.811,-1.615,7.529,-2.309,0.158,0.056,0.342,2.475,0.777,0.87,-2.499,0.072,0.123,0.113,-1.569,-0.626,1.0,0.024
0.014,-0.227,0.661,-4.089,-1.362,7.607,-2.131,0.024,0.033,0.468,3.029,0.731,0.686,-2.331,0.261,-0.189,0.223,-1.613,-0.582,1.0,0.265
-0.097,0.275,0.251,-3.692,-2.624,8.683,-2.112,0.126,0.36,-0.052,2.525,0.97,0.847,-2.728,-0.268,0.596,-0.805,-1.908,-0.098,1.0,-0.313
0.171,-0.071,0.394,-3.591,-2.005,7.852,-1.861,0.042,0.437,0.144,2.543,0.577,0.872,-2.669,-0.411,0.396,-0.951,-2.079,-0.055,1.0,-0.272
0.215,-0.034,0.506,-3.349,-3.314,8.631,-1.434,-0.033,0.718,-0.054,2.023,0.551,0.712,-2.627,-0.707,0.782,-1.48,-2.616,-0.218,1.0,-0.89
0.108,-0.003,0.715,-3.626,-2.438,7.675,-1.748,-0.181,0.512,0.085,2.319,0.709,0.984,-2.722,-0.631,0.798,-0.84,-1.731,-0.269,1.0,-0.723
-0.098,-0.291,0.318,-3.868,-2.178,8.484,-2.052,0.042,0.045,0.417,2.462,0.706,0.609,-2.553,0.024,0.037,-0.282,-1.967,-0.521,1.0,-0.065
0.032,-0.068,0.574,-4.719,-1.259,7.964,-2.721,0.066,0.095,0.273,3.31,0.965,1.182,-3.18,-0.079,0.371,0.236,-1.424,0.035,1.0,0.237
-0.227,-0.121,0.606,-3.978,-1.878,8.23,-2.307,0.071,-0.091,0.106,2.708,0.76,0.909,-2.622,0.119,0.441,0.245,-1.665,-0.598,1.0,0.173
0.163,-0.01,0.43,-3.823,-1.911,7.763,-1.715,-0.211,0.51,0.125,2.528,0.694,0.752,-2.651,-0.397,0.559,-0.745,-1.745,-0.06,1.0,-0.299
0.189,0.041,0.33,-4.28,-1.161,7.165,-2.19,0.02,0.725,-0.019,2.791,0.717,0.857,-2.886,-0.632,0.862,-0.605,-0.559,0.068,1.0,-0.669
0.111,0.074,0.722,-3.617,-2.135,8.267,-2.004,0.177,0.687,-0.083,2.43,0.688,0.671,-2.596,-0.628,0.726,-1.084,-1.93,-0.108,1.0,-0.663
0.14,-0.189,0.124,-4.091,-1.197,7.806,-2.419,0.007,0.308,0.325,2.792,0.854,0.767,-2.826,-0.36,0.441,-0.277,-1.378,-0.37,1.0,-0.526
0.007,0.124,0.567,-3.432,-2.539,8.401,-1.714,0.136,0.302,0.231,2.222,0.758,0.61,-2.323,-0.066,0.242,-0.491,-2.199,-0.426,1.0,-0.104
-0.177,-0.372,1.026,-4.332,-1.969,8.207,-2.386,0.093,-0.24,0.344,2.874,0.875,1.111,-2.448,0.146,0.096,0.602,-1.878,-0.475,1.0,0.341
-0.166,-0.285,-0.182,-4.219,-0.93,8.064,-2.776,0.039,0.213,0.173,3.094,0.665,0.923,-2.853,-0.196,0.277,-0.069,-1.292,-0.124,1.0,-0.089
-0.091,-0.235,0.729,-3.51,-2.242,7.972,-1.912,0.123,0.004,0.357,2.467,0.906,0.694,-2.468,0.014,0.11,-0.248,-2.11,-0.659,1.0,-0.016
0.063,0.051,0.674,-3.83,-2.004,7.85,-2.089,-0.157,0.459,0.265,2.474,0.776,0.752,-2.83,-0.403,0.444,-0.843,-1.95,-0.121,1.0,-0.511
0.046,-0.242,0.968,-4.353,-1.419,7.751,-2.562,-0.114,0.178,0.289,3.129,0.666,0.807,-2.834,-0.337,0.52,0.151,-1.34,-0.33,1.0,-0.351
0.048,-0.162,0.537,-4.022,-1.786,8.124,-2.098,0.035,0.364,0.084,2.698,0.804,0.721,-2.988,-0.504,0.548,-0.464,-1.506,-0.213,1.0,-0.629
0.265,-0.011,0.362,-3.996,-1.184,7.373,-2.173,-0.001,0.689,0.285,2.882,0.815,0.727,-2.827,-0.444,0.51,-0.779,-1.081,0.005,1.0,-0.505
-0.194,-0.385,1.021,-4.045,-2.938,9.339,-2.217,-0.068,-0.435,0.393,2.693,0.622,1.105,-2.28,0.465,-0.293,0.486,-3.626,-0.754,1.0,0.849
0.073,-0.159,1.232,-3.521,-1.66,7.263,-2.046,0.058,0.235,0.173,2.534,0.873,0.655,-2.616,-0.256,0.633,-0.433,-1.776,-0.259,1.0,-0.258
-0.029,-0.337,0.313,-4.525,-1.469,8.392,-2.543,-0.057,0.299,0.133,3.09,1.164,1.017,-2.824,-0.187,0.387,0.014,-1.632,-0.311,1.0,-0.083
-0.009,-0.26,1.553,-3.821,-2.182,7.844,-2.236,0.05,0.048,0.219,2.287,0.841,0.812,-2.632,-0.074,0.291,-0.247,-2.107,-0.483,1.0,0.163
-0.091,-0.084,0.656,-3.418,-2.315,7.841,-2.014,0.122,0.348,0.265,2.434,0.844,0.871,-2.468,-0.108,0.126,-0.45,-1.789,-0.67,1.0,-0.302
0.185,0.018,0.341,-3.815,-1.614,7.381,-1.815,-0.09,0.586,0.092,2.608,0.723,0.791,-2.818,-0.524,0.309,-0.743,-1.389,-0.04,1.0,-0.571
0.101,0.071,0.732,-3.346,-2.707,8.13,-1.76,0.197,0.22,0.115,2.276,0.824,0.714,-2.411,-0.271,0.457,-0.89,-2.206,-0.405,1.0,-0.054
0.174,-0.215,0.351,-3.474,-2.187,8.325,-1.915,0.156,0.286,0.173,2.389,0.814,0.669,-2.511,-0.397,0.394,-0.92,-2.29,-0.407,1.0,-0.237
-0.048,0.245,0.348,-3.97,-1.834,8.105,-2.159,-0.016,0.44,0.015,2.656,0.688,0.868,-2.941,-0.486,0.764,-0.48,-1.696,-0.162,1.0,-0.441
0.208,-0.012,0.323,-4.605,-1.352,7.572,-2.28,-0.025,0.449,0.137,2.882,0.886,1.0,-3.024,-0.344,0.756,-0.105,-1.056,-0.029,1.0,-0.339
-0.048,-0.3,0.846,-4.183,-1.704,7.961,-2.329,0.207,0.14,0.353,2.764,0.617,0.889,-2.612,0.05,0.004,-0.091,-1.449,-0.575,1.0,-0.076
-0.096,-0.127,0.628,-3.804,-1.691,8.076,-2.306,0.085,0.499,0.041,2.788,0.755,0.773,-2.624,-0.397,0.865,-0.585,-1.511,-0.355,1.0,-0.542
-0.183,-0.416,0.141,-4.126,-1.371,8.041,-2.372,0.204,-0.04,0.285,2.772,0.988,0.95,-2.499,0.123,-0.037,0.537,-1.618,-0.685,1.0,0.214
0.35,-0.087,-0.202,-4.259,-1.978,8.651,-2.301,-0.016,0.712,-0.005,2.905,0.86,1.223,-3.242,-0.728,1.068,-1.037,-1.647,-0.37,1.0,-1.036
0.042,-0.128,0.738,-3.819,-1.438,7.672,-2.13,-0.385,0.174,0.351,2.743,0.536,0.67,-2.578,-0.109,0.538,-0.563,-2.27,-0.017,1.0,0.059
-0.116,-0.09,0.793,-3.449,-1.804,7.703,-1.909,-0.047,0.279,0.278,2.408,0.693,0.518,-2.301,-0.122,0.195,-0.423,-2.155,-0.392,1.0,0.05
-0.039,-0.16,0.237,-3.501,-1.374,7.198,-2.119,0.066,0.364,0.169,2.582,0.444,0.81,-2.565,-0.3,0.531,-0.532,-1.317,-0.164,1.0,-0.435
0.086,-0.077,0.387,-4.034,-1.797,7.704,-2.086,0.328,0.557,-0.006,2.622,0.752,0.786,-2.704,-0.491,0.922,-0.498,-0.889,-0.136,1.0,-0.806
0.033,-0.083,0.209,-3.84,-1.754,7.646,-1.861,-0.168,0.197,0.293,2.622,0.542,0.757,-2.498,-0.28,-0.005,-0.118,-1.636,-0.41,1.0,-0.221
-0.011,0.445,0.103,-4.195,-0.799,7.118,-2.394,-0.269,0.509,-0.17,2.925,0.684,0.916,-3.123,-0.486,0.826,-0.217,-0.889,0.419,1.0,-0.439
0.086,0.111,0.755,-4.072,-1.856,8.23,-2.331,-0.112,0.653,0.113,2.74,0.705,0.822,-2.756,-0.511,0.931,-0.608,-1.475,-0.353,1.0,-0.896
0.214,-0.139,0.245,-3.536,-2.147,8.159,-1.836,0.065,0.347,0.239,2.425,0.901,0.714,-2.607,-0.327,0.47,-0.75,-2.082,-0.283,1.0,-0.362
0.233,0.163,1.114,-3.789,-1.946,8.196,-2.344,0.297,0.771,-0.276,2.729,0.508,0.876,-3.03,-1.019,1.127,-1.275,-1.608,0.057,1.0,-1.007
0.31,-0.149,0.052,-4.146,-1.893,8.505,-2.288,-0.039,0.003,0.287,2.774,0.865,1.06,-2.884,-0.15,0.106,-0.532,-2.121,-0.397,1.0,0.109
0.14,-0.113,0.221,-3.772,-2.474,9.272,-2.24,0.218,0.77,-0.078,2.587,0.706,0.778,-2.748,-0.631,0.915,-1.266,-2.244,-0.454,1.0,-0.943
0.256,0.123,0.364,-3.212,-2.313,7.737,-1.72,-0.173,0.538,0.176,2.31,0.718,0.754,-2.42,-0.586,0.474,-1.223,-2.185,-0.216,1.0,-0.507
0.054,-0.206,0.625,-4.012,-2.399,7.942,-2.055,-0.06,0.147,0.453,2.488,0.734,1.029,-2.589,-0.111,0.341,-0.092,-1.965,-0.635,1.0,0.047
0.062,0.105,0.353,-4.276,-2.028,7.883,-2.166,-0.083,0.431,0.01,2.817,0.559,0.984,-2.793,-0.419,0.448,-0.328,-1.338,-0.354,1.0,-0.368
0.033,-0.208,-0.172,-3.815,-2.036,7.98,-1.92,-0.197,0.31,0.415,2.515,0.636,1.024,-2.655,-0.316,0.283,-0.305,-1.665,-0.54,1.0,-0.308
0.258,0.185,0.329,-4.231,-1.368,7.862,-2.342,0.184,0.538,-0.04,2.883,0.651,0.94,-3.059,-0.716,0.784,-0.709,-1.112,0.145,1.0,-0.734
0.111,-0.158,-0.004,-3.268,-2.296,8.399,-1.772,0.018,0.421,0.076,2.148,0.802,0.607,-2.534,-0.659,0.632,-1.229,-2.213,-0.244,1.0,-0.732
0.142,0.13,0.944,-3.814,-2.385,8.498,-1.962,-0.061,0.75,-0.099,2.479,0.389,0.741,-2.802,-0.693,0.936,-1.1,-2.215,-0.084,1.0,-0.774
0.081,-0.071,0.765,-4.457,-1.697,8.217,-2.405,0.157,0.062,0.028,3.175,0.962,1.05,-3.031,-0.577,0.409,-0.091,-1.486,-0.175,1.0,-0.131
0.003,-0.277,0.342,-3.603,-2.439,8.471,-1.976,0.024,0.282,0.338,2.415,0.572,0.821,-2.184,0.003,0.272,-0.481,-2.367,-1.014,1.0,-0.302
0.141,0.027,0.404,-4.318,-1.928,8.856,-2.549,0.301,0.517,-0.001,3.139,0.625,0.976,-2.806,-0.525,0.548,-0.795,-1.322,-0.515,1.0,-0.703
0.062,-0.17,0.428,-3.733,-1.651,7.803,-2.036,-0.001,0.087,0.36,2.477,0.575,0.694,-2.52,-0.031,0.035,-0.295,-2.093,-0.324,1.0,0.102
0.057,-0.001,0.511,-4.212,-2.076,8.481,-2.356,0.094,0.535,-0.04,2.902,0.659,0.827,-2.883,-0.469,0.814,-0.438,-1.931,-0.264,1.0,-0.451
0.158,0.139,0.475,-3.01,-2.739,8.301,-1.499,-0.001,0.47,-0.029,1.998,0.641,0.417,-2.381,-0.579,0.668,-1.272,-2.572,-0.311,1.0,-0.421
0.062,-0.048,0.744,-3.772,-2.053,8.01,-1.907,-0.129,0.378,0.299,2.781,0.614,0.838,-2.731,-0.341,0.368,-0.54,-2.077,-0.389,1.0,0.024
0.014,-0.182,0.422,-3.667,-2.106,8.195,-2.092,0.111,0.104,0.144,2.449,0.697,0.763,-2.573,-0.198,0.383,-0.534,-2.014,-0.415,1.0,-0.054
0.132,-0.197,0.652,-3.767,-2.612,8.333,-1.67,-0.147,0.0,0.308,2.624,0.755,1.021,-2.319,-0.062,0.356,-0.089,-2.39,-0.72,1.0,0.111
-0.147,-0.383,0.864,-3.811,-2.307,7.989,-2.088,-0.021,0.292,0.192,2.457,0.695,0.803,-2.764,-0.152,0.529,-0.415,-2.003,-0.576,1.0,-0.273
0.081,0.229,0.348,-4.079,-1.918,8.334,-2.255,0.088,0.633,-0.31,2.725,0.83,0.919,-2.997,-0.732,1.279,-0.919,-1.256,0.011,1.0,-0.842
-0.165,-0.031,0.925,-3.437,-1.925,7.598,-2.033,-0.102,0.409,0.003,2.308,0.573,0.599,-2.656,-0.328,0.659,-0.711,-2.011,-0.214,1.0,-0.345
0.03,-0.022,0.931,-4.548,-1.827,7.764,-2.091,-0.012,0.355,0.046,3.133,0.732,1.014,-2.84,-0.233,0.709,0.161,-1.063,-0.241,1.0,-0.276
-0.045,-0.159,0.31,-3.198,-2.896,8.305,-1.39,0.075,0.15,0.302,1.951,0.639,0.673,-2.067,0.119,0.152,-0.679,-2.453,-0.581,1.0,0.052
0.312,0.17,0.913,-3.904,-1.595,7.67,-2.127,0.051,0.732,0.102,2.786,0.643,0.68,-2.706,-0.512,0.974,-0.811,-1.637,-0.052,1.0,-0.621
0.113,-0.168,0.932,-3.859,-2.299,8.417,-2.093,-0.094,0.336,0.274,2.739,0.75,1.074,-2.769,-0.425,0.413,-0.577,-2.155,-0.495,1.0,-0.338
0.005,-0.238,1.151,-4.11,-1.393,7.408,-2.385,0.022,0.373,0.371,2.701,0.705,0.922,-2.788,-0.171,0.335,0.067,-1.435,-0.439,1.0,-0.137
0.008,-0.192,0.472,-4.008,-1.696,7.558,-2.079,-0.091,0.124,0.1,2.756,0.777,0.891,-2.527,-0.117,0.324,0.197,-1.657,-0.015,1.0,-0.035
0.149,-0.003,0.578,-3.903,-2.103,7.453,-1.888,0.007,0.578,-0.031,2.664,0.932,1.13,-2.908,-0.63,0.725,-0.688,-1.034,-0.324,1.0,-0.579
0.006,-0.016,0.141,-3.959,-2.193,8.894,-2.194,0.021,0.185,0.202,2.694,0.702,0.88,-2.671,-0.089,0.092,-0.469,-2.299,-0.318,1.0,-0.009
0.104,-0.063,1.254,-4.419,-1.991,8.572,-2.446,-0.048,0.391,-0.01,3.063,0.855,1.104,-3.06,-0.408,0.823,-0.532,-1.884,-0.254,1.0,-0.226
0.173,-0.164,1.14,-4.21,-2.82,8.563,-1.962,0.103,0.439,0.222,2.702,0.664,1.018,-2.734,-0.31,0.787,-0.537,-1.844,-0.721,1.0,-0.604
0.074,0.792,0.719,-4.364,-1.258,7.944,-2.712,0.259,0.831,-0.903,2.938,0.656,1.048,-3.176,-1.006,2.053,-0.63,-0.528,0.329,1.0,-1.174
0.224,0.328,0.513,-4.159,-1.959,8.321,-2.114,0.061,0.429,-0.027,2.854,0.759,0.948,-2.898,-0.525,0.773,-0.818,-1.504,0.021,1.0,-0.387
-0.112,-0.346,1.008,-4.197,-1.763,8.046,-2.416,0.247,0.152,0.159,2.982,0.728,0.918,-2.693,-0.178,0.236,0.014,-1.542,-0.399,1.0,0.087
0.198,0.107,0.5,-3.753,-2.444,8.231,-1.834,0.031,0.707,-0.167,2.45,0.842,0.828,-2.818,-0.788,1.088,-1.352,-1.79,-0.289,1.0,-0.769
0.114,-0.221,0.565,-3.314,-2.397,8.182,-1.851,0.031,0.298,0.176,2.29,0.787,0.706,-2.448,-0.452,0.611,-0.959,-2.351,-0.454,1.0,-0.341
0.078,-0.129,0.27,-4.109,-1.909,8.751,-2.354,-0.051,0.319,0.123,2.821,0.645,0.873,-2.939,-0.261,0.622,-0.62,-2.099,-0.175,1.0,-0.445
-0.137,-0.287,0.813,-3.896,-2.146,8.594,-2.211,-0.063,-0.336,0.396,2.61,0.787,0.778,-2.503,0.223,-0.213,0.118,-2.73,-0.271,1.0,0.507
-0.13,-0.103,0.268,-4.19,-1.245,7.701,-2.459,0.115,-0.02,0.301,2.879,0.668,0.864,-2.949,0.01,0.008,0.025,-1.288,-0.266,1.0,0.177
0.083,-0.29,0.782,-4.018,-1.888,8.151,-2.403,0.02,-0.009,0.282,2.638,0.679,0.974,-2.753,-0.027,0.132,-0.288,-2.327,-0.55,1.0,0.157
-0.098,-0.259,0.87,-4.453,-1.4,7.928,-2.62,-0.026,0.22,0.23,3.044,0.94,1.163,-2.805,-0.035,0.334,0.303,-1.234,-0.421,1.0,-0.133
0.192,-0.097,0.628,-3.313,-1.534,7.553,-1.788,-0.059,0.437,0.195,2.415,0.685,0.329,-2.436,-0.374,0.496,-0.779,-2.019,-0.135,1.0,-0.524
0.075,-0.259,0.746,-3.61,-1.93,7.632,-2.013,0.258,0.208,0.255,2.556,0.444,0.672,-2.438,-0.091,0.46,-0.339,-1.733,-0.546,1.0,-0.119
-0.241,-0.275,0.408,-3.212,-2.426,7.741,-1.734,-0.103,0.018,0.434,1.939,0.699,0.543,-2.268,0.041,0.181,-0.17,-2.361,-0.687,1.0,0.095
0.225,0.022,0.469,-3.421,-2.585,7.79,-1.502,-0.276,0.285,0.242,2.11,0.551,0.763,-2.351,-0.338,0.31,-0.883,-2.431,-0.328,1.0,-0.187
0.082,-0.247,0.223,-3.624,-1.948,7.936,-2.06,-0.004,0.312,0.24,2.289,0.793,0.747,-2.537,-0.199,0.27,-0.676,-2.093,-0.49,1.0,-0.049
-0.079,-0.331,0.228,-3.458,-1.346,7.604,-2.324,0.159,0.422,0.124,2.501,0.683,0.727,-2.464,-0.296,0.465,-0.547,-1.723,-0.32,1.0,-0.256
-0.068,-0.015,0.786,-4.146,-2.45,8.258,-2.246,0.111,0.463,-0.102,2.687,0.71,0.967,-2.699,-0.321,0.733,-0.405,-1.718,-0.207,1.0,-0.304
-0.037,-0.235,0.451,-3.891,-2.506,8.374,-1.929,0.044,0.288,0.409,2.564,0.741,0.925,-2.484,0.026,0.093,-0.452,-1.994,-0.59,1.0,-0.098
-0.016,0.053,1.031,-3.954,-1.882,7.787,-2.178,0.06,0.067,0.172,2.507,0.551,0.943,-2.739,-0.156,0.525,-0.078,-1.578,-0.34,1.0,0.013
0.113,0.306,0.269,-3.809,-2.116,8.104,-2.06,0.117,0.662,-0.214,2.471,0.718,0.911,-2.787,-0.816,0.8,-0.822,-1.649,-0.039,1.0,-0.544
0.113,0.25,0.463,-4.228,-0.936,7.75,-2.576,0.137,0.549,-0.16,3.1,0.779,0.858,-3.002,-0.665,0.754,-0.395,-1.19,0.345,1.0,-0.275
0.13,-0.168,0.819,-4.219,-2.054,7.92,-2.212,0.156,0.437,0.186,2.905,0.877,1.226,-2.771,-0.371,0.609,-0.385,-1.284,-0.571,1.0,-0.501
0.132,0.374,0.851,-4.293,-1.722,8.322,-2.263,-0.16,0.51,0.027,2.888,0.42,0.724,-2.886,-0.525,0.842,-0.429,-1.726,-0.028,1.0,-0.606
0.161,-0.021,0.579,-4.022,-1.789,7.821,-2.027,-0.166,0.58,-0.013,2.74,0.737,0.851,-2.719,-0.492,0.971,-0.506,-1.476,0.004,1.0,-0.707
0.101,-0.174,0.096,-3.936,-2.004,8.215,-2.177,0.124,0.451,-0.019,2.666,0.777,1.142,-2.995,-0.608,0.863,-1.008,-1.558,-0.131,1.0,-0.72
0.042,0.424,0.09,-4.112,-0.878,7.182,-2.338,0.265,0.716,-0.452,2.734,0.6,0.826,-2.93,-0.698,1.172,-0.469,-0.334,0.249,1.0,-0.752
-0.16,-0.338,0.658,-3.849,-1.516,7.82,-2.334,0.029,-0.1,0.351,2.595,0.849,0.823,-2.619,0.07,-0.057,0.156,-1.918,-0.301,1.0,0.362
0.307,-0.109,0.09,-3.701,-1.653,7.752,-1.996,0.01,0.497,-0.007,2.523,0.932,0.671,-2.826,-0.668,0.802,-0.996,-1.57,-0.226,1.0,-0.566
0.071,-0.173,0.051,-3.964,-1.977,8.498,-2.219,-0.229,0.175,0.364,2.569,0.551,0.858,-2.775,-0.108,0.177,-0.392,-2.311,-0.51,1.0,0.032
-0.008,-0.244,0.586,-3.753,-1.939,8.173,-2.136,-0.062,0.455,0.235,2.614,0.434,0.624,-2.703,-0.359,0.44,-0.639,-2.106,-0.391,1.0,-0.314
-0.012,-0.219,0.538,-3.622,-2.08,8.074,-2.122,0.056,0.17,0.21,2.591,0.649,0.673,-2.633,-0.019,0.41,-0.621,-2.0,-0.288,1.0,-0.09
-0.082,0.142,0.45,-4.152,-1.089,7.59,-2.733,0.304,0.328,-0.174,2.932,0.999,1.093,-2.898,-0.326,0.624,-0.256,-1.109,-0.052,1.0,0.017
0.225,-0.058,0.8,-4.081,-2.569,8.287,-2.134,-0.02,-0.015,0.243,2.73,0.815,1.073,-2.591,-0.18,0.308,-0.343,-2.036,-0.449,1.0,-0.02
0.198,0.035,0.774,-3.283,-2.8,8.762,-1.762,-0.028,0.573,0.005,2.27,0.68,0.491,-2.596,-0.707,0.829,-1.534,-2.67,-0.367,1.0,-0.576
0.192,0.097,0.143,-3.952,-1.991,8.524,-2.071,0.078,0.648,-0.082,2.721,0.682,0.764,-2.959,-0.643,1.129,-1.191,-1.661,-0.097,1.0,-0.923
0.179,-0.109,0.337,-3.947,-1.93,8.126,-2.212,0.031,0.242,0.181,2.595,0.669,0.85,-2.853,-0.577,0.399,-0.628,-1.836,-0.191,1.0,-0.283
0.163,-0.028,0.056,-3.473,-1.925,7.179,-1.788,-0.097,0.57,0.157,2.204,0.777,0.881,-2.809,-0.7,0.574,-0.94,-1.312,-0.308,1.0,-0.645
0.11,-0.23,0.16,-3.537,-2.228,8.254,-1.991,0.14,0.187,0.28,2.252,0.832,0.827,-2.672,-0.185,0.403,-0.75,-2.247,-0.432,1.0,-0.177
-0.106,-0.14,0.496,-4.35,-1.301,7.708,-2.457,0.333,0.084,0.121,2.878,0.768,0.941,-2.627,-0.007,0.466,0.134,-1.08,-0.388,1.0,0.048
0.215,0.004,0.878,-3.893,-1.912,7.947,-2.05,0.208,0.686,0.031,2.655,0.62,0.872,-2.871,-0.716,1.022,-0.788,-1.29,-0.121,1.0,-0.927
0.222,-0.105,0.944,-4.576,-1.858,8.486,-2.499,-0.204,0.179,0.285,3.068,0.606,0.973,-2.957,-0.308,0.246,-0.221,-1.963,-0.481,1.0,-0.113
0.126,0.046,0.288,-4.069,-1.729,8.159,-2.074,0.072,0.495,0.09,2.796,0.613,0.772,-2.736,-0.446,0.749,-0.631,-1.35,-0.304,1.0,-0.636
