x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,y,x16,x17,x18,x19,x20
0.327,-1.375,1.29,-1.149,-0.134,-0.021,-0.262,0.514,2.038,-1.309,-0.075,1.527,-0.197,-0.991,3.22,1.0,0.699,-0.449,-0.534,-0.927,1.877
0.203,-1.705,0.811,-1.579,-0.271,0.03,-0.291,0.666,2.501,-1.703,-0.056,1.806,-0.345,-1.394,3.603,1.0,0.802,-0.533,-0.455,-0.927,1.697
0.12,-1.34,0.934,-1.637,0.031,-0.273,-0.41,0.529,2.314,-0.98,-0.194,1.698,-0.153,-1.149,3.951,1.0,0.344,-0.511,-0.3,-1.237,1.658
0.133,-1.409,0.986,-1.493,-0.55,0.002,-0.183,0.804,2.448,-2.06,-0.075,1.412,-0.198,-0.982,3.814,1.0,0.546,-0.312,-0.271,-1.4,1.86
0.262,-1.771,0.927,-1.181,-0.863,0.403,-0.075,0.857,2.373,-2.273,-0.059,1.918,0.046,-1.234,3.214,1.0,0.638,-0.564,-0.553,-0.862,1.671
0.077,-1.461,1.076,-1.323,-0.744,0.303,-0.337,0.77,2.679,-2.171,0.097,1.83,-0.091,-1.291,3.912,1.0,0.723,-0.43,-0.537,-1.018,1.895
0.018,-1.864,1.15,-1.209,-0.874,0.03,0.022,0.766,2.441,-2.189,-0.035,1.648,-0.336,-1.183,3.674,1.0,0.677,-0.36,-0.448,-1.508,1.981
0.156,-1.705,1.099,-1.507,-0.559,0.167,0.056,0.535,2.589,-1.827,-0.168,1.846,-0.298,-1.311,3.771,1.0,0.543,-0.595,-0.584,-0.965,1.811
0.058,-1.364,1.22,-1.234,-0.608,0.274,-0.035,0.501,2.091,-1.655,0.063,1.419,0.082,-1.139,3.592,1.0,0.426,-0.22,-0.525,-1.025,1.828
0.025,-1.634,1.023,-1.554,-0.213,-0.045,-0.288,0.68,2.46,-1.73,-0.184,2.038,-0.292,-1.549,3.534,1.0,0.84,-0.288,-0.417,-1.177,1.764
0.13,-1.493,0.838,-1.6,-0.328,-0.305,-0.11,0.649,2.708,-1.714,-0.06,1.956,-0.1,-1.224,3.945,1.0,0.578,-0.672,-0.334,-1.295,1.647
0.154,-1.438,1.236,-1.457,-0.383,-0.089,-0.212,0.425,2.565,-1.584,0.133,1.671,-0.397,-1.339,3.887,1.0,0.735,-0.705,-0.508,-1.188,2.014
0.226,-1.636,1.009,-1.559,-0.12,-0.048,-0.102,0.437,2.482,-1.375,-0.111,1.72,-0.231,-1.292,3.648,1.0,0.628,-0.58,-0.364,-0.917,1.865
0.117,-1.615,1.185,-1.718,-0.268,-0.192,-0.34,0.823,2.626,-1.538,0.058,1.513,-0.103,-0.931,4.042,1.0,0.46,-0.344,-0.503,-1.118,1.873
0.324,-1.331,1.026,-0.981,-1.041,0.425,-0.061,0.531,2.366,-2.24,-0.123,1.758,-0.217,-1.213,3.271,1.0,0.606,-0.555,-0.453,-1.158,1.738
0.397,-1.556,1.201,-1.564,-0.082,-0.314,-0.069,0.463,2.38,-1.233,-0.027,1.551,-0.36,-1.11,3.565,1.0,0.593,-0.421,-0.459,-1.371,1.934
0.152,-1.592,1.118,-0.97,-0.731,0.138,0.096,0.572,2.397,-1.985,-0.17,1.726,-0.235,-1.206,4.038,1.0,0.545,-0.202,-0.417,-1.28,1.748
0.268,-1.717,1.024,-1.611,-0.002,-0.424,-0.445,0.692,2.492,-1.32,-0.15,1.806,-0.176,-1.328,3.931,1.0,0.54,-0.487,-0.462,-1.314,1.979
0.24,-1.915,0.948,-1.225,-0.415,-0.28,-0.415,0.634,2.422,-1.752,-0.237,1.507,-0.297,-1.202,3.16,1.0,0.715,-0.699,-0.423,-1.018,1.774
-0.023,-1.578,0.94,-1.537,-0.548,-0.042,-0.285,0.684,2.612,-1.798,-0.494,1.638,-0.466,-1.337,4.112,1.0,0.424,-0.215,-0.395,-1.399,1.841
-0.033,-1.378,0.93,-1.767,0.225,-0.481,-0.313,0.533,2.222,-1.138,0.079,1.808,0.047,-1.314,3.674,1.0,0.429,-0.687,-0.412,-1.095,1.747
0.239,-1.717,0.964,-1.257,-0.715,0.123,-0.276,0.592,2.308,-1.992,-0.082,1.647,-0.175,-1.119,2.86,1.0,0.616,-0.697,-0.529,-0.932,1.793
0.019,-1.645,1.145,-1.712,0.076,-0.545,-0.392,0.717,2.277,-1.351,-0.131,1.55,-0.318,-1.264,3.971,1.0,0.497,-0.557,-0.541,-1.202,1.926
0.194,-1.697,1.21,-1.532,-0.056,-0.304,-0.264,0.728,2.306,-1.515,-0.132,1.835,-0.037,-1.249,3.546,1.0,0.602,-0.672,-0.419,-1.074,1.869
0.14,-1.419,1.334,-1.245,-0.298,-0.254,-0.302,0.378,2.597,-1.451,-0.056,1.752,-0.232,-1.182,3.566,1.0,0.63,-0.603,-0.497,-1.294,1.688
0.064,-1.832,0.958,-0.921,-0.957,0.316,-0.167,0.633,2.355,-2.305,-0.224,1.483,-0.356,-1.096,3.702,1.0,0.566,-0.65,-0.573,-1.18,1.83
0.136,-1.802,1.077,-1.896,0.344,-0.21,-0.37,0.676,2.513,-1.123,-0.208,1.893,-0.188,-1.336,3.809,1.0,0.671,-0.541,-0.702,-0.985,1.731
0.203,-1.816,1.017,-1.693,-0.146,-0.464,-0.387,0.655,2.516,-1.779,-0.15,1.812,-0.307,-1.252,3.616,1.0,0.631,-0.638,-0.575,-1.356,1.912
0.16,-1.375,1.161,-1.527,0.012,-0.471,-0.577,0.642,2.385,-1.134,0.109,1.726,-0.02,-1.363,3.824,1.0,0.661,-0.728,-0.199,-1.256,1.902
-0.045,-1.543,1.191,-1.18,-0.363,-0.06,-0.126,0.487,2.314,-1.619,0.014,1.571,-0.12,-1.375,4.039,1.0,0.59,-0.637,-0.532,-1.043,1.746
0.26,-1.399,1.023,-1.559,-0.353,-0.133,-0.062,0.394,2.556,-1.342,0.108,1.783,0.016,-1.194,3.73,1.0,0.377,-0.429,-0.374,-1.166,1.775
0.325,-1.452,1.215,-1.609,-0.134,-0.185,-0.247,0.766,2.47,-1.47,-0.259,1.848,-0.105,-1.324,3.874,1.0,0.582,-0.135,-0.324,-1.13,1.844
0.189,-1.496,1.271,-1.376,-0.397,-0.206,-0.196,0.658,2.454,-1.689,-0.121,1.693,-0.205,-1.062,3.838,1.0,0.649,-0.491,-0.478,-1.115,1.621
0.21,-1.384,1.167,-1.532,-0.415,0.194,-0.27,0.502,2.356,-1.752,0.041,1.727,-0.122,-1.415,3.714,1.0,0.609,-0.412,-0.252,-0.957,1.691
0.092,-1.477,1.078,-1.249,-0.613,0.043,-0.207,0.516,2.382,-1.851,0.052,1.64,-0.274,-1.238,3.702,1.0,0.588,-0.512,-0.371,-1.259,1.79
-0.007,-1.498,0.944,-1.388,-0.471,0.018,-0.152,0.686,2.589,-1.994,-0.202,1.821,-0.241,-1.124,3.997,1.0,0.645,-0.537,-0.25,-1.171,1.838
0.17,-1.504,1.083,-1.242,-0.866,0.318,-0.134,0.524,2.475,-2.256,0.039,1.559,-0.159,-1.035,3.788,1.0,0.525,-0.683,-0.413,-1.093,1.765
0.191,-1.575,1.005,-1.276,-0.459,0.039,-0.24,0.787,2.194,-1.852,-0.148,1.816,0.068,-1.542,3.838,1.0,0.708,-0.467,-0.499,-0.946,1.739
0.143,-1.396,1.096,-1.464,-0.316,-0.068,-0.253,0.529,2.374,-1.42,-0.153,1.554,-0.08,-1.209,3.765,1.0,0.392,-0.631,-0.376,-1.117,1.844
0.081,-1.57,1.185,-1.335,-0.708,0.157,-0.2,0.659,2.409,-1.786,-0.163,1.618,-0.213,-1.267,3.424,1.0,0.529,-0.494,-0.515,-1.027,1.737
0.2,-1.483,1.096,-1.272,-0.208,-0.141,-0.282,0.933,2.304,-1.922,-0.218,1.654,0.019,-1.271,3.174,1.0,0.74,-0.42,-0.363,-0.989,1.51
0.079,-1.677,1.042,-1.088,-0.9,0.303,-0.173,0.843,2.457,-2.245,-0.01,1.908,-0.122,-1.254,4.145,1.0,0.488,-0.537,-0.534,-1.137,1.785
0.297,-1.429,1.269,-1.43,-0.365,-0.257,-0.186,0.537,2.396,-1.656,-0.083,1.654,-0.214,-1.138,3.616,1.0,0.755,-0.619,-0.467,-1.194,1.778
0.192,-1.7,0.94,-1.68,-0.154,0.013,-0.309,0.572,2.507,-1.311,0.01,1.497,-0.071,-1.001,3.812,1.0,0.488,-0.627,-0.496,-0.967,1.685
0.19,-1.528,1.084,-1.2,-0.66,0.062,-0.161,0.663,2.416,-1.991,-0.181,1.611,-0.177,-1.052,4.109,1.0,0.519,-0.5,-0.372,-1.308,1.728
0.072,-1.753,1.189,-1.075,-0.461,-0.179,-0.287,0.597,2.36,-1.529,-0.02,1.718,-0.198,-1.376,3.498,1.0,0.555,-0.398,-0.435,-1.343,2.065
0.289,-1.597,1.169,-1.427,-0.222,-0.055,-0.417,0.515,2.241,-1.438,-0.179,1.755,-0.122,-1.28,3.969,1.0,0.685,-0.482,-0.476,-1.098,1.797
0.392,-1.626,0.898,-1.201,-0.691,0.04,0.023,0.638,2.458,-1.812,-0.098,1.725,-0.136,-1.217,3.776,1.0,0.401,-0.471,-0.373,-1.167,1.71
0.189,-1.566,1.324,-1.351,-0.579,-0.204,-0.173,0.7,2.651,-1.972,-0.064,1.736,-0.267,-1.233,3.9,1.0,0.757,-0.535,-0.583,-1.304,1.848
0.115,-1.712,1.057,-1.261,-0.592,0.19,0.085,0.679,2.501,-1.889,0.052,1.717,-0.16,-1.354,3.648,1.0,0.599,-0.508,-0.449,-0.977,1.764
0.287,-1.489,1.135,-1.366,-0.171,-0.146,-0.308,0.469,2.402,-1.374,-0.144,1.799,-0.381,-1.172,3.825,1.0,0.473,-0.369,-0.536,-1.268,1.897
0.278,-1.711,0.978,-1.536,-0.242,-0.146,-0.05,0.288,2.494,-1.431,-0.127,1.431,-0.333,-0.99,3.321,1.0,0.725,-0.517,-0.564,-0.979,1.721
0.317,-1.775,1.213,-1.374,-0.521,0.079,-0.135,0.713,2.607,-2.021,-0.046,1.651,-0.401,-1.228,3.71,1.0,0.624,-0.414,-0.616,-1.116,1.668
-0.102,-1.702,1.082,-1.123,-0.726,0.037,-0.101,0.878,2.425,-1.949,-0.303,1.682,-0.157,-1.202,3.687,1.0,0.642,-0.314,-0.494,-1.195,1.75
0.102,-1.586,1.061,-1.48,-0.54,0.007,-0.19,0.703,2.72,-1.775,-0.062,1.884,-0.098,-1.33,3.722,1.0,0.612,-0.435,-0.455,-1.328,1.984
0.251,-1.598,1.055,-1.788,0.076,-0.281,-0.426,0.586,2.619,-1.235,-0.087,1.867,-0.117,-1.312,3.792,1.0,0.644,-0.46,-0.431,-1.154,1.911
0.201,-1.386,0.914,-1.576,-0.488,-0.146,-0.271,0.722,2.516,-1.744,-0.059,1.498,-0.191,-1.122,3.662,1.0,0.525,-0.63,-0.146,-1.083,1.884
0.237,-1.783,1.209,-1.027,-0.878,0.074,0.086,0.428,2.294,-1.968,-0.056,1.446,0.009,-1.039,3.718,1.0,0.403,-0.879,-0.698,-1.008,1.66
0.243,-1.449,0.999,-1.151,-0.552,-0.044,-0.16,0.38,2.35,-1.72,-0.193,1.971,-0.005,-1.132,3.476,1.0,0.654,-0.726,-0.227,-1.179,1.729
0.035,-1.728,1.148,-1.775,-0.165,-0.43,-0.384,0.672,2.558,-1.512,-0.35,1.7,-0.217,-1.364,4.116,0.0,0.691,-0.547,-0.475,-1.347,1.302
0.243,-1.54,0.85,-1.808,0.101,-0.331,-0.366,0.6,2.534,-1.19,-0.653,1.805,-0.058,-1.368,4.046,0.0,0.481,-0.437,-0.382,-1.168,1.137
0.196,-1.612,1.11,-1.655,0.024,-0.307,-0.407,0.465,2.588,-1.365,-0.374,1.847,-0.127,-1.481,4.694,0.0,0.765,-0.542,-0.216,-1.229,1.479
0.347,-1.351,0.901,-1.681,0.065,-0.458,-0.347,0.535,2.513,-1.425,-0.254,1.82,-0.058,-1.33,4.531,0.0,0.619,-0.472,-0.307,-1.157,1.172
0.161,-1.531,1.076,-1.064,-0.714,-0.118,-0.132,0.749,2.377,-2.139,-0.405,1.805,-0.115,-1.243,4.259,0.0,0.545,-0.454,-0.5,-1.405,1.289
-0.002,-1.457,0.99,-1.584,0.104,-0.487,-0.286,0.583,2.455,-1.311,-0.455,1.844,-0.139,-1.32,4.816,0.0,0.54,-0.662,-0.216,-1.29,1.32
0.08,-1.419,0.998,-1.124,-0.797,0.132,-0.042,0.65,2.304,-1.927,-0.425,1.802,-0.252,-1.194,4.132,0.0,0.658,-0.213,-0.24,-1.337,1.015
0.016,-1.499,0.945,-1.427,-0.002,-0.562,-0.24,0.708,2.432,-1.426,-0.522,1.946,-0.226,-1.424,4.641,0.0,0.484,-0.464,-0.389,-1.417,1.242
0.143,-1.75,1.213,-1.764,-0.288,-0.468,-0.472,0.8,2.652,-1.786,-0.293,1.776,0.007,-1.371,4.501,0.0,0.747,-0.55,-0.598,-1.336,1.014
0.141,-1.775,0.804,-1.265,-0.819,0.149,-0.315,0.768,2.409,-2.127,-0.328,1.759,-0.131,-1.244,4.449,0.0,0.648,-0.445,-0.347,-1.364,1.568
0.192,-1.464,1.04,-1.353,-0.685,-0.154,0.106,0.515,2.5,-1.935,-0.394,1.794,-0.333,-1.563,4.774,0.0,0.681,-0.681,-0.346,-1.21,1.14
0.276,-1.582,0.991,-1.166,-0.75,0.195,-0.22,0.702,2.367,-2.024,-0.68,1.598,-0.128,-1.12,4.68,0.0,0.654,-0.502,-0.432,-1.149,1.091
-0.015,-1.522,1.301,-1.707,0.047,-0.2,-0.242,0.358,2.416,-1.212,-0.3,1.695,-0.177,-1.316,4.287,0.0,0.487,-0.421,-0.37,-1.262,1.216
0.247,-1.494,0.996,-1.678,-0.207,-0.497,0.03,0.314,2.457,-1.264,-0.277,1.843,-0.236,-1.446,4.841,0.0,0.429,-0.686,-0.483,-1.431,1.14
-0.004,-1.741,1.101,-1.575,-0.053,-0.198,-0.364,0.493,2.488,-1.297,-0.386,1.813,-0.13,-1.129,4.11,0.0,0.571,-0.45,-0.499,-1.079,1.181
-0.079,-1.468,1.157,-1.483,-0.42,-0.024,-0.154,0.417,2.495,-1.432,-0.184,1.772,-0.129,-1.226,5.062,0.0,0.43,-0.562,-0.598,-1.183,1.056
-0.09,-1.909,1.21,-1.189,-0.635,-0.15,0.03,0.515,2.601,-1.749,-0.395,1.932,-0.225,-1.356,5.235,0.0,0.586,-0.665,-0.924,-1.276,1.235
0.055,-1.54,1.04,-1.685,-0.176,-0.469,-0.349,0.707,2.391,-1.747,-0.428,1.817,-0.176,-1.328,4.143,0.0,0.852,-0.428,-0.219,-1.398,1.429
0.132,-1.624,1.123,-1.44,-0.514,-0.171,-0.223,0.84,2.484,-1.833,-0.22,1.685,-0.091,-1.286,4.167,0.0,0.59,-0.467,-0.515,-1.284,1.308
0.332,-1.642,0.927,-1.663,-0.303,-0.399,0.161,0.32,2.537,-1.684,-0.344,1.878,-0.184,-1.377,4.345,0.0,0.732,-0.679,-0.369,-1.46,1.345
0.198,-1.629,0.935,-1.586,-0.053,-0.254,-0.27,0.619,2.57,-1.25,-0.494,1.719,-0.207,-1.0,4.281,0.0,0.436,-0.388,-0.292,-1.218,1.239
0.126,-1.441,1.308,-1.576,0.141,-0.309,-0.421,0.598,2.383,-1.125,-0.586,1.562,-0.278,-1.389,3.995,0.0,0.658,-0.232,-0.402,-1.226,1.236
0.178,-1.599,1.057,-1.609,-0.45,-0.151,-0.196,0.74,2.578,-1.817,-0.43,1.919,-0.207,-1.646,4.437,0.0,0.619,-0.362,-0.354,-1.2,1.465
-0.089,-1.572,1.088,-1.305,-1.005,0.067,-0.094,0.536,2.541,-2.373,-0.623,1.578,-0.412,-1.228,4.987,0.0,0.929,-0.654,-0.469,-1.149,1.306
0.089,-1.531,0.975,-1.074,-0.899,0.17,0.01,0.456,2.262,-2.241,-0.228,1.744,-0.121,-1.149,4.433,0.0,0.483,-0.415,-0.129,-1.36,1.126
0.004,-1.6,0.902,-1.437,-0.586,-0.207,-0.022,0.664,2.621,-1.869,-0.469,1.938,-0.343,-1.476,5.419,0.0,0.72,-0.318,-0.431,-1.444,1.263
0.232,-1.592,0.984,-1.721,0.158,-0.584,-0.483,0.673,2.538,-1.306,-0.521,1.478,-0.323,-1.12,4.094,0.0,0.667,-0.561,-0.351,-1.107,1.108
0.003,-1.541,1.119,-1.088,-0.767,-0.04,-0.049,0.326,2.632,-1.775,-0.262,1.935,-0.262,-1.313,4.759,0.0,0.547,-0.646,-0.463,-1.266,1.262
0.025,-1.334,0.951,-0.883,-1.439,0.54,0.242,0.465,2.544,-2.369,-0.568,1.697,-0.234,-1.114,4.26,0.0,0.423,-0.543,-0.277,-1.425,1.23
0.039,-1.52,1.058,-1.358,-0.432,-0.292,0.025,0.408,2.409,-1.598,-0.268,1.876,-0.137,-1.113,4.609,0.0,0.556,-0.488,-0.458,-1.22,1.277
