x0,x1,x2,y,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0.189,-4.501,5.684,1.0,0.139,-1.561,0.126,-0.495,0.692,-2.567,0.359,3.657,-4.128,-1.299,7.493,-0.328,-0.977,1.344,1.531,-0.332,2.254
0.007,-3.604,5.692,1.0,0.059,-1.379,-0.149,-1.048,0.897,-2.478,-0.084,4.063,-4.131,-0.992,8.739,-0.101,-1.178,1.254,2.138,-0.015,2.664
-0.09,-3.538,5.084,1.0,0.419,-1.403,-0.291,-0.699,1.256,-2.201,-0.159,4.051,-4.196,-0.326,8.094,-0.156,-1.07,0.664,1.799,0.265,2.453
-0.063,-3.626,4.694,0.0,0.202,-1.5,-0.022,-0.508,0.75,-2.15,-0.047,3.833,-4.076,-0.269,8.522,-0.245,-0.928,0.854,2.116,-0.065,2.745
0.075,-5.449,5.76,0.0,0.024,-1.75,0.01,0.155,0.832,-2.602,0.417,3.811,-4.497,-1.274,7.427,-0.755,-0.747,1.458,1.784,-0.247,2.289
-0.058,-4.979,4.339,0.0,0.018,-1.87,0.231,0.655,0.374,-2.48,-0.054,3.41,-3.687,-0.098,7.815,-0.59,-0.765,0.882,1.94,0.048,2.445
0.002,-3.077,4.568,0.0,-0.305,-1.605,0.343,-0.481,0.445,-2.268,0.053,4.035,-4.186,-0.379,8.067,-0.381,-1.249,0.642,2.026,0.159,2.431
-0.11,-3.822,3.522,0.0,-0.05,-1.698,0.235,0.298,0.425,-2.011,-0.108,3.776,-3.738,0.571,8.677,-0.256,-0.984,0.447,2.16,0.407,2.761
0.042,-4.054,3.913,0.0,0.035,-1.942,0.177,0.314,0.478,-1.988,-0.305,3.855,-3.723,0.661,7.485,-0.022,-1.137,0.075,1.738,0.893,2.259
-0.054,-4.173,5.063,0.0,0.407,-1.359,-0.286,-0.549,1.282,-2.285,-0.344,4.127,-4.277,-0.007,7.658,0.179,-1.139,0.634,1.777,0.313,2.243
-0.082,-3.425,4.947,0.0,0.123,-1.228,0.137,-0.534,0.558,-2.491,0.426,3.906,-3.744,-0.994,8.949,-0.341,-0.742,1.665,2.461,-0.734,2.919
-0.18,-3.758,4.711,0.0,-0.085,-1.723,0.057,-0.369,1.021,-2.242,0.123,4.565,-4.124,-0.058,9.204,-0.106,-1.061,0.5,2.296,0.403,2.987
-0.1,-4.032,3.978,0.0,-0.213,-1.747,0.242,0.257,0.075,-2.143,0.177,3.768,-3.602,-0.141,8.256,-0.417,-0.872,0.889,2.224,-0.009,2.501
0.28,-4.041,5.064,0.0,0.068,-1.397,-0.024,-0.342,0.952,-2.353,-0.225,4.689,-4.208,0.251,9.18,-0.021,-1.388,0.278,2.284,0.597,3.007
0.106,-4.749,5.425,0.0,-0.225,-1.573,0.205,0.005,0.846,-2.316,0.271,4.175,-4.176,-0.86,8.561,-0.694,-0.884,1.353,2.192,-0.474,2.72
-0.122,-3.609,4.418,0.0,-0.529,-1.819,0.417,-0.24,-0.123,-2.176,0.134,3.798,-4.672,-0.41,7.863,-0.241,-0.751,0.711,2.061,0.284,2.383
0.174,-4.594,4.58,0.0,0.135,-1.705,-0.027,0.224,0.593,-2.265,-0.222,3.986,-3.947,0.381,8.55,-0.201,-1.229,0.677,2.246,0.262,2.515
0.129,-3.817,4.195,0.0,0.056,-1.561,0.202,-0.053,0.472,-2.368,0.079,3.659,-3.49,-0.285,7.798,-0.386,-0.868,0.818,1.697,0.11,2.434
-0.012,-5.01,4.814,0.0,0.349,-1.631,-0.217,0.031,0.785,-2.578,-0.133,3.823,-3.803,0.06,8.217,-0.493,-0.942,1.168,2.14,-0.289,2.467
-0.074,-4.762,5.3,0.0,0.09,-1.71,-0.022,-0.292,0.569,-2.601,0.195,3.535,-4.159,-0.984,7.728,-0.249,-0.856,1.299,2.029,-0.366,2.48
0.182,-3.668,4.441,0.0,-0.024,-1.384,0.036,-0.528,0.518,-2.13,0.01,3.424,-3.629,-0.574,7.187,-0.383,-1.132,0.905,1.694,0.026,2.036
-0.033,-4.278,4.402,0.0,-0.167,-1.808,0.18,0.148,0.345,-2.366,-0.234,3.39,-4.246,-0.183,6.858,-0.149,-0.898,0.494,1.639,0.501,2.025
-0.129,-2.932,3.971,0.0,-0.479,-1.834,0.367,-0.291,0.336,-2.026,0.337,3.507,-3.611,-0.967,7.62,-0.127,-0.623,0.847,1.986,0.046,2.347
0.013,-2.464,3.74,0.0,-0.387,-1.696,0.473,-0.364,0.041,-1.624,-0.026,4.162,-4.344,0.314,8.747,-0.113,-0.989,0.238,2.359,0.583,2.845
0.145,-3.635,4.001,0.0,-0.193,-1.879,0.385,0.08,-0.061,-2.224,-0.039,3.804,-3.815,0.047,7.744,-0.328,-1.021,0.666,2.102,0.28,2.365
0.047,-4.028,4.424,0.0,-0.267,-1.945,0.4,-0.103,0.136,-2.054,-0.047,3.763,-4.488,-0.228,8.042,-0.263,-0.973,0.712,2.12,0.299,2.446
0.169,-3.952,4.901,0.0,-0.193,-1.662,0.178,-0.235,0.57,-2.198,0.287,4.049,-4.071,-0.609,8.246,-0.292,-1.076,0.999,1.998,-0.06,2.404
0.001,-3.873,4.567,0.0,0.073,-1.824,0.02,-0.174,0.821,-2.264,-0.073,3.744,-3.845,-0.163,7.746,-0.076,-1.121,0.551,1.826,0.565,2.446
0.074,-3.412,4.815,0.0,-0.3,-1.52,0.391,-0.295,0.289,-2.266,0.688,3.881,-3.712,-1.384,8.015,-0.546,-0.793,1.353,1.988,-0.511,2.341
0.018,-3.794,4.108,0.0,0.011,-1.869,0.104,-0.013,0.44,-2.238,-0.062,3.807,-3.872,0.011,7.449,0.052,-1.236,0.356,1.754,0.731,2.062
-0.039,-4.546,5.059,0.0,0.102,-1.725,0.075,0.113,0.817,-2.573,-0.047,4.3,-4.302,-0.069,8.117,-0.023,-0.953,0.725,2.039,0.031,2.495
-0.042,-2.829,3.92,0.0,0.337,-1.503,-0.161,-0.235,1.113,-2.168,-0.217,3.748,-3.312,0.146,7.995,-0.126,-1.167,0.412,1.908,0.473,2.286
0.175,-4.324,4.51,0.0,-0.282,-1.896,0.351,0.21,0.23,-1.963,0.061,3.868,-4.793,-0.202,7.403,-0.288,-1.03,0.296,1.816,0.724,2.258
-0.05,-4.82,4.763,0.0,-0.137,-1.49,-0.014,0.506,0.446,-2.532,0.401,3.771,-3.751,-0.55,8.334,-0.859,-0.477,1.564,2.231,-0.629,2.54
-0.07,-4.09,4.596,0.0,0.356,-1.35,-0.174,-0.199,1.075,-2.4,-0.324,4.285,-4.069,0.246,7.734,0.154,-1.421,0.348,1.584,0.598,2.237
-0.008,-3.498,4.693,0.0,0.235,-1.612,-0.071,-0.51,0.893,-2.262,-0.062,3.928,-4.29,-0.318,7.435,0.041,-1.064,0.402,1.631,0.376,2.371
0.177,-3.857,4.051,0.0,-0.257,-1.817,0.315,0.017,0.255,-2.17,0.041,3.623,-3.84,-0.085,7.532,-0.235,-0.957,0.644,1.786,0.327,2.299
-0.15,-3.724,4.635,0.0,0.022,-1.651,-0.128,-0.28,0.705,-2.35,-0.168,3.714,-4.119,-0.323,8.134,-0.14,-1.135,0.76,2.065,0.421,2.59
-0.04,-3.608,4.701,0.0,-0.244,-1.687,0.336,-0.409,0.133,-2.17,0.181,3.929,-4.395,-0.605,8.319,-0.117,-1.011,1.088,1.981,-0.179,2.309
-0.217,-3.512,4.664,0.0,0.103,-1.619,0.082,-0.404,0.532,-2.264,0.032,3.528,-4.227,-0.518,7.585,-0.274,-0.809,0.989,1.716,-0.081,2.142
-0.086,-3.934,4.358,0.0,-0.273,-1.691,0.289,0.285,0.19,-2.114,0.36,3.454,-4.067,-0.766,7.816,-0.397,-0.684,0.968,1.775,-0.051,2.459
-0.193,-3.878,4.487,0.0,0.357,-1.25,-0.284,-0.29,1.232,-2.325,-0.287,3.356,-3.611,-0.211,7.449,-0.264,-1.129,0.707,1.671,0.14,2.296
-0.121,-4.05,4.729,0.0,0.113,-1.638,0.088,-0.062,0.577,-2.527,0.119,3.501,-4.096,-0.583,7.688,-0.263,-0.86,1.026,1.902,-0.122,2.318
0.046,-2.519,4.055,0.0,-0.253,-1.525,0.191,-0.568,0.457,-1.761,0.129,3.448,-3.682,-0.458,7.801,-0.059,-0.898,0.943,1.78,0.226,2.306
-0.293,-4.095,5.236,0.0,0.089,-1.498,0.21,-0.435,0.746,-2.441,0.46,3.444,-4.198,-1.356,7.781,-0.55,-0.628,1.506,2.127,-0.624,2.512
-0.042,-3.361,4.854,0.0,0.1,-1.566,0.143,-0.595,0.559,-2.551,0.199,3.734,-3.72,-0.854,8.72,-0.186,-0.861,1.526,2.309,-0.494,2.922
-0.195,-3.906,3.786,0.0,0.023,-1.808,-0.106,0.325,1.07,-2.281,-0.137,3.852,-3.289,0.531,7.714,0.057,-0.991,0.243,1.914,0.511,2.443
-0.057,-4.44,3.781,0.0,0.045,-1.876,0.087,0.587,0.641,-2.389,-0.097,3.766,-3.782,0.618,7.42,-0.078,-1.224,-0.156,1.589,1.104,2.186
0.053,-3.702,4.768,0.0,-0.306,-1.549,0.435,-0.29,0.207,-2.191,0.235,3.79,-4.293,-0.722,8.351,-0.558,-0.735,0.842,2.105,0.305,2.569
-0.248,-2.482,2.799,0.0,-0.558,-1.795,0.652,0.386,-0.214,-1.584,0.019,3.965,-3.832,0.677,8.284,-0.126,-0.645,-0.07,2.296,0.77,2.654
0.216,-3.048,4.935,0.0,-0.095,-1.289,0.04,-0.956,0.917,-2.41,0.156,3.766,-3.438,-1.014,7.905,-0.175,-1.098,1.126,1.81,-0.152,2.312
-0.001,-3.497,4.659,0.0,0.159,-1.447,-0.061,-0.369,0.593,-2.298,0.235,3.284,-3.643,-1.147,7.213,-0.528,-0.923,1.284,1.838,-0.528,2.327
0.098,-4.424,4.64,0.0,0.08,-1.513,-0.023,0.028,0.329,-2.423,0.036,3.683,-3.973,-0.194,7.466,-0.181,-1.126,0.814,1.858,0.095,2.209
-0.211,-3.58,3.448,0.0,-0.45,-1.915,0.534,0.538,0.004,-1.812,-0.002,3.661,-3.712,0.261,7.692,-0.26,-0.853,0.234,1.824,0.61,2.219
-0.123,-4.222,4.44,0.0,-0.345,-1.728,0.315,0.23,0.23,-2.416,0.472,3.878,-3.607,-0.575,8.8,-0.752,-0.513,1.338,2.482,-0.48,2.775
-0.16,-3.737,4.515,0.0,-0.165,-1.724,0.257,-0.044,0.703,-2.061,0.081,4.143,-4.839,-0.027,8.003,-0.126,-1.05,0.487,1.841,0.471,2.228
0.015,-4.096,4.343,0.0,-0.227,-1.65,0.196,-0.025,0.331,-2.258,-0.22,4.146,-4.229,0.457,8.69,-0.21,-0.658,0.433,2.224,0.672,2.739
0.05,-3.733,4.709,0.0,-0.071,-1.749,0.144,-0.16,0.457,-2.394,0.248,3.772,-4.085,-0.899,7.657,-0.505,-0.932,0.998,1.743,-0.139,2.15
-0.015,-4.345,4.107,0.0,0.268,-1.774,-0.104,0.301,0.776,-2.391,-0.347,3.934,-3.86,0.531,7.529,0.059,-1.164,0.09,1.498,0.787,2.254
0.035,-3.767,4.211,0.0,-0.071,-1.713,0.366,0.294,0.172,-2.362,0.466,3.618,-3.61,-0.615,8.094,-0.607,-0.873,1.237,2.093,-0.269,2.188
0.191,-3.644,4.24,0.0,-0.457,-1.971,0.411,-0.208,0.21,-1.903,0.097,3.988,-4.234,-0.457,7.902,-0.016,-1.19,0.28,2.069,0.679,2.296
0.078,-3.221,4.239,0.0,-0.435,-1.677,0.35,-0.228,0.138,-2.141,0.121,3.64,-3.903,-0.493,8.118,-0.332,-0.858,1.001,2.169,-0.078,2.542
0.032,-4.737,5.534,0.0,-0.088,-1.66,0.028,-0.367,0.598,-2.614,0.074,4.583,-5.007,-0.355,8.446,-0.046,-1.104,0.675,2.009,0.293,2.61
0.018,-3.341,4.665,0.0,-0.029,-1.34,0.03,-0.359,0.871,-2.167,-0.101,4.089,-4.025,-0.144,8.159,-0.385,-1.098,0.524,1.943,0.303,2.496
-0.003,-4.62,3.376,0.0,-0.071,-1.908,-0.057,0.818,0.6,-1.819,-0.552,4.096,-4.01,1.61,8.231,0.028,-1.124,-0.605,2.039,1.554,2.549
-0.159,-3.442,4.299,0.0,-0.239,-2.027,0.239,-0.138,0.356,-2.296,0.082,3.936,-3.831,-0.211,8.549,-0.428,-1.127,0.873,2.068,0.159,2.642
0.025,-4.159,4.369,0.0,-0.095,-1.741,0.188,0.272,0.393,-2.368,0.155,3.418,-3.497,-0.481,8.007,-0.566,-0.553,1.157,1.848,-0.332,2.697
-0.279,-3.644,4.621,0.0,-0.421,-1.682,0.283,-0.249,0.512,-1.935,0.363,4.206,-4.236,-0.34,8.985,-0.405,-0.625,0.797,2.342,0.105,3.049
0.008,-2.6,3.841,0.0,-0.137,-1.382,0.138,-0.379,0.461,-1.893,0.044,3.887,-3.686,-0.072,8.359,-0.123,-1.105,0.607,2.158,0.441,2.591
0.051,-3.533,4.755,0.0,0.171,-1.543,0.228,-0.652,0.929,-2.327,-0.195,4.115,-3.72,-0.097,8.104,0.103,-1.44,0.446,1.772,0.382,2.345
-0.002,-3.981,4.629,0.0,-0.175,-1.807,0.023,-0.346,0.613,-2.235,-0.027,4.063,-4.244,0.116,8.564,0.085,-1.177,0.541,1.952,0.53,2.697
-0.14,-4.273,3.54,0.0,0.184,-1.843,-0.017,0.682,0.64,-2.036,-0.225,3.757,-3.4,0.667,8.368,-0.187,-1.143,0.084,1.944,1.056,2.858
0.075,-3.457,4.923,0.0,0.507,-1.375,-0.266,-0.544,1.027,-2.158,-0.489,4.125,-4.097,-0.044,8.065,-0.18,-1.427,0.405,1.899,0.64,2.535
0.096,-4.047,4.196,0.0,0.053,-1.412,0.274,0.162,0.573,-2.47,-0.062,3.72,-3.21,0.314,8.731,-0.284,-0.77,0.923,2.13,-0.015,2.89
0.016,-2.892,4.003,0.0,-0.216,-1.632,0.405,-0.134,0.297,-2.104,0.145,3.47,-3.26,-0.615,7.92,-0.42,-1.241,0.889,2.12,0.041,2.254
0.066,-4.393,3.672,0.0,0.094,-1.959,0.044,0.522,1.021,-1.992,-0.528,4.123,-3.655,1.594,8.509,0.118,-1.247,-0.396,1.977,1.422,2.618
-0.015,-4.522,4.971,0.0,-0.308,-1.698,0.281,0.317,0.523,-2.308,0.327,3.68,-4.346,-0.883,8.196,-0.484,-0.579,1.246,2.146,-0.236,2.574
-0.025,-4.899,6.089,0.0,0.141,-1.352,0.018,-0.307,0.661,-2.663,0.438,4.068,-4.478,-1.398,8.959,-0.554,-0.673,2.023,2.465,-0.941,2.918
0.031,-3.844,5.085,0.0,-0.003,-1.641,-0.051,-0.483,0.745,-2.168,-0.089,3.85,-4.356,-0.791,7.82,-0.198,-0.872,0.891,1.98,0.076,2.377
-0.091,-4.718,5.232,0.0,0.097,-1.474,0.017,-0.039,0.831,-2.437,-0.022,3.964,-4.67,-0.463,7.78,-0.071,-0.967,0.862,1.703,0.129,2.351
-0.058,-4.145,3.942,0.0,-0.1,-1.654,0.115,0.282,0.738,-2.324,-0.141,4.103,-3.366,0.628,8.679,-0.129,-0.974,0.406,2.11,0.528,2.704
-0.004,-4.088,3.775,0.0,-0.386,-1.863,0.455,0.691,0.327,-2.017,-0.015,3.993,-4.213,0.489,8.324,-0.022,-0.987,-0.136,2.138,0.947,2.58
-0.104,-4.214,4.483,0.0,-0.337,-1.627,0.553,0.197,0.166,-2.54,0.35,4.518,-3.95,0.138,9.487,-0.437,-0.782,0.978,2.496,-0.291,3.113
0.044,-2.833,4.445,0.0,-0.055,-1.738,0.096,-0.721,0.736,-2.074,0.053,3.971,-3.751,-0.308,7.97,0.048,-1.245,0.746,1.774,0.159,2.33
0.184,-3.891,4.152,0.0,-0.048,-1.541,0.178,0.062,0.375,-2.275,-0.366,4.561,-4.103,1.033,8.615,-0.087,-1.177,-0.083,2.066,1.034,2.481
0.117,-3.389,4.012,0.0,-0.071,-1.823,0.098,-0.289,0.58,-2.042,-0.08,3.596,-3.719,0.049,7.128,0.243,-1.188,0.058,1.643,0.835,2.152
-0.134,-2.584,2.795,0.0,0.047,-1.757,0.097,0.021,0.177,-1.809,-0.34,3.805,-3.531,1.096,7.877,0.069,-1.315,-0.15,2.143,0.907,2.552
-0.212,-4.01,3.731,0.0,-0.262,-1.772,0.217,0.476,0.302,-2.381,0.198,3.672,-3.652,0.162,8.505,-0.103,-0.505,0.521,2.223,0.489,2.737
0.219,-3.702,4.467,0.0,0.24,-1.456,-0.066,-0.075,0.73,-2.238,0.108,3.784,-3.491,-0.197,7.828,-0.327,-1.213,0.822,1.809,-0.055,2.224
-0.008,-3.163,3.729,0.0,-0.04,-1.757,0.103,-0.076,0.57,-1.971,-0.026,3.767,-3.472,0.373,7.881,-0.125,-1.148,0.224,1.834,0.726,2.249
-0.105,-3.659,4.962,0.0,-0.053,-1.394,0.143,-0.387,0.963,-2.387,0.376,3.666,-3.865,-1.311,7.297,-0.3,-0.977,1.255,1.555,-0.352,2.086
-0.071,-3.111,4.683,0.0,-0.063,-1.681,0.174,-0.702,0.619,-2.133,-0.012,4.144,-4.027,-0.292,8.731,-0.241,-0.947,0.868,2.198,0.008,2.766
-0.044,-4.109,4.505,0.0,0.172,-1.721,-0.014,-0.018,1.016,-2.249,-0.187,3.683,-3.746,-0.103,7.684,-0.003,-0.986,0.55,1.558,0.466,2.206
-0.078,-4.105,4.89,0.0,0.006,-1.548,-0.04,-0.221,1.112,-2.157,0.074,4.006,-4.091,-0.449,7.467,-0.393,-1.231,0.597,1.682,0.173,2.103
-0.102,-3.766,4.016,0.0,-0.483,-1.636,0.436,0.234,0.141,-2.241,0.163,3.425,-3.93,-0.478,7.199,-0.06,-0.935,0.545,1.782,0.474,2.08
0.015,-4.449,4.492,0.0,-0.078,-1.695,0.078,0.17,0.848,-2.13,0.169,3.971,-3.912,-0.241,7.789,-0.299,-0.962,0.667,2.029,0.103,2.283
0.188,-3.12,3.927,0.0,-0.225,-1.71,0.375,0.083,-0.069,-2.108,0.231,3.741,-3.793,-0.533,7.943,-0.481,-0.762,0.722,2.087,0.024,2.536
0.07,-3.036,4.379,0.0,0.003,-1.567,-0.072,-0.47,1.053,-1.849,-0.229,4.149,-4.105,0.084,8.492,-0.146,-1.26,0.257,2.077,0.758,2.615
-0.193,-3.34,4.068,0.0,-0.282,-1.578,0.39,-0.138,0.091,-2.381,0.254,3.863,-4.079,-0.245,8.562,-0.121,-0.963,0.636,2.467,0.176,2.695
0.107,-4.06,4.08,0.0,0.037,-1.71,0.128,0.284,0.558,-2.194,-0.178,4.361,-3.447,0.786,9.087,-0.349,-1.136,0.542,2.259,0.409,2.747
-0.18,-3.444,4.705,0.0,0.255,-1.501,0.034,-0.562,1.0,-2.372,-0.056,4.377,-3.64,0.152,8.793,-0.111,-1.113,0.731,2.148,0.305,2.812
-0.091,-4.533,4.038,0.0,-0.007,-2.03,0.171,0.578,0.468,-2.334,-0.033,3.903,-3.547,0.437,7.968,-0.31,-1.168,0.641,2.139,0.468,2.286
-0.176,-3.296,4.982,0.0,-0.177,-1.633,0.403,-0.572,0.139,-2.311,0.502,3.443,-4.121,-1.44,7.985,-0.555,-0.585,1.456,2.048,-0.51,2.617
-0.108,-4.289,4.114,0.0,0.11,-1.691,-0.005,0.247,0.875,-2.292,0.046,3.954,-3.365,0.35,8.437,-0.148,-0.856,0.852,2.146,0.163,2.541
0.279,-4.231,5.075,0.0,0.063,-1.375,-0.147,-0.496,0.625,-2.441,-0.227,4.095,-4.339,0.003,8.048,-0.031,-1.176,0.755,1.986,0.267,2.413
0.163,-4.643,5.085,0.0,0.204,-1.409,-0.034,0.12,1.133,-2.473,-0.099,3.92,-3.716,-0.306,8.253,-0.238,-0.869,1.026,1.912,0.058,2.591
-0.003,-4.294,4.739,0.0,-0.026,-1.463,0.132,0.002,0.744,-2.211,-0.026,3.999,-4.389,-0.161,8.409,-0.245,-0.822,0.6,2.121,0.256,2.948
0.076,-3.755,5.022,0.0,-0.067,-1.229,0.152,-0.328,0.637,-2.484,0.136,3.906,-3.869,-0.741,8.46,-0.388,-0.843,1.321,2.221,-0.553,2.806
-0.137,-4.024,5.001,0.0,-0.008,-1.597,-0.084,-0.56,1.286,-2.293,-0.179,4.853,-4.337,0.592,8.861,-0.204,-1.39,0.238,1.943,0.631,2.709
-0.18,-3.583,4.633,0.0,0.065,-1.737,0.094,-0.486,0.841,-2.402,-0.057,4.064,-4.021,-0.022,8.306,-0.082,-1.055,0.626,1.823,0.171,2.664
0.069,-3.704,4.441,0.0,-0.008,-1.584,0.071,-0.112,0.731,-2.033,-0.062,4.041,-4.288,-0.248,7.197,0.241,-1.253,0.151,1.524,0.828,1.96
0.206,-4.524,5.606,0.0,0.105,-1.273,0.065,-0.441,0.86,-2.424,0.434,3.788,-3.992,-1.52,7.653,-0.61,-0.854,1.59,1.895,-0.668,2.163
0.061,-4.212,4.558,0.0,0.172,-1.62,-0.134,-0.188,0.937,-2.352,-0.08,3.983,-3.659,0.172,8.064,-0.213,-1.008,0.611,1.887,0.419,2.503
-0.045,-4.793,4.305,0.0,0.129,-1.828,-0.024,0.48,0.852,-2.316,-0.26,4.259,-3.929,0.623,8.644,-0.189,-1.062,0.129,1.999,0.824,2.71
0.086,-4.838,3.917,0.0,0.096,-1.967,0.19,0.618,0.978,-2.021,-0.203,3.636,-3.581,0.334,7.396,0.059,-1.045,-0.034,1.68,0.858,2.323
0.013,-4.472,4.848,0.0,-0.177,-1.776,0.109,-0.072,0.835,-2.64,0.218,3.909,-3.637,-0.799,7.734,-0.257,-0.755,0.864,1.809,-0.05,2.269
-0.105,-3.97,4.348,0.0,-0.165,-1.771,0.19,0.073,0.576,-2.262,0.387,3.347,-3.501,-0.91,7.625,-0.361,-0.909,1.132,1.971,-0.356,2.351
