Unnamed: 0,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y,x14,x15,x16,x17,x18,x19,x20
28,-3.7,-0.171,0.084,3.869,1.465,4.522,0.837,0.89,-0.512,0.096,1.078,1.598,1.781,1.0,2.697,-1.983,-1.347,1.154,-0.668,0.262,0.274
29,-3.455,0.234,-0.13,5.219,1.584,4.32,1.088,0.937,-0.253,0.203,2.314,1.752,1.104,1.0,2.689,-1.912,-1.303,1.194,-0.628,0.48,0.278
30,-4.236,-0.663,0.626,3.609,1.327,5.23,0.275,0.497,-0.795,-0.449,-0.049,1.591,2.14,1.0,1.991,-2.63,-1.811,0.912,-0.957,0.652,-0.007
31,-3.968,-0.181,0.231,4.514,1.619,4.871,0.538,0.619,-0.453,-0.202,1.249,1.574,1.86,1.0,2.593,-2.585,-1.353,0.953,-0.645,0.196,0.254
32,-4.594,0.278,0.156,4.588,1.493,5.071,0.987,0.871,0.124,-0.448,1.502,1.679,1.639,1.0,3.375,-2.835,-1.231,0.976,-0.476,-0.391,0.434
33,-3.801,-0.372,-0.1,4.541,1.453,4.636,0.276,0.773,-0.086,0.106,1.683,1.665,1.5,1.0,3.104,-2.099,-0.853,1.035,-0.561,-0.283,0.327
34,-3.96,-0.402,0.006,3.973,1.185,4.642,0.261,0.582,-0.119,-0.003,1.243,1.689,1.728,1.0,2.795,-2.116,-1.233,0.92,-0.497,-0.094,0.382
35,-4.746,-0.347,0.381,3.608,1.459,5.678,0.601,0.578,-0.639,-0.96,-0.341,1.544,1.776,1.0,2.291,-2.901,-1.822,1.3,-0.9,0.365,0.301
36,-4.628,0.287,0.152,3.69,1.573,5.261,1.11,0.768,-0.433,-0.671,0.169,1.538,1.767,1.0,2.47,-2.823,-1.518,1.155,-0.697,0.074,0.139
37,-4.302,-0.579,-0.177,4.585,1.23,5.189,0.453,0.367,-0.985,-0.978,0.752,1.465,1.612,1.0,1.521,-2.711,-1.763,0.743,-1.003,0.903,0.059
38,-4.156,-0.425,-0.031,4.412,1.418,5.124,0.312,0.785,-0.659,-0.315,1.225,1.61,1.623,1.0,2.792,-2.444,-1.354,1.042,-0.841,-0.177,0.189
39,-4.128,-0.322,0.274,4.136,1.474,4.829,0.29,0.514,-0.013,-0.084,1.122,1.773,1.926,1.0,3.237,-2.37,-1.159,0.822,-0.671,-0.265,0.159
40,-4.45,-0.19,0.357,4.538,1.515,5.121,0.755,0.629,-0.666,-0.576,0.981,1.549,1.946,1.0,2.353,-2.759,-1.788,1.045,-0.813,0.621,0.135
41,-5.597,0.071,0.608,2.833,1.347,6.128,0.773,0.488,0.184,-0.87,-0.783,1.846,2.19,1.0,3.288,-3.392,-1.793,0.889,-0.477,-0.792,0.126
42,-5.145,-0.18,0.352,3.872,1.452,6.204,0.826,0.412,-0.816,-1.128,-0.579,1.441,1.901,1.0,1.864,-3.229,-1.79,1.067,-1.156,0.405,0.024
43,-4.385,-0.427,-0.286,5.316,1.363,5.307,0.579,0.296,-1.339,-0.904,0.938,1.293,1.799,1.0,1.411,-2.636,-1.818,0.992,-1.078,1.394,0.156
44,-4.367,-0.449,0.856,3.536,1.333,5.441,0.378,0.182,-0.715,-0.578,-0.456,1.567,2.21,1.0,1.83,-2.544,-1.877,0.823,-1.016,0.277,-0.148
45,-3.564,-0.168,0.029,4.051,1.221,4.294,0.336,0.862,-0.369,-0.053,1.189,1.607,1.659,1.0,2.824,-1.857,-0.827,0.888,-0.533,0.046,0.395
46,-5.495,-0.469,0.756,3.879,1.187,6.319,0.472,0.507,-0.259,-1.033,-0.476,1.432,1.88,1.0,2.451,-3.506,-1.674,0.753,-0.884,-0.185,0.119
47,-4.501,-0.494,0.063,4.685,1.48,5.19,0.122,0.718,-0.648,-0.626,1.029,1.71,1.73,1.0,2.653,-2.78,-1.506,1.177,-0.663,0.157,0.225
48,-3.679,0.446,-0.16,4.078,1.477,4.317,0.928,0.699,0.059,0.507,1.522,1.563,1.427,1.0,3.118,-1.78,-1.294,1.057,-0.22,-0.19,0.456
49,-4.305,-0.364,0.318,4.573,1.56,5.114,0.516,0.728,-0.381,-0.216,1.095,1.804,1.815,1.0,2.567,-2.46,-1.403,1.013,-0.696,0.181,0.156
50,-3.58,0.148,0.135,3.755,1.838,4.339,0.866,0.93,-0.699,-0.17,0.602,1.464,1.869,1.0,1.971,-2.119,-1.479,1.183,-0.67,0.654,0.267
51,-5.076,0.563,0.485,3.628,1.414,5.722,0.887,0.695,0.473,-0.358,0.42,1.659,1.987,1.0,3.71,-3.103,-1.221,0.867,-0.215,-0.825,0.427
52,-3.875,0.494,0.294,3.616,1.469,4.448,1.069,0.839,-0.005,0.365,1.135,1.57,1.918,1.0,3.178,-2.114,-0.893,0.974,-0.154,-0.303,0.5
53,-4.313,-0.058,0.191,3.955,1.538,5.12,1.029,0.719,-0.115,-0.224,0.916,1.654,1.834,1.0,2.958,-2.353,-1.294,1.027,-0.829,-0.079,0.092
54,-3.485,-0.291,0.292,3.158,1.47,4.312,0.461,0.74,-0.615,0.104,0.233,1.556,1.916,1.0,2.332,-2.011,-1.128,1.003,-0.57,0.094,0.119
55,-4.108,0.094,0.056,4.391,1.595,4.943,0.954,0.93,-0.285,-0.073,1.212,1.503,1.847,1.0,2.754,-2.158,-1.381,1.244,-0.593,0.485,0.191
56,-3.482,0.13,-0.207,4.194,1.494,4.255,0.745,0.662,-0.099,-0.149,1.473,1.648,1.415,1.0,2.905,-2.082,-0.858,0.835,-0.547,-0.195,0.473
57,-4.146,-0.075,0.31,3.148,1.539,5.06,0.939,0.58,-1.096,-0.653,-0.581,1.582,2.061,1.0,1.444,-2.376,-2.006,1.145,-1.081,0.815,-0.11
58,-3.737,0.076,0.18,4.171,1.594,4.559,0.322,0.912,-0.254,0.038,1.099,1.726,1.809,1.0,2.732,-2.099,-1.393,1.246,-0.459,0.431,0.604
59,-4.598,0.13,0.225,4.194,1.506,5.392,0.574,0.837,-0.003,-0.336,0.731,1.79,1.764,1.0,3.046,-2.667,-1.289,0.915,-0.548,-0.401,0.116
60,-3.635,0.195,-0.294,4.234,1.749,4.201,0.945,0.765,-0.313,0.297,1.529,1.367,1.681,1.0,2.489,-1.929,-1.369,1.08,-0.532,0.615,0.256
61,-3.564,0.761,-0.33,4.39,1.576,4.203,1.278,0.939,0.261,-0.087,2.066,1.761,0.987,1.0,3.278,-1.96,-0.735,1.09,-0.482,-0.303,0.28
62,-3.637,0.023,0.004,4.204,1.418,4.234,0.195,0.954,-0.143,0.048,2.014,1.494,1.41,1.0,3.422,-2.278,-0.81,0.835,-0.298,-0.698,0.348
63,-3.991,-0.101,-0.095,4.72,1.5,4.85,0.51,0.658,-0.414,-0.1,1.783,1.684,1.738,1.0,2.984,-2.15,-1.164,0.92,-0.64,0.049,0.313
64,-4.504,0.049,0.473,3.941,1.53,5.135,0.418,0.705,0.067,-0.281,0.757,1.727,1.914,1.0,3.549,-2.744,-1.218,1.265,-0.372,-0.392,0.383
65,-4.547,-0.358,0.679,2.89,1.145,5.477,0.335,0.504,-0.557,-0.949,-0.703,1.606,1.87,1.0,2.147,-2.819,-1.823,0.758,-0.931,-0.186,0.096
66,-4.302,-0.402,0.116,4.382,1.633,5.132,0.556,0.504,-0.813,-0.51,0.505,1.507,1.991,1.0,1.992,-2.667,-1.922,1.117,-0.927,0.808,0.288
67,-4.008,0.147,-0.255,5.482,1.478,4.969,0.847,0.626,-0.185,-0.12,2.143,1.702,1.659,1.0,2.966,-2.321,-1.156,1.103,-0.639,0.284,0.167
68,-4.359,0.378,-0.08,4.043,1.746,4.929,1.451,0.531,0.212,-0.46,0.912,1.964,1.67,1.0,2.824,-2.505,-1.39,1.079,-0.603,-0.177,0.246
69,-4.441,-0.127,0.067,4.103,1.64,4.925,0.758,0.531,-0.859,-0.537,0.378,1.614,1.876,1.0,1.797,-2.613,-2.112,1.051,-0.871,0.718,0.123
70,-4.156,-0.391,0.091,4.003,1.465,5.031,0.514,0.428,-1.198,-0.569,0.548,1.796,1.699,1.0,1.871,-2.326,-1.703,1.062,-0.94,0.964,0.177
71,-4.422,-0.097,-0.046,4.394,1.404,5.142,0.589,0.79,-0.288,-0.685,1.002,1.764,1.525,1.0,2.891,-2.744,-1.35,0.912,-0.686,-0.262,0.348
72,-3.741,-0.023,-0.229,4.369,1.504,4.78,0.894,0.559,-0.715,-0.19,0.549,1.553,1.966,1.0,1.865,-2.1,-1.729,0.849,-0.87,0.641,0.02
73,-4.642,-0.313,0.255,4.809,1.473,5.389,0.372,0.702,-0.186,-0.501,0.937,1.56,1.737,1.0,2.659,-2.652,-1.579,0.932,-0.747,0.033,0.171
74,-4.016,-0.082,-0.439,5.335,1.395,4.744,0.966,0.462,-0.636,-0.577,1.622,1.578,1.647,1.0,2.266,-2.341,-1.676,1.001,-0.807,0.704,0.039
75,-4.65,0.071,0.024,4.775,1.392,5.633,0.764,0.684,-0.261,-0.56,0.82,1.83,1.837,1.0,2.6,-2.724,-1.48,0.842,-0.737,-0.143,0.281
76,-4.554,-0.079,-0.009,4.441,1.746,5.446,1.06,0.898,-1.09,-0.349,0.32,1.354,2.03,1.0,1.664,-2.509,-1.95,1.375,-0.857,1.315,-0.047
77,-4.106,-0.099,0.426,4.011,1.298,4.922,0.435,0.413,-0.124,-0.254,0.944,1.598,2.159,1.0,2.723,-2.589,-1.395,0.84,-0.557,0.097,0.193
78,-3.988,0.014,-0.036,4.318,1.594,4.982,1.111,0.652,-0.821,-0.301,0.37,1.653,1.985,1.0,1.752,-2.081,-1.637,1.001,-0.993,0.971,0.052
79,-3.519,0.47,0.056,3.602,1.552,4.272,1.108,0.677,0.197,0.363,0.912,1.542,1.831,1.0,3.069,-1.744,-0.952,1.005,-0.303,-0.272,0.614
80,-3.58,-0.738,0.037,4.067,1.45,4.838,0.349,0.483,-0.952,-0.301,0.573,1.578,1.886,1.0,1.758,-1.835,-1.416,0.887,-1.066,0.811,0.076
81,-4.193,-0.341,0.225,3.91,1.455,5.008,0.455,0.607,-0.398,-0.553,0.377,1.581,1.888,1.0,2.267,-2.48,-1.644,1.162,-0.796,0.3,0.185
82,-4.186,0.397,0.336,3.385,1.61,4.937,1.355,0.95,-0.006,-0.153,0.714,1.615,1.786,1.0,3.135,-2.545,-1.072,1.078,-0.537,-0.453,0.226
83,-4.626,-0.073,0.225,3.945,1.462,5.51,0.672,0.549,-0.229,-0.477,0.112,1.679,1.999,1.0,2.635,-2.69,-1.604,0.999,-0.579,-0.186,0.449
84,-5.471,-0.0,0.285,3.871,1.473,6.096,0.969,0.621,-0.127,-1.118,0.003,1.822,1.767,1.0,2.968,-3.23,-1.758,0.843,-0.785,-0.395,0.203
85,-4.505,-0.167,0.331,3.731,1.574,5.206,0.398,0.645,0.014,-0.261,0.634,1.658,1.833,1.0,3.219,-2.667,-1.489,0.985,-0.451,-0.572,0.293
86,-4.27,0.183,0.204,3.375,1.439,5.044,0.921,0.996,0.117,-0.224,0.53,1.724,1.851,1.0,3.389,-2.507,-1.18,1.172,-0.42,-0.512,0.39
87,-4.361,-0.101,0.019,4.766,1.541,5.195,0.717,0.654,-0.995,-0.728,1.142,1.774,1.764,1.0,2.069,-2.651,-1.817,1.153,-0.996,1.015,0.185
88,-3.983,-0.143,0.427,3.473,1.461,4.833,0.444,0.941,-0.307,-0.183,0.703,1.628,1.658,1.0,3.212,-2.26,-0.905,1.179,-0.637,-0.559,0.254
89,-4.471,-0.829,0.505,3.735,1.163,5.601,0.086,0.426,-1.003,-0.604,-0.469,1.657,2.106,1.0,1.888,-2.484,-1.754,0.812,-0.895,0.354,0.242
90,-4.409,0.271,0.196,4.314,1.502,5.201,1.079,0.595,0.083,-0.485,1.048,1.789,1.771,1.0,2.942,-2.839,-1.219,0.839,-0.624,-0.329,0.256
91,-3.866,0.216,-0.146,4.529,1.47,4.686,1.041,0.894,-0.262,-0.216,1.176,1.673,1.533,1.0,2.514,-2.037,-1.229,1.089,-0.696,0.408,0.319
92,-4.446,0.012,0.179,3.98,1.449,5.427,0.917,0.541,-0.225,-0.655,0.346,1.608,1.798,1.0,2.426,-2.605,-1.423,0.813,-0.789,-0.13,0.441
93,-3.666,-0.026,-0.268,4.758,1.453,4.568,0.497,0.74,-0.463,-0.194,1.821,1.643,1.293,1.0,2.5,-2.174,-1.363,0.907,-0.649,0.171,0.119
94,-5.086,-0.809,0.459,4.285,1.343,6.139,0.051,0.321,-1.339,-1.193,-0.816,1.459,1.785,1.0,1.157,-3.101,-2.21,0.792,-1.146,1.093,-0.067
95,-4.58,-0.138,-0.063,4.795,1.55,5.368,0.861,0.666,-0.51,-0.622,0.965,1.819,1.833,1.0,2.504,-2.52,-1.608,1.234,-0.969,0.494,0.094
96,-5.212,-0.057,0.615,3.356,1.571,6.12,1.039,0.297,-0.636,-1.131,-0.941,1.752,1.992,1.0,1.888,-3.146,-2.092,1.104,-1.036,0.422,0.052
97,-4.196,-0.48,0.071,4.017,1.534,5.25,0.531,0.546,-1.296,-0.849,-0.081,1.418,1.926,1.0,1.519,-2.444,-1.963,1.1,-1.017,1.036,0.166
98,-4.413,-0.061,-0.004,5.056,1.381,5.187,0.658,0.85,-0.309,-0.586,1.787,1.749,1.253,1.0,3.251,-2.597,-1.065,1.034,-0.748,-0.16,0.075
99,-3.854,0.196,-0.029,4.519,1.187,4.728,1.053,0.588,-0.169,-0.375,1.169,1.57,1.817,1.0,2.14,-2.222,-1.196,0.699,-0.773,0.518,0.335
100,-3.657,0.628,-0.202,3.829,1.586,4.18,1.05,0.898,0.356,0.71,1.542,1.749,1.576,1.0,3.57,-1.864,-0.564,0.881,-0.01,-0.694,0.878
101,-4.357,0.109,0.107,4.444,1.503,5.283,1.021,0.695,-0.671,-0.441,0.758,1.621,2.056,1.0,2.243,-2.52,-1.682,1.157,-0.721,0.765,-0.024
102,-4.507,-0.539,0.237,4.903,1.407,5.423,0.197,0.887,-1.469,-0.692,0.584,1.639,1.796,1.0,1.826,-2.596,-1.903,1.163,-0.946,1.101,0.076
103,-4.111,-0.01,-0.204,4.59,1.495,4.789,1.105,0.967,-0.611,-0.124,1.335,1.466,1.729,1.0,2.374,-2.351,-1.444,1.184,-0.795,0.679,0.328
104,-3.736,-0.27,0.075,4.061,1.416,4.522,0.517,0.797,-0.623,-0.06,1.221,1.552,1.927,1.0,2.635,-2.082,-1.092,1.091,-0.653,0.388,0.171
105,-4.123,-0.639,0.237,4.197,1.453,4.907,0.241,0.605,-1.04,-0.516,0.472,1.523,1.995,1.0,1.753,-2.405,-1.817,1.098,-0.851,0.964,0.05
106,-5.032,-0.066,0.287,4.316,1.438,5.658,0.689,0.505,-0.104,-0.938,0.67,1.695,1.774,1.0,2.819,-3.126,-1.836,0.969,-0.814,-0.125,0.183
107,-5.282,0.12,0.538,3.341,1.641,6.155,0.687,0.628,0.116,-0.758,-0.634,1.84,1.971,1.0,3.216,-3.175,-1.818,1.145,-0.658,-0.536,0.325
108,-3.452,0.382,-0.156,4.154,1.488,3.877,0.706,0.616,0.681,0.671,2.45,1.758,1.077,1.0,3.913,-1.692,-0.831,0.856,-0.067,-0.984,0.664
109,-3.503,0.558,-0.153,4.665,1.588,4.387,1.135,0.96,0.02,0.41,2.028,1.614,0.97,1.0,3.162,-1.992,-0.874,1.14,-0.284,-0.141,0.369
110,-3.941,-0.24,-0.105,4.288,1.372,4.792,0.53,1.01,-0.826,-0.482,0.995,1.696,1.416,1.0,2.656,-2.066,-1.202,0.881,-0.724,-0.21,-0.046
111,-3.705,0.355,-0.141,4.205,1.58,4.308,0.794,0.852,0.167,0.425,1.952,1.619,1.247,1.0,3.539,-1.867,-0.757,0.968,-0.255,-0.485,0.718
112,-3.499,-0.246,-0.139,4.439,1.439,4.44,0.357,1.101,-1.265,-0.161,1.028,1.767,1.386,1.0,1.929,-2.08,-1.128,1.246,-0.745,0.784,0.269
113,-3.692,-0.063,-0.231,4.529,1.243,4.752,0.851,0.869,-0.541,-0.32,1.231,1.608,1.734,1.0,2.757,-2.129,-1.216,0.905,-0.744,0.099,0.023
114,-4.171,0.195,0.057,4.412,1.662,4.779,0.71,0.586,0.082,-0.338,1.41,1.683,1.53,1.0,3.003,-2.388,-1.32,1.076,-0.539,-0.155,0.44
115,-4.31,-0.261,0.332,3.409,1.485,5.145,0.701,0.666,-0.837,-0.631,-0.237,1.457,2.013,1.0,1.713,-2.591,-1.79,1.104,-0.835,0.411,0.358
116,-4.4,-0.357,0.014,4.751,1.545,5.556,0.618,0.696,-0.947,-0.741,0.418,1.626,1.821,1.0,1.715,-2.632,-1.72,1.252,-1.082,1.377,0.051
117,-3.652,0.73,-0.289,4.028,1.454,4.285,1.29,0.831,0.049,0.206,1.426,1.382,1.844,1.0,3.199,-2.033,-1.127,1.043,-0.3,-0.315,0.549
118,-4.382,-0.207,-0.151,4.533,1.412,5.248,0.929,0.698,-0.495,-0.704,1.138,1.626,1.79,1.0,2.76,-2.431,-1.34,1.02,-0.883,0.164,0.0
119,-4.445,-0.092,0.228,4.281,1.563,5.296,0.607,0.794,-0.382,-0.162,0.946,1.604,1.952,1.0,2.892,-2.578,-1.435,1.064,-0.509,0.029,0.354
120,-3.644,0.561,-0.314,4.246,1.818,3.977,0.953,1.008,0.534,0.999,2.684,1.825,0.887,1.0,4.241,-1.893,-0.617,1.254,0.044,-0.762,0.582
121,-4.146,0.024,0.286,3.712,1.16,4.787,0.411,0.415,-0.106,-0.31,0.926,1.698,2.18,1.0,2.819,-2.423,-1.315,0.693,-0.501,-0.152,0.389
122,-4.272,-0.259,0.388,3.857,1.392,4.959,0.43,0.517,-0.241,-0.414,0.451,1.654,1.798,1.0,2.346,-2.561,-1.476,0.784,-0.641,-0.085,0.459
123,-4.531,-0.34,0.324,3.929,1.551,5.385,0.685,0.455,-0.571,-0.616,-0.028,1.694,2.007,1.0,2.172,-2.612,-1.706,1.044,-0.893,0.143,0.029
124,-3.712,0.226,-0.301,4.291,1.763,4.372,0.918,0.88,-0.324,0.293,1.301,1.78,1.557,1.0,2.358,-1.968,-1.219,1.162,-0.57,0.613,0.252
125,-4.902,-0.092,-0.049,5.237,1.433,5.85,0.553,0.568,-0.096,-0.838,1.038,1.709,1.844,1.0,2.757,-2.927,-1.638,0.94,-0.75,-0.079,0.243
126,-3.985,-0.116,0.031,4.175,1.58,4.804,0.635,0.828,-0.695,-0.507,0.953,1.467,1.511,1.0,2.467,-2.253,-1.234,1.165,-0.81,0.376,0.299
127,-4.47,-0.169,0.072,4.067,1.622,5.246,0.739,0.894,-0.235,-0.534,0.975,1.62,1.798,1.0,2.997,-2.801,-1.271,1.219,-0.674,0.004,0.204
128,-3.988,0.174,-0.321,4.524,1.836,4.498,0.956,0.782,-0.557,0.088,1.489,1.448,1.672,1.0,2.275,-2.181,-1.597,1.213,-0.555,0.675,0.278
129,-4.593,-0.068,0.477,3.838,1.529,5.377,0.746,0.692,-0.112,-0.517,0.446,1.675,1.963,1.0,2.78,-2.733,-1.573,1.016,-0.627,-0.166,0.25
130,-4.003,0.113,0.193,3.933,1.447,4.671,0.516,1.017,-0.293,-0.247,1.21,1.545,1.373,1.0,2.892,-2.321,-1.061,1.319,-0.464,-0.176,0.389
131,-3.485,-0.608,-0.086,4.792,1.151,4.566,0.213,0.541,-0.812,-0.448,1.357,1.533,1.66,1.0,1.957,-1.916,-1.291,0.747,-0.894,0.415,0.133
132,-5.173,-0.159,0.6,3.28,1.439,5.75,0.334,0.562,0.189,-0.702,0.047,1.83,1.899,1.0,3.396,-3.308,-1.657,0.887,-0.431,-0.959,0.447
133,-4.734,-0.389,0.351,3.552,1.353,5.523,0.417,0.574,-0.719,-0.913,-0.072,1.782,1.795,1.0,2.353,-3.054,-1.819,1.094,-0.876,-0.037,-0.026
134,-3.706,-0.033,0.05,4.567,1.624,4.8,1.124,0.69,-0.8,-0.137,0.909,1.356,2.063,1.0,1.826,-2.116,-1.645,1.114,-0.824,0.994,0.179
135,-3.682,-0.016,0.177,4.045,1.5,4.411,1.007,0.742,-0.651,0.049,1.144,1.528,1.903,1.0,2.247,-2.181,-1.356,1.354,-0.781,0.999,0.066
136,-5.157,0.447,0.412,3.929,1.304,5.4,0.498,0.801,0.155,-0.602,0.529,1.633,1.74,1.0,3.394,-3.168,-1.371,0.951,-0.263,-0.552,0.573
137,-4.305,-0.489,-0.196,5.303,1.201,5.067,0.07,0.785,-0.594,-0.465,1.906,1.683,1.438,1.0,2.713,-2.372,-1.128,0.8,-0.784,0.047,0.286
138,-4.317,-0.466,0.299,3.502,1.43,5.519,0.473,0.829,-0.727,-0.794,-0.383,1.661,1.868,1.0,2.122,-2.506,-1.438,1.133,-1.03,0.28,-0.051
139,-4.986,-0.346,0.348,3.738,1.197,5.982,1.023,0.378,-0.757,-1.653,-0.929,1.328,1.545,1.0,1.453,-3.05,-2.236,0.781,-1.283,0.366,0.037
140,-4.856,0.259,0.548,3.079,1.392,5.414,0.649,0.584,0.416,-0.364,0.032,1.687,2.075,1.0,3.401,-3.074,-1.33,0.749,-0.317,-0.894,0.526
141,-4.092,-0.201,0.127,4.259,1.48,4.969,0.701,0.511,-0.507,-0.45,0.555,1.756,1.943,1.0,2.224,-2.34,-1.564,0.993,-0.895,0.272,0.133
142,-4.218,-0.196,0.171,3.692,1.6,5.067,0.805,0.953,-0.486,-0.007,0.502,1.561,1.986,1.0,2.5,-2.543,-1.673,1.238,-0.582,0.356,0.399
143,-4.78,0.096,0.445,3.809,1.62,5.566,0.954,0.459,-0.33,-0.562,0.108,1.773,2.383,1.0,2.292,-2.839,-1.986,0.906,-0.797,0.235,0.086
144,-4.308,-0.869,0.028,4.547,1.177,5.012,-0.206,0.711,-0.731,-0.56,0.958,1.518,1.655,1.0,2.644,-2.358,-1.331,1.038,-0.691,0.213,0.351
145,-3.493,-0.034,-0.01,3.899,1.486,4.165,0.784,0.792,-0.649,0.047,1.223,1.586,1.647,1.0,2.43,-1.819,-1.054,1.146,-0.569,0.456,0.14
146,-4.09,-0.474,0.282,3.622,1.357,4.932,0.313,0.554,-0.699,-0.616,0.145,1.613,1.769,1.0,2.105,-2.389,-1.657,0.853,-0.856,0.141,0.336
147,-3.502,0.623,-0.306,4.253,1.822,4.036,1.145,1.138,0.528,0.944,2.18,1.586,1.078,1.0,3.846,-1.883,-0.839,1.368,0.154,-0.557,0.668
