Unnamed: 0,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,y,x20
12,0.138,-0.208,1.37,0.582,-1.806,-0.051,2.965,-1.554,0.622,0.125,-0.196,-0.266,0.64,0.251,1.688,0.488,-0.284,0.704,-0.305,1.0,0.52
13,-0.469,-0.174,1.636,0.797,-2.47,-0.111,3.069,-2.276,0.594,0.106,0.061,-0.109,0.487,0.542,1.989,0.499,-0.553,0.499,-0.7,1.0,0.273
14,0.134,-0.156,1.552,0.987,-2.352,-0.041,3.51,-2.002,0.882,0.054,-0.0,-0.198,0.607,0.458,2.215,0.538,-0.925,1.126,-0.259,1.0,0.826
15,-0.502,-0.098,1.406,0.749,-2.336,-0.161,2.629,-1.912,0.758,0.162,0.334,-0.112,0.545,0.342,1.791,0.488,-0.477,0.706,-0.502,1.0,0.26
16,-0.635,-0.45,0.996,0.383,-1.516,-0.063,1.638,-1.141,0.212,-0.233,0.552,0.0,0.794,0.581,1.253,0.409,-0.16,-0.206,-0.472,1.0,0.491
17,-0.343,-0.237,1.17,0.441,-1.976,0.145,1.925,-0.766,0.407,0.056,0.405,-0.186,0.916,0.392,1.565,0.459,-0.117,0.168,-0.518,1.0,0.484
18,-0.176,-0.342,1.027,0.414,-1.581,-0.371,2.671,-1.507,0.835,-0.302,0.21,0.101,0.47,0.65,1.337,0.329,-0.092,0.288,-0.396,1.0,0.825
19,-0.109,0.044,1.93,0.99,-2.498,-0.08,2.444,-1.934,-0.05,0.201,-0.031,-0.293,0.606,0.408,2.572,0.62,-0.715,0.507,-0.202,1.0,0.776
20,-0.14,-0.116,1.819,1.128,-2.566,-0.203,2.678,-2.035,0.233,0.407,-0.169,-0.341,0.692,0.313,2.427,0.66,-1.021,0.78,-0.364,1.0,0.904
21,-0.406,-0.305,1.062,0.477,-1.538,-0.09,2.859,-1.529,0.567,-0.152,0.371,0.03,0.713,0.776,1.406,0.305,-0.315,0.448,-0.543,1.0,0.572
22,-0.061,0.101,2.082,1.292,-2.841,-0.404,3.105,-2.487,0.181,0.187,-0.155,-0.379,0.429,0.373,2.674,0.533,-1.164,0.987,0.161,1.0,0.848
23,-0.133,-0.32,0.952,0.409,-1.565,-0.043,2.808,-1.29,0.782,0.039,0.181,-0.212,0.776,0.205,1.175,0.663,-0.313,0.489,-0.398,1.0,0.514
24,-0.247,-0.23,1.463,0.503,-1.994,-0.293,2.055,-1.501,0.343,-0.101,-0.13,0.074,0.373,0.486,1.688,0.556,-0.356,0.163,-0.462,1.0,0.497
25,-1.819,-0.209,1.645,0.997,-2.79,-0.235,1.467,-1.836,0.078,0.358,0.315,-0.303,0.339,0.527,2.284,0.472,-1.028,0.523,-0.909,1.0,-0.917
26,-0.41,-0.266,1.716,0.822,-2.454,-0.276,3.08,-2.319,0.73,0.301,-0.184,-0.28,0.299,0.264,2.058,0.54,-0.642,0.925,-0.651,1.0,0.191
27,-0.14,-0.056,1.286,0.614,-2.007,-0.053,2.844,-1.658,0.49,0.263,0.152,-0.212,0.621,0.58,1.85,0.319,-0.232,0.833,-0.461,1.0,0.657
28,-0.215,-0.224,1.373,0.449,-1.912,0.05,2.955,-1.729,0.589,0.343,0.022,-0.247,0.728,0.442,1.843,0.604,-0.226,0.661,-0.553,1.0,0.62
29,-0.569,-0.211,1.358,0.751,-2.356,-0.114,3.039,-2.043,0.884,0.12,-0.014,-0.247,0.335,0.5,1.968,0.58,-0.507,0.999,-0.561,1.0,0.197
30,-0.212,-0.125,1.665,0.708,-2.227,-0.197,3.255,-2.209,0.602,-0.132,0.365,-0.047,0.342,0.701,2.079,0.27,-0.554,0.564,-0.414,1.0,0.73
31,-0.263,-0.385,1.195,0.524,-1.946,0.04,1.795,-0.821,-0.147,0.038,0.474,-0.307,0.949,0.532,1.554,0.619,-0.3,0.362,-0.351,1.0,0.866
32,-0.601,-0.338,1.187,0.625,-2.14,-0.009,1.572,-1.149,-0.038,0.015,0.343,-0.173,0.685,0.613,1.544,0.387,-0.564,0.125,-0.296,1.0,0.45
33,-0.68,-0.202,1.361,0.553,-2.006,-0.03,2.705,-1.846,0.553,0.205,0.101,-0.222,0.582,0.552,1.678,0.514,-0.334,0.723,-0.614,1.0,0.043
34,-0.45,-0.413,1.071,0.41,-1.9,0.054,2.361,-1.289,0.339,0.103,0.473,-0.351,0.848,0.522,1.38,0.472,-0.203,0.392,-0.592,1.0,0.572
35,-0.146,-0.237,1.182,0.541,-1.806,-0.37,3.001,-1.797,0.842,-0.09,0.223,-0.102,0.49,0.495,1.55,0.393,-0.328,0.587,-0.515,1.0,0.736
36,-0.204,-0.201,1.086,0.442,-1.824,-0.128,2.617,-1.213,0.654,-0.162,0.519,-0.097,0.758,0.669,1.381,0.433,-0.353,0.303,-0.57,1.0,0.796
37,-0.25,-0.264,1.322,0.754,-2.139,0.031,2.43,-1.436,0.485,0.241,0.365,-0.196,0.69,0.315,1.87,0.596,-0.59,0.663,-0.505,1.0,0.459
38,-0.689,-0.378,1.218,0.305,-1.801,0.128,2.727,-1.406,0.511,0.065,0.275,-0.41,0.802,0.201,1.257,0.543,-0.136,0.209,-0.698,1.0,0.242
39,-0.193,-0.441,1.512,0.634,-2.372,0.144,2.667,-1.537,0.51,0.262,0.106,-0.386,0.933,0.32,1.931,0.777,-0.481,0.85,-0.387,1.0,0.387
40,-0.58,-0.219,1.069,0.29,-1.631,-0.08,1.532,-0.855,0.446,-0.139,0.313,0.059,0.509,0.573,1.375,0.488,-0.043,-0.095,-0.441,1.0,0.244
41,-0.156,-0.47,1.222,0.551,-2.048,-0.077,3.087,-1.749,0.642,0.006,0.206,-0.159,0.75,0.512,1.683,0.298,-0.241,0.743,-0.743,1.0,0.707
42,-0.79,-0.379,1.148,0.453,-1.947,-0.148,1.586,-1.409,0.288,-0.209,0.523,-0.03,0.564,0.44,1.18,0.563,-0.484,-0.171,-0.607,1.0,0.122
43,-0.275,-0.468,0.577,-0.105,-0.679,0.132,2.297,-0.592,0.763,-0.202,0.348,-0.328,0.916,0.192,0.7,0.677,0.265,-0.007,-0.563,1.0,0.382
44,0.176,-0.434,1.043,0.485,-1.094,-0.096,1.983,-1.026,0.439,-0.268,0.207,0.02,0.554,0.292,1.211,0.566,-0.041,0.133,-0.352,1.0,0.977
45,-0.389,-0.22,0.983,0.233,-1.328,0.157,2.84,-1.32,0.887,-0.108,0.299,-0.138,0.885,0.458,1.222,0.595,-0.007,0.412,-0.416,1.0,0.436
46,-0.224,-0.094,1.083,0.476,-1.799,-0.086,2.544,-1.309,0.61,-0.151,0.408,-0.064,0.613,0.695,1.314,0.329,-0.42,0.294,-0.394,1.0,0.712
47,-0.719,-0.205,1.282,0.608,-2.204,0.122,2.752,-1.942,0.764,-0.344,0.62,-0.244,0.743,0.473,1.464,0.426,-0.22,0.049,-0.548,1.0,0.054
48,-0.409,-0.393,0.771,0.254,-1.305,-0.145,2.41,-1.25,0.458,-0.133,0.293,0.001,0.655,0.341,1.13,0.443,-0.088,0.395,-0.811,1.0,0.612
49,0.028,0.06,1.309,0.516,-1.536,-0.183,2.394,-1.262,0.273,-0.141,0.167,0.022,0.379,0.766,1.636,0.384,-0.064,0.277,-0.465,1.0,0.892
50,-0.429,-0.475,1.215,0.524,-1.931,-0.217,2.858,-1.964,0.803,-0.125,0.335,-0.128,0.231,0.694,1.653,0.413,-0.197,0.404,-0.64,1.0,0.327
51,-0.516,-0.282,1.324,0.541,-2.126,-0.206,2.548,-1.689,0.554,0.081,0.227,-0.232,0.522,0.578,1.714,0.416,-0.433,0.449,-0.606,1.0,0.559
52,-0.303,0.249,2.162,1.47,-2.923,-0.196,2.084,-2.168,-0.059,0.697,-0.196,-0.337,0.637,0.292,3.162,0.473,-1.392,0.912,0.073,1.0,0.343
53,-0.315,-0.187,1.594,0.903,-2.549,-0.105,2.325,-1.617,0.421,-0.038,0.155,-0.143,0.615,0.492,2.101,0.341,-0.749,0.558,-0.078,1.0,0.668
54,-0.2,0.163,2.29,1.401,-2.656,-0.357,1.448,-1.738,-0.266,0.282,-0.067,-0.111,0.422,0.559,2.985,0.338,-1.328,0.541,0.084,1.0,0.612
55,-0.488,-0.09,1.537,0.948,-2.372,-0.068,2.423,-1.633,0.508,-0.051,0.506,-0.119,0.745,0.451,2.217,0.409,-0.766,0.347,-0.304,1.0,0.539
56,-0.132,-0.529,0.622,0.056,-0.771,0.087,2.755,-1.157,0.98,-0.142,0.371,-0.025,0.727,0.25,0.816,0.642,0.308,0.339,-0.887,1.0,0.58
57,-0.206,-0.42,1.195,0.339,-1.751,-0.096,3.109,-1.72,0.902,-0.137,0.115,-0.245,0.545,0.328,1.513,0.493,-0.048,0.47,-0.51,1.0,0.443
58,-0.504,-0.224,1.43,0.717,-2.226,-0.136,2.272,-1.598,0.256,0.345,0.118,-0.276,0.624,0.336,1.945,0.665,-0.577,0.555,-0.301,1.0,0.369
59,-0.113,-0.194,1.546,0.842,-2.118,0.057,2.741,-1.876,0.619,0.115,0.064,-0.15,0.731,0.283,2.017,0.659,-0.712,0.659,-0.159,1.0,0.506
60,-0.41,-0.36,1.522,0.811,-2.395,-0.059,2.496,-1.549,0.285,0.167,0.224,-0.301,0.968,0.455,1.908,0.549,-0.778,0.488,-0.489,1.0,0.904
61,-1.145,-0.323,0.845,-0.004,-1.163,-0.089,1.415,-0.734,0.318,-0.155,0.244,-0.19,0.79,0.463,1.018,0.596,0.366,-0.269,-0.83,1.0,-0.1
62,-0.521,-0.265,1.532,0.843,-2.541,-0.112,2.669,-1.776,0.505,0.253,0.102,-0.499,0.763,0.316,2.009,0.423,-0.618,0.675,-0.43,1.0,0.209
63,-0.569,-0.207,1.241,0.607,-2.098,-0.04,3.194,-1.807,0.827,-0.128,0.347,-0.21,0.647,0.471,1.654,0.495,-0.442,0.637,-0.516,1.0,0.284
64,-0.775,-0.258,1.39,0.672,-2.287,0.008,2.618,-1.949,0.832,-0.02,-0.055,-0.284,0.509,0.388,1.882,0.604,-0.514,0.586,-0.615,1.0,-0.048
65,-0.209,-0.37,0.615,-0.123,-0.477,0.048,3.415,-1.248,0.829,-0.023,0.477,-0.27,0.805,0.471,0.674,0.502,0.688,0.661,-0.635,0.0,0.923
66,-0.118,-0.467,0.923,0.25,-1.509,-0.099,3.561,-1.776,0.878,-0.051,0.217,-0.145,0.572,0.374,1.123,0.513,-0.101,0.642,-0.612,0.0,0.597
67,-0.788,-0.422,1.24,0.406,-2.022,-0.004,3.204,-2.112,0.956,-0.05,0.288,-0.253,0.657,0.429,1.406,0.528,-0.296,0.69,-0.743,0.0,0.121
68,-0.765,-0.397,0.826,0.07,-1.009,0.084,3.183,-1.403,0.927,-0.389,0.637,-0.104,0.864,0.517,0.887,0.475,0.121,0.566,-0.78,0.0,0.521
69,-0.623,-0.382,0.535,-0.148,-0.859,-0.089,3.243,-1.365,1.46,-0.232,0.525,-0.069,0.489,0.402,0.695,0.457,0.622,0.573,-0.867,0.0,-0.039
70,-0.215,-0.115,1.089,0.576,-1.949,0.077,4.088,-2.387,1.333,-0.229,0.203,-0.203,0.78,0.349,1.509,0.461,-0.442,0.927,-0.589,0.0,0.806
71,-0.477,-0.038,1.394,0.879,-2.408,-0.38,3.43,-2.371,0.971,-0.133,0.078,-0.177,0.521,0.439,1.844,0.397,-0.788,0.776,-0.491,0.0,0.387
72,-0.515,-0.185,1.135,0.502,-2.066,0.134,3.602,-1.876,0.871,-0.092,0.32,-0.307,0.792,0.463,1.407,0.428,-0.216,0.888,-0.641,0.0,0.308
73,-0.227,-0.145,1.614,0.949,-2.391,-0.406,4.036,-2.891,1.008,0.247,0.035,-0.082,0.335,0.276,2.313,0.597,-0.733,1.052,-0.26,0.0,0.517
74,-0.992,-0.377,0.865,0.113,-1.134,-0.016,3.435,-1.852,1.098,-0.167,0.511,-0.212,0.824,0.446,0.866,0.454,0.227,0.538,-0.73,0.0,0.1
75,-0.599,-0.196,1.365,0.532,-1.953,-0.035,3.303,-2.051,0.606,0.143,0.369,-0.416,0.94,0.416,1.537,0.497,-0.164,0.798,-0.636,0.0,0.499
76,-0.656,0.011,1.383,0.683,-2.347,0.001,3.559,-2.067,0.863,0.143,0.269,-0.293,0.899,0.571,1.882,0.509,-0.543,1.03,-0.662,0.0,0.597
77,-0.744,-0.32,1.004,0.405,-1.945,0.103,3.27,-1.7,0.924,0.077,0.4,-0.122,0.773,0.308,1.422,0.718,-0.079,0.806,-0.709,0.0,0.179
78,-0.389,-0.557,0.617,0.041,-0.772,0.099,3.746,-1.557,1.223,-0.256,0.386,-0.197,0.82,0.182,0.732,0.515,0.351,0.708,-0.664,0.0,0.319
79,-0.474,-0.356,0.942,0.264,-1.109,-0.033,2.922,-1.622,0.579,0.002,0.508,-0.116,0.713,0.557,1.01,0.505,-0.077,0.678,-0.695,0.0,0.475
80,-0.537,-0.216,1.347,0.765,-2.236,-0.29,3.69,-2.247,1.31,-0.056,0.26,-0.059,0.632,0.215,2.042,0.501,-0.468,0.769,-0.532,0.0,0.466
81,-0.784,-0.307,1.56,0.767,-2.358,-0.263,3.53,-2.46,1.034,-0.163,0.145,-0.026,0.477,0.545,1.955,0.329,-0.782,0.525,-0.653,0.0,0.357
82,-0.729,0.009,1.746,1.025,-2.876,-0.124,3.476,-2.796,0.875,0.318,0.116,-0.348,0.426,0.607,2.253,0.316,-1.103,1.034,-0.556,0.0,0.168
83,-0.738,-0.463,0.901,0.263,-1.444,0.013,3.141,-1.751,0.935,0.092,0.302,-0.208,0.601,0.373,1.291,0.566,0.02,0.698,-0.773,0.0,0.328
84,-0.798,-0.792,0.439,-0.347,0.109,-0.046,3.198,-1.175,1.391,-0.418,0.814,-0.003,0.714,0.37,0.308,0.508,0.811,0.172,-0.878,0.0,0.125
85,-0.416,-0.45,0.987,0.118,-1.523,0.046,3.09,-1.648,0.865,0.16,0.135,-0.328,0.69,0.348,1.239,0.618,0.039,0.704,-0.662,0.0,0.182
86,-0.389,-0.392,0.814,0.097,-1.112,0.167,3.44,-1.622,1.218,-0.148,0.409,-0.149,0.903,0.401,0.88,0.589,0.294,0.632,-0.726,0.0,0.646
87,-0.861,-0.158,1.444,0.506,-2.297,-0.042,4.134,-2.668,1.202,-0.123,0.387,-0.226,0.628,0.632,1.602,0.264,-0.389,0.901,-0.718,0.0,0.219
88,-0.632,-0.11,1.633,0.863,-2.341,-0.368,3.619,-2.514,0.855,0.303,-0.012,-0.219,0.456,0.453,2.092,0.623,-0.589,1.007,-0.631,0.0,0.571
89,-0.477,-0.25,1.897,1.17,-2.961,-0.236,3.767,-2.638,0.665,0.489,0.158,-0.483,0.698,0.449,2.53,0.308,-1.33,1.261,-0.432,0.0,0.726
90,-0.59,-0.418,0.918,0.061,-1.103,0.098,2.87,-1.306,0.771,-0.289,0.363,-0.043,0.759,0.581,0.827,0.542,0.349,0.219,-0.654,0.0,0.499
91,-0.328,-0.426,1.001,-0.021,-0.978,0.269,3.184,-1.312,0.816,-0.161,0.334,-0.14,1.098,0.296,0.98,0.511,0.451,0.297,-0.648,0.0,0.737
92,-0.774,-0.205,1.335,0.703,-2.194,-0.125,3.246,-2.283,0.814,0.135,0.188,-0.185,0.653,0.679,1.806,0.553,-0.497,0.861,-0.759,0.0,0.344
93,-0.073,-0.178,1.079,0.29,-1.46,-0.167,3.328,-1.691,0.641,0.099,0.185,-0.205,0.672,0.792,1.49,0.333,0.224,0.84,-0.622,0.0,1.053
94,-0.279,-0.111,1.452,0.29,-1.769,-0.129,4.012,-2.252,1.024,-0.154,0.172,-0.141,0.761,0.363,1.676,0.405,-0.051,1.029,-0.375,0.0,0.633
95,-0.291,-0.316,1.019,0.297,-1.486,0.133,2.871,-1.631,0.871,-0.209,0.433,-0.116,0.55,0.673,1.01,0.219,0.021,0.256,-0.583,0.0,0.211
96,-0.612,-0.538,0.426,-0.216,-0.084,-0.01,2.665,-1.034,1.265,-0.191,0.533,0.01,0.693,0.367,0.423,0.479,0.792,0.049,-0.769,0.0,0.141
97,-0.386,-0.425,1.347,0.635,-1.993,-0.174,3.698,-2.236,0.877,0.094,0.141,-0.222,0.637,0.681,1.547,0.331,-0.523,0.877,-0.531,0.0,0.769
98,-0.439,-0.017,1.913,0.929,-2.593,0.007,3.572,-2.382,0.818,0.539,-0.117,-0.453,0.469,0.375,2.3,0.55,-0.736,1.26,-0.511,0.0,0.171
99,-0.584,-0.616,0.808,0.303,-1.287,-0.12,3.39,-1.838,1.387,-0.021,0.242,0.075,0.599,0.278,1.109,0.564,-0.061,0.635,-0.675,0.0,0.327
100,-0.466,-0.419,1.087,0.122,-1.491,0.244,3.764,-1.745,1.151,0.019,0.38,-0.304,0.728,0.513,1.038,0.441,0.023,0.832,-0.417,0.0,0.472
101,-0.581,-0.495,0.759,-0.054,-0.775,0.022,2.884,-1.394,1.165,-0.344,0.229,-0.054,0.584,0.197,0.774,0.644,0.737,0.291,-0.825,0.0,-0.165
102,-0.087,-0.325,1.146,0.436,-1.645,-0.122,3.167,-1.567,0.842,0.035,0.178,-0.019,0.657,0.279,1.527,0.666,0.115,0.754,-0.724,0.0,0.652
103,-0.613,-0.468,0.247,-0.395,0.388,0.12,3.299,-0.938,1.057,-0.41,0.906,-0.097,0.963,0.663,0.089,0.366,1.019,0.149,-0.621,0.0,0.545
104,-1.043,-0.576,0.543,-0.134,-0.797,-0.038,3.857,-1.841,1.408,-0.228,0.537,-0.31,0.638,0.413,0.736,0.449,0.558,0.672,-0.947,0.0,0.032
105,-0.426,-0.047,1.108,0.325,-1.79,0.248,3.34,-1.935,0.783,-0.013,0.384,-0.267,0.865,0.58,1.436,0.267,-0.08,0.53,-0.811,0.0,0.694
106,-0.379,-0.367,1.095,0.319,-1.534,-0.107,2.991,-1.709,0.706,-0.101,0.288,-0.159,0.521,0.558,1.225,0.544,0.173,0.613,-0.776,0.0,0.59
107,-0.583,0.019,1.406,0.786,-2.533,-0.146,3.462,-2.259,0.962,0.233,0.363,-0.215,0.566,0.535,1.892,0.489,-0.611,1.172,-0.654,0.0,0.216
108,-0.619,0.047,1.589,0.865,-2.458,-0.338,3.569,-2.689,0.759,0.005,0.094,-0.081,0.409,0.713,2.084,0.413,-0.812,0.866,-0.467,0.0,0.379
109,-0.791,-0.218,0.886,0.309,-1.376,0.069,3.077,-1.633,1.079,-0.359,0.718,-0.057,0.783,0.749,1.15,0.433,0.057,0.338,-0.813,0.0,0.335
110,-0.645,-0.361,0.674,-0.182,-0.539,0.235,2.797,-1.18,0.964,-0.353,0.537,-0.013,1.023,0.361,0.808,0.591,0.763,0.179,-0.901,0.0,0.246
111,-0.273,-0.183,1.236,0.315,-1.689,-0.007,3.197,-1.682,0.689,0.275,0.054,-0.31,0.565,0.364,1.571,0.533,-0.122,0.762,-0.578,0.0,0.381
112,-0.587,-0.304,1.254,0.691,-2.221,-0.162,3.852,-2.469,0.908,0.105,0.419,-0.116,0.545,0.588,1.897,0.267,-0.522,0.972,-0.569,0.0,0.496
113,-0.729,-0.369,1.043,0.196,-1.199,0.132,3.429,-1.776,0.942,-0.415,0.568,-0.024,0.995,0.623,1.07,0.465,0.086,0.27,-0.61,0.0,0.509
114,-0.396,-0.587,0.994,0.25,-1.827,0.08,3.194,-1.647,0.602,-0.031,0.307,-0.237,0.669,0.671,1.472,0.421,0.039,0.584,-0.637,0.0,0.522
115,-0.444,-0.127,1.316,0.674,-2.13,-0.162,3.421,-2.077,0.815,0.189,-0.221,-0.227,0.65,0.317,1.658,0.604,-0.334,0.893,-0.912,0.0,0.489
116,-0.933,-0.176,1.74,0.975,-2.466,-0.134,3.759,-2.669,0.832,0.076,0.336,-0.185,0.764,0.615,2.206,0.473,-1.115,0.907,-0.713,0.0,0.44
117,-0.233,-0.427,0.823,0.244,-1.228,-0.006,3.367,-1.509,1.254,-0.069,0.412,-0.037,0.633,0.391,1.08,0.449,-0.125,0.606,-0.704,0.0,0.651
118,-0.352,-0.088,1.374,0.64,-2.404,-0.207,3.292,-2.122,0.666,0.373,0.21,-0.373,0.473,0.393,1.727,0.674,-0.612,0.997,-0.446,0.0,0.535
119,-0.48,-0.344,0.86,0.023,-0.864,0.112,2.811,-1.397,0.937,-0.258,0.445,0.062,0.632,0.468,0.858,0.573,0.604,0.25,-0.566,0.0,0.107
120,-0.679,-0.182,1.63,0.836,-2.402,0.074,3.468,-2.436,0.643,0.221,0.23,-0.208,0.768,0.534,2.148,0.365,-0.855,0.806,-0.491,0.0,0.426
121,-0.085,-0.376,1.235,0.526,-1.584,-0.028,3.322,-1.86,0.819,-0.092,0.002,-0.064,0.72,0.358,1.399,0.53,-0.517,0.643,-0.28,0.0,0.945
122,-0.305,-0.523,1.17,0.458,-1.939,-0.11,3.047,-1.853,0.687,-0.166,0.189,-0.361,0.427,0.769,1.473,0.273,-0.339,0.377,-0.66,0.0,0.605
123,-1.232,-0.522,1.112,0.271,-1.494,0.212,2.908,-1.984,1.03,-0.161,0.326,-0.101,0.748,0.531,1.204,0.407,-0.081,0.284,-0.878,0.0,-0.29
124,-0.229,-0.471,0.924,0.246,-1.408,0.089,3.163,-1.584,0.673,0.092,0.377,-0.016,0.831,0.655,1.259,0.566,0.131,0.673,-0.871,0.0,0.903
125,-0.011,-0.475,0.958,0.158,-1.046,-0.094,3.285,-1.087,0.96,-0.247,0.088,-0.134,0.866,0.448,1.127,0.419,0.141,0.558,-0.583,0.0,1.065
126,-0.098,-0.547,0.493,-0.285,-0.269,0.367,2.747,-0.712,0.579,-0.185,0.672,-0.275,0.867,0.648,0.467,0.332,0.682,0.198,-0.694,0.0,0.73
127,-0.188,-0.397,0.822,-0.127,-0.638,0.127,2.621,-0.95,0.577,-0.126,0.73,-0.078,0.962,0.699,0.725,0.505,0.707,0.241,-0.798,0.0,0.885
128,-0.705,-0.304,0.972,0.159,-1.275,0.09,3.397,-1.871,1.135,-0.168,0.674,-0.114,0.788,0.502,1.013,0.429,-0.014,0.548,-0.792,0.0,0.306
129,-0.761,-0.199,1.025,0.41,-1.948,-0.22,3.217,-1.991,0.925,-0.057,0.522,-0.05,0.459,0.663,1.547,0.413,-0.251,0.583,-0.964,0.0,0.363
130,-0.033,-0.351,1.0,0.303,-1.069,-0.097,3.313,-1.779,1.009,0.069,0.087,-0.033,0.516,0.481,1.112,0.41,0.084,0.71,-0.737,0.0,0.658
131,-0.166,-0.186,1.378,0.581,-1.863,0.003,3.303,-1.993,0.765,-0.004,0.049,-0.173,0.578,0.262,1.411,0.623,-0.472,0.615,-0.521,0.0,0.689
132,-0.327,-0.276,0.865,0.058,-1.126,0.346,3.337,-1.414,0.896,-0.004,0.408,-0.258,0.901,0.672,0.952,0.474,0.339,0.814,-0.502,0.0,0.463
133,-0.811,-0.275,1.623,0.735,-2.11,-0.196,3.385,-2.42,1.184,0.144,0.401,-0.104,0.643,0.414,2.049,0.551,-0.378,0.8,-0.664,0.0,0.055
134,-0.216,-0.424,0.742,-0.017,-0.616,0.117,3.189,-1.351,0.949,-0.343,0.598,0.006,0.793,0.603,0.636,0.523,0.346,0.538,-0.636,0.0,0.804
135,-0.07,-0.515,0.747,-0.013,-0.813,0.085,3.721,-1.15,0.912,-0.333,0.268,-0.088,1.02,0.42,0.812,0.53,0.46,0.522,-0.694,0.0,0.927
136,-0.27,-0.269,1.131,0.63,-1.985,0.166,3.549,-1.897,0.738,0.086,0.136,-0.407,0.732,0.285,1.587,0.59,-0.668,0.813,-0.672,0.0,0.5
137,-0.852,-0.163,1.022,0.308,-1.935,-0.026,3.562,-2.186,1.259,-0.046,0.3,-0.146,0.319,0.601,1.565,0.516,-0.322,0.866,-0.901,0.0,-0.128
138,-0.301,-0.123,1.449,0.694,-2.117,0.058,4.441,-2.417,1.192,-0.075,0.142,-0.185,0.876,0.29,1.93,0.352,-0.233,1.016,-0.658,0.0,0.829
139,-0.517,0.001,1.032,0.359,-1.607,-0.038,3.193,-1.708,0.613,0.043,0.413,-0.231,0.744,0.773,1.31,0.271,-0.231,0.679,-0.607,0.0,0.759
140,-0.255,-0.146,1.49,0.766,-2.588,-0.111,3.465,-2.287,0.989,0.098,0.065,-0.406,0.586,0.348,1.72,0.507,-0.772,0.741,-0.492,0.0,0.328
141,-0.824,-0.278,1.197,0.413,-1.609,-0.033,3.137,-2.077,1.053,-0.278,0.641,0.053,0.689,0.594,1.271,0.517,-0.158,0.541,-0.708,0.0,0.255
142,-0.561,-0.092,0.981,0.18,-1.517,0.135,3.531,-1.611,1.07,0.122,0.112,-0.518,0.868,0.185,1.001,0.431,-0.022,0.642,-0.646,0.0,0.19
143,-0.561,-0.471,1.269,0.309,-1.652,-0.078,3.276,-1.549,1.082,0.125,0.408,-0.223,0.615,0.323,1.342,0.658,-0.073,0.682,-0.788,0.0,0.227
144,0.354,-0.476,0.992,0.219,-1.187,-0.036,3.706,-1.486,0.874,-0.019,0.175,-0.146,0.848,0.451,1.304,0.522,0.083,0.685,-0.781,0.0,1.326
145,-0.237,-0.204,1.466,0.755,-2.451,-0.223,3.857,-2.431,1.012,0.098,-0.078,-0.23,0.403,0.477,1.967,0.365,-0.602,0.867,-0.334,0.0,0.614
146,-0.592,-0.345,0.797,0.092,-1.153,0.022,3.071,-1.47,0.936,-0.132,0.414,-0.208,0.711,0.593,0.919,0.541,0.17,0.596,-0.82,0.0,0.184
