x0,x1,x2,x3,x4,x5,x6,x7,y,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
-8.125,-4.089,0.115,4.97,-0.638,2.831,0.665,4.467,1.0,-1.093,-3.125,-0.785,1.22,1.777,-0.338,0.407,2.018,0.305,1.519,0.782,2.892
-7.417,-4.958,0.277,4.013,-0.487,2.245,0.692,4.658,1.0,-0.815,-2.438,-0.42,1.103,1.405,-0.228,0.521,1.703,0.259,1.537,0.811,2.631
-7.081,-3.95,0.217,4.047,-0.469,2.433,0.851,4.157,1.0,-0.748,-2.36,-0.694,1.333,1.383,-0.156,0.561,1.53,0.094,1.472,0.72,2.808
-6.884,-4.353,0.018,3.884,-0.663,2.291,0.804,4.541,1.0,-0.719,-2.469,-0.283,1.625,1.513,-0.079,0.643,1.413,0.231,1.582,0.915,2.509
-6.702,-3.41,0.329,3.771,-0.571,2.225,1.008,3.713,1.0,-0.774,-2.381,-0.356,1.283,1.224,-0.136,0.463,1.539,0.269,1.391,0.808,2.457
-7.811,-3.081,0.49,4.486,-0.38,2.366,0.899,3.56,1.0,-0.755,-2.623,-0.481,1.004,1.223,-0.196,0.589,1.581,0.195,1.387,0.8,3.027
-7.074,-3.504,0.43,4.181,-0.459,2.454,0.521,3.808,1.0,-1.16,-2.188,-0.829,0.882,1.506,-0.243,0.372,1.497,0.097,1.388,0.419,2.761
-8.211,-4.535,0.329,4.874,-0.523,2.603,0.335,4.443,1.0,-1.06,-2.957,-0.887,0.896,1.888,-0.589,0.841,1.695,0.104,1.564,0.775,2.932
-6.957,-3.202,0.312,4.1,-0.657,2.465,0.738,3.675,1.0,-0.816,-2.528,-0.52,1.182,1.454,-0.281,0.529,1.641,0.071,1.275,0.422,2.8
-5.926,-3.287,0.168,3.6,-0.609,2.1,0.506,3.611,1.0,-1.094,-2.187,-0.715,1.181,1.518,-0.169,0.573,1.573,0.363,1.444,0.962,2.326
-6.825,-3.972,0.427,3.77,-0.478,2.124,1.146,3.971,1.0,-0.739,-2.159,-0.597,1.105,1.196,-0.101,0.575,1.549,0.097,1.532,0.764,2.707
-6.881,-3.167,0.147,4.175,-0.442,2.175,0.652,3.67,1.0,-0.89,-2.59,-0.321,1.38,1.333,-0.072,0.623,1.989,0.485,1.639,0.593,2.653
-8.168,-4.271,0.163,4.538,-0.632,2.576,0.525,4.461,1.0,-1.024,-2.698,-0.327,1.089,1.53,-0.487,0.361,1.93,0.473,1.45,0.758,2.974
-8.455,-3.616,0.262,5.064,-0.549,2.522,0.56,3.819,1.0,-1.095,-3.166,-0.45,1.206,1.366,-0.327,0.627,1.788,0.217,1.421,0.735,3.22
-8.203,-4.149,0.512,4.606,-0.49,2.587,0.681,4.129,1.0,-0.926,-2.456,-0.425,1.168,1.243,-0.248,0.646,1.483,0.099,1.449,0.55,3.107
-8.732,-5.517,0.371,4.839,-0.455,2.456,1.031,5.204,1.0,-0.689,-2.983,-0.501,0.915,1.429,-0.352,0.693,1.584,0.169,1.375,0.556,3.036
-6.993,-3.271,0.411,3.922,-0.338,2.047,1.229,3.481,1.0,-0.595,-1.971,-0.667,1.033,1.176,-0.043,0.301,1.233,0.076,1.591,0.356,2.754
-7.388,-4.556,0.291,3.971,-0.491,2.217,0.797,4.504,1.0,-0.632,-2.693,-0.497,1.219,1.541,-0.328,0.637,1.492,0.304,1.252,0.855,2.731
-8.839,-3.816,0.233,5.483,-0.483,2.609,0.972,4.067,1.0,-0.931,-3.383,-0.536,1.295,1.33,-0.124,0.476,1.88,0.006,1.26,0.494,3.139
-6.817,-2.14,-0.008,4.199,-0.649,2.496,0.835,3.032,1.0,-0.653,-2.476,0.107,1.512,0.832,0.23,0.417,1.733,0.079,1.502,0.627,2.681
-8.502,-4.715,0.354,4.755,-0.408,2.262,1.025,4.712,1.0,-0.887,-3.026,-0.504,0.959,1.232,-0.383,0.59,1.571,0.12,1.608,0.861,2.784
-7.221,-4.111,0.318,4.285,-0.337,2.153,1.078,4.063,1.0,-0.972,-2.61,-0.455,1.205,1.284,-0.113,0.568,1.646,0.195,1.419,0.492,2.645
-7.45,-3.952,0.396,4.256,-0.519,2.288,0.516,4.183,1.0,-0.92,-2.484,-0.761,1.057,1.65,-0.414,0.586,1.557,0.133,1.471,0.608,2.803
-6.793,-4.016,0.582,3.794,-0.31,2.095,1.53,4.362,1.0,-0.514,-2.277,-0.825,1.037,1.265,-0.036,0.558,1.749,0.352,1.369,0.543,2.564
-8.784,-4.459,0.397,4.81,-0.483,2.338,0.775,4.674,1.0,-0.912,-2.616,-0.506,1.16,1.458,-0.219,0.479,1.407,0.139,1.313,0.72,3.098
-6.338,-3.223,0.227,3.577,-0.473,2.058,0.786,3.526,1.0,-0.647,-2.073,-0.303,1.187,1.084,-0.033,0.481,1.479,0.183,1.472,0.683,2.56
-5.699,-3.86,0.305,3.123,-0.638,2.11,0.531,4.227,1.0,-0.669,-1.765,-0.817,1.037,1.408,-0.141,0.564,1.555,0.206,1.432,0.537,2.186
-7.861,-4.426,0.239,4.355,-0.574,2.41,1.106,4.638,1.0,-0.756,-2.612,-0.222,1.515,1.116,0.289,0.44,1.575,0.238,1.553,0.737,2.817
-7.077,-2.878,0.467,4.23,-0.362,2.454,0.65,3.319,1.0,-0.827,-2.18,-0.774,0.9,1.353,-0.058,0.541,1.676,0.27,1.334,0.65,2.797
-8.493,-4.469,0.422,4.85,-0.539,2.479,0.608,4.612,1.0,-0.76,-2.86,-0.585,0.981,1.52,-0.402,0.549,1.782,0.208,1.518,0.534,3.157
-7.316,-4.561,0.725,3.865,-0.428,2.177,1.016,4.454,1.0,-0.714,-1.858,-0.833,0.916,1.4,-0.213,0.504,1.521,0.11,1.706,0.323,2.849
-7.314,-4.417,0.15,4.25,-0.647,2.273,0.444,4.49,1.0,-1.099,-2.554,-0.626,1.308,1.682,-0.174,0.557,1.605,0.389,1.419,0.588,2.568
-6.261,-2.306,0.279,3.581,-0.685,2.421,0.721,2.936,1.0,-0.676,-2.148,-0.088,1.365,0.878,0.026,0.434,1.438,-0.008,1.767,0.743,2.598
-6.968,-4.188,0.226,3.977,-0.608,2.387,0.914,4.445,1.0,-0.751,-2.481,-0.679,1.328,1.554,-0.253,0.698,1.446,0.132,1.162,0.691,2.649
-7.794,-5.029,0.294,4.348,-0.567,2.452,0.759,4.862,1.0,-0.88,-2.464,-0.506,1.206,1.585,-0.197,0.65,1.538,0.009,1.476,0.474,2.595
-7.602,-3.585,0.266,4.539,-0.669,2.675,0.595,4.037,1.0,-0.821,-2.764,-0.59,1.216,1.405,-0.252,0.574,1.462,-0.012,1.455,0.491,2.714
-7.464,-4.309,0.182,4.403,-0.548,2.482,0.651,4.472,1.0,-0.836,-2.731,-0.582,1.297,1.769,-0.429,0.603,1.219,-0.055,1.406,0.676,2.759
-8.326,-3.854,0.311,4.683,-0.576,2.673,0.121,4.037,1.0,-1.096,-2.866,-0.927,0.768,1.758,-0.697,0.657,1.882,0.323,1.357,0.77,3.025
-6.96,-4.478,0.395,3.971,-0.546,2.284,0.352,4.479,1.0,-0.639,-1.884,-0.77,0.922,1.454,-0.348,0.475,1.501,0.044,1.53,0.405,2.626
-6.474,-3.558,0.25,3.706,-0.522,2.11,0.568,3.669,1.0,-0.807,-2.332,-0.624,0.964,1.249,-0.192,0.628,1.631,0.41,1.577,0.752,2.323
-7.229,-3.611,0.643,4.199,-0.193,2.111,1.368,3.722,1.0,-0.691,-2.235,-0.423,1.049,1.094,-0.032,0.495,1.663,0.123,1.567,0.785,2.816
-7.353,-3.74,0.018,4.391,-0.667,2.472,0.373,4.003,1.0,-1.075,-2.6,-0.434,1.291,1.489,-0.348,0.372,1.516,0.013,1.19,0.487,2.647
-6.255,-3.797,0.112,3.557,-0.543,2.151,0.717,4.007,1.0,-0.924,-1.984,-0.354,1.538,1.44,0.09,0.536,1.433,-0.037,1.445,0.556,2.373
-6.394,-3.7,0.374,3.548,-0.362,2.175,0.644,3.95,1.0,-0.846,-1.988,-0.599,0.971,1.514,-0.427,0.549,1.518,0.146,1.613,0.752,2.412
-8.796,-3.921,0.04,5.008,-0.642,2.752,0.824,4.224,1.0,-1.038,-3.261,-0.319,1.337,1.197,-0.262,0.481,1.352,0.05,1.263,0.789,3.224
-7.497,-2.767,0.229,4.448,-0.581,2.562,0.789,3.41,1.0,-0.908,-2.508,-0.213,1.257,1.059,-0.139,0.49,1.518,0.136,1.586,0.578,2.822
-7.797,-3.341,0.373,4.711,-0.484,2.492,0.67,3.673,1.0,-1.008,-3.064,-0.462,1.056,1.438,-0.284,0.863,1.645,0.286,1.715,0.737,2.824
-6.928,-4.159,0.238,4.036,-0.664,2.277,0.713,4.403,1.0,-0.909,-2.307,-0.544,1.272,1.32,-0.018,0.464,1.807,0.331,1.482,0.471,2.242
-6.467,-3.596,0.314,3.549,-0.524,1.955,0.86,3.771,1.0,-0.614,-1.914,-0.246,1.242,1.031,-0.159,0.561,1.376,0.14,1.457,0.507,2.394
-6.572,-3.69,0.224,3.735,-0.651,2.162,0.396,3.945,1.0,-0.863,-2.139,-0.7,1.241,1.698,-0.113,0.774,1.409,0.194,1.205,0.859,2.452
-7.878,-4.161,0.234,4.61,-0.525,2.555,0.508,4.13,1.0,-1.063,-2.813,-0.762,0.909,1.543,-0.505,0.496,1.771,0.334,1.474,0.796,2.964
-7.897,-2.657,0.142,4.885,-0.541,2.655,0.572,3.197,1.0,-0.852,-3.08,-0.212,1.303,1.064,-0.178,0.628,1.48,-0.052,1.643,0.718,2.993
-6.688,-4.232,0.537,3.903,-0.407,2.075,0.836,4.268,1.0,-0.623,-2.142,-0.795,0.936,1.378,-0.085,0.558,1.372,0.206,1.364,0.424,2.415
-8.482,-5.18,0.279,4.728,-0.474,2.585,1.201,4.826,1.0,-0.734,-2.961,-0.295,1.58,1.429,-0.136,0.467,1.547,0.218,1.572,0.671,2.845
-8.038,-4.267,0.413,4.529,-0.319,2.415,0.505,4.149,1.0,-0.801,-2.496,-0.898,0.512,1.51,-0.518,0.46,1.428,0.0,1.481,0.552,2.915
-5.668,-4.324,-0.023,3.083,-0.686,2.123,0.79,4.551,1.0,-0.845,-2.225,-0.591,1.659,1.508,-0.143,0.756,1.732,0.272,1.378,0.857,2.111
-7.828,-2.258,0.402,4.871,-0.501,2.595,0.66,3.006,1.0,-0.731,-2.993,-0.43,0.851,1.169,-0.347,0.54,1.841,0.288,1.461,0.632,3.035
-5.968,-4.327,0.142,3.257,-0.636,2.086,0.285,4.426,1.0,-1.125,-1.85,-0.919,1.144,1.689,-0.213,0.564,1.563,0.116,1.426,0.671,2.355
-7.604,-4.949,0.358,3.958,-0.578,2.314,0.656,4.92,1.0,-0.746,-2.141,-0.614,0.962,1.63,-0.419,0.666,1.671,0.369,1.601,0.619,2.544
-7.32,-5.186,0.303,4.039,-0.429,2.236,0.92,4.996,1.0,-0.77,-2.373,-0.588,1.32,1.435,-0.118,0.593,1.549,0.052,1.289,0.541,2.657
-7.355,-3.586,0.306,4.053,-0.517,2.166,0.596,3.805,1.0,-0.98,-2.377,-0.437,1.072,1.344,-0.38,0.488,1.681,0.204,1.604,0.695,2.649
-6.354,-4.728,0.618,3.291,-0.337,1.887,0.987,4.582,1.0,-0.705,-1.46,-0.812,0.955,1.277,0.132,0.398,1.285,-0.026,1.627,0.272,2.494
-6.564,-3.324,0.137,4.079,-0.563,2.314,1.097,3.666,1.0,-0.789,-2.382,-0.29,1.561,1.107,0.208,0.388,1.766,0.323,1.488,0.601,2.623
-8.207,-4.164,-0.13,4.834,-0.851,2.517,0.616,4.43,0.0,-0.8,-3.121,0.241,2.093,1.407,-0.114,0.279,0.936,0.252,1.121,0.641,2.748
-6.695,-2.934,-0.168,4.112,-0.931,2.541,0.045,3.705,0.0,-1.069,-2.226,-0.222,1.699,1.372,-0.166,0.298,1.018,0.329,1.19,0.668,2.396
-6.215,-3.696,-0.129,3.539,-0.802,2.153,0.473,3.932,0.0,-0.93,-2.149,-0.237,1.663,1.591,-0.47,0.472,1.167,0.236,1.16,0.583,2.128
-7.333,-3.615,-0.093,4.281,-1.001,2.625,-0.216,4.28,0.0,-1.177,-2.559,-0.65,1.265,1.752,-0.468,0.383,0.96,0.216,1.169,0.803,2.668
-7.39,-3.107,0.24,4.394,-0.714,2.553,0.771,3.709,0.0,-0.943,-2.64,-0.249,1.135,1.235,-0.462,0.375,1.178,0.09,1.232,0.484,2.623
-7.15,-3.602,-0.227,4.342,-1.015,2.535,-0.012,4.063,0.0,-1.125,-2.771,-0.305,1.506,1.538,-0.307,0.336,1.099,0.167,1.217,0.937,2.553
-6.725,-4.976,0.21,3.56,-0.714,2.058,0.577,4.587,0.0,-1.114,-2.05,-0.712,1.107,1.534,-0.577,0.315,1.231,0.39,1.046,0.488,2.307
-8.133,-4.138,-0.052,4.957,-0.835,2.827,0.498,4.521,0.0,-0.869,-3.033,-0.289,1.616,1.56,-0.4,0.239,1.099,0.262,1.371,0.838,2.734
-6.561,-3.236,-0.05,4.094,-0.837,2.534,-0.092,3.818,0.0,-1.163,-2.129,-0.809,1.217,1.66,-0.385,0.192,1.016,0.001,1.333,0.656,2.332
-6.073,-4.103,0.255,3.373,-0.792,2.104,0.433,4.348,0.0,-0.92,-1.878,-0.679,1.212,1.586,-0.573,0.346,0.917,0.334,0.993,0.713,2.239
-6.593,-4.097,0.072,3.8,-0.875,2.305,0.112,4.334,0.0,-0.94,-1.979,-0.49,1.382,1.668,-0.594,0.236,0.781,0.192,1.149,0.57,2.537
-7.114,-4.784,0.09,3.733,-0.804,2.34,0.554,4.816,0.0,-1.038,-2.208,-0.369,1.415,1.734,-0.689,0.353,1.018,0.076,1.048,0.405,2.397
-7.825,-2.701,0.098,4.632,-0.904,2.945,0.283,3.476,0.0,-1.08,-2.756,-0.117,1.46,1.27,-0.448,0.297,1.123,0.3,1.219,0.601,2.705
-8.179,-4.045,0.121,4.719,-0.831,2.631,0.336,4.364,0.0,-0.923,-2.672,-0.324,1.528,1.54,-0.677,0.394,1.158,0.152,1.354,0.399,2.765
-6.48,-3.675,0.026,3.687,-0.904,2.594,0.43,4.197,0.0,-0.967,-1.998,-0.279,1.539,1.48,-0.41,0.09,0.877,0.227,1.089,0.629,2.375
-7.112,-4.475,-0.009,3.885,-0.772,2.275,0.375,4.603,0.0,-0.901,-2.29,-0.159,1.451,1.525,-0.37,0.205,0.892,0.124,0.994,0.703,2.448
-8.59,-5.423,0.174,4.657,-0.73,2.648,0.43,5.003,0.0,-0.953,-2.543,-0.643,1.192,1.871,-0.689,0.205,0.888,0.196,1.127,0.488,3.084
-7.135,-4.024,0.194,3.853,-0.807,2.493,0.562,4.43,0.0,-0.967,-2.419,-0.257,1.274,1.426,-0.545,0.307,1.039,0.271,1.141,0.634,2.517
-6.424,-3.674,-0.08,3.741,-0.765,2.494,0.447,4.013,0.0,-0.851,-2.243,-0.153,1.514,1.361,-0.482,0.303,1.132,0.253,0.96,0.545,2.217
-8.086,-4.682,-0.289,4.658,-0.888,2.745,0.157,4.771,0.0,-1.212,-3.033,-0.202,1.611,1.591,-0.346,0.278,1.296,0.409,1.124,0.866,2.546
-6.756,-4.284,-0.241,3.579,-1.154,2.469,-0.063,4.673,0.0,-1.017,-2.307,-0.108,1.721,1.308,-0.175,0.247,1.241,0.427,1.283,0.773,2.24
-7.779,-4.681,0.113,4.498,-0.768,2.59,0.39,4.755,0.0,-0.928,-2.425,-0.654,1.191,1.735,-0.679,0.191,0.907,0.049,1.312,0.66,2.754
-7.605,-4.968,-0.306,4.056,-1.032,2.586,0.159,5.302,0.0,-1.029,-2.445,-0.353,1.804,1.798,-0.466,0.009,1.237,0.295,1.033,0.585,2.427
-6.257,-3.599,-0.001,3.566,-0.775,2.308,0.209,4.131,0.0,-1.147,-1.751,-0.408,1.575,1.58,-0.573,0.095,1.162,0.268,1.146,0.41,2.068
-7.161,-4.374,-0.142,3.898,-0.859,2.387,0.33,4.672,0.0,-0.803,-2.409,-0.465,1.265,1.507,-0.419,0.311,1.033,0.339,0.872,0.932,2.377
-6.236,-3.205,0.12,3.803,-0.798,2.331,0.141,3.768,0.0,-1.04,-1.871,-0.443,1.138,1.545,-0.565,0.315,0.983,0.28,0.992,0.482,2.343
-7.136,-5.025,-0.162,3.829,-1.022,2.533,0.229,5.234,0.0,-1.144,-2.175,-0.293,1.651,1.738,-0.481,0.26,1.179,0.367,0.997,0.665,2.437
-7.874,-4.0,-0.1,4.584,-1.039,2.657,0.322,4.552,0.0,-0.956,-2.858,-0.327,1.718,1.715,-0.507,0.185,1.236,0.303,1.193,0.724,2.858
-5.662,-3.811,0.035,3.007,-0.791,2.07,0.628,4.257,0.0,-1.088,-1.664,-0.262,1.534,1.357,-0.255,0.107,0.929,0.372,0.974,0.516,2.042
-6.5,-3.396,0.111,3.956,-0.711,2.476,0.035,3.719,0.0,-1.125,-2.294,-0.592,0.998,1.651,-0.689,0.368,1.043,0.249,1.236,0.644,2.309
-5.816,-3.632,-0.251,3.681,-0.762,2.237,0.089,4.026,0.0,-1.128,-2.28,-0.635,1.48,1.688,-0.367,0.252,0.919,0.199,1.075,0.855,2.142
-5.922,-3.35,-0.052,3.585,-0.743,2.059,0.073,3.841,0.0,-1.086,-1.852,-0.595,1.278,1.881,-0.786,0.298,0.675,0.141,1.11,0.505,2.031
-6.713,-4.234,-0.152,3.427,-0.967,2.383,-0.079,4.595,0.0,-1.145,-2.037,-0.634,1.393,1.733,-0.619,0.224,1.022,0.291,1.02,0.583,2.449
-7.267,-3.612,0.015,4.159,-0.781,2.646,0.084,4.061,0.0,-1.208,-2.367,-0.374,1.364,1.473,-0.583,0.304,0.923,0.284,1.355,0.613,2.647
-8.593,-3.948,-0.451,5.247,-1.143,3.167,-0.214,4.707,0.0,-1.26,-3.196,-0.026,1.794,1.824,-0.66,0.061,1.254,0.473,1.106,0.764,2.734
-6.22,-3.979,0.02,3.427,-0.779,2.17,0.539,4.328,0.0,-1.047,-1.64,-0.58,1.547,1.579,-0.222,0.239,0.96,0.474,1.098,0.696,2.395
-5.61,-4.345,0.049,2.988,-0.755,2.163,0.438,4.598,0.0,-0.992,-1.458,-0.667,1.438,1.712,-0.6,0.184,0.96,0.462,0.947,0.479,2.044
