x0,x1,x2,x3,x4,x5,x6,y,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
-0.294,-0.44,0.679,-3.234,-0.749,7.978,3.297,1.0,-0.677,-3.904,1.553,0.872,4.833,2.79,1.09,7.722,0.144,0.376,0.275,-1.198,1.237
-0.139,-0.294,0.388,-3.031,-0.199,7.635,3.473,1.0,-0.332,-4.187,1.812,0.511,4.241,2.827,0.434,7.423,0.083,0.068,-0.235,-1.214,1.57
-0.138,-0.377,0.526,-4.235,-0.18,9.153,5.077,1.0,-0.477,-4.745,2.337,0.676,5.592,4.392,0.841,8.409,-0.147,0.09,-0.377,-1.786,1.506
-0.153,0.02,0.974,-3.173,-0.139,8.107,3.597,1.0,-0.753,-2.952,1.853,0.694,4.693,3.072,0.731,8.311,0.082,0.205,0.813,-0.747,0.939
-0.069,-0.366,0.678,-2.674,-0.211,6.784,3.097,1.0,-0.527,-3.614,1.521,0.411,3.836,2.569,0.685,7.948,0.074,0.368,-0.436,-1.289,1.511
0.092,-0.273,0.659,-2.939,-0.988,7.86,3.256,1.0,-0.964,-3.076,1.59,1.175,4.592,2.649,1.128,8.569,0.062,0.439,0.499,-1.009,1.331
0.025,-0.416,0.351,-2.476,-0.698,6.954,2.578,1.0,-0.522,-3.668,1.16,0.852,3.92,1.871,0.963,8.133,0.066,0.239,-0.143,-1.234,1.593
-0.115,-0.256,0.624,-2.947,-0.134,7.182,3.784,1.0,-0.466,-3.736,1.795,0.08,4.224,3.007,0.259,7.967,0.032,0.18,-0.619,-1.441,1.303
-0.296,-0.607,0.725,-3.884,-0.38,8.603,4.575,1.0,-0.778,-3.853,2.032,0.66,5.15,3.948,0.939,7.507,0.128,0.197,0.35,-1.411,1.284
0.006,-0.288,0.922,-2.528,-0.353,6.518,2.575,1.0,-0.674,-2.23,1.431,0.821,3.578,2.136,0.719,8.441,0.092,0.362,0.006,-0.821,1.421
-0.226,-0.408,0.421,-2.474,-0.405,6.422,2.846,1.0,-0.396,-3.71,1.305,0.265,3.556,2.397,0.63,7.656,0.101,0.333,-0.539,-1.263,1.696
-0.542,-0.127,0.389,-2.664,0.157,6.963,3.569,1.0,-0.594,-3.779,1.589,0.096,3.894,2.849,0.237,7.96,-0.139,-0.092,-0.312,-1.056,1.344
-0.123,-0.341,0.909,-2.456,-0.2,6.697,3.416,1.0,-0.516,-2.771,1.453,0.206,3.763,2.826,0.371,8.857,0.014,0.252,-0.15,-1.1,1.258
-0.111,-0.383,0.706,-2.026,-0.286,6.764,2.686,1.0,-0.212,-3.458,1.227,0.517,3.349,1.88,0.536,8.085,0.102,0.444,0.221,-0.956,1.218
0.009,-0.152,0.888,-3.606,-0.657,8.566,3.829,1.0,-0.815,-3.075,1.958,1.194,5.137,3.218,1.148,7.654,-0.006,0.427,1.004,-1.037,1.354
0.124,-0.442,0.722,-3.187,-0.3,7.577,3.794,1.0,-0.52,-3.603,1.585,0.507,4.456,3.201,0.812,8.43,0.029,0.369,-0.456,-1.754,1.678
-0.098,-0.538,0.562,-2.936,-0.395,7.687,3.785,1.0,-0.541,-3.985,1.754,0.299,4.414,2.938,0.77,8.433,-0.011,0.458,-0.206,-1.529,1.536
-0.169,-0.437,0.394,-2.652,-0.493,6.84,2.913,1.0,-0.465,-3.88,1.654,0.633,3.632,2.504,0.914,8.309,-0.164,0.126,-0.969,-1.474,2.084
-0.055,-0.339,0.774,-3.111,-0.59,7.669,3.324,1.0,-0.426,-4.037,1.791,0.68,4.512,3.116,0.848,7.929,0.236,0.41,-0.393,-1.454,1.741
-0.32,-0.16,0.769,-2.836,-0.178,7.589,3.366,1.0,-0.587,-3.362,1.931,0.496,4.405,2.932,0.543,8.222,0.179,0.103,0.11,-0.992,1.304
-0.169,-0.066,0.198,-3.167,-0.429,8.397,3.454,1.0,-0.649,-4.793,1.922,0.515,4.447,2.998,0.549,8.322,-0.029,0.405,-0.055,-1.541,1.317
0.039,-0.419,0.895,-3.502,-0.41,8.054,3.955,1.0,-0.294,-3.26,1.925,0.874,4.969,3.436,0.816,8.639,-0.01,0.377,0.08,-1.62,1.368
-0.317,-0.369,0.408,-2.862,-0.177,7.323,3.545,1.0,-0.702,-4.199,1.596,0.536,3.968,2.81,0.489,7.929,0.147,0.222,-0.588,-1.565,1.583
-0.006,-0.598,0.797,-3.361,-0.525,8.093,3.909,1.0,-0.615,-3.58,1.987,0.768,4.547,3.253,1.077,9.211,0.015,0.263,-0.391,-1.669,1.788
-0.044,-0.491,0.688,-2.47,-0.416,6.848,3.008,1.0,-0.53,-3.242,1.587,0.369,3.754,2.473,0.783,8.015,0.166,0.297,-0.262,-1.233,1.511
-0.341,-0.422,0.538,-2.977,-0.637,8.219,3.351,1.0,-0.644,-3.656,1.723,0.479,4.62,2.913,0.95,8.47,0.162,0.275,0.285,-1.031,1.275
0.021,-0.54,0.007,-2.64,-0.771,7.42,3.061,1.0,-0.508,-4.516,1.607,0.477,3.792,2.39,0.864,8.182,-0.212,0.321,-0.38,-1.411,1.543
-0.149,-0.502,0.717,-3.296,-0.781,8.257,3.413,1.0,-0.789,-3.412,1.816,1.239,4.67,2.886,1.248,7.808,-0.149,0.442,0.303,-1.518,1.431
-0.205,-0.416,0.702,-3.539,-0.548,8.831,4.455,1.0,-0.556,-3.814,2.13,0.62,5.119,3.67,0.936,8.812,-0.009,0.231,0.25,-1.373,1.305
-0.094,-0.333,0.197,-3.369,-0.542,8.116,3.869,1.0,-0.7,-4.754,1.541,0.63,4.8,3.322,0.971,8.669,-0.093,0.264,-0.295,-1.819,1.657
0.091,-0.425,0.902,-3.818,-0.126,9.198,4.354,1.0,-0.607,-3.606,2.107,0.528,5.72,3.953,0.619,8.146,0.33,0.502,0.553,-1.461,1.096
-0.101,-0.444,0.437,-3.152,-0.783,7.641,3.537,1.0,-0.613,-3.727,1.65,0.87,4.347,2.972,1.189,8.255,-0.119,0.205,-0.145,-1.362,1.625
-0.116,-0.282,0.614,-2.608,-0.609,6.786,3.057,1.0,-0.513,-2.931,1.442,0.943,3.722,2.393,0.832,8.635,0.108,0.289,-0.04,-1.159,1.612
-0.299,-0.302,0.499,-2.364,-0.639,6.77,2.315,1.0,-0.511,-3.338,1.361,0.833,3.651,2.036,0.837,8.187,0.168,0.293,-0.002,-0.953,1.651
-0.056,-0.31,0.165,-2.484,-0.662,6.209,2.782,1.0,-0.462,-4.32,1.078,0.944,3.316,2.17,0.967,8.902,0.015,0.37,-1.28,-1.629,2.323
-0.039,-0.362,0.575,-3.232,-0.56,7.876,3.69,1.0,-0.564,-3.595,1.774,0.76,4.491,3.114,0.893,8.096,0.093,0.182,0.194,-1.189,1.472
0.075,-0.553,0.819,-3.07,-0.757,7.464,3.206,1.0,-0.778,-2.389,1.542,0.977,4.459,2.588,1.28,7.984,0.171,0.605,0.64,-1.23,1.201
-0.214,-0.323,0.689,-3.064,-0.152,7.356,3.521,1.0,-0.744,-3.636,1.697,0.673,4.07,2.92,0.666,8.373,-0.041,0.139,-0.328,-1.413,1.541
-0.206,-0.538,0.372,-2.585,-0.684,7.056,2.992,1.0,-0.478,-3.874,1.549,0.72,4.094,2.557,0.848,8.116,0.069,0.237,-0.527,-1.487,1.845
-0.246,-0.266,0.577,-3.406,-0.505,9.051,4.092,1.0,-0.799,-4.033,2.0,1.013,5.148,3.435,1.05,8.521,0.341,0.413,0.85,-1.202,1.228
-0.148,-0.365,0.656,-2.92,-0.059,8.072,3.683,1.0,-0.515,-3.996,1.714,0.272,4.363,3.027,0.469,8.584,0.124,0.342,0.156,-1.348,1.149
-0.275,-0.274,0.316,-2.107,-0.864,6.926,2.352,1.0,-0.747,-3.634,1.292,0.82,3.636,1.716,1.074,8.011,0.113,0.485,0.038,-1.005,1.573
-0.001,-0.246,0.257,-2.501,-0.657,7.376,2.719,1.0,-0.344,-3.391,1.372,0.932,3.922,2.098,0.795,8.706,-0.0,0.496,0.331,-0.86,1.17
0.189,-0.307,-0.136,-1.815,-1.012,5.869,2.079,1.0,-0.709,-4.057,1.032,0.913,2.957,1.255,1.159,7.499,0.107,0.295,-0.561,-1.189,1.825
-0.039,-0.175,0.416,-2.461,-0.657,6.883,2.941,1.0,-0.803,-3.731,1.305,0.789,3.611,2.326,1.08,8.414,0.037,0.298,-0.332,-1.223,1.489
-0.156,-0.287,0.712,-2.482,-0.443,6.646,2.976,1.0,-0.482,-2.909,1.31,0.611,3.747,2.287,0.612,7.387,-0.002,0.313,-0.154,-1.245,1.413
-0.472,-0.27,0.523,-3.132,-0.034,7.552,4.083,1.0,-0.5,-4.063,1.863,0.188,4.421,3.431,0.447,7.354,-0.089,0.053,-0.237,-1.097,1.373
-0.12,-0.603,0.041,-2.965,-0.651,7.53,3.175,1.0,-0.354,-4.697,1.624,0.917,3.993,2.65,0.867,8.367,0.023,0.306,-0.64,-1.674,1.926
-0.218,-0.477,0.442,-3.546,-0.984,8.183,3.75,1.0,-0.708,-3.625,1.815,1.326,4.787,3.337,1.424,8.112,0.031,0.497,0.204,-1.593,1.456
-0.241,0.045,0.582,-2.102,-0.362,6.68,2.566,1.0,-0.864,-3.532,1.307,0.59,3.588,1.903,0.699,7.854,-0.117,0.088,0.062,-0.716,1.325
-0.345,-0.51,0.667,-3.325,-0.319,8.166,3.598,1.0,-0.661,-4.067,1.883,0.983,4.47,3.108,0.909,8.544,0.092,0.343,-0.339,-1.616,1.681
-0.151,-0.394,0.822,-2.572,-0.711,7.435,3.099,1.0,-0.628,-3.003,1.711,0.579,4.105,2.447,0.887,8.86,0.134,0.368,0.218,-1.261,1.492
-0.191,-0.343,0.282,-2.93,-0.419,7.124,3.248,1.0,-0.691,-4.284,1.523,0.88,4.023,2.725,1.008,7.583,0.012,0.301,-0.854,-1.653,2.077
-0.07,-0.342,1.132,-3.112,-0.499,7.322,3.107,1.0,-0.475,-2.732,1.871,0.979,4.416,2.688,0.881,8.457,0.034,0.331,-0.311,-1.544,1.502
-0.201,-0.459,0.237,-2.615,-0.803,7.169,2.906,1.0,-0.511,-4.146,1.444,0.802,3.75,2.306,0.965,8.443,-0.268,0.196,-0.791,-1.609,2.125
-0.103,-0.168,0.496,-2.403,-0.385,7.095,2.687,1.0,-0.533,-3.445,1.473,0.424,3.788,2.251,0.691,7.727,-0.051,0.117,0.104,-1.104,1.335
-0.065,-0.521,0.461,-3.094,-0.359,7.956,3.762,1.0,-0.421,-4.204,1.846,0.352,4.296,3.03,0.744,8.584,-0.069,0.044,-0.624,-1.457,1.685
-0.421,-0.334,0.534,-2.23,0.275,6.025,3.1,1.0,-0.414,-3.27,1.641,-0.335,3.19,2.53,-0.103,7.619,0.085,-0.008,-0.823,-1.028,1.607
-0.002,-0.401,0.434,-3.342,-0.168,8.176,3.921,1.0,-0.329,-3.997,2.063,0.451,4.649,3.412,0.606,7.556,0.035,0.17,0.014,-1.347,1.391
-0.061,-0.357,0.542,-3.038,-0.172,7.874,3.546,1.0,-0.55,-3.851,1.904,0.285,4.475,3.081,0.472,7.367,-0.113,0.273,0.227,-1.365,1.093
-0.086,-0.265,0.136,-1.775,-0.22,6.408,2.257,1.0,-0.606,-4.263,1.397,0.503,2.926,1.75,0.514,8.519,0.204,0.28,-0.815,-1.207,2.182
0.117,-0.1,0.385,-3.127,-0.709,7.757,3.738,1.0,-0.674,-3.325,1.687,1.007,4.431,3.009,0.952,7.951,-0.262,0.25,0.253,-1.079,1.571
0.07,-0.136,0.789,-3.488,-0.451,8.246,3.659,1.0,-0.957,-3.33,1.73,1.162,4.947,3.151,1.142,8.493,-0.133,0.423,0.316,-1.427,1.54
-0.199,-0.126,0.725,-1.751,-0.507,6.195,1.964,1.0,-0.537,-2.732,1.206,0.224,2.922,1.375,0.502,8.876,0.059,0.016,-0.227,-0.604,1.239
-0.08,-0.292,0.388,-3.482,-0.916,8.683,4.027,1.0,-0.833,-4.126,2.025,1.018,5.077,3.231,1.393,8.623,0.051,0.404,0.072,-1.465,1.561
0.094,-0.335,0.778,-2.974,-0.585,7.891,3.21,1.0,-0.536,-3.545,1.346,0.867,4.387,2.656,1.02,9.288,-0.045,0.325,0.117,-1.225,1.342
-0.141,-0.679,-0.081,-2.706,-0.442,7.373,3.173,1.0,-0.296,-4.764,1.496,0.605,3.883,2.675,0.855,7.929,-0.04,0.53,-0.643,-1.671,1.793
-0.032,-0.258,0.243,-2.387,-0.649,6.539,2.701,1.0,-0.662,-4.549,1.196,0.77,3.332,2.131,0.891,9.122,0.086,0.418,-1.075,-1.656,2.084
-0.075,-0.369,0.737,-2.771,-0.613,7.09,3.219,1.0,-0.571,-3.537,1.625,0.728,3.994,2.621,0.992,8.282,0.051,0.417,-0.478,-1.697,1.901
-0.066,-0.639,0.297,-2.897,-0.463,7.728,3.588,1.0,-0.318,-4.814,1.815,0.498,4.099,2.95,0.796,8.163,-0.042,0.187,-0.692,-1.725,1.854
-0.053,-0.466,0.414,-3.035,-0.89,7.537,3.575,1.0,-0.859,-3.327,1.737,1.024,4.34,2.786,1.294,7.933,0.102,0.486,0.075,-1.381,1.599
-0.064,-0.227,0.855,-2.483,0.453,7.321,3.212,1.0,-0.391,-2.77,1.591,0.177,3.941,2.473,0.045,8.527,0.218,0.38,0.488,-0.908,0.925
0.08,-0.096,0.572,-1.949,-0.348,5.999,2.47,1.0,-0.6,-2.752,1.239,0.539,3.047,1.672,0.495,7.659,-0.152,0.237,0.014,-0.778,1.229
-0.158,-0.19,0.809,-3.173,-0.589,8.128,3.743,1.0,-0.782,-3.465,1.667,0.843,4.704,2.906,0.888,8.438,0.199,0.419,0.308,-1.315,1.012
-0.076,-0.418,0.072,-2.398,-0.559,6.734,2.679,1.0,-0.542,-4.099,1.342,0.481,3.385,2.216,0.704,7.984,-0.034,0.314,-0.637,-1.27,1.657
-0.317,-0.279,0.702,-3.068,0.139,7.815,3.622,1.0,-0.328,-3.203,1.771,-0.061,4.501,3.154,0.078,7.788,-0.096,0.11,0.45,-0.931,0.84
0.076,-0.324,0.439,-2.577,-0.772,7.196,2.759,1.0,-0.719,-3.52,1.225,1.022,3.877,2.18,1.099,8.577,0.059,0.431,0.244,-1.095,1.229
-0.068,-0.282,0.655,-2.694,-0.291,7.288,3.4,1.0,-0.617,-3.788,1.587,0.479,4.0,2.888,0.614,7.721,0.121,0.342,-0.073,-1.382,1.436
-0.198,-0.327,0.535,-3.096,-0.442,8.181,3.251,1.0,-0.656,-3.897,1.614,1.095,4.58,2.691,1.139,8.66,0.073,0.342,0.36,-1.018,1.519
-0.143,-0.4,-0.062,-2.58,-0.534,7.212,3.287,1.0,-0.531,-4.533,1.594,0.617,3.669,2.603,0.823,7.3,0.127,0.349,-0.479,-1.388,1.668
-0.009,-0.51,0.322,-3.128,-0.615,7.565,3.271,1.0,-0.553,-3.914,1.427,0.801,4.381,2.786,0.979,8.034,-0.092,0.175,-0.02,-1.224,1.612
-0.045,-0.293,0.581,-2.654,-0.023,7.502,3.242,1.0,-0.424,-3.963,1.538,0.061,4.094,2.62,0.289,8.157,-0.054,0.307,0.079,-1.007,1.387
-0.107,-0.519,0.47,-3.635,-0.505,8.959,4.093,1.0,-0.684,-4.372,2.049,1.014,5.01,3.45,1.067,8.532,0.254,0.282,0.014,-1.519,1.559
0.065,-0.546,-0.03,-2.017,-0.649,6.368,2.651,1.0,-0.314,-3.992,1.384,0.658,3.069,1.958,0.919,7.216,0.233,0.411,-0.548,-1.278,1.868
0.108,-0.345,0.273,-2.662,-0.759,7.107,2.999,1.0,-0.606,-4.008,1.482,0.89,3.762,2.34,0.946,7.589,0.144,0.302,-0.398,-1.263,1.787
0.093,-0.405,0.433,-3.633,-0.582,8.295,3.688,1.0,-0.982,-3.747,1.945,1.196,4.939,3.25,1.216,7.65,-0.101,0.479,0.018,-1.723,1.543
-0.144,-0.525,0.709,-3.885,-0.475,9.323,4.265,1.0,-0.677,-3.256,2.05,0.748,5.716,3.658,1.033,8.903,0.196,0.313,0.983,-1.236,1.178
0.073,-0.61,0.225,-2.435,-0.772,7.19,2.756,1.0,-0.532,-4.313,1.197,0.778,3.685,2.038,0.949,8.976,-0.045,0.535,-0.651,-1.67,1.84
-0.174,-0.362,0.372,-2.32,-0.04,6.123,2.961,1.0,-0.541,-3.753,1.179,0.335,3.152,2.274,0.516,7.596,-0.075,0.188,-0.661,-1.368,1.449
-0.486,-0.284,0.64,-3.075,-0.239,8.232,3.594,1.0,-0.379,-3.916,2.015,0.538,4.504,2.977,0.67,8.167,-0.054,0.121,0.097,-1.047,1.263
-0.157,-0.256,0.539,-2.894,0.085,7.387,3.599,1.0,-0.207,-3.587,1.874,0.346,4.023,3.019,0.473,7.589,-0.127,0.161,-0.203,-1.217,1.406
-0.104,-0.339,0.791,-3.313,-0.072,8.451,3.753,1.0,-0.585,-3.185,2.092,0.899,4.979,3.237,0.808,8.232,0.017,0.457,0.497,-1.135,1.196
-0.291,-0.172,0.613,-3.077,-0.323,7.964,3.588,1.0,-0.698,-3.955,1.773,0.385,4.385,3.013,0.607,8.014,-0.149,0.187,-0.001,-1.113,1.545
-0.143,-0.352,0.401,-2.318,-0.275,6.874,2.882,1.0,-0.542,-3.779,1.439,0.507,3.668,2.259,0.634,7.875,-0.003,0.298,-0.144,-0.919,1.533
-0.111,-0.15,0.481,-2.699,-0.527,7.589,2.93,1.0,-0.729,-4.121,1.624,0.596,4.013,2.347,0.738,8.616,-0.032,0.2,-0.122,-1.207,1.364
-0.023,-0.133,0.13,-2.163,-0.704,7.16,2.542,1.0,-0.588,-4.211,1.314,0.935,3.597,1.792,0.867,8.806,-0.079,0.33,-0.388,-1.049,1.643
-0.14,-0.29,0.064,-2.635,-0.705,7.16,2.953,1.0,-0.475,-3.557,1.172,0.49,3.787,2.313,0.716,7.614,0.024,0.257,0.354,-1.191,1.091
-0.225,-0.111,0.918,-3.193,-0.372,8.033,3.578,1.0,-0.782,-3.487,1.705,0.79,4.527,2.925,0.849,8.848,-0.102,0.271,0.214,-1.153,1.28
0.151,-0.48,0.082,-2.02,-0.68,6.778,2.374,1.0,-0.325,-3.992,1.337,0.943,3.305,1.659,0.943,8.383,0.054,0.57,-0.278,-1.045,1.48
-0.242,-0.241,0.769,-3.486,-0.232,8.451,4.047,1.0,-0.494,-3.286,2.09,0.558,5.004,3.615,0.647,7.926,0.166,0.213,0.292,-1.111,1.117
-0.196,-0.439,0.511,-2.998,-0.017,7.547,3.6,1.0,-0.359,-4.189,1.803,0.262,4.205,2.967,0.326,7.845,0.001,0.289,-0.542,-1.573,1.51
0.219,-0.448,0.128,-2.029,-0.974,6.761,2.27,1.0,-0.375,-3.928,1.403,1.209,3.233,1.431,1.286,7.314,0.063,0.654,0.033,-1.221,1.495
-0.407,-0.345,0.608,-2.743,-0.306,6.853,3.592,1.0,-0.409,-3.366,1.717,0.123,3.968,2.82,0.476,6.903,-0.037,0.165,-0.1,-1.08,1.419
-0.293,-0.313,0.534,-2.698,-0.44,7.69,3.241,1.0,-0.576,-3.801,1.635,0.842,4.128,2.6,0.802,8.448,-0.085,0.228,0.096,-0.999,1.402
-0.149,-0.067,0.765,-3.202,0.087,8.57,3.726,1.0,-0.473,-3.663,1.896,0.465,4.787,3.282,0.294,8.865,0.088,0.354,0.165,-1.228,1.435
-0.474,-0.155,0.799,-3.181,-0.125,8.05,3.818,1.0,-0.456,-3.455,1.959,0.418,4.583,3.319,0.611,8.205,-0.085,0.236,0.297,-0.871,1.246
-0.146,-0.464,0.456,-2.324,-0.337,6.933,3.049,1.0,-0.51,-3.57,1.373,0.471,3.571,2.485,0.719,8.104,-0.037,0.374,-0.171,-1.358,1.347
-0.11,-0.072,0.436,-2.614,0.14,7.211,3.418,1.0,-0.443,-3.432,1.576,0.181,3.92,2.569,0.243,7.793,0.12,0.241,-0.036,-1.135,1.082
-0.242,-0.48,0.725,-3.896,-0.57,8.197,4.263,1.0,-0.644,-2.978,2.319,0.666,5.372,3.929,1.06,9.11,0.18,0.235,-0.394,-1.914,1.765
-0.215,-0.316,0.739,-2.662,-0.244,7.346,3.393,1.0,-0.75,-3.538,1.747,0.681,4.081,2.588,0.76,8.446,0.001,0.393,-0.279,-1.389,1.485
-0.183,-0.274,0.581,-2.809,-0.687,7.422,3.218,1.0,-0.538,-3.453,1.806,0.979,4.206,2.701,1.155,7.817,0.226,0.551,-0.139,-1.346,1.452
-0.288,-0.211,0.407,-2.722,-0.172,7.311,3.129,1.0,-0.583,-3.934,1.595,0.376,3.934,2.572,0.483,8.786,-0.109,0.076,-0.357,-1.183,1.611
-0.368,-0.362,0.774,-3.418,0.085,8.082,4.019,1.0,-0.422,-3.252,1.997,0.309,5.049,3.603,0.404,7.587,-0.067,0.111,0.276,-1.154,0.97
0.123,-0.252,0.556,-2.454,-0.469,6.878,2.965,1.0,-0.588,-3.034,1.515,0.904,3.862,2.253,0.854,7.304,-0.092,0.343,0.077,-0.94,1.273
-0.247,-0.222,0.172,-3.167,-0.06,7.706,4.127,1.0,-0.49,-4.479,2.131,0.183,4.166,3.485,0.342,7.833,0.048,0.342,-0.684,-1.651,1.64
-0.169,-0.348,0.317,-2.791,-0.245,7.902,3.303,1.0,-0.616,-3.905,1.701,0.419,4.253,2.919,0.47,8.164,0.01,0.348,0.29,-1.092,1.342
0.098,-0.364,0.375,-2.993,-0.972,7.273,3.255,1.0,-0.73,-3.864,1.41,1.151,4.253,2.484,1.17,7.881,-0.173,0.408,-0.165,-1.539,1.622
-0.265,-0.357,0.644,-2.883,-0.47,7.402,3.548,1.0,-0.672,-3.28,1.813,0.529,4.061,2.825,0.901,7.854,-0.017,0.095,-0.073,-1.157,1.36
0.137,-0.51,0.027,-2.593,-0.705,6.627,2.681,1.0,-0.669,-4.045,1.248,1.06,3.462,2.139,1.201,8.128,-0.144,0.254,-0.604,-1.574,1.753
-0.015,-0.463,0.607,-2.809,-0.416,7.207,3.444,1.0,-0.493,-3.491,1.54,0.609,3.911,2.834,0.815,8.403,-0.154,0.263,-0.121,-1.472,1.658
-0.299,-0.49,0.549,-3.212,-0.12,7.092,3.993,1.0,-0.365,-3.983,1.883,0.019,4.195,3.512,0.445,7.102,-0.299,0.031,-0.418,-1.389,1.333
-0.003,-0.412,0.566,-3.173,-0.675,8.015,3.726,1.0,-0.594,-3.479,1.933,0.632,4.77,2.986,0.93,8.629,0.013,0.337,-0.054,-1.463,1.553
0.215,-0.486,0.242,-3.145,-0.825,6.994,3.444,1.0,-0.691,-4.0,1.598,0.91,3.913,2.957,1.234,7.694,0.015,0.305,-0.923,-1.92,2.329
0.125,-0.449,0.445,-2.48,-0.832,6.22,2.792,1.0,-0.496,-3.516,1.405,1.153,3.146,2.108,1.236,8.075,0.09,0.388,-0.837,-1.53,1.974
-0.043,-0.543,-0.013,-2.578,-0.767,6.644,2.837,1.0,-0.677,-4.499,1.229,1.173,3.545,2.158,1.346,7.184,-0.083,0.395,-0.549,-1.54,1.952
0.014,-0.347,0.809,-3.116,-0.951,7.419,3.327,1.0,-0.715,-2.396,1.681,1.147,4.588,2.734,1.276,8.037,-0.113,0.353,0.387,-1.182,1.341
0.099,-0.325,0.633,-2.683,-0.242,7.405,3.007,1.0,-0.526,-3.047,1.524,0.621,4.23,2.547,0.781,7.98,0.007,0.261,0.475,-0.896,1.049
