Unnamed: 0,x0,x1,x2,x3,x4,y,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
14,-0.808,6.723,0.165,-0.126,2.68,1.0,0.439,-0.514,-1.183,8.511,5.629,-0.295,0.337,0.991,-0.659,0.535,-6.659,-0.386,1.105,-6.362,0.072
15,-0.187,6.436,1.058,-0.349,1.736,1.0,0.183,-0.513,-0.863,7.999,5.117,-0.668,0.067,0.775,-0.065,0.232,-6.302,-0.002,0.937,-5.342,-0.062
16,0.089,7.291,0.359,-0.128,2.119,1.0,0.326,-0.642,-0.515,8.831,5.992,-0.494,0.267,0.254,-0.186,-0.001,-7.195,0.087,1.044,-6.343,-0.245
17,-0.483,7.197,0.31,0.185,2.044,1.0,0.162,-0.377,-0.736,8.874,5.808,-0.608,0.356,0.827,-0.073,0.2,-7.125,-0.189,1.168,-6.041,-0.047
18,0.06,6.897,0.626,-0.275,1.96,1.0,0.336,-0.607,-0.321,8.148,5.773,-0.753,-0.076,0.576,0.255,0.188,-6.649,0.191,1.247,-5.386,-0.343
19,-0.604,6.743,1.208,-0.184,2.285,1.0,0.242,-0.438,-1.028,8.224,5.63,-0.364,0.277,0.891,-0.481,0.438,-6.584,0.001,0.955,-6.066,0.135
20,-0.223,6.684,1.329,-0.184,1.679,1.0,0.469,-0.387,-0.672,7.799,4.964,-0.687,0.178,0.566,-0.133,-0.062,-6.2,0.262,1.019,-4.991,-0.18
21,-0.578,6.444,0.349,0.162,1.882,1.0,0.047,-0.337,-0.91,8.26,5.314,-0.595,0.176,0.593,-0.246,0.341,-6.478,-0.299,0.953,-5.488,0.196
22,-0.478,6.4,0.232,0.119,1.842,1.0,0.183,-0.42,-0.864,7.961,5.061,-0.585,-0.074,0.921,0.007,0.174,-6.344,-0.603,1.169,-4.946,0.015
23,-0.293,7.27,0.89,-0.257,1.825,1.0,0.095,-0.583,-0.758,8.911,5.767,-0.632,0.049,0.57,-0.322,0.012,-7.323,0.178,1.061,-6.134,0.028
24,-0.202,6.474,1.006,-0.085,1.983,1.0,0.271,-0.568,-0.68,7.787,5.084,-0.584,0.221,0.559,-0.181,0.114,-6.106,-0.002,0.853,-5.304,-0.238
25,-0.391,6.318,0.865,-0.303,2.143,1.0,0.332,-0.69,-0.912,7.885,5.005,-0.254,0.213,0.341,-0.922,0.164,-6.382,-0.042,0.944,-5.849,0.067
26,-1.02,6.083,1.215,-0.103,2.01,1.0,0.271,-0.361,-1.256,7.629,4.679,-0.358,0.191,0.713,-0.859,0.511,-5.882,-0.212,0.821,-5.207,0.039
27,-0.346,7.504,0.25,0.276,1.977,1.0,0.179,-0.362,-0.948,8.986,6.042,-0.554,0.243,0.688,0.002,0.112,-7.182,-0.462,1.196,-6.032,0.048
28,-0.596,7.727,0.265,-0.136,2.068,1.0,0.136,-0.429,-0.966,9.289,5.917,-0.409,0.032,0.847,-0.263,0.365,-7.598,-0.491,1.225,-6.511,0.122
29,-0.406,6.7,0.166,-0.028,1.751,1.0,0.179,-0.527,-0.898,8.042,4.813,-0.39,0.02,0.604,-0.446,0.196,-6.508,-0.246,1.068,-5.698,0.036
30,-0.76,5.868,0.495,0.165,2.341,1.0,0.175,-0.299,-0.91,7.491,5.398,-0.326,0.231,0.809,-0.291,0.389,-5.75,-0.426,1.055,-5.313,0.276
31,-0.931,6.735,1.076,-0.104,2.332,1.0,0.27,-0.445,-1.187,8.067,5.271,-0.541,0.062,0.813,-0.533,0.472,-6.402,-0.01,0.968,-5.811,0.073
32,-0.665,6.547,0.568,0.224,1.88,1.0,0.376,-0.196,-1.049,8.044,5.216,-0.437,0.152,0.821,-0.018,0.54,-6.274,-0.16,1.126,-5.28,0.31
33,-0.478,6.611,0.381,-0.164,2.36,1.0,0.392,-0.497,-1.147,8.116,5.622,-0.657,0.266,0.482,-0.482,0.26,-6.317,-0.206,0.961,-5.824,-0.204
34,-0.153,7.021,0.604,0.127,2.245,1.0,0.204,-0.53,-0.89,8.443,6.011,-0.699,0.092,0.796,-0.019,0.242,-6.705,-0.248,0.76,-5.979,0.084
35,-0.318,6.846,0.229,-0.162,1.971,1.0,0.417,-0.362,-0.809,8.394,4.798,-0.693,-0.034,0.36,-0.441,0.212,-6.545,0.06,1.042,-5.453,-0.107
36,-0.429,6.6,0.853,-0.066,1.965,1.0,0.2,-0.254,-0.907,8.378,5.471,-0.388,0.416,0.638,-0.183,0.329,-6.436,-0.142,1.065,-5.67,-0.05
37,-0.331,7.858,0.199,0.167,2.505,1.0,0.387,-0.403,-0.876,9.138,6.345,-0.545,0.1,0.703,-0.356,-0.02,-7.681,-0.363,0.959,-6.964,-0.089
38,-0.132,6.831,1.229,-0.05,1.911,1.0,0.359,-0.532,-0.665,8.1,5.475,-0.598,0.24,0.431,-0.278,0.192,-6.381,0.311,0.829,-5.674,-0.203
39,-1.042,6.535,0.349,0.431,2.342,1.0,0.167,-0.212,-1.279,8.243,5.579,-0.479,0.107,0.982,-0.398,0.379,-6.482,-0.615,0.923,-5.845,0.253
40,0.068,7.019,0.888,-0.083,1.632,1.0,0.305,-0.439,-0.561,8.394,5.706,-0.548,-0.083,0.499,0.266,-0.1,-6.952,0.047,1.069,-5.746,-0.18
41,-0.207,7.029,0.862,-0.021,1.965,1.0,0.213,-0.603,-0.667,8.107,5.301,-0.668,0.399,0.578,-0.249,0.051,-6.476,0.019,1.201,-5.27,-0.077
42,-1.192,7.263,0.774,0.227,2.731,1.0,0.257,-0.422,-1.583,8.531,5.71,-0.763,0.318,0.952,-0.812,0.564,-6.77,-0.553,1.056,-6.179,0.407
43,-0.419,6.564,1.757,-0.234,1.581,1.0,0.301,-0.423,-0.956,7.878,4.766,-0.564,-0.073,0.604,-0.365,0.278,-6.29,0.304,1.118,-5.042,-0.13
44,-0.486,7.142,0.278,-0.137,2.087,1.0,0.145,-0.555,-0.924,8.247,5.528,-0.69,0.279,0.598,-0.269,0.463,-6.697,-0.429,1.05,-5.476,0.191
45,-0.133,6.749,0.904,-0.372,1.492,1.0,0.252,-0.485,-0.653,8.187,4.888,-0.537,0.011,0.615,0.038,-0.018,-6.612,-0.112,1.211,-5.15,-0.02
46,-0.21,6.742,0.879,-0.248,1.621,1.0,0.254,-0.485,-0.795,8.368,5.203,-0.609,-0.176,0.574,-0.06,0.059,-6.607,0.252,0.986,-5.445,-0.285
47,-0.711,6.588,0.823,-0.01,2.441,1.0,0.266,-0.265,-1.121,8.392,5.988,-0.406,0.261,0.934,-0.019,0.527,-6.47,-0.204,1.237,-5.801,-0.02
48,-0.957,6.783,0.288,0.184,2.561,1.0,0.198,-0.35,-1.186,8.137,5.639,-0.467,0.261,0.827,-0.599,0.482,-6.529,-0.416,1.117,-6.016,0.14
49,-1.294,6.756,0.5,-0.276,1.281,1.0,0.397,-0.325,-1.453,8.673,4.051,-0.4,-0.19,0.639,-0.887,0.594,-6.756,-0.313,1.059,-5.092,0.534
50,-0.687,6.32,0.575,-0.389,2.202,1.0,0.488,-0.473,-1.043,7.533,4.929,-0.542,0.167,0.687,-0.318,0.575,-5.884,-0.201,1.085,-5.172,-0.066
51,-0.587,7.253,1.078,-0.195,2.74,1.0,0.344,-0.518,-1.108,8.927,6.385,-0.613,0.429,0.67,-0.542,0.474,-7.039,0.079,1.032,-6.644,0.009
52,-0.458,6.039,0.55,-0.562,1.7,1.0,0.424,-0.674,-0.934,7.491,4.38,-0.328,0.032,0.644,-0.653,0.16,-6.046,0.407,1.197,-4.952,-0.083
53,-0.655,7.394,0.632,0.324,3.365,0.0,0.775,-0.208,-1.168,8.56,6.862,-0.497,0.586,1.025,-0.069,0.477,-6.875,-0.512,1.296,-6.529,-0.13
54,-0.577,6.627,0.257,-0.394,2.82,0.0,0.805,-0.564,-1.103,7.783,5.845,-0.64,0.173,0.433,-0.573,0.17,-6.206,-0.172,1.056,-5.978,-0.115
55,-0.273,6.324,0.496,-0.335,2.259,0.0,0.643,-0.595,-0.779,7.225,5.007,-0.651,0.366,0.367,-0.443,0.266,-5.71,0.026,1.053,-5.147,-0.242
56,-0.173,6.728,0.947,0.354,4.052,0.0,0.587,-0.594,-0.842,7.741,7.917,-0.675,0.496,1.19,0.319,0.184,-6.108,-0.267,0.916,-7.0,-0.19
57,0.032,7.623,1.059,-0.041,2.597,0.0,0.652,-0.467,-0.691,8.501,6.53,-0.823,0.451,0.74,0.508,0.061,-6.809,0.01,1.139,-6.023,-0.357
58,-0.337,6.932,0.646,0.28,3.718,0.0,0.781,-0.515,-0.839,7.697,7.437,-0.834,0.443,1.063,0.093,0.242,-6.271,-0.388,1.227,-6.611,-0.179
59,-0.163,7.154,0.645,-0.112,2.699,0.0,0.85,-0.339,-0.801,8.29,6.61,-0.33,0.352,0.885,0.19,0.28,-6.785,0.15,1.144,-6.454,-0.355
60,-0.448,7.4,0.293,-0.199,2.925,0.0,0.902,-0.529,-0.98,8.347,6.253,-0.59,0.444,0.791,-0.236,0.072,-6.834,-0.048,1.107,-6.47,-0.44
61,-0.588,7.862,0.614,-0.23,2.879,0.0,0.745,-0.399,-1.02,8.806,6.468,-0.744,0.451,0.861,-0.29,0.578,-7.098,-0.157,1.283,-6.584,-0.27
62,-0.48,6.647,0.356,-0.035,2.587,0.0,0.48,-0.349,-0.947,8.224,6.003,-0.33,0.374,0.827,-0.201,0.091,-6.532,-0.107,1.225,-6.252,-0.222
63,0.098,6.687,0.441,-0.144,3.331,0.0,0.739,-0.434,-0.754,7.603,6.828,-0.594,0.566,0.977,0.323,0.036,-6.19,0.209,1.206,-6.071,-0.14
64,-0.531,6.573,1.188,0.076,2.844,0.0,0.83,-0.412,-0.861,7.725,5.951,-0.511,0.418,0.9,-0.233,0.421,-6.237,-0.213,1.292,-5.946,-0.097
65,-1.287,7.187,0.179,0.567,4.444,0.0,0.572,-0.362,-1.512,8.541,7.969,-0.624,0.746,1.314,-0.604,0.653,-6.782,-0.821,1.052,-7.764,-0.001
66,-0.144,6.825,0.257,-0.29,2.321,0.0,0.546,-0.506,-0.985,7.842,5.585,-0.731,0.102,0.603,-0.029,0.178,-6.362,-0.06,1.073,-5.763,-0.314
67,0.613,6.552,0.418,-0.34,2.832,0.0,0.68,-0.674,-0.341,7.445,6.297,-0.697,0.249,0.621,0.453,-0.19,-6.027,0.035,1.111,-5.812,-0.285
68,-0.414,7.389,0.553,-0.142,2.836,0.0,0.797,-0.417,-0.963,8.362,6.505,-0.661,0.429,0.707,-0.139,0.057,-6.832,-0.018,0.933,-6.42,0.017
69,0.026,6.636,1.156,-0.57,1.96,0.0,0.789,-0.629,-0.632,7.889,4.852,-0.603,0.248,0.079,-0.38,-0.031,-6.269,0.162,1.239,-5.154,-0.222
70,-0.2,6.524,1.387,0.187,3.541,0.0,0.812,-0.509,-0.925,7.51,7.147,-0.698,0.525,1.067,0.269,0.211,-6.027,0.083,1.169,-5.968,-0.328
71,-0.038,6.386,0.637,0.003,2.353,0.0,0.469,-0.395,-0.604,7.712,5.931,-0.635,0.068,0.717,0.276,0.319,-5.966,-0.339,1.052,-5.411,-0.127
72,0.101,6.71,0.391,-0.566,2.289,0.0,0.81,-0.657,-0.62,7.874,5.418,-0.633,0.137,0.471,-0.028,0.138,-6.343,0.183,0.995,-5.642,-0.353
73,-0.381,6.198,0.869,-0.487,2.134,0.0,0.839,-0.502,-0.676,7.053,5.036,-0.686,-0.084,0.691,-0.145,0.318,-5.659,0.012,0.994,-4.785,-0.099
74,-0.707,6.561,0.647,0.127,4.144,0.0,0.659,-0.539,-1.17,7.911,7.498,-0.605,0.494,1.0,-0.291,0.465,-6.195,-0.407,1.048,-7.027,-0.043
75,0.066,6.731,0.44,0.007,3.02,0.0,0.689,-0.649,-0.708,8.355,6.717,-0.447,0.464,0.574,-0.211,0.109,-6.473,-0.225,1.016,-6.696,-0.32
76,-0.729,6.619,0.874,-0.057,2.625,0.0,0.749,-0.291,-1.167,7.733,5.824,-0.622,0.352,0.777,-0.184,0.505,-6.017,-0.056,0.919,-5.788,-0.101
77,-0.003,6.504,0.15,-0.107,3.005,0.0,0.721,-0.64,-0.709,7.615,6.208,-0.713,0.333,0.755,0.135,0.108,-5.918,-0.299,1.033,-5.875,-0.476
78,-0.22,6.425,0.301,0.352,3.796,0.0,0.717,-0.469,-0.838,7.537,7.426,-0.603,0.686,1.023,0.339,0.251,-5.889,-0.416,1.09,-6.415,-0.19
79,-0.157,6.868,0.691,-0.157,2.564,0.0,0.743,-0.453,-0.646,7.678,5.831,-0.773,0.359,0.766,0.25,0.144,-6.103,-0.12,1.211,-5.462,-0.268
80,-0.392,6.416,0.884,-0.276,2.584,0.0,0.672,-0.555,-0.834,7.85,5.629,-0.382,0.581,0.724,-0.364,0.271,-6.139,0.048,0.839,-5.988,-0.205
81,-0.635,6.996,0.92,-0.073,2.583,0.0,0.823,-0.261,-0.983,8.252,6.181,-0.424,0.453,0.671,-0.401,0.056,-6.619,0.008,0.846,-6.327,-0.074
82,-0.262,7.182,0.79,-0.147,3.436,0.0,0.808,-0.493,-0.853,8.609,7.246,-0.652,0.535,0.92,0.28,0.336,-6.827,-0.011,1.023,-6.853,-0.454
83,-0.351,6.521,0.935,0.191,2.902,0.0,0.643,-0.213,-0.721,7.501,6.527,-0.607,0.536,0.95,0.149,0.144,-6.073,-0.17,1.075,-5.899,-0.125
84,-0.615,6.152,1.045,0.153,2.913,0.0,0.512,-0.484,-0.982,7.516,6.039,-0.567,0.436,0.856,-0.302,0.46,-5.9,-0.156,1.05,-5.89,-0.05
85,-0.384,6.845,0.478,-0.138,3.011,0.0,0.773,-0.442,-0.817,8.433,6.832,-0.554,0.406,1.135,0.357,0.078,-6.671,-0.012,1.356,-6.254,-0.076
86,-0.871,6.591,-0.168,-0.342,3.001,0.0,0.842,-0.568,-1.243,7.512,5.405,-0.59,0.647,0.905,-0.726,0.525,-6.03,-0.578,1.009,-5.773,-0.023
87,0.171,6.324,0.727,-0.22,2.739,0.0,0.81,-0.516,-0.666,6.827,6.075,-0.757,0.456,0.796,0.503,-0.006,-5.631,0.105,1.069,-5.179,-0.396
88,-0.643,6.322,0.914,-0.367,2.725,0.0,0.661,-0.733,-0.783,7.063,5.442,-0.795,0.28,0.697,-0.506,0.138,-5.692,-0.111,0.868,-5.425,-0.321
89,-0.46,6.939,0.609,-0.246,2.868,0.0,0.864,-0.414,-1.151,8.096,6.074,-0.42,0.484,0.861,-0.145,0.28,-6.53,-0.051,0.882,-6.356,-0.164
90,-0.138,7.59,1.042,-0.235,2.9,0.0,0.823,-0.648,-0.633,8.958,7.179,-0.567,0.583,0.764,0.12,-0.079,-7.299,0.317,1.095,-6.988,-0.282
91,0.019,7.352,0.591,-0.414,2.249,0.0,0.828,-0.454,-0.938,8.719,6.169,-0.616,0.119,0.777,0.233,0.19,-7.024,0.206,0.968,-6.206,-0.271
92,0.005,6.582,0.7,-0.59,2.134,0.0,0.788,-0.557,-0.488,7.443,5.444,-0.703,0.137,0.677,0.145,0.189,-5.961,0.207,0.994,-5.178,-0.406
93,-0.283,6.342,0.795,-0.144,2.055,0.0,0.597,-0.401,-0.872,7.485,5.046,-0.823,0.146,0.621,0.051,0.298,-5.846,-0.241,1.045,-4.989,-0.248
94,-0.408,6.122,0.649,-0.064,3.224,0.0,0.907,-0.454,-0.9,6.994,6.562,-0.7,0.466,0.858,0.026,0.284,-5.666,-0.235,1.121,-5.922,-0.327
95,-0.492,6.66,0.35,-0.298,3.102,0.0,0.841,-0.464,-1.064,7.968,6.678,-0.449,0.321,0.811,-0.227,0.515,-6.308,-0.297,1.003,-6.454,-0.413
96,-0.481,6.614,1.04,0.283,3.721,0.0,0.737,-0.494,-1.181,7.829,7.296,-0.56,0.477,1.028,-0.102,0.288,-6.199,-0.481,1.028,-6.661,-0.055
97,-0.169,6.061,0.408,0.122,2.643,0.0,0.584,-0.48,-0.616,6.97,5.595,-0.598,0.262,0.777,-0.044,0.111,-5.655,-0.376,1.147,-5.411,-0.37
98,-0.208,7.315,1.273,-0.145,2.619,0.0,0.707,-0.467,-0.788,8.294,6.539,-0.731,0.279,0.842,0.205,0.107,-6.829,0.083,1.068,-6.201,-0.341
99,-0.385,7.567,0.381,0.058,2.922,0.0,0.711,-0.247,-0.849,8.886,6.693,-0.771,0.35,0.783,0.242,0.45,-6.905,-0.376,1.054,-6.501,-0.061
100,-0.047,6.35,0.761,-0.554,2.838,0.0,0.791,-0.737,-0.717,7.714,5.627,-0.474,0.221,0.546,-0.459,0.106,-6.031,0.08,1.037,-5.842,-0.388
101,-0.212,6.741,0.346,-0.175,2.84,0.0,0.738,-0.406,-0.815,7.705,6.386,-0.74,0.551,0.815,0.202,0.296,-6.061,-0.252,1.068,-5.663,-0.444
102,-0.249,6.579,0.025,0.201,3.663,0.0,0.744,-0.519,-0.696,7.902,7.198,-0.609,0.61,1.012,0.19,0.273,-6.217,-0.615,1.119,-6.598,-0.235
103,0.124,6.578,0.393,-0.087,3.121,0.0,0.751,-0.486,-0.467,7.693,6.792,-0.487,0.517,0.786,0.193,0.102,-6.344,-0.105,1.09,-6.206,-0.544
104,0.028,6.691,0.833,0.137,3.331,0.0,0.711,-0.552,-0.854,7.623,7.345,-0.411,0.659,1.048,0.305,-0.009,-6.225,0.147,0.989,-6.626,-0.429
105,0.117,6.667,0.672,0.293,3.182,0.0,0.766,-0.329,-0.677,7.93,7.386,-0.503,0.36,1.088,0.627,0.145,-6.272,-0.011,0.957,-6.7,-0.469
106,-0.404,7.007,0.977,-0.079,4.019,0.0,0.964,-0.648,-0.878,8.152,7.673,-0.718,0.437,0.917,-0.153,0.329,-6.408,-0.254,0.939,-7.168,-0.177
107,-0.167,7.644,1.068,0.133,3.046,0.0,0.642,-0.436,-0.489,8.884,7.275,-0.744,0.384,0.87,0.149,0.213,-7.195,-0.154,1.087,-6.835,-0.339
108,-0.064,6.555,0.229,-0.253,1.947,0.0,0.606,-0.561,-0.589,7.528,4.65,-0.725,0.183,0.605,-0.231,0.21,-5.907,-0.196,1.085,-4.82,-0.356
109,0.026,6.888,0.297,-0.438,2.461,0.0,0.737,-0.574,-0.592,8.085,6.107,-0.622,-0.014,0.772,0.212,0.08,-6.405,0.182,1.026,-6.048,-0.539
110,-0.29,6.542,0.74,0.17,3.094,0.0,0.719,-0.413,-0.748,7.581,6.358,-0.66,0.326,0.64,-0.127,0.335,-5.937,-0.145,0.858,-5.97,-0.27
111,-0.059,6.687,0.874,-0.191,3.284,0.0,0.689,-0.643,-0.543,7.396,6.885,-0.484,0.558,0.639,-0.038,0.06,-6.212,0.036,1.005,-6.458,-0.648
112,-0.298,6.633,0.814,-0.27,2.601,0.0,0.839,-0.48,-0.855,7.892,6.012,-0.54,0.41,0.769,-0.158,0.189,-6.347,-0.074,1.031,-5.917,-0.273
113,-0.487,6.898,1.349,0.645,4.426,0.0,0.892,-0.372,-1.15,7.715,8.605,-0.578,0.846,1.246,0.285,0.239,-6.236,-0.311,0.926,-7.406,-0.264
114,-0.822,6.873,0.25,-0.167,3.529,0.0,0.818,-0.675,-1.11,8.216,6.683,-0.463,0.42,1.02,-0.598,0.316,-6.659,-0.215,1.224,-6.848,-0.125
115,0.072,6.727,0.926,0.052,3.347,0.0,0.732,-0.552,-0.622,7.755,7.63,-0.555,0.527,1.041,0.502,0.066,-6.333,0.036,0.949,-6.479,-0.325
116,0.058,6.751,0.634,-0.077,2.678,0.0,0.672,-0.32,-0.812,8.24,6.655,-0.531,0.35,0.806,0.284,0.048,-6.429,-0.047,1.071,-6.085,-0.3
117,-0.574,6.652,0.224,-0.345,2.597,0.0,1.021,-0.338,-0.878,7.799,5.274,-0.549,0.321,0.724,-0.545,0.198,-6.156,-0.163,0.843,-5.748,-0.326
118,-0.252,7.459,0.636,0.172,3.419,0.0,0.719,-0.47,-0.702,8.595,7.613,-0.615,0.71,1.071,0.274,0.16,-6.972,-0.096,0.948,-7.295,-0.117
119,-0.306,7.197,0.684,0.076,3.775,0.0,0.867,-0.673,-0.718,8.294,7.145,-0.458,0.568,0.913,-0.436,0.157,-6.806,-0.137,1.102,-7.132,-0.237
120,0.405,6.918,0.932,-0.268,2.975,0.0,0.889,-0.664,-0.731,7.783,7.023,-0.519,0.512,0.679,0.325,-0.022,-6.383,0.289,1.039,-6.321,-0.499
121,-0.242,6.779,0.673,-0.388,2.87,0.0,0.769,-0.516,-0.984,7.706,6.023,-0.721,0.501,0.704,-0.149,0.251,-6.08,0.113,1.016,-5.73,-0.29
122,-0.188,6.366,1.18,-0.091,3.184,0.0,0.884,-0.52,-0.781,7.59,6.569,-0.483,0.416,0.99,-0.073,0.222,-6.096,-0.01,1.085,-6.165,-0.328
123,-0.103,6.768,0.591,-0.406,2.54,0.0,0.974,-0.714,-0.781,8.149,5.879,-0.584,0.247,0.751,-0.216,-0.026,-6.519,0.019,1.023,-5.941,-0.322
124,-0.096,7.153,0.336,-0.175,2.568,0.0,0.857,-0.485,-0.656,8.061,6.336,-0.673,0.387,0.9,0.289,0.254,-6.597,-0.021,0.997,-5.968,-0.467
125,-0.101,6.992,1.216,-0.156,3.205,0.0,0.844,-0.544,-0.932,8.105,7.276,-0.684,0.243,0.917,0.251,0.005,-6.495,0.058,1.079,-6.728,-0.61
126,-0.719,7.031,0.063,-0.218,2.971,0.0,0.893,-0.472,-1.275,8.616,6.433,-0.351,0.407,1.057,-0.408,0.301,-6.857,-0.394,1.131,-6.675,0.027
127,-0.384,7.115,0.504,-0.124,2.693,0.0,0.784,-0.521,-1.051,8.568,6.106,-0.369,0.254,0.85,-0.277,0.211,-6.922,-0.096,1.091,-6.424,-0.303
128,-0.124,5.975,0.586,-0.496,2.368,0.0,0.797,-0.445,-0.627,7.302,5.303,-0.708,0.093,0.655,0.129,0.127,-5.531,0.007,0.926,-5.057,-0.262
129,0.004,6.592,1.44,-0.349,2.758,0.0,0.673,-0.652,-0.619,7.454,6.431,-0.614,0.534,0.64,0.065,-0.084,-6.222,0.273,0.937,-6.027,-0.395
130,-0.564,7.227,0.746,-0.068,3.341,0.0,0.779,-0.416,-1.239,8.41,7.065,-0.667,0.468,1.034,-0.241,0.251,-6.765,-0.117,0.9,-7.022,-0.517
131,-0.71,6.236,0.564,-0.09,3.428,0.0,0.705,-0.528,-1.122,7.397,6.447,-0.409,0.636,0.956,-0.431,0.245,-5.943,-0.343,0.936,-6.318,-0.193
132,-0.396,6.736,0.945,0.007,2.916,0.0,0.535,-0.533,-0.863,8.336,6.719,-0.507,0.228,1.08,0.07,0.384,-6.496,-0.268,1.125,-6.283,-0.008
133,0.1,7.355,0.702,-0.369,2.707,0.0,0.916,-0.585,-0.487,8.253,6.41,-0.727,0.33,0.67,0.128,0.089,-6.696,0.202,0.967,-6.158,-0.555
134,-0.183,6.78,1.268,-0.168,2.434,0.0,0.603,-0.355,-0.811,8.131,5.861,-0.747,0.32,0.835,0.029,0.4,-6.258,0.189,1.041,-5.696,-0.287
135,-0.708,6.875,0.351,0.031,3.245,0.0,0.769,-0.349,-1.098,8.027,6.92,-0.499,0.379,1.031,-0.076,0.503,-6.397,-0.303,1.04,-6.649,-0.131
136,-0.36,6.634,0.163,-0.318,3.531,0.0,0.868,-0.8,-1.04,7.974,6.954,-0.718,0.461,0.874,-0.199,0.18,-6.195,-0.254,0.977,-6.662,-0.278
137,-0.431,6.875,0.536,0.265,3.046,0.0,0.817,-0.307,-0.826,8.213,6.75,-0.531,0.403,1.008,0.099,0.267,-6.423,-0.3,1.099,-6.389,-0.42
138,-0.234,6.229,0.937,0.078,3.489,0.0,0.771,-0.563,-0.766,7.074,6.688,-0.654,0.299,0.742,0.035,-0.054,-5.766,-0.003,0.965,-5.917,-0.287
139,-0.467,6.434,0.742,-0.187,3.289,0.0,0.636,-0.691,-0.999,7.715,6.482,-0.629,0.517,0.703,-0.276,0.395,-5.846,-0.289,1.188,-5.911,-0.025
140,-0.702,6.892,0.621,-0.262,3.102,0.0,0.841,-0.498,-1.168,8.471,6.135,-0.536,0.475,0.964,-0.59,0.506,-6.576,-0.306,1.155,-6.499,-0.128
141,-0.226,6.928,0.388,-0.178,2.602,0.0,0.843,-0.451,-0.793,7.951,5.997,-0.51,0.531,0.627,0.046,0.135,-6.31,-0.217,0.95,-5.859,-0.251
142,-0.645,6.646,0.512,-0.246,2.958,0.0,0.984,-0.495,-0.846,7.925,6.234,-0.549,0.21,0.686,-0.628,0.33,-6.584,-0.126,0.977,-6.505,-0.222
143,0.656,7.212,1.155,-0.206,3.246,0.0,0.786,-0.683,-0.264,7.912,7.649,-0.702,0.653,0.873,0.863,-0.165,-6.47,0.113,1.025,-6.562,-0.165
144,-0.372,7.057,0.178,-0.128,2.537,0.0,0.686,-0.409,-0.976,8.522,5.78,-0.538,0.269,0.664,-0.192,0.105,-6.889,-0.158,1.298,-6.047,-0.239
145,-0.616,7.072,0.197,-0.002,2.687,0.0,0.606,-0.414,-0.743,8.124,5.952,-0.676,0.345,0.917,-0.259,0.4,-6.42,-0.433,1.227,-5.972,-0.108
