x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,y,x15,x16,x17,x18,x19,x20
-0.616,-2.979,0.245,-0.488,-0.048,0.377,0.19,1.223,0.469,-0.243,0.4,0.634,-3.969,1.603,1.0,-0.335,-0.924,0.014,-0.305,-0.192,2.316
-0.407,-3.84,0.064,-0.152,-0.172,0.482,0.208,1.194,0.639,-0.377,0.406,0.645,-4.451,1.488,1.0,-0.273,-0.701,0.357,-0.502,-0.402,2.184
-0.417,-3.551,-0.085,-0.288,-0.254,0.338,0.158,1.272,0.823,0.064,0.705,0.816,-4.179,1.495,1.0,-0.205,-0.289,0.242,-0.347,-0.248,2.308
-0.749,-3.09,0.175,-0.304,-0.156,0.508,0.2,1.224,0.611,-0.493,0.81,0.637,-4.107,1.551,1.0,-0.056,-0.838,0.21,-0.432,-0.214,2.067
-0.368,-3.184,0.214,-0.022,-0.437,-0.013,0.459,1.523,0.768,-0.405,0.842,0.777,-4.311,1.345,1.0,-0.013,-0.112,-0.082,-0.786,-0.164,2.059
-0.671,-3.163,0.004,-0.223,-0.273,0.352,0.288,1.485,0.616,-0.203,0.561,0.775,-4.186,1.67,1.0,-0.206,-0.48,0.19,-0.444,-0.119,2.169
-0.693,-2.752,0.132,-0.372,-0.026,0.643,0.155,0.958,0.594,-0.329,0.125,0.615,-4.614,1.492,1.0,-0.142,-1.015,-0.107,-0.839,-0.172,1.954
-0.202,-3.293,0.205,-0.354,-0.079,0.342,0.418,1.137,0.577,-0.009,0.562,0.776,-4.471,1.304,1.0,-0.093,-0.795,-0.217,-0.69,-0.02,2.215
-0.634,-3.087,0.077,-0.528,0.113,0.741,0.029,0.858,0.518,-0.462,-0.182,0.728,-4.008,1.245,1.0,0.044,-1.398,-0.037,-0.524,-0.226,1.986
-0.466,-2.673,-0.071,0.071,-0.483,-0.174,0.364,1.726,0.803,-0.552,0.741,0.612,-3.856,1.399,1.0,-0.173,0.254,0.567,-0.327,-0.234,1.731
-0.238,-3.637,0.227,-0.029,-0.446,0.126,0.394,1.493,0.666,-0.257,0.87,0.815,-4.366,1.39,1.0,-0.198,-0.336,0.12,-0.308,-0.202,2.38
-0.588,-3.527,0.046,0.134,-0.471,0.046,0.222,1.676,0.973,-0.408,0.654,0.697,-4.692,1.486,1.0,-0.056,-0.171,0.147,-0.239,-0.371,2.203
-0.526,-3.231,-0.062,0.031,-0.292,0.216,0.345,1.431,0.552,-0.264,0.754,0.654,-4.4,1.609,1.0,-0.027,-0.451,0.127,-0.533,-0.27,2.224
-0.208,-3.06,0.184,0.264,-0.594,-0.374,0.343,2.129,1.014,-0.441,1.154,0.634,-3.865,1.451,1.0,-0.237,0.699,0.225,-0.026,-0.059,2.278
-0.632,-3.746,-0.078,-0.146,-0.277,0.178,0.276,1.45,0.75,-0.505,0.542,0.73,-4.346,1.697,1.0,-0.156,-0.357,0.462,-0.16,-0.215,2.134
-0.566,-2.992,0.057,0.148,-0.453,-0.002,0.311,1.657,0.887,-0.565,1.203,0.552,-4.017,1.429,1.0,-0.193,0.152,0.312,-0.395,-0.156,1.932
-0.387,-3.82,0.248,-0.136,-0.242,0.333,0.173,1.232,0.652,-0.135,0.537,0.582,-4.411,1.201,1.0,-0.062,-0.729,0.165,-0.631,-0.173,2.16
-0.169,-2.594,0.187,-0.309,-0.468,-0.059,0.319,1.662,0.887,-0.287,0.985,0.664,-4.01,1.289,1.0,0.012,0.033,0.166,-0.547,-0.234,2.056
-0.184,-3.63,0.035,0.235,-0.497,-0.149,0.471,1.839,0.736,-0.479,1.15,0.714,-4.129,1.553,1.0,-0.222,-0.149,0.232,-0.129,-0.076,2.281
0.081,-2.206,0.239,0.136,-0.508,-0.244,0.403,1.777,1.094,-0.31,0.886,0.681,-3.927,1.314,1.0,-0.099,0.743,0.132,-0.442,-0.076,1.814
-0.022,-3.182,0.108,0.274,-0.72,-0.173,0.501,1.935,0.762,-0.342,0.881,0.489,-4.13,1.402,1.0,-0.125,0.472,0.138,-0.396,0.069,2.113
-0.754,-3.213,0.113,-0.128,-0.128,0.311,0.147,1.198,0.687,-0.353,0.538,0.569,-4.151,1.651,1.0,-0.214,-0.702,0.292,-0.357,-0.097,2.085
-0.328,-3.43,0.017,-0.293,-0.3,0.062,-0.025,1.712,0.842,-0.186,1.039,1.008,-4.027,1.506,1.0,-0.086,-0.024,0.091,-0.087,-0.408,2.321
-0.615,-3.556,0.168,-0.103,-0.358,-0.124,0.154,1.872,0.592,-0.694,0.847,0.802,-4.417,1.567,1.0,-0.109,-0.286,-0.119,-0.742,-0.12,2.237
-0.301,-2.845,0.122,0.283,-0.67,-0.281,0.433,2.007,1.004,-0.544,1.521,0.634,-4.715,1.627,1.0,-0.197,0.528,0.208,-0.435,-0.24,2.16
-0.49,-4.398,0.128,0.068,-0.479,0.259,0.37,1.831,0.877,-0.53,0.81,0.704,-4.424,1.609,1.0,-0.083,0.001,0.073,-0.567,-0.155,2.19
-0.578,-2.961,0.114,-0.51,0.086,0.571,0.031,1.052,0.401,-0.366,-0.151,0.546,-4.137,1.225,1.0,-0.235,-1.242,0.086,-0.808,-0.234,2.135
-0.343,-4.027,-0.101,0.03,-0.547,0.183,0.446,1.618,0.757,-0.385,0.985,0.704,-4.229,1.331,1.0,-0.139,-0.016,0.35,-0.367,-0.131,2.151
-0.381,-3.055,0.121,-0.72,0.285,0.683,0.25,0.683,0.134,-0.247,-0.227,0.623,-4.394,0.795,1.0,-0.24,-1.846,0.014,-1.012,-0.313,2.127
-0.259,-3.043,0.201,0.002,-0.408,0.379,0.372,1.747,0.625,-0.405,0.829,0.83,-3.941,1.447,1.0,-0.088,-0.425,-0.065,-0.738,0.102,2.12
-0.392,-2.67,0.035,0.016,-0.352,0.114,0.286,1.426,0.806,-0.359,0.722,0.599,-4.483,1.582,1.0,-0.192,-0.055,0.18,-0.521,-0.419,2.116
-0.749,-4.549,0.083,0.131,-0.048,0.594,0.091,1.11,0.416,-0.465,0.381,0.625,-3.63,0.992,0.0,0.212,-1.278,-0.029,-0.541,-0.407,2.066
-0.518,-4.163,0.255,0.344,-0.132,0.707,0.068,1.333,0.033,-0.344,0.346,0.752,-3.579,1.234,0.0,-0.022,-1.468,-0.048,-0.616,-0.078,2.328
-0.381,-3.657,0.072,0.385,-0.354,0.209,0.182,1.645,0.359,-0.335,0.732,0.465,-3.939,0.693,0.0,0.312,-0.725,0.108,-0.703,-0.087,2.117
-0.476,-4.278,0.075,0.615,-0.371,0.151,0.354,1.943,0.474,-0.704,1.029,0.818,-3.356,1.127,0.0,0.251,-0.685,-0.237,-0.722,-0.208,2.107
-0.542,-3.361,-0.02,0.676,-0.344,0.013,0.196,1.786,0.428,-0.475,0.752,0.583,-3.946,1.162,0.0,0.076,-0.322,0.048,-0.382,0.094,2.576
-0.441,-4.554,0.104,0.554,-0.377,0.211,0.217,1.348,0.305,-0.299,0.877,0.635,-4.04,1.018,0.0,0.1,-0.789,0.135,-0.485,-0.129,2.36
-0.715,-4.978,0.199,0.088,-0.021,0.66,0.069,1.297,0.206,-0.45,0.094,0.867,-3.817,0.908,0.0,0.156,-1.567,0.07,-0.472,-0.48,2.434
-0.543,-3.209,0.105,0.081,-0.046,0.437,0.101,1.341,0.114,-0.382,0.314,0.669,-3.822,1.102,0.0,0.268,-1.334,0.262,-0.803,-0.112,2.129
-0.343,-4.171,0.286,0.251,-0.21,0.491,0.288,1.442,0.254,-0.247,0.39,0.924,-3.965,0.904,0.0,0.232,-1.053,-0.032,-0.489,-0.119,2.481
0.042,-4.564,0.072,0.759,-0.576,0.1,0.489,2.156,0.389,-0.495,1.417,0.703,-3.074,0.964,0.0,0.224,-0.385,0.322,-0.223,-0.042,2.106
-0.718,-3.165,-0.079,0.303,-0.269,0.365,0.065,1.264,0.153,-0.511,0.374,0.778,-3.784,1.041,0.0,0.088,-0.941,0.095,-0.49,-0.146,2.09
-0.336,-3.819,0.327,-0.044,0.088,0.612,0.176,1.223,0.094,-0.055,-0.02,0.882,-3.741,0.838,0.0,-0.023,-1.151,0.035,-0.564,-0.158,2.671
0.038,-4.854,0.224,0.677,-0.514,0.459,0.472,1.839,0.349,-0.296,0.714,0.6,-3.589,1.01,0.0,0.051,-0.664,-0.219,-0.629,-0.099,2.093
0.103,-2.725,0.022,0.668,-0.563,-0.068,0.231,1.83,0.64,-0.239,1.226,0.62,-3.441,0.978,0.0,0.169,0.081,0.243,-0.181,0.15,2.254
-0.504,-3.39,0.175,0.328,-0.206,0.406,0.138,1.283,0.263,-0.463,0.463,0.647,-3.994,0.797,0.0,0.22,-1.032,0.112,-0.545,-0.2,2.16
-0.553,-3.6,0.295,-0.083,0.157,0.978,-0.06,0.883,0.033,-0.19,-0.097,0.816,-3.674,0.73,0.0,0.097,-1.687,-0.144,-0.706,-0.273,2.51
-0.534,-3.585,0.109,-0.037,0.074,0.734,-0.065,1.163,-0.127,-0.382,0.188,0.653,-3.721,0.69,0.0,0.125,-1.7,0.093,-0.64,-0.126,2.229
-0.768,-3.806,0.041,-0.356,0.381,1.231,0.045,0.674,-0.173,-0.343,0.049,0.672,-3.89,0.615,0.0,0.299,-2.898,-0.044,-1.004,-0.293,2.074
-0.502,-3.749,0.368,-0.376,0.317,1.104,0.015,0.675,-0.343,-0.193,0.019,0.795,-4.13,0.938,0.0,0.029,-2.558,-0.21,-0.852,-0.184,2.617
-0.456,-3.979,-0.066,0.599,-0.203,0.392,0.1,1.583,0.221,-0.368,0.497,0.694,-4.168,1.18,0.0,0.057,-0.745,0.443,-0.494,-0.186,2.352
-0.321,-3.816,0.166,0.266,-0.086,0.69,0.197,1.22,0.117,-0.181,0.336,0.85,-3.875,0.851,0.0,0.142,-1.435,0.296,-0.401,0.006,2.355
-0.557,-4.281,0.182,0.253,-0.203,0.634,0.121,1.229,0.083,-0.342,0.309,0.517,-3.67,0.974,0.0,-0.001,-1.187,0.01,-0.764,-0.43,2.058
-0.099,-4.743,0.384,0.611,-0.533,0.167,0.253,1.96,0.408,-0.397,0.979,0.891,-3.954,0.974,0.0,0.207,-0.483,-0.178,-0.436,0.111,2.34
-0.606,-4.004,0.124,0.502,-0.3,0.391,0.241,1.349,0.307,-0.364,0.616,0.413,-4.231,0.962,0.0,-0.083,-0.732,0.025,-0.757,-0.173,2.402
-0.049,-4.048,0.049,0.43,-0.345,0.334,0.345,1.724,0.365,-0.239,0.649,0.822,-3.326,1.081,0.0,0.062,-0.625,0.176,-0.212,-0.059,2.396
-0.117,-3.79,0.158,0.352,-0.314,0.123,0.402,1.709,0.495,-0.339,0.907,0.541,-3.525,1.011,0.0,0.04,-0.254,0.021,-0.297,0.044,2.227
-0.519,-4.95,0.277,0.093,-0.149,0.824,0.147,1.366,0.286,-0.432,0.428,0.851,-4.163,1.097,0.0,0.165,-1.401,-0.184,-0.907,-0.052,2.366
-0.58,-3.652,-0.049,0.902,-0.392,0.28,0.139,1.677,0.404,-0.557,0.689,0.563,-3.603,0.956,0.0,0.228,-0.513,0.221,-0.51,-0.095,1.828
-0.526,-3.615,0.147,0.29,-0.143,0.446,0.132,1.564,0.183,-0.368,0.532,0.694,-3.818,1.093,0.0,-0.131,-1.11,-0.092,-0.762,-0.098,2.314
-0.51,-3.661,0.323,0.229,-0.062,0.657,0.149,1.354,0.221,-0.414,0.355,0.625,-3.766,0.815,0.0,0.136,-1.225,0.106,-0.419,-0.226,2.299
-0.255,-4.702,0.219,0.657,-0.478,0.115,0.254,2.066,0.673,-0.459,0.958,0.676,-3.879,1.339,0.0,0.142,-0.193,0.064,-0.295,-0.247,2.293
-0.337,-3.678,0.148,0.507,-0.346,0.315,0.323,1.525,0.56,-0.479,0.643,0.828,-3.532,1.127,0.0,0.242,-0.579,0.126,-0.499,-0.012,2.143
-0.572,-4.415,0.041,-0.143,0.023,0.686,0.053,0.99,0.02,-0.154,0.126,0.604,-3.762,0.848,0.0,-0.094,-1.421,0.12,-0.522,-0.092,2.418
-0.667,-4.34,0.134,0.251,-0.174,0.728,0.04,1.11,0.233,-0.289,0.273,0.564,-3.974,1.034,0.0,-0.042,-1.194,0.069,-0.517,-0.087,2.4
-0.249,-4.429,0.087,0.463,-0.349,0.232,0.331,1.566,0.303,-0.481,0.764,0.485,-3.363,0.967,0.0,0.169,-0.845,0.171,-0.605,-0.26,1.84
-0.339,-4.245,-0.03,0.157,0.059,0.815,0.167,0.879,0.347,-0.134,0.397,0.557,-4.144,0.79,0.0,0.086,-1.512,0.366,-0.477,0.036,2.045
-0.492,-4.3,-0.084,0.361,-0.167,0.474,0.316,1.502,0.117,-0.521,0.718,0.584,-3.592,1.077,0.0,-0.179,-1.326,0.192,-0.591,-0.03,2.29
-1.024,-4.583,-0.094,-0.081,0.063,0.745,-0.069,1.027,-0.13,-0.575,0.419,0.554,-3.682,0.574,0.0,0.085,-1.876,0.291,-0.599,-0.499,2.17
-0.589,-4.536,0.048,0.378,-0.186,0.486,0.265,1.111,0.464,-0.522,0.461,0.538,-3.924,0.573,0.0,0.395,-1.113,0.285,-0.617,-0.45,1.963
-0.354,-4.575,0.245,0.363,-0.291,0.313,0.323,1.645,0.478,-0.363,0.732,0.838,-4.362,1.188,0.0,0.119,-0.869,-0.041,-0.572,-0.119,2.411
-0.011,-4.097,-0.04,0.579,-0.513,0.278,0.375,1.767,0.512,-0.349,0.88,0.586,-4.011,0.999,0.0,0.149,-0.398,0.373,-0.412,0.109,2.168
-0.641,-4.348,0.07,0.251,-0.099,0.605,0.254,1.228,0.302,-0.385,0.324,0.589,-4.519,0.824,0.0,0.149,-1.28,-0.03,-1.03,-0.131,2.239
-0.418,-3.753,0.136,0.131,0.009,0.738,0.097,1.216,0.028,-0.305,-0.063,0.698,-3.727,0.832,0.0,0.047,-1.49,-0.142,-0.96,-0.249,2.111
-0.471,-4.446,-0.144,-0.064,0.082,0.643,-0.145,1.03,0.012,-0.189,0.062,0.77,-3.854,0.858,0.0,0.114,-1.585,0.173,-0.502,-0.706,2.454
-0.23,-4.71,0.204,0.088,-0.066,0.709,0.261,1.391,0.204,-0.263,0.406,0.697,-3.672,0.784,0.0,0.068,-1.544,0.107,-0.569,-0.145,2.222
0.329,-4.022,0.282,0.781,-0.494,0.012,0.454,1.834,0.482,-0.375,0.897,0.855,-3.102,0.977,0.0,0.176,-0.274,0.065,-0.078,-0.019,2.32
-0.205,-4.398,0.123,0.291,-0.152,0.593,0.41,1.29,0.137,-0.293,0.676,0.55,-3.479,0.628,0.0,0.234,-1.524,0.184,-0.578,-0.018,1.995
-0.401,-3.63,0.032,0.3,-0.216,0.472,0.261,1.367,0.128,-0.238,0.567,0.557,-4.033,1.16,0.0,-0.031,-1.05,0.365,-0.569,-0.182,2.351
-0.515,-3.564,0.184,-0.049,0.157,0.644,-0.006,1.062,0.157,-0.324,0.17,0.701,-3.819,0.869,0.0,0.134,-1.481,0.021,-0.596,-0.17,2.167
-0.58,-5.15,-0.071,0.035,0.062,0.982,-0.01,0.912,0.113,-0.267,-0.013,0.785,-4.002,0.629,0.0,0.257,-2.097,0.492,-0.529,-0.38,2.147
-0.324,-4.642,0.069,0.624,-0.503,0.065,0.265,2.003,0.448,-0.353,0.973,0.73,-3.881,1.196,0.0,0.104,-0.46,0.15,-0.515,-0.324,2.197
-0.659,-3.552,0.201,-0.03,0.16,0.883,0.145,1.01,-0.212,-0.365,0.017,0.717,-3.74,0.763,0.0,0.123,-2.148,0.042,-0.86,-0.273,2.161
-0.802,-4.673,-0.07,0.647,-0.47,0.362,-0.053,1.725,0.44,-0.433,0.796,0.892,-3.823,1.264,0.0,0.074,-0.714,0.319,-0.11,-0.425,2.557
-0.655,-3.607,0.095,0.45,-0.253,0.413,0.16,1.559,0.375,-0.523,0.639,0.467,-3.55,0.978,0.0,0.094,-0.979,0.149,-0.449,-0.325,2.138
-0.418,-2.834,0.06,0.461,-0.361,-0.139,0.169,1.948,0.223,-0.601,0.897,0.704,-3.507,1.264,0.0,-0.082,-0.194,0.1,-0.376,-0.137,2.483
-0.45,-3.886,0.147,0.697,-0.479,0.262,0.242,1.838,0.512,-0.415,0.833,0.499,-3.677,0.998,0.0,-0.012,-0.447,0.238,-0.612,0.064,2.024
-0.415,-3.848,0.062,0.558,-0.402,0.245,0.334,1.684,0.406,-0.486,1.138,0.719,-4.13,0.958,0.0,0.169,-0.544,0.173,-0.351,-0.054,2.409
-0.85,-5.295,0.21,0.108,0.027,0.741,-0.061,1.143,0.049,-0.347,0.219,0.604,-4.49,0.846,0.0,0.16,-1.841,0.099,-0.815,-0.397,2.322
-0.405,-3.986,-0.032,0.905,-0.635,-0.005,0.379,1.978,0.476,-0.689,0.767,0.795,-3.792,1.169,0.0,0.076,0.046,0.2,-0.456,-0.103,2.241
-0.331,-3.334,0.052,-0.047,0.008,0.644,0.136,1.145,-0.037,-0.094,0.242,0.803,-4.008,0.775,0.0,0.164,-1.39,0.282,-0.54,-0.115,2.279
-0.492,-4.103,0.088,0.28,-0.195,0.569,0.109,1.379,0.532,-0.361,0.629,0.752,-3.469,0.936,0.0,0.213,-1.072,0.159,-0.256,-0.222,1.99
-0.159,-3.99,0.116,0.521,-0.513,-0.09,0.416,2.009,0.534,-0.496,1.173,0.787,-4.121,1.171,0.0,0.252,-0.42,0.228,-0.543,-0.113,2.264
0.275,-4.249,0.094,0.833,-0.728,-0.125,0.459,2.29,1.029,-0.344,1.546,0.701,-3.848,0.763,0.0,0.17,0.489,0.355,0.058,-0.039,2.344
-0.457,-4.452,0.284,0.621,-0.394,0.137,0.107,1.607,0.548,-0.415,0.707,0.718,-3.904,0.974,0.0,0.178,-0.641,-0.09,-0.63,-0.259,2.11
-0.736,-3.139,0.028,0.146,0.028,0.517,0.043,1.313,0.323,-0.328,0.183,0.703,-3.844,1.081,0.0,0.159,-1.21,0.154,-0.389,-0.184,2.099
-0.831,-3.607,0.091,0.038,0.125,0.837,0.027,1.138,-0.164,-0.326,-0.005,0.761,-4.026,0.641,0.0,0.139,-1.785,0.018,-0.906,-0.011,2.415
-0.086,-3.292,0.21,0.756,-0.578,-0.237,0.443,1.935,0.635,-0.528,0.794,0.848,-3.593,0.986,0.0,0.096,0.037,-0.019,-0.273,-0.045,2.262
-0.601,-4.215,0.207,0.589,-0.25,0.376,0.226,1.539,0.241,-0.593,0.678,0.574,-3.901,0.735,0.0,0.247,-1.109,0.077,-0.706,-0.089,2.068
0.076,-4.343,0.146,0.53,-0.384,0.403,0.48,1.66,0.552,-0.251,0.681,0.816,-3.595,1.081,0.0,0.062,-0.841,0.064,-0.392,0.098,2.372
0.156,-3.66,0.243,0.47,-0.375,0.051,0.37,1.618,0.425,-0.213,0.771,0.701,-3.812,0.786,0.0,0.294,-0.52,0.132,-0.533,0.043,2.157
-0.529,-4.008,0.187,0.319,-0.174,0.375,0.391,1.454,0.356,-0.519,0.372,0.636,-3.636,1.169,0.0,0.152,-0.737,0.019,-0.414,-0.08,2.255
-0.69,-4.233,0.059,0.38,-0.35,0.509,0.108,1.65,0.573,-0.489,0.513,0.592,-3.867,1.182,0.0,0.04,-0.671,0.354,-0.322,0.067,2.107
-0.41,-4.796,-0.007,0.637,-0.5,0.05,0.302,1.948,0.45,-0.415,1.075,0.505,-4.154,1.05,0.0,0.115,-0.468,0.335,-0.459,-0.034,2.22
-0.797,-4.671,-0.056,-0.003,0.029,0.911,0.2,1.108,0.133,-0.349,0.301,0.718,-3.641,0.847,0.0,0.211,-1.549,0.272,-0.767,-0.497,2.079
-0.806,-4.253,0.064,0.085,0.04,0.803,0.07,1.252,-0.16,-0.354,0.672,0.753,-3.956,0.821,0.0,-0.083,-1.687,0.279,-0.571,-0.273,2.313
-0.684,-4.118,0.347,0.171,-0.113,0.377,-0.008,1.261,0.232,-0.271,0.504,0.881,-3.843,0.919,0.0,0.307,-1.142,0.221,-0.251,-0.554,2.202
-0.568,-4.528,-0.008,0.729,-0.515,0.216,0.238,1.928,0.729,-0.685,1.085,0.663,-3.787,1.186,0.0,0.388,-0.425,0.14,-0.385,-0.288,2.076
-0.264,-3.54,0.209,0.582,-0.53,-0.077,0.325,1.925,0.564,-0.56,1.166,0.813,-3.543,1.207,0.0,0.16,0.065,0.199,-0.296,0.016,2.22
-0.357,-4.611,0.124,0.433,-0.21,0.433,0.335,1.561,0.312,-0.439,0.674,0.934,-4.407,0.94,0.0,0.071,-0.851,0.023,-0.507,-0.042,2.553
0.163,-4.672,-0.04,0.926,-0.795,0.069,0.512,2.28,0.637,-0.477,1.239,0.544,-3.555,1.121,0.0,0.08,0.192,0.317,-0.213,-0.072,2.242
-0.646,-5.368,0.279,0.402,-0.151,0.617,0.29,1.421,0.18,-0.51,0.521,0.658,-4.062,0.988,0.0,0.141,-1.569,-0.096,-0.777,-0.269,2.385
-0.464,-4.074,0.257,0.063,-0.186,0.168,0.231,1.656,0.345,-0.551,0.293,0.654,-3.524,1.129,0.0,-0.114,-0.629,-0.079,-0.455,-0.362,2.319
-0.283,-3.756,-0.059,0.281,-0.267,0.177,0.508,1.655,0.419,-0.341,0.57,0.76,-4.072,0.961,0.0,0.261,-0.823,0.271,-0.406,-0.06,2.438
-0.456,-4.327,0.067,0.139,-0.054,0.76,0.153,1.159,0.072,-0.293,0.287,0.73,-3.65,0.723,0.0,0.047,-1.54,0.13,-0.593,-0.207,2.106
-0.64,-4.122,0.01,0.359,-0.12,0.451,0.029,1.14,0.338,-0.436,0.245,0.799,-3.965,1.036,0.0,0.359,-0.911,0.081,-0.75,-0.208,2.14
-0.579,-3.856,0.116,0.275,-0.228,0.429,0.242,1.372,0.095,-0.462,0.554,0.681,-3.919,0.86,0.0,0.168,-1.208,0.067,-0.665,-0.013,2.221
-0.509,-3.634,0.135,0.024,-0.165,0.463,0.19,1.293,0.324,-0.297,0.486,0.575,-3.633,0.975,0.0,0.155,-0.963,0.219,-0.314,0.058,2.196
-0.754,-4.314,0.087,-0.214,0.135,0.795,0.003,1.124,-0.169,-0.558,0.043,0.63,-4.125,0.603,0.0,0.012,-1.875,0.02,-0.852,-0.403,2.383
-0.27,-4.318,0.216,0.602,-0.46,0.236,0.263,1.539,0.563,-0.34,0.894,0.718,-3.792,0.967,0.0,0.032,-0.373,0.183,-0.4,-0.161,2.167
-0.296,-4.086,0.036,0.685,-0.464,0.243,0.26,1.955,0.585,-0.382,1.022,0.649,-3.975,1.187,0.0,0.045,-0.248,0.043,-0.296,-0.054,2.514
-0.378,-4.286,0.018,0.35,-0.31,0.399,0.174,1.28,0.432,-0.062,0.584,0.701,-3.696,1.207,0.0,0.023,-0.766,0.117,-0.287,-0.143,2.248
-0.411,-4.096,0.18,0.787,-0.482,0.078,0.185,1.828,0.524,-0.343,0.773,0.707,-3.847,1.105,0.0,0.233,-0.244,0.103,-0.325,-0.085,2.223
-0.659,-3.873,0.024,-0.206,0.111,0.825,-0.067,1.027,0.04,-0.265,0.223,0.717,-3.961,0.901,0.0,0.03,-1.581,0.197,-0.647,-0.253,2.303
-0.638,-4.542,0.21,-0.161,0.115,0.981,0.143,0.904,0.103,-0.245,0.002,0.71,-4.028,1.019,0.0,-0.03,-1.931,-0.158,-0.704,-0.023,2.515
-0.576,-4.448,0.184,0.431,-0.211,0.7,0.168,1.622,0.275,-0.465,0.766,0.491,-3.927,1.038,0.0,0.053,-1.318,0.018,-0.756,-0.268,2.142
-0.732,-5.489,0.07,0.263,-0.16,0.662,0.024,1.266,0.295,-0.358,0.246,0.567,-3.628,1.148,0.0,0.077,-1.198,-0.016,-0.559,-0.385,2.169
-0.281,-3.604,0.211,0.361,-0.274,0.237,0.25,1.63,0.193,-0.479,0.872,0.627,-3.464,1.01,0.0,0.143,-0.911,0.173,-0.562,-0.014,2.113
-0.676,-4.492,-0.077,0.489,-0.417,0.321,0.139,1.876,0.452,-0.379,1.018,0.668,-3.811,1.179,0.0,0.136,-0.544,0.201,-0.41,-0.327,2.309
-0.381,-5.245,0.112,-0.131,0.159,0.798,0.134,1.158,0.052,-0.371,0.083,0.697,-2.813,0.763,0.0,0.05,-1.95,0.019,-0.489,-0.074,2.166
-0.654,-5.092,0.021,0.573,-0.26,0.574,0.128,1.485,0.259,-0.439,0.477,0.581,-3.647,0.868,0.0,0.326,-1.35,0.198,-0.392,-0.19,2.039
-0.325,-2.718,0.003,0.415,-0.382,-0.025,0.274,1.754,0.391,-0.346,0.911,0.581,-3.482,1.165,0.0,0.088,-0.071,0.064,-0.291,0.174,2.215
-0.651,-4.366,-0.077,-0.011,0.025,0.408,0.293,1.413,0.139,-0.54,0.392,0.842,-3.976,1.015,0.0,0.1,-1.427,0.172,-0.211,0.024,2.656
-0.676,-4.486,0.152,0.341,-0.166,0.528,0.06,0.957,0.394,-0.19,0.32,0.755,-4.077,0.963,0.0,0.272,-0.819,-0.007,-0.688,-0.348,2.109
-0.799,-4.292,0.137,0.102,-0.042,0.812,0.058,1.089,0.257,-0.498,-0.014,0.648,-3.779,0.905,0.0,0.192,-1.613,-0.068,-0.673,-0.256,2.028
