x0,x1,x2,x3,x4,y,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
-0.76,5.868,0.495,0.165,2.341,1.0,0.175,-0.299,-0.91,7.491,5.398,-0.326,0.231,0.809,-0.291,0.389,-5.75,-0.426,1.055,-5.313,0.276
-0.931,6.735,1.076,-0.104,2.332,1.0,0.27,-0.445,-1.187,8.067,5.271,-0.541,0.062,0.813,-0.533,0.472,-6.402,-0.01,0.968,-5.811,0.073
-0.665,6.547,0.568,0.224,1.88,1.0,0.376,-0.196,-1.049,8.044,5.216,-0.437,0.152,0.821,-0.018,0.54,-6.274,-0.16,1.126,-5.28,0.31
-0.478,6.611,0.381,-0.164,2.36,1.0,0.392,-0.497,-1.147,8.116,5.622,-0.657,0.266,0.482,-0.482,0.26,-6.317,-0.206,0.961,-5.824,-0.204
-0.153,7.021,0.604,0.127,2.245,1.0,0.204,-0.53,-0.89,8.443,6.011,-0.699,0.092,0.796,-0.019,0.242,-6.705,-0.248,0.76,-5.979,0.084
-0.318,6.846,0.229,-0.162,1.971,1.0,0.417,-0.362,-0.809,8.394,4.798,-0.693,-0.034,0.36,-0.441,0.212,-6.545,0.06,1.042,-5.453,-0.107
-0.429,6.6,0.853,-0.066,1.965,1.0,0.2,-0.254,-0.907,8.378,5.471,-0.388,0.416,0.638,-0.183,0.329,-6.436,-0.142,1.065,-5.67,-0.05
-0.331,7.858,0.199,0.167,2.505,1.0,0.387,-0.403,-0.876,9.138,6.345,-0.545,0.1,0.703,-0.356,-0.02,-7.681,-0.363,0.959,-6.964,-0.089
-0.132,6.831,1.229,-0.05,1.911,1.0,0.359,-0.532,-0.665,8.1,5.475,-0.598,0.24,0.431,-0.278,0.192,-6.381,0.311,0.829,-5.674,-0.203
-1.042,6.535,0.349,0.431,2.342,1.0,0.167,-0.212,-1.279,8.243,5.579,-0.479,0.107,0.982,-0.398,0.379,-6.482,-0.615,0.923,-5.845,0.253
0.068,7.019,0.888,-0.083,1.632,1.0,0.305,-0.439,-0.561,8.394,5.706,-0.548,-0.083,0.499,0.266,-0.1,-6.952,0.047,1.069,-5.746,-0.18
-0.207,7.029,0.862,-0.021,1.965,1.0,0.213,-0.603,-0.667,8.107,5.301,-0.668,0.399,0.578,-0.249,0.051,-6.476,0.019,1.201,-5.27,-0.077
-1.192,7.263,0.774,0.227,2.731,1.0,0.257,-0.422,-1.583,8.531,5.71,-0.763,0.318,0.952,-0.812,0.564,-6.77,-0.553,1.056,-6.179,0.407
-0.419,6.564,1.757,-0.234,1.581,1.0,0.301,-0.423,-0.956,7.878,4.766,-0.564,-0.073,0.604,-0.365,0.278,-6.29,0.304,1.118,-5.042,-0.13
-0.486,7.142,0.278,-0.137,2.087,1.0,0.145,-0.555,-0.924,8.247,5.528,-0.69,0.279,0.598,-0.269,0.463,-6.697,-0.429,1.05,-5.476,0.191
-0.133,6.749,0.904,-0.372,1.492,1.0,0.252,-0.485,-0.653,8.187,4.888,-0.537,0.011,0.615,0.038,-0.018,-6.612,-0.112,1.211,-5.15,-0.02
-0.21,6.742,0.879,-0.248,1.621,1.0,0.254,-0.485,-0.795,8.368,5.203,-0.609,-0.176,0.574,-0.06,0.059,-6.607,0.252,0.986,-5.445,-0.285
-0.711,6.588,0.823,-0.01,2.441,1.0,0.266,-0.265,-1.121,8.392,5.988,-0.406,0.261,0.934,-0.019,0.527,-6.47,-0.204,1.237,-5.801,-0.02
-0.957,6.783,0.288,0.184,2.561,1.0,0.198,-0.35,-1.186,8.137,5.639,-0.467,0.261,0.827,-0.599,0.482,-6.529,-0.416,1.117,-6.016,0.14
-1.294,6.756,0.5,-0.276,1.281,1.0,0.397,-0.325,-1.453,8.673,4.051,-0.4,-0.19,0.639,-0.887,0.594,-6.756,-0.313,1.059,-5.092,0.534
-0.687,6.32,0.575,-0.389,2.202,1.0,0.488,-0.473,-1.043,7.533,4.929,-0.542,0.167,0.687,-0.318,0.575,-5.884,-0.201,1.085,-5.172,-0.066
-0.587,7.253,1.078,-0.195,2.74,1.0,0.344,-0.518,-1.108,8.927,6.385,-0.613,0.429,0.67,-0.542,0.474,-7.039,0.079,1.032,-6.644,0.009
-0.458,6.039,0.55,-0.562,1.7,1.0,0.424,-0.674,-0.934,7.491,4.38,-0.328,0.032,0.644,-0.653,0.16,-6.046,0.407,1.197,-4.952,-0.083
-0.676,6.371,0.821,-0.159,2.247,1.0,0.234,-0.598,-1.037,7.768,5.069,-0.641,0.08,0.729,-0.515,0.462,-6.13,-0.075,1.111,-5.273,0.166
0.166,7.572,1.245,-0.624,0.888,1.0,0.221,-0.546,-0.589,9.029,4.861,-0.47,0.045,0.29,-0.213,0.113,-7.527,0.448,1.036,-5.65,0.042
-0.071,6.728,0.728,-0.108,2.018,1.0,0.291,-0.626,-0.742,8.287,5.508,-0.279,0.239,0.619,-0.117,0.168,-6.668,0.114,1.067,-5.702,-0.152
-0.484,6.293,0.726,-0.209,1.982,1.0,0.222,-0.596,-0.821,8.025,5.265,-0.512,0.139,0.646,-0.326,0.424,-6.383,-0.234,1.026,-5.544,0.097
-0.686,6.918,0.496,0.045,2.383,1.0,0.497,-0.36,-1.131,8.513,5.65,-0.415,0.192,0.937,-0.336,0.636,-6.851,-0.411,1.177,-6.05,-0.166
-0.344,7.52,0.671,0.101,2.589,1.0,0.222,-0.353,-0.851,9.016,6.786,-0.581,0.294,0.959,-0.003,0.139,-7.239,-0.319,1.02,-6.796,-0.11
-0.438,6.3,0.63,-0.346,1.378,1.0,0.278,-0.492,-0.944,7.862,4.14,-0.541,0.064,0.491,-0.376,0.497,-6.036,-0.041,0.918,-4.914,-0.055
-0.539,6.691,0.509,-0.302,1.748,1.0,0.361,-0.318,-0.936,7.939,5.134,-0.609,0.159,0.591,-0.181,0.197,-6.471,-0.112,0.95,-5.259,0.031
-0.82,7.562,0.582,-0.245,2.378,1.0,0.296,-0.638,-1.034,8.924,6.113,-0.41,0.159,0.631,-0.808,0.199,-7.54,0.085,0.961,-6.918,0.286
-0.362,6.415,0.614,0.089,1.887,1.0,0.345,-0.354,-0.89,7.96,5.278,-0.54,-0.011,0.65,-0.134,0.098,-6.235,-0.249,1.016,-5.593,0.039
-0.764,7.003,1.108,-0.204,2.188,1.0,0.314,-0.39,-1.131,8.493,5.297,-0.673,0.254,0.531,-0.641,0.49,-6.646,-0.0,1.07,-5.851,0.006
-0.656,6.673,0.36,0.426,2.452,1.0,0.252,-0.289,-1.192,8.218,6.044,-0.438,0.36,0.99,-0.173,0.262,-6.475,-0.507,1.247,-5.792,-0.044
-0.694,6.88,0.884,-0.203,2.412,1.0,0.47,-0.638,-0.966,8.156,5.228,-0.519,0.341,0.444,-0.769,0.333,-6.494,-0.32,1.019,-5.951,-0.146
-0.829,7.211,0.199,0.237,2.44,1.0,0.353,-0.408,-1.206,8.557,6.334,-0.607,0.136,0.905,-0.329,0.342,-6.948,-0.596,0.907,-6.505,0.024
-0.765,6.468,0.678,0.08,2.244,1.0,0.441,-0.293,-1.098,8.192,5.293,-0.533,0.24,0.564,-0.521,0.524,-6.283,-0.282,0.963,-5.87,-0.001
-0.636,7.028,0.709,0.01,2.432,1.0,0.348,-0.535,-1.1,8.552,5.938,-0.708,0.071,0.63,-0.515,0.369,-6.788,-0.248,1.023,-6.099,0.026
-1.09,6.409,0.515,0.078,2.081,1.0,0.131,-0.398,-1.398,7.747,4.751,-0.465,0.154,0.76,-0.936,0.269,-6.233,-0.601,0.922,-5.735,-0.0
-0.207,6.499,0.74,0.033,1.991,1.0,0.223,-0.404,-0.775,7.534,5.326,-0.732,0.151,0.808,0.094,0.013,-6.054,-0.088,1.045,-5.163,-0.079
-0.785,6.359,1.049,0.403,2.446,1.0,0.196,-0.31,-1.257,7.555,5.925,-0.442,0.299,0.77,-0.35,0.536,-5.922,-0.479,1.036,-5.624,0.045
-0.883,6.353,0.4,-0.297,2.039,1.0,0.36,-0.348,-1.206,7.74,4.961,-0.42,0.131,0.895,-0.348,0.587,-6.081,-0.239,1.032,-5.248,0.118
-0.015,7.352,0.477,-0.075,2.244,1.0,0.175,-0.373,-0.784,8.705,6.344,-0.571,0.324,0.708,0.24,0.053,-7.007,-0.31,0.982,-6.331,-0.022
-0.27,6.101,0.354,-0.434,1.494,1.0,0.334,-0.37,-0.729,7.254,4.478,-0.443,0.343,0.661,0.06,0.443,-5.829,-0.075,0.992,-4.599,-0.025
-0.926,6.877,1.026,0.032,2.797,1.0,0.308,-0.465,-1.379,8.406,6.01,-0.575,0.342,0.984,-0.563,0.41,-6.705,-0.267,1.063,-6.074,-0.09
-0.869,5.953,0.934,-0.16,2.009,1.0,0.412,-0.471,-1.196,7.176,4.446,-0.513,0.153,0.589,-0.884,0.265,-5.654,0.128,0.971,-5.144,-0.185
-0.718,6.929,0.861,0.237,2.231,1.0,0.207,-0.359,-1.22,8.549,5.606,-0.524,0.244,0.658,-0.475,0.503,-6.732,-0.516,1.134,-5.895,0.068
-0.55,6.595,0.868,-0.225,1.657,1.0,0.343,-0.479,-1.003,8.008,4.015,-0.66,0.047,0.432,-0.713,0.412,-6.114,0.218,1.243,-4.791,-0.008
-0.494,6.627,0.661,-0.315,1.632,1.0,0.369,-0.474,-1.0,8.263,4.961,-0.613,0.211,0.485,-0.217,0.359,-6.418,-0.086,0.817,-5.28,0.113
-0.539,6.709,1.041,-0.622,0.505,1.0,0.344,-0.573,-0.995,7.702,2.716,-0.624,0.271,0.028,-1.048,0.191,-6.236,0.102,1.168,-4.335,0.134
-0.766,6.39,0.693,0.143,2.588,1.0,0.228,-0.278,-1.093,8.236,6.141,-0.341,0.18,0.988,-0.354,0.391,-6.51,-0.334,1.084,-6.304,0.288
-0.311,7.175,1.391,-0.379,1.568,1.0,0.416,-0.219,-0.88,8.363,4.918,-0.686,0.151,0.483,-0.074,0.19,-6.729,0.165,1.092,-5.26,-0.176
-0.553,6.684,0.99,0.055,1.944,1.0,0.304,-0.286,-1.141,7.666,5.22,-0.595,0.186,0.696,-0.01,0.325,-6.288,-0.08,1.018,-5.293,0.03
-0.483,7.02,0.516,0.207,2.224,1.0,0.408,-0.172,-1.109,8.766,6.169,-0.619,0.202,0.878,0.387,0.276,-6.785,-0.188,1.059,-5.802,0.102
-0.433,6.4,0.817,-0.046,1.879,1.0,0.26,-0.304,-0.763,7.876,4.586,-0.654,0.025,0.654,-0.325,0.337,-6.18,0.016,1.143,-4.938,0.025
-0.756,7.21,0.172,0.341,2.592,1.0,0.265,-0.414,-1.042,8.547,5.96,-0.703,0.392,0.765,-0.375,0.495,-6.689,-0.597,0.933,-6.302,0.026
-0.268,6.603,0.678,-0.217,1.618,1.0,0.411,-0.396,-0.713,7.794,5.086,-0.624,0.254,0.521,-0.016,0.154,-6.344,-0.271,0.923,-5.235,0.149
-0.536,7.055,0.848,0.322,2.645,1.0,0.297,-0.483,-0.899,8.92,6.338,-0.451,0.26,0.634,-0.465,0.199,-7.009,-0.46,1.144,-6.548,-0.242
-0.334,6.738,0.641,-0.062,2.135,1.0,0.238,-0.311,-0.991,8.259,5.824,-0.487,0.278,0.799,0.006,0.209,-6.516,-0.222,1.047,-5.809,-0.259
-0.123,6.824,0.187,-0.128,2.121,1.0,0.196,-0.49,-0.753,8.147,5.822,-0.555,0.207,0.674,-0.079,0.187,-6.6,-0.252,0.996,-5.86,-0.032
-0.775,6.11,0.35,-0.198,2.384,1.0,0.421,-0.406,-1.09,7.819,5.729,-0.254,0.291,0.864,-0.506,0.575,-6.217,-0.088,0.948,-6.088,0.045
-0.462,6.891,0.817,0.166,2.232,1.0,0.46,-0.423,-0.792,8.265,5.628,-0.622,0.286,0.776,-0.052,0.354,-6.456,-0.125,1.186,-5.603,0.063
0.157,6.645,0.225,-0.251,1.933,1.0,0.164,-0.588,-0.608,8.77,5.723,-0.268,-0.146,0.531,-0.167,0.109,-6.972,0.109,1.173,-6.03,-0.101
-0.823,6.504,0.662,0.039,2.358,1.0,0.266,-0.38,-1.241,7.987,5.557,-0.543,0.352,0.746,-0.432,0.518,-6.371,-0.652,1.187,-5.693,0.031
-0.238,7.093,0.227,-0.188,2.093,1.0,0.46,-0.342,-0.723,8.351,5.71,-0.608,0.084,0.667,0.165,0.317,-6.816,-0.295,0.961,-5.695,-0.264
-0.251,6.89,0.955,-0.325,2.398,1.0,0.399,-0.727,-0.629,8.758,6.362,-0.484,0.162,0.613,-0.183,0.261,-6.797,0.227,1.103,-6.25,-0.061
-0.972,6.855,1.374,0.169,2.617,1.0,0.236,-0.317,-1.191,8.37,6.12,-0.525,0.098,0.973,-0.262,0.356,-6.618,-0.295,1.104,-6.082,0.086
-0.539,6.453,0.783,-0.103,2.302,1.0,0.402,-0.786,-0.938,7.785,4.972,-0.576,0.283,0.564,-0.634,0.105,-6.178,-0.037,1.173,-5.4,-0.185
-0.312,7.159,0.581,0.063,1.983,1.0,0.191,-0.572,-0.764,8.745,5.647,-0.379,-0.148,0.587,-0.344,0.232,-7.284,-0.195,1.031,-6.086,0.09
-0.747,6.716,0.606,-0.144,2.404,1.0,0.341,-0.605,-1.061,8.178,5.284,-0.412,0.345,0.588,-0.669,0.214,-6.567,-0.139,0.99,-6.042,0.031
-0.936,6.039,0.576,-0.232,1.72,1.0,0.166,-0.538,-1.221,7.128,3.969,-0.653,-0.108,0.499,-0.862,0.389,-5.582,-0.389,1.167,-4.331,0.082
0.059,7.029,0.689,-0.841,1.367,1.0,0.492,-0.693,-0.689,8.538,4.633,-0.693,-0.064,0.282,-0.144,-0.002,-6.743,0.386,1.032,-5.185,-0.084
-0.586,6.249,1.188,-0.501,1.483,1.0,0.533,-0.451,-0.998,7.426,4.003,-0.532,-0.049,0.294,-0.568,0.29,-5.843,0.096,1.29,-4.529,-0.149
-0.444,6.404,-0.237,0.182,1.979,1.0,0.347,-0.409,-0.989,8.028,5.061,-0.394,-0.016,0.825,-0.306,0.052,-6.277,-0.35,0.915,-5.558,-0.085
-0.695,7.092,1.087,0.009,2.575,1.0,0.326,-0.455,-1.131,8.465,5.69,-0.622,0.501,0.686,-0.631,0.275,-6.758,-0.09,1.196,-5.973,-0.055
-0.775,6.723,0.388,0.162,2.41,1.0,0.311,-0.289,-1.162,8.152,5.63,-0.674,0.487,0.948,-0.105,0.561,-6.369,-0.48,1.102,-5.64,0.282
-0.671,6.527,0.692,0.036,2.078,1.0,0.375,-0.353,-1.102,7.744,4.994,-0.673,0.199,0.73,-0.255,0.397,-6.057,-0.513,1.037,-5.216,-0.017
-0.488,6.194,0.46,0.057,1.343,1.0,0.148,-0.348,-0.75,7.588,3.926,-0.494,0.087,0.484,-0.491,0.222,-6.067,-0.202,1.202,-4.589,0.083
-0.369,7.086,0.666,-0.271,2.142,1.0,0.332,-0.504,-0.917,9.062,5.734,-0.407,0.3,0.675,-0.368,0.278,-7.212,-0.021,1.315,-6.311,-0.127
-0.307,7.002,0.437,-0.111,1.952,1.0,0.185,-0.54,-0.922,8.66,5.826,-0.617,-0.037,0.66,-0.139,0.248,-6.886,-0.249,1.136,-5.83,-0.294
-0.528,7.046,0.074,-0.066,2.142,1.0,0.323,-0.447,-0.841,8.316,6.123,-0.464,0.136,0.716,-0.032,0.563,-6.775,-0.113,0.946,-6.218,-0.03
-0.188,7.187,1.274,-0.352,2.088,1.0,0.347,-0.629,-0.909,8.539,5.617,-0.595,0.173,0.317,-0.277,0.056,-6.861,0.109,0.942,-6.0,-0.193
-0.689,7.393,0.63,0.033,2.29,1.0,0.282,-0.356,-1.218,9.411,5.688,-0.463,0.256,0.653,-0.484,0.636,-7.225,-0.413,1.195,-6.226,0.21
-0.4,6.405,0.956,-0.266,1.969,1.0,0.37,-0.492,-0.703,7.898,5.434,-0.546,-0.055,0.785,0.183,0.395,-6.162,0.061,1.177,-5.224,-0.232
-0.485,6.697,0.435,-0.35,2.023,1.0,0.326,-0.631,-0.958,8.103,5.32,-0.543,0.305,0.669,-0.486,0.08,-6.586,-0.09,0.943,-5.826,-0.02
-1.267,6.62,0.991,0.17,2.463,1.0,0.296,-0.443,-1.286,8.569,5.388,-0.251,0.267,0.846,-1.062,0.529,-6.725,-0.165,1.168,-6.177,0.276
-1.034,6.499,0.499,-0.119,2.632,1.0,0.458,-0.497,-1.186,8.122,5.215,-0.493,0.507,0.775,-0.764,0.632,-6.098,-0.28,1.176,-5.544,0.019
0.097,6.968,0.946,-0.554,1.204,1.0,0.297,-0.493,-0.692,8.372,4.673,-0.639,-0.023,0.364,0.042,0.26,-6.654,0.292,1.261,-4.853,-0.17
-0.78,6.793,0.891,-0.007,2.59,1.0,0.204,-0.595,-1.007,8.06,5.828,-0.508,0.221,0.851,-0.638,0.468,-6.478,-0.04,1.019,-6.047,0.12
-0.458,6.611,0.492,0.231,2.267,1.0,0.091,-0.432,-0.965,8.157,5.859,-0.461,0.285,0.719,-0.12,0.388,-6.355,-0.367,0.984,-5.835,0.08
-0.34,7.17,0.675,0.289,2.31,1.0,0.159,-0.411,-0.71,8.433,6.074,-0.746,0.166,0.872,0.019,0.362,-6.779,-0.295,1.255,-5.779,0.022
-0.724,6.958,0.904,-0.595,1.279,1.0,0.347,-0.617,-1.068,8.075,3.883,-0.637,-0.187,0.396,-0.887,0.338,-6.588,0.034,0.888,-5.107,0.061
-0.271,6.836,0.235,0.057,2.396,1.0,0.292,-0.385,-0.584,8.642,6.206,-0.494,0.198,0.87,0.068,0.353,-6.712,-0.07,1.123,-6.037,0.102
-0.41,6.761,0.782,-0.172,1.816,1.0,0.437,-0.188,-0.774,8.36,5.249,-0.44,0.07,0.493,-0.07,0.332,-6.646,-0.082,1.087,-5.485,0.05
-0.711,6.982,0.688,0.097,2.229,1.0,0.442,-0.333,-1.136,8.235,5.442,-0.708,0.172,0.788,-0.359,0.245,-6.399,-0.344,1.035,-5.711,0.146
-0.76,6.891,0.698,0.156,2.426,1.0,0.187,-0.346,-1.363,8.457,6.063,-0.507,0.099,0.735,-0.314,0.602,-6.754,-0.467,1.167,-6.226,0.174
-0.454,6.283,0.304,-0.241,1.137,1.0,0.133,-0.4,-1.021,7.806,4.031,-0.414,-0.045,0.45,-0.356,0.366,-6.301,-0.094,1.051,-4.694,-0.205
-0.642,6.225,0.488,0.156,2.072,1.0,0.083,-0.493,-1.023,7.312,5.123,-0.591,0.131,0.597,-0.469,0.29,-5.995,-0.375,1.199,-5.114,0.195
-0.526,5.895,0.21,-0.374,1.768,1.0,0.333,-0.557,-0.83,7.022,4.445,-0.691,0.091,0.678,-0.293,0.278,-5.533,-0.263,1.126,-4.594,-0.174
-0.473,6.738,0.839,-0.089,2.085,1.0,0.275,-0.457,-1.077,8.32,5.474,-0.581,0.073,0.617,-0.361,0.408,-6.585,-0.182,0.974,-5.739,0.238
-1.135,7.034,0.667,-0.039,2.641,1.0,0.51,-0.399,-1.584,8.672,6.106,-0.465,0.423,0.966,-0.575,0.454,-6.89,-0.299,0.846,-6.533,-0.1
-0.438,6.718,-0.097,-0.11,1.795,1.0,0.366,-0.484,-0.856,8.048,4.781,-0.497,0.144,0.514,-0.127,0.14,-6.319,-0.294,1.209,-5.169,0.088
-0.947,6.975,0.606,0.233,2.795,1.0,0.343,-0.228,-1.219,8.7,6.186,-0.567,0.418,1.044,-0.443,0.727,-6.75,-0.523,1.093,-6.29,0.045
-0.069,7.495,0.571,-0.139,1.948,1.0,0.37,-0.461,-0.697,9.072,6.234,-0.56,0.276,0.589,0.262,0.13,-7.349,0.133,1.05,-6.36,-0.098
-0.66,6.204,0.761,-0.195,2.125,1.0,0.342,-0.413,-1.123,7.932,5.268,-0.565,0.266,0.686,-0.319,0.451,-6.003,-0.353,1.104,-5.111,0.241
-0.087,6.349,0.409,-0.17,1.893,1.0,0.329,-0.562,-0.642,7.705,4.963,-0.405,0.198,0.563,-0.326,0.145,-6.239,-0.196,1.074,-5.223,-0.193
-0.293,6.631,0.509,-0.151,2.156,1.0,0.392,-0.453,-1.085,7.96,5.431,-0.641,0.212,0.685,0.06,0.208,-6.204,0.158,1.117,-5.208,0.092
-0.161,7.229,0.911,-0.094,1.911,1.0,0.244,-0.413,-0.678,8.558,5.897,-0.621,0.318,0.666,0.126,0.192,-7.05,0.053,1.066,-5.96,-0.054
-0.149,5.886,0.582,-0.408,1.73,1.0,0.365,-0.563,-0.588,7.124,4.855,-0.413,0.254,0.642,-0.024,0.166,-5.743,0.075,0.833,-4.791,-0.218
-0.656,7.154,0.853,-0.176,1.729,1.0,0.525,-0.338,-1.115,8.922,5.031,-0.368,0.116,0.699,-0.51,0.332,-7.168,-0.061,1.056,-6.021,-0.146
-0.528,6.21,0.997,-0.092,2.033,1.0,0.365,-0.48,-1.05,7.632,4.935,-0.415,0.171,0.576,-0.425,0.219,-5.938,-0.155,1.101,-5.145,-0.085
-0.251,6.974,0.469,0.084,2.269,1.0,0.283,-0.355,-0.924,8.302,6.421,-0.47,0.228,0.816,0.168,0.322,-6.901,-0.383,0.894,-6.255,-0.098
-0.142,7.089,0.612,0.008,2.214,1.0,0.283,-0.307,-0.981,8.358,6.135,-0.543,0.203,0.625,0.052,0.161,-6.93,-0.182,0.966,-6.141,0.013
-0.879,7.235,0.784,-0.37,2.271,1.0,0.378,-0.659,-1.083,8.601,5.254,-0.488,0.268,0.623,-0.95,0.263,-6.884,0.128,1.069,-6.199,0.161
-0.546,7.426,0.829,0.01,2.009,1.0,0.457,-0.238,-0.862,8.977,6.037,-0.456,0.164,0.78,-0.082,0.401,-7.27,-0.329,1.054,-6.286,0.193
-0.348,6.502,0.712,0.063,2.182,1.0,0.465,-0.125,-0.65,8.595,6.121,-0.392,0.136,1.181,0.459,0.568,-6.64,-0.171,1.25,-5.742,-0.264
0.031,6.247,1.276,-0.372,1.403,1.0,0.048,-0.572,-0.617,7.886,4.665,-0.277,0.126,0.26,-0.4,-0.05,-6.359,0.296,1.077,-5.299,0.301
-0.726,6.84,0.282,-0.097,2.111,1.0,0.591,-0.3,-0.996,8.39,5.033,-0.552,0.307,0.895,-0.298,0.518,-6.431,-0.307,1.136,-5.384,-0.11
