x0,y,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0.947,1.0,-2.856,-3.225,-2.744,-3.755,-2.527,0.954,0.28,-0.299,-0.104,-1.153,-0.012,2.573,2.08,0.308,-3.302,-1.954,0.152,0.43,0.963
0.732,1.0,-1.857,-3.042,-1.767,-3.252,-2.087,0.555,0.337,-0.011,0.257,-0.704,0.436,2.487,1.787,-0.035,-2.842,-0.847,0.446,0.197,0.121
0.703,1.0,-2.587,-3.502,-2.43,-3.786,-2.489,0.957,0.216,-0.107,0.215,-0.865,0.116,2.819,2.089,0.116,-3.472,-1.407,0.472,0.272,0.418
0.33,1.0,-1.627,-2.677,-1.358,-2.463,-1.91,0.857,0.229,-0.349,0.167,-1.064,0.226,2.53,1.257,0.059,-2.097,-1.337,0.872,0.356,0.433
0.818,1.0,-2.322,-2.927,-2.021,-3.134,-2.251,0.866,0.242,-0.044,0.33,-0.883,-0.011,2.188,1.88,0.019,-2.863,-1.286,0.603,0.354,0.621
0.559,1.0,-2.11,-3.085,-1.964,-3.412,-2.353,1.004,0.197,-0.082,0.121,-0.808,-0.084,2.71,1.855,0.137,-3.065,-1.226,0.596,0.203,0.305
0.952,1.0,-2.503,-3.354,-2.536,-3.769,-2.268,0.595,0.302,-0.035,-0.073,-0.735,0.114,2.73,1.962,0.239,-3.198,-1.248,0.13,0.098,0.391
0.791,1.0,-2.764,-2.932,-2.502,-3.465,-2.383,1.09,0.097,0.045,0.067,-1.003,-0.051,2.487,1.893,0.351,-3.125,-1.603,0.364,0.155,0.393
0.862,1.0,-2.053,-2.627,-2.084,-3.179,-1.994,0.709,0.582,-0.01,-0.189,-1.017,0.021,2.244,1.595,0.312,-2.892,-1.211,0.239,0.085,0.129
0.808,1.0,-2.201,-2.866,-2.213,-3.116,-2.109,0.928,0.361,0.129,0.259,-0.9,-0.026,2.057,1.955,0.203,-2.911,-1.24,0.364,0.104,0.149
0.611,1.0,-3.089,-3.12,-2.666,-3.652,-2.139,0.64,0.191,-0.552,0.259,-0.839,0.18,2.947,1.772,0.279,-3.143,-2.052,-0.023,0.619,1.04
0.784,1.0,-2.822,-3.193,-2.559,-3.664,-1.997,0.599,0.017,-0.387,-0.039,-1.03,0.28,2.712,2.203,0.112,-3.213,-1.88,0.023,0.41,0.99
0.919,1.0,-2.324,-3.015,-2.316,-3.596,-1.925,0.637,0.267,-0.135,-0.263,-1.239,0.11,2.57,2.13,0.229,-3.188,-1.331,0.167,0.243,0.338
0.8,1.0,-3.215,-3.436,-2.897,-3.775,-1.971,0.583,0.273,-0.099,-0.168,-1.081,0.335,2.735,1.896,0.022,-3.332,-2.222,-0.078,0.384,1.43
0.718,1.0,-2.223,-2.656,-2.105,-2.854,-2.235,0.777,0.527,-0.349,0.402,-1.11,0.155,2.246,1.477,0.243,-2.556,-1.572,0.449,0.437,0.532
0.806,1.0,-2.617,-3.302,-2.532,-3.718,-2.172,0.852,0.256,-0.055,0.046,-0.882,0.253,2.711,2.038,0.189,-3.338,-1.449,0.281,0.27,0.25
0.488,1.0,-1.766,-2.249,-1.452,-2.425,-1.912,0.752,0.439,0.047,0.294,-0.82,0.03,2.288,1.088,0.226,-2.575,-1.215,0.691,0.371,0.337
0.781,1.0,-2.878,-3.085,-2.436,-3.564,-2.555,0.961,0.221,-0.439,0.369,-1.209,0.038,2.602,2.011,0.459,-3.262,-2.201,0.356,0.592,1.009
0.619,1.0,-2.358,-2.743,-1.979,-2.9,-1.941,0.632,-0.029,-0.02,0.01,-1.252,0.246,2.278,1.582,0.192,-2.409,-2.116,0.334,0.311,1.159
0.771,1.0,-2.713,-2.942,-2.502,-3.599,-2.491,0.981,0.396,-0.138,0.333,-0.869,0.14,2.492,1.899,0.221,-3.227,-1.402,0.423,0.493,0.59
0.869,1.0,-2.28,-3.359,-2.441,-3.929,-2.391,0.76,0.305,-0.069,0.237,-0.45,0.215,2.951,2.281,-0.004,-3.46,-0.668,0.193,0.205,-0.136
0.578,1.0,-2.704,-3.04,-2.461,-3.212,-2.29,0.774,0.334,-0.006,0.163,-1.079,0.226,2.504,1.738,0.149,-2.83,-2.052,0.334,0.38,1.222
0.692,1.0,-2.983,-3.317,-2.634,-3.767,-2.326,0.819,0.149,-0.254,0.08,-1.207,-0.033,2.703,2.052,0.244,-3.302,-2.305,0.289,0.663,1.096
0.532,1.0,-2.101,-2.702,-1.889,-2.991,-1.877,0.694,0.2,-0.31,-0.0,-0.983,-0.042,2.431,1.365,0.355,-2.794,-1.569,0.341,0.489,0.486
0.674,1.0,-2.678,-3.214,-2.431,-3.409,-2.11,0.55,0.435,-0.129,-0.059,-0.803,0.129,2.614,1.799,0.009,-3.0,-1.457,0.034,0.172,0.563
0.425,1.0,-2.954,-3.066,-2.396,-3.327,-2.181,0.793,0.186,-0.318,-0.018,-1.26,0.159,2.704,1.714,0.278,-2.837,-2.351,0.19,0.505,1.154
0.814,1.0,-2.632,-3.443,-2.215,-3.59,-2.298,0.927,-0.037,-0.261,-0.01,-1.176,0.237,2.638,1.911,0.047,-2.942,-1.769,0.283,0.418,0.881
0.781,1.0,-2.444,-3.099,-2.038,-3.649,-2.411,0.969,0.261,-0.221,0.377,-0.97,0.139,2.567,1.964,0.306,-3.554,-1.578,0.827,0.555,0.551
0.708,1.0,-2.533,-3.117,-2.385,-3.6,-2.191,0.723,0.265,0.133,0.066,-0.853,0.154,2.67,1.925,0.174,-2.93,-1.354,0.249,0.165,0.358
0.344,1.0,-2.664,-2.965,-2.228,-3.138,-2.349,0.915,0.433,-0.359,0.241,-1.046,0.048,2.786,1.572,0.161,-3.054,-1.927,0.393,0.541,1.116
0.732,1.0,-2.44,-2.667,-2.169,-2.903,-2.283,1.058,0.348,-0.033,0.189,-1.242,-0.192,2.062,1.452,0.337,-2.745,-1.738,0.681,0.233,0.57
0.738,1.0,-1.775,-2.752,-1.658,-2.849,-1.895,0.75,0.292,0.0,0.428,-0.986,0.328,2.066,1.491,-0.021,-2.68,-1.264,0.758,0.3,0.256
0.888,1.0,-2.785,-3.368,-2.535,-3.719,-2.178,0.546,0.416,-0.3,-0.114,-1.026,0.321,2.632,2.108,0.002,-3.096,-1.715,-0.026,0.439,0.722
0.608,1.0,-2.507,-2.988,-2.386,-3.32,-1.84,0.439,0.383,-0.065,0.061,-0.83,0.417,2.539,1.88,0.187,-2.941,-1.707,0.069,0.488,0.784
0.568,1.0,-2.689,-3.326,-2.262,-3.542,-2.277,0.792,0.286,-0.299,0.249,-0.92,0.254,3.041,1.963,0.008,-3.093,-1.714,0.201,0.453,1.028
0.908,1.0,-2.175,-3.615,-2.161,-3.919,-2.205,0.562,0.387,0.076,0.173,-0.434,0.377,2.677,2.149,0.009,-3.194,-0.784,0.175,0.169,0.056
0.796,1.0,-2.304,-3.159,-1.953,-3.594,-2.238,0.837,0.285,0.063,0.201,-1.035,0.269,2.69,2.012,0.249,-3.125,-1.437,0.775,0.254,0.49
0.942,1.0,-2.527,-3.132,-2.178,-3.587,-1.953,0.681,0.295,-0.253,-0.082,-1.258,0.253,2.493,2.149,0.122,-3.375,-1.619,0.14,0.398,0.598
0.811,1.0,-1.999,-3.173,-1.996,-3.737,-2.245,0.81,0.127,-0.177,0.063,-0.544,-0.037,2.674,1.943,0.27,-3.261,-0.915,0.197,0.122,-0.158
0.682,1.0,-2.427,-3.222,-2.187,-3.413,-2.047,0.689,0.288,-0.241,-0.005,-1.374,0.181,2.766,1.895,-0.039,-3.014,-1.707,0.202,0.423,1.142
0.752,1.0,-2.477,-3.608,-2.253,-4.005,-1.952,0.635,0.333,-0.048,-0.032,-0.713,0.231,3.025,2.091,-0.009,-3.801,-1.22,0.351,0.292,0.311
0.761,1.0,-2.547,-3.047,-2.396,-3.371,-2.313,0.968,0.351,-0.084,-0.117,-1.062,0.092,2.369,1.828,0.118,-2.989,-1.529,0.388,0.224,0.403
0.641,1.0,-2.283,-2.89,-1.981,-3.18,-1.74,0.595,0.29,-0.304,0.085,-0.997,0.151,2.226,1.819,0.202,-2.861,-1.576,0.313,0.56,0.64
0.689,1.0,-2.248,-2.752,-2.119,-3.143,-2.53,1.11,0.258,-0.133,0.2,-1.078,-0.15,2.56,1.674,0.333,-2.824,-1.537,0.49,0.257,0.3
0.652,1.0,-1.697,-2.221,-1.659,-2.222,-1.756,0.56,0.173,-0.265,-0.166,-1.278,0.112,2.037,1.193,-0.007,-2.165,-1.671,0.356,0.376,0.89
0.734,1.0,-2.859,-3.357,-2.339,-3.769,-2.619,0.985,0.703,-0.579,0.258,-0.806,0.2,2.875,1.958,0.216,-3.631,-1.724,0.383,0.842,0.734
0.492,1.0,-2.887,-3.203,-2.6,-3.601,-2.198,0.606,0.349,-0.532,0.24,-0.934,0.247,2.674,1.924,0.285,-3.108,-1.973,0.17,0.648,1.005
0.703,1.0,-3.174,-3.193,-2.743,-3.766,-2.158,0.579,0.288,-0.319,-0.006,-0.871,0.256,2.567,2.184,0.439,-3.387,-2.031,0.048,0.637,0.99
1.056,1.0,-2.769,-3.197,-2.538,-3.678,-2.174,0.706,0.251,-0.132,-0.036,-1.026,0.187,2.459,2.14,0.307,-3.372,-1.843,0.107,0.486,0.927
0.806,1.0,-2.64,-3.437,-2.425,-3.844,-2.281,1.006,0.325,-0.281,0.339,-0.672,-0.178,2.733,2.07,0.165,-3.675,-1.486,0.459,0.449,0.6
0.719,1.0,-3.02,-2.823,-2.698,-3.479,-2.474,0.971,0.214,-0.235,-0.04,-1.421,-0.043,2.5,1.976,0.454,-3.257,-2.377,0.134,0.384,1.123
0.805,1.0,-2.372,-3.425,-2.016,-3.973,-2.628,0.995,0.187,0.295,0.234,-0.618,-0.022,2.792,2.168,0.206,-3.538,-0.783,0.475,-0.042,-0.024
1.005,1.0,-2.928,-3.005,-2.915,-3.602,-2.213,0.753,0.116,-0.422,-0.021,-0.807,0.14,2.294,2.227,0.066,-3.145,-1.911,-0.28,0.505,0.79
1.043,1.0,-3.353,-2.815,-2.976,-3.617,-2.302,0.74,0.208,-0.167,0.048,-1.364,0.18,2.628,1.94,0.456,-3.327,-2.347,0.07,0.5,0.938
0.779,1.0,-2.19,-3.192,-1.797,-3.388,-2.34,0.858,0.221,-0.024,0.231,-1.286,0.22,2.481,1.835,-0.028,-3.101,-1.472,0.61,0.495,0.609
1.145,1.0,-2.419,-3.0,-2.522,-3.815,-2.37,0.85,0.115,-0.018,-0.122,-0.895,-0.273,2.377,2.032,0.444,-3.525,-1.321,0.316,0.124,0.379
0.713,1.0,-2.564,-2.807,-2.311,-3.202,-2.191,0.646,0.284,-0.198,0.0,-1.334,0.19,2.533,1.685,0.321,-2.862,-1.957,0.156,0.442,0.892
0.703,1.0,-2.211,-2.613,-2.13,-2.837,-1.906,0.574,0.428,-0.243,-0.041,-1.295,0.295,2.27,1.575,0.257,-2.565,-1.722,0.054,0.547,0.864
0.616,1.0,-2.858,-3.184,-2.52,-3.651,-2.103,0.643,0.334,-0.075,-0.118,-1.013,0.167,2.711,2.09,0.151,-3.247,-1.831,0.191,0.426,0.713
0.606,1.0,-2.399,-3.374,-2.012,-3.602,-2.264,0.695,0.168,-0.211,0.364,-0.751,0.219,2.878,1.821,0.042,-3.183,-1.391,0.407,0.426,0.612
0.723,1.0,-2.874,-3.406,-2.64,-3.616,-2.407,0.823,0.249,-0.072,0.034,-0.818,0.318,2.535,2.15,-0.061,-3.356,-1.67,0.221,0.445,0.602
0.629,1.0,-2.078,-2.524,-2.044,-2.729,-2.161,0.979,0.352,-0.067,-0.197,-1.156,0.113,1.939,1.539,0.282,-2.302,-1.752,0.45,0.223,0.572
0.678,1.0,-2.263,-2.793,-2.167,-3.128,-1.879,0.656,0.34,-0.11,0.111,-0.941,0.01,2.188,1.766,0.224,-3.046,-1.62,0.283,0.476,0.597
0.989,1.0,-2.327,-2.885,-2.257,-3.305,-2.03,0.722,0.519,-0.016,-0.127,-0.825,0.2,2.142,1.964,0.116,-2.727,-1.423,0.089,0.189,0.51
0.77,1.0,-2.262,-2.919,-1.859,-3.046,-2.353,0.876,0.415,-0.157,0.129,-0.944,0.214,2.437,1.486,-0.012,-2.712,-1.325,0.678,0.222,0.503
0.767,1.0,-2.496,-2.916,-2.22,-3.406,-2.419,0.99,0.231,-0.307,0.343,-0.984,-0.055,2.409,1.679,0.286,-3.1,-1.635,0.539,0.41,0.66
0.81,1.0,-2.261,-2.908,-2.132,-3.142,-1.663,0.457,0.219,-0.065,0.152,-1.032,0.213,2.243,1.798,0.16,-2.779,-1.441,0.093,0.258,0.548
0.892,1.0,-3.146,-3.788,-3.025,-3.931,-2.183,0.678,0.14,-0.364,0.155,-0.926,0.193,2.917,1.923,0.009,-3.588,-2.313,-0.148,0.656,1.34
0.865,1.0,-2.328,-3.167,-2.163,-3.396,-2.138,0.867,0.538,-0.083,0.207,-0.901,0.014,2.44,1.843,0.095,-3.338,-1.337,0.356,0.363,0.358
0.628,1.0,-1.471,-2.425,-1.463,-2.161,-1.788,0.75,0.217,0.084,0.15,-0.995,0.244,1.76,1.22,0.0,-2.061,-0.993,0.398,0.188,0.319
0.506,1.0,-2.011,-2.336,-1.79,-2.515,-2.493,1.165,0.193,-0.008,0.206,-1.085,-0.119,2.187,1.224,0.379,-2.529,-1.527,0.705,0.188,0.383
0.722,1.0,-2.623,-3.088,-2.416,-3.639,-2.357,0.943,0.272,-0.32,-0.115,-1.116,0.102,3.014,2.072,0.248,-3.239,-1.588,0.186,0.407,0.406
0.401,1.0,-2.302,-2.715,-1.809,-2.874,-1.768,0.646,0.228,-0.759,0.305,-1.164,0.465,2.205,1.514,0.088,-2.631,-1.876,0.223,0.719,1.138
0.499,1.0,-1.63,-2.089,-1.499,-2.321,-1.765,0.598,0.355,-0.456,0.247,-0.684,0.322,2.307,0.99,0.23,-2.124,-1.416,0.646,0.484,0.365
0.8,1.0,-2.257,-3.001,-2.095,-3.416,-1.959,0.738,0.346,-0.049,0.493,-0.66,0.119,2.48,1.836,0.148,-3.138,-1.238,0.631,0.248,0.419
0.758,1.0,-2.585,-3.5,-2.302,-3.952,-2.253,0.768,0.424,-0.186,0.463,-0.673,0.392,2.947,2.095,0.005,-3.593,-1.33,0.246,0.58,0.573
0.876,1.0,-2.472,-3.382,-2.364,-3.747,-2.249,0.732,0.155,-0.355,0.057,-0.782,0.291,2.691,1.964,0.044,-3.33,-1.571,0.245,0.503,0.715
0.651,1.0,-2.103,-2.617,-1.882,-2.894,-1.876,0.764,0.057,-0.114,0.126,-0.979,0.132,2.266,1.396,-0.007,-2.661,-1.261,0.224,0.168,0.308
0.69,1.0,-2.691,-3.423,-2.429,-3.82,-2.443,0.827,0.168,0.096,0.053,-0.824,0.414,2.94,2.027,0.21,-3.305,-1.465,0.314,0.237,0.416
0.889,1.0,-2.079,-3.337,-2.041,-3.448,-2.204,0.858,0.173,0.058,0.097,-0.865,-0.102,2.61,1.901,0.222,-3.029,-1.004,0.49,0.041,0.157
1.023,1.0,-2.504,-3.021,-2.488,-3.413,-2.28,0.997,0.203,-0.325,0.106,-0.94,0.027,2.132,1.996,0.446,-3.248,-1.651,0.419,0.335,0.407
0.639,1.0,-3.013,-3.243,-2.362,-3.586,-2.08,0.627,0.247,-0.493,0.19,-0.864,0.404,3.039,2.097,0.09,-3.279,-1.98,0.14,0.805,1.08
0.743,1.0,-2.527,-2.726,-2.359,-2.823,-2.05,0.777,0.177,-0.229,0.084,-1.271,0.083,2.053,1.715,0.239,-2.511,-2.37,0.124,0.669,1.175
0.65,1.0,-2.428,-3.198,-2.305,-3.523,-2.016,0.723,0.339,-0.106,0.187,-0.861,0.224,2.773,1.644,0.129,-3.22,-1.393,0.358,0.167,0.479
0.939,1.0,-2.333,-3.351,-2.369,-3.69,-1.895,0.511,0.218,0.046,-0.146,-0.96,0.128,2.557,2.071,-0.011,-2.956,-1.265,-0.045,0.127,0.31
0.299,1.0,-2.626,-2.944,-2.088,-3.143,-2.457,0.987,0.252,-0.251,0.132,-1.069,0.155,2.705,1.622,0.481,-2.952,-2.264,0.318,0.658,1.067
0.679,1.0,-2.473,-3.081,-2.062,-3.377,-2.44,0.918,0.351,0.157,0.207,-0.883,0.07,2.793,1.791,0.182,-2.909,-1.406,0.703,0.301,0.371
0.744,1.0,-2.561,-3.317,-2.19,-3.818,-2.382,0.802,0.498,-0.061,0.186,-0.832,0.373,2.76,1.946,0.177,-3.366,-1.363,0.451,0.417,0.491
0.549,1.0,-2.15,-2.598,-1.884,-2.491,-2.083,0.931,0.306,-0.328,0.219,-1.592,0.103,2.241,1.289,0.076,-2.244,-2.025,0.583,0.341,1.107
0.775,1.0,-2.218,-3.156,-2.192,-3.701,-2.397,0.902,0.403,-0.401,0.117,-0.714,0.176,2.706,2.01,0.222,-3.443,-1.182,0.405,0.395,0.221
1.012,1.0,-2.398,-2.984,-2.122,-3.06,-2.32,0.954,0.371,-0.223,0.233,-1.673,0.063,2.149,1.754,0.2,-2.813,-1.947,0.424,0.489,0.998
0.855,1.0,-2.476,-3.194,-2.08,-3.481,-1.801,0.665,0.331,-0.042,0.262,-1.058,0.298,2.655,1.944,0.053,-2.723,-1.477,0.411,0.406,0.6
0.764,1.0,-3.041,-3.52,-2.951,-3.828,-2.0,0.584,0.283,-0.041,-0.076,-0.987,0.217,2.82,2.149,0.274,-3.327,-1.83,0.016,0.311,0.598
0.847,1.0,-2.909,-3.44,-2.673,-3.835,-2.264,0.692,0.228,-0.341,0.374,-0.891,0.163,2.854,2.299,0.175,-3.549,-1.876,0.202,0.545,0.982
0.661,1.0,-2.16,-2.948,-2.039,-3.328,-2.188,0.912,0.429,-0.16,0.045,-0.97,0.126,2.473,1.911,0.08,-2.997,-1.316,0.379,0.298,0.445
0.791,1.0,-2.597,-3.099,-2.325,-3.672,-2.45,0.903,0.394,-0.124,0.273,-0.818,0.133,2.47,2.149,0.293,-3.439,-1.286,0.407,0.332,0.439
0.435,1.0,-1.579,-2.564,-1.176,-2.475,-1.95,0.735,0.286,-0.303,0.322,-0.922,0.122,2.335,1.362,0.149,-2.252,-1.029,0.734,0.295,0.225
0.323,1.0,-2.773,-3.241,-2.199,-3.507,-2.474,0.805,0.047,-0.538,0.111,-1.078,0.192,2.896,1.737,0.238,-3.351,-2.154,0.42,0.805,1.333
0.824,1.0,-2.462,-3.041,-2.208,-3.59,-2.035,0.793,0.293,-0.241,0.034,-1.21,0.17,2.412,2.148,0.159,-3.001,-1.25,0.385,0.199,0.296
0.621,1.0,-2.113,-3.155,-1.868,-3.431,-2.337,1.047,0.321,-0.086,0.299,-0.79,0.073,2.728,1.759,0.11,-3.099,-1.158,0.794,0.293,0.148
0.864,1.0,-2.311,-2.742,-1.959,-3.211,-2.298,0.92,0.229,-0.032,0.019,-1.567,0.066,2.416,1.968,0.29,-2.822,-1.707,0.413,0.341,0.623
0.79,1.0,-2.211,-3.374,-2.13,-3.751,-2.255,0.826,0.364,-0.007,0.158,-0.651,-0.075,2.749,2.159,0.177,-3.357,-0.945,0.549,0.109,0.083
0.993,1.0,-2.244,-3.329,-2.37,-3.531,-2.048,0.8,0.358,-0.214,-0.004,-0.834,0.145,2.448,2.034,0.1,-3.212,-1.21,0.226,0.394,0.289
0.802,1.0,-2.047,-2.858,-2.079,-3.369,-2.242,0.865,0.405,-0.032,0.151,-0.652,0.026,2.609,1.652,0.08,-3.063,-0.894,0.539,0.036,0.294
0.839,1.0,-2.793,-3.367,-2.375,-3.725,-2.196,0.709,0.133,-0.072,0.389,-0.803,0.198,2.879,2.073,0.064,-3.257,-1.675,0.26,0.202,0.669
0.554,1.0,-2.64,-3.442,-2.203,-3.549,-2.296,0.85,0.427,-0.143,0.241,-1.087,0.135,2.83,2.106,0.096,-3.249,-1.778,0.411,0.504,0.709
0.594,1.0,-2.39,-2.761,-1.937,-3.111,-2.162,0.813,0.257,-0.11,0.097,-1.159,0.037,2.369,1.753,0.168,-3.103,-1.825,0.482,0.559,0.886
0.842,1.0,-2.491,-3.246,-2.215,-3.377,-2.105,0.824,0.16,-0.134,-0.056,-0.843,0.062,2.654,1.735,0.034,-3.17,-1.321,0.196,0.271,0.412
0.819,1.0,-2.8,-2.861,-2.739,-3.536,-2.358,0.866,0.241,-0.285,0.086,-0.876,0.016,2.703,1.948,0.33,-3.011,-1.996,0.189,0.464,0.927
0.621,1.0,-2.531,-3.214,-2.186,-3.272,-2.218,0.854,0.465,-0.166,0.19,-0.811,-0.063,2.744,1.859,0.045,-3.007,-1.544,0.461,0.297,0.653
0.873,1.0,-2.257,-3.412,-2.094,-3.909,-2.109,0.599,0.345,-0.164,0.141,-0.634,0.605,2.934,2.232,0.053,-3.377,-1.144,0.289,0.405,0.458
0.95,1.0,-2.669,-3.346,-2.578,-3.875,-2.089,0.66,0.38,-0.033,-0.067,-0.819,0.279,2.565,2.144,0.066,-3.37,-1.321,-0.021,0.262,0.452
0.493,1.0,-2.233,-2.643,-1.729,-2.593,-1.714,0.555,0.212,-0.264,0.078,-1.336,0.2,2.271,1.346,0.212,-2.289,-1.923,0.43,0.469,0.899
0.638,1.0,-2.278,-2.93,-1.987,-3.128,-2.125,0.841,0.413,-0.174,0.245,-0.885,0.273,2.627,1.501,0.014,-2.87,-1.486,0.442,0.39,0.654
0.703,1.0,-2.569,-3.288,-2.193,-3.716,-2.21,0.686,0.277,-0.311,0.187,-1.095,0.245,2.782,2.005,0.148,-3.131,-1.512,0.34,0.407,0.585
0.726,1.0,-2.544,-3.344,-2.517,-3.554,-2.452,1.014,0.265,-0.315,0.067,-0.798,-0.0,2.484,1.817,0.242,-3.22,-1.762,0.346,0.517,0.71
0.478,1.0,-2.101,-2.726,-1.826,-2.851,-2.024,0.883,0.23,-0.345,0.173,-1.136,0.348,2.338,1.348,0.185,-2.726,-1.708,0.58,0.493,0.762
0.682,1.0,-2.359,-3.44,-1.886,-3.761,-2.33,0.787,0.256,-0.172,0.036,-1.079,0.087,2.744,1.954,0.229,-3.517,-1.541,0.562,0.312,0.464
0.806,1.0,-2.411,-3.162,-2.389,-3.583,-2.369,0.975,0.455,-0.565,0.328,-0.846,0.149,2.792,2.007,0.204,-3.068,-1.582,0.452,0.597,0.651
0.852,1.0,-2.194,-2.795,-2.192,-3.254,-2.195,0.633,0.325,-0.116,-0.073,-1.009,0.226,2.473,1.807,0.231,-2.92,-1.312,0.197,0.201,0.237
