Unnamed: 0,x0,y,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
46,-0.003,1.0,7.357,-0.822,0.741,-3.499,-2.623,-0.431,-5.457,0.534,0.915,1.714,2.801,-2.038,-1.467,-0.374,-1.756,0.594,0.147,0.607,7.852
47,0.265,1.0,7.292,-0.655,0.587,-5.326,-2.374,-0.514,-5.433,0.664,0.829,1.633,2.77,-2.16,-1.343,-0.578,-1.507,0.546,0.128,-0.794,7.819
48,-0.049,1.0,7.0,-0.608,0.673,-4.531,-2.437,-0.675,-5.348,0.48,0.953,1.609,3.249,-2.011,-1.318,-0.255,-1.622,0.494,0.272,-0.513,7.559
49,0.132,1.0,7.081,-1.014,0.687,-5.424,-2.451,-0.441,-5.418,0.499,0.687,1.743,2.298,-2.14,-1.471,-0.189,-1.036,0.499,0.327,-1.285,7.636
50,0.11,1.0,7.34,-1.147,0.588,-4.882,-2.507,-0.253,-5.375,0.341,0.858,2.051,1.777,-2.013,-1.255,-0.15,-0.891,0.507,0.354,-0.731,7.743
51,-0.113,1.0,7.195,-0.723,0.607,-2.631,-2.684,-0.475,-5.367,0.229,1.013,1.827,2.449,-2.142,-1.249,-0.011,-1.303,0.506,0.172,0.889,7.629
52,0.125,1.0,7.512,-1.146,0.669,-3.675,-2.566,-0.515,-5.377,1.031,0.887,1.824,2.344,-2.058,-1.249,-0.225,-1.111,0.768,0.403,0.771,7.761
53,0.18,1.0,7.257,-0.937,0.626,-3.419,-2.536,-0.464,-5.268,0.897,0.814,1.772,2.897,-2.003,-1.537,-0.219,-1.549,0.323,0.363,0.663,7.701
54,0.125,1.0,7.709,-0.851,0.61,-4.18,-2.751,-0.304,-5.432,0.777,0.946,1.593,1.566,-1.908,-1.186,-0.406,-0.961,0.642,0.319,0.21,7.937
55,-0.337,1.0,6.146,-0.722,0.599,-3.586,-2.399,-0.444,-4.776,0.132,0.756,1.777,2.156,-1.91,-1.174,0.462,-1.166,0.464,0.129,-0.184,6.791
56,-0.126,1.0,7.122,-1.031,0.417,-3.809,-2.668,-0.482,-5.233,0.431,0.857,2.043,1.813,-2.071,-1.142,-0.013,-1.024,0.532,0.14,0.122,7.327
57,0.053,1.0,7.129,-0.885,0.678,-3.762,-2.507,-0.683,-5.442,0.732,0.995,1.791,2.603,-2.02,-1.307,0.022,-1.329,0.568,0.369,0.718,7.763
58,0.398,1.0,7.474,-0.712,0.831,-3.998,-2.469,-0.277,-5.306,1.265,1.116,1.572,3.384,-2.104,-1.076,-0.594,-1.869,0.484,0.156,0.046,7.487
59,0.042,1.0,6.853,-0.339,0.716,-4.29,-2.495,-0.567,-5.129,0.635,0.861,1.464,3.674,-2.106,-1.366,-0.275,-1.718,0.497,0.369,-0.468,7.535
60,0.218,1.0,7.735,-0.909,0.696,-4.293,-2.4,-0.304,-5.405,0.923,0.96,1.928,1.283,-2.173,-1.329,-0.411,-0.279,0.525,0.327,0.216,7.949
61,-0.039,1.0,7.499,-0.622,0.403,-3.552,-2.743,-0.531,-5.497,0.44,1.029,1.464,2.232,-1.81,-1.213,-0.183,-1.493,0.576,0.235,0.393,7.838
62,-0.199,1.0,6.289,-0.528,0.724,-3.937,-2.597,-0.613,-4.956,-0.077,0.697,1.363,2.531,-2.177,-1.495,-0.01,-1.249,0.313,0.135,-0.326,6.849
63,0.299,1.0,7.634,-0.834,0.536,-4.259,-2.732,-0.41,-5.418,0.721,0.928,1.654,2.677,-2.052,-1.189,-0.485,-1.511,0.737,0.175,-0.125,7.696
64,0.08,1.0,6.776,-0.842,0.672,-4.528,-2.469,-0.512,-5.203,0.081,0.95,1.754,1.512,-2.033,-1.311,-0.021,-0.752,0.584,-0.0,-0.37,7.345
65,0.268,1.0,7.302,-0.945,0.637,-3.424,-2.721,-0.54,-5.285,1.04,0.73,1.795,1.79,-2.082,-1.165,-0.473,-0.693,0.57,0.38,0.624,7.255
66,0.068,1.0,7.214,-0.908,0.638,-4.141,-2.728,-0.579,-5.143,0.967,0.945,1.744,2.952,-1.93,-1.522,-0.349,-1.492,0.436,0.436,0.192,7.645
67,-0.126,1.0,6.396,-0.858,0.692,-3.517,-2.391,-0.504,-4.985,0.321,0.704,1.711,2.287,-1.81,-1.264,0.12,-1.207,0.42,0.292,-0.133,6.838
68,0.226,1.0,6.931,-1.107,0.513,-4.422,-2.299,-0.44,-5.307,0.718,0.835,1.882,2.405,-2.092,-1.242,-0.346,-1.19,0.268,0.383,-0.412,7.407
69,-0.251,1.0,6.106,-0.473,0.489,-4.551,-2.407,-0.534,-4.81,0.009,0.879,1.494,2.362,-1.882,-1.332,0.079,-1.606,0.454,0.079,-1.141,6.746
70,0.303,1.0,7.358,-0.768,0.682,-3.069,-2.597,-0.403,-5.113,1.225,0.957,1.643,1.655,-1.915,-1.33,-0.535,-0.89,0.575,0.253,1.062,7.567
71,-0.173,1.0,7.169,-0.821,0.479,-3.865,-2.574,-0.549,-5.486,0.244,0.952,1.699,3.323,-2.107,-1.06,-0.037,-1.58,0.562,0.195,-0.081,7.797
72,-0.174,1.0,7.11,-0.672,0.474,-3.866,-2.59,-0.707,-5.556,0.049,0.951,1.613,2.344,-2.138,-1.481,0.092,-1.298,0.627,0.046,0.364,7.968
73,0.237,1.0,7.255,-0.706,0.66,-3.654,-2.596,-0.509,-5.486,0.434,0.946,1.459,2.624,-1.996,-1.238,-0.262,-1.518,0.48,0.449,0.479,7.734
74,0.138,1.0,7.542,-0.836,0.488,-4.819,-2.644,-0.611,-5.452,0.672,0.993,1.816,2.98,-2.237,-1.269,-0.29,-1.768,0.443,0.218,-0.213,8.027
75,0.224,1.0,7.082,-0.916,0.407,-2.318,-2.306,-0.464,-5.385,0.69,0.706,1.678,1.659,-2.013,-1.305,-0.278,-0.649,0.529,-0.017,1.853,7.684
76,-0.045,1.0,7.002,-0.789,0.623,-4.193,-2.531,-0.629,-5.454,0.682,0.835,1.607,2.44,-2.122,-1.438,-0.149,-1.454,0.399,0.359,-0.069,7.67
77,0.329,1.0,7.417,-0.828,0.69,-3.693,-2.632,-0.613,-5.136,1.039,1.033,1.606,2.481,-2.01,-1.12,-0.531,-1.309,0.228,0.389,0.727,7.621
78,-0.056,1.0,7.374,-0.761,0.581,-4.028,-2.541,-0.517,-5.336,0.284,1.015,1.713,2.509,-1.921,-1.133,-0.147,-1.708,0.385,0.141,0.057,7.75
79,0.068,1.0,6.448,-0.691,0.464,-4.471,-2.414,-0.51,-4.914,0.719,0.905,1.514,2.602,-1.71,-1.418,-0.217,-1.5,0.445,0.323,-0.336,7.113
80,-0.177,1.0,7.267,-0.851,0.464,-3.257,-2.502,-0.537,-5.49,0.393,0.96,1.622,2.519,-2.122,-1.338,0.139,-1.282,0.416,0.302,0.736,7.89
81,-0.095,1.0,6.77,-0.737,0.471,-3.338,-2.651,-0.362,-5.241,0.262,0.957,1.739,2.866,-1.815,-1.3,-0.151,-1.699,0.485,0.12,0.297,7.438
82,0.163,1.0,6.986,-0.954,0.63,-3.746,-2.484,-0.604,-5.038,0.379,0.836,1.783,1.433,-1.968,-1.45,-0.154,-0.631,0.703,0.268,0.542,7.348
83,-0.113,1.0,6.993,-0.709,0.421,-3.863,-2.461,-0.59,-5.268,0.278,0.992,1.669,2.572,-2.001,-1.464,0.227,-1.49,0.6,0.127,0.519,7.926
84,0.232,1.0,7.046,-0.731,0.322,-4.754,-2.527,-0.491,-5.299,0.768,0.922,1.562,2.68,-2.031,-1.204,-0.384,-1.221,0.73,0.43,-0.553,7.339
85,-0.006,1.0,6.984,-0.706,0.551,-4.428,-2.524,-0.326,-5.241,0.236,0.828,1.994,1.534,-2.064,-1.28,-0.061,-0.79,0.556,0.099,-0.483,7.376
86,0.005,1.0,7.038,-0.623,0.364,-4.852,-2.415,-0.599,-5.406,0.876,1.34,1.697,3.02,-2.019,-1.239,-0.361,-1.731,0.585,0.23,-0.618,7.634
87,0.041,1.0,6.409,-0.746,0.531,-4.775,-2.497,-0.51,-5.039,0.635,0.713,1.694,2.436,-2.21,-1.489,-0.128,-1.21,0.473,0.33,-1.026,6.837
88,0.224,1.0,7.382,-0.578,0.405,-4.482,-2.822,-0.471,-5.267,0.491,0.694,1.593,2.635,-2.032,-1.075,-0.313,-1.605,0.753,0.222,-0.314,7.436
89,-0.159,1.0,7.272,-0.733,0.658,-5.483,-2.489,-0.725,-5.474,0.115,0.713,1.63,2.537,-2.146,-1.247,0.092,-1.156,0.512,0.289,-0.995,7.835
90,0.059,1.0,6.449,-0.445,0.306,-3.069,-2.389,-0.529,-5.024,0.902,0.687,1.637,3.446,-2.101,-1.248,-0.079,-1.59,0.684,0.255,0.627,7.111
91,0.112,1.0,6.614,-0.823,0.559,-2.971,-2.552,-0.586,-5.031,0.828,0.661,1.552,2.792,-2.203,-1.423,-0.367,-1.286,0.606,0.222,0.818,7.047
92,-0.026,1.0,7.403,-0.785,0.584,-5.137,-2.69,-0.493,-5.421,0.167,1.145,1.593,2.055,-1.983,-1.217,-0.069,-1.172,0.597,0.253,-0.808,7.753
93,-0.146,1.0,7.413,-0.413,0.772,-3.764,-2.63,-0.666,-5.38,0.45,1.108,1.247,3.464,-2.036,-1.15,-0.127,-1.758,0.541,0.392,0.246,7.841
94,-0.06,1.0,6.671,-0.583,0.553,-4.513,-2.421,-0.603,-5.056,0.614,0.904,1.671,3.431,-1.974,-1.163,-0.135,-1.89,0.425,0.248,-0.607,7.299
95,0.041,1.0,6.93,-0.763,0.445,-3.875,-2.479,-0.411,-5.226,0.72,0.846,1.804,2.783,-1.897,-1.374,-0.263,-1.426,0.427,0.167,0.088,7.326
96,0.352,1.0,7.2,-1.029,0.493,-3.93,-2.569,-0.366,-5.304,1.073,0.866,1.897,1.051,-2.003,-1.418,-0.447,-0.222,0.511,0.287,0.255,7.374
97,-0.071,1.0,7.041,-0.888,0.571,-4.34,-2.501,-0.386,-5.21,0.211,0.752,1.764,2.131,-2.199,-1.214,0.16,-0.946,0.453,0.239,-0.395,7.497
98,0.102,1.0,7.032,-0.609,0.407,-2.847,-2.653,-0.613,-5.232,0.488,1.028,1.513,2.431,-1.947,-1.179,-0.141,-1.518,0.654,0.194,1.311,7.649
99,0.032,1.0,6.905,-0.618,0.496,-3.903,-2.729,-0.303,-4.965,0.664,0.821,1.656,2.58,-2.024,-1.068,-0.199,-1.276,0.708,0.223,-0.051,7.247
100,0.021,1.0,6.766,-0.768,0.557,-4.25,-2.441,-0.459,-5.031,0.699,0.885,1.79,2.959,-2.125,-1.286,-0.302,-1.583,0.686,0.02,-0.446,7.13
101,0.121,1.0,6.947,-0.863,0.575,-3.64,-2.613,-0.475,-5.39,0.654,0.795,1.629,3.305,-2.347,-1.097,-0.353,-1.496,0.573,0.378,-0.198,7.297
102,0.143,1.0,7.457,-0.661,0.587,-4.87,-2.704,-0.66,-5.371,0.681,1.039,1.558,3.467,-1.939,-1.178,-0.269,-1.812,0.54,0.197,-0.56,7.696
103,-0.058,1.0,6.702,-0.983,0.398,-3.91,-2.444,-0.569,-5.18,0.404,0.703,1.784,1.813,-2.023,-1.205,-0.015,-0.715,0.439,0.222,-0.155,7.302
104,-0.252,1.0,7.014,-0.554,0.69,-4.172,-2.588,-0.494,-5.428,-0.432,1.136,1.416,3.1,-2.081,-1.275,0.279,-1.992,0.678,-0.017,-0.259,8.057
105,-0.187,1.0,6.974,-0.839,0.784,-3.717,-2.758,-0.31,-5.296,0.482,0.72,1.706,2.667,-2.185,-1.433,0.017,-1.278,0.423,0.136,-0.044,7.632
106,0.128,1.0,7.387,-0.89,0.48,-4.028,-2.659,-0.536,-5.48,0.464,0.997,1.857,3.0,-2.154,-1.364,-0.216,-1.457,0.461,0.306,0.066,7.855
107,0.2,1.0,7.212,-0.852,0.622,-3.997,-2.604,-0.489,-5.424,0.605,0.896,1.847,2.477,-2.186,-1.238,-0.408,-1.223,0.528,0.312,0.105,7.729
108,-0.028,1.0,6.834,-0.572,0.807,-3.343,-2.414,-0.41,-5.179,1.026,0.801,1.545,3.97,-2.056,-1.127,-0.134,-1.748,0.412,0.439,0.221,7.564
109,-0.246,1.0,6.898,-0.789,0.593,-3.941,-2.522,-0.563,-5.325,0.564,1.014,1.775,2.464,-2.09,-1.355,0.313,-1.309,0.559,0.161,-0.101,7.51
110,-0.153,1.0,6.787,-0.799,0.406,-4.598,-2.416,-0.388,-5.428,0.349,0.846,1.683,2.906,-1.963,-1.128,0.075,-1.63,0.487,0.125,-0.936,7.337
111,-0.172,1.0,7.219,-0.729,0.57,-3.339,-2.809,-0.401,-5.426,0.492,0.96,1.528,3.01,-2.067,-1.315,-0.041,-1.463,0.632,0.499,0.235,7.655
112,0.154,1.0,6.824,-0.942,0.576,-4.139,-2.653,-0.501,-5.315,0.404,1.058,1.592,3.077,-2.177,-1.404,0.067,-1.458,0.395,0.187,-0.1,7.402
113,-0.184,1.0,7.056,-0.713,0.555,-5.608,-2.156,-0.492,-5.423,0.463,0.911,1.668,2.226,-1.912,-1.219,-0.249,-1.354,0.444,0.075,-1.353,7.562
114,0.233,1.0,7.161,-0.786,0.52,-4.278,-2.514,-0.535,-5.379,0.456,0.58,1.617,3.254,-1.974,-1.135,-0.344,-1.739,0.444,-0.08,-0.371,7.421
115,0.277,1.0,7.374,-0.953,0.49,-3.897,-2.475,-0.458,-5.207,1.205,0.814,1.78,2.811,-2.236,-1.142,-0.459,-1.076,0.364,0.41,0.117,7.517
116,0.139,1.0,6.851,-0.485,0.699,-2.686,-2.539,-0.313,-5.356,0.227,1.156,1.658,2.729,-1.949,-1.186,-0.079,-1.684,0.342,0.228,0.723,7.524
117,-0.072,1.0,6.376,-0.611,0.798,-4.59,-2.491,-0.466,-5.231,0.516,0.699,1.619,2.729,-2.006,-1.373,-0.165,-1.455,0.449,0.188,-1.132,6.918
118,0.023,1.0,6.798,-0.554,0.631,-3.346,-2.5,-0.515,-5.157,0.48,0.694,1.562,3.005,-2.316,-1.366,-0.182,-1.643,0.626,0.094,0.433,7.391
119,0.189,1.0,7.086,-0.784,0.824,-3.424,-2.577,-0.401,-5.052,0.909,0.888,1.648,2.911,-1.972,-1.195,-0.441,-1.537,0.383,0.545,0.64,7.483
120,0.132,1.0,6.995,-0.822,0.456,-4.384,-2.58,-0.472,-5.253,0.398,0.936,1.951,2.248,-2.046,-1.524,-0.177,-1.176,0.365,0.389,-0.369,7.292
121,-0.067,1.0,7.021,-0.633,0.52,-3.957,-2.644,-0.484,-5.346,0.295,0.782,1.621,2.345,-1.89,-1.196,-0.148,-1.581,0.54,0.263,-0.06,7.414
122,-0.086,1.0,7.268,-0.815,0.655,-3.19,-2.633,-0.452,-5.261,0.728,0.831,1.699,1.576,-2.231,-1.156,-0.234,-0.485,0.671,0.147,0.795,7.367
123,0.331,1.0,7.723,-0.862,0.365,-4.983,-2.601,-0.393,-5.328,0.661,1.109,1.747,2.78,-1.897,-1.12,-0.313,-1.426,0.575,0.527,-0.551,7.859
124,-0.218,1.0,6.536,-0.571,0.401,-4.375,-2.64,-0.618,-5.049,0.357,0.749,1.705,2.917,-1.91,-1.437,0.05,-1.589,0.5,0.173,-0.655,7.182
125,0.022,1.0,6.725,-0.782,0.54,-2.848,-2.416,-0.504,-4.977,0.989,0.659,1.976,2.95,-1.948,-1.327,-0.376,-1.396,0.632,0.489,0.874,7.254
126,-0.074,1.0,6.733,-0.791,0.703,-2.91,-2.517,-0.445,-5.121,0.538,1.113,1.496,2.523,-2.039,-1.157,-0.036,-1.273,0.612,0.048,0.771,7.504
127,0.145,1.0,7.202,-0.68,0.663,-2.337,-2.343,-0.566,-5.251,0.594,1.204,1.701,2.719,-2.135,-1.118,-0.274,-1.481,0.606,0.253,1.897,7.868
128,-0.427,1.0,6.763,-0.226,0.647,-4.812,-2.564,-0.518,-5.421,-0.332,1.075,1.793,3.14,-2.182,-1.269,0.437,-1.758,0.557,-0.213,-0.822,7.67
129,-0.033,1.0,6.889,-0.999,0.675,-4.274,-2.458,-0.432,-5.283,0.329,1.109,1.627,1.532,-1.988,-1.341,-0.107,-0.862,0.71,0.054,-0.353,7.518
130,-0.13,1.0,6.743,-0.631,0.655,-4.654,-2.61,-0.416,-5.106,0.107,0.876,1.718,2.332,-2.166,-1.304,-0.073,-1.36,0.564,0.032,-0.746,7.398
131,0.237,1.0,6.472,-0.676,0.74,-3.617,-2.404,-0.642,-4.728,1.07,0.784,1.73,2.739,-2.215,-1.229,-0.284,-1.261,0.759,0.46,0.415,6.854
132,-0.18,1.0,6.501,-0.618,0.684,-4.337,-2.465,-0.349,-5.171,-0.146,0.915,1.603,3.21,-1.905,-1.286,0.278,-1.779,0.532,0.115,-0.759,7.451
133,-0.067,1.0,7.224,-0.719,0.502,-4.516,-2.22,-0.346,-5.268,0.849,1.093,1.504,3.616,-1.964,-1.169,-0.195,-1.78,0.527,0.266,-0.614,7.712
134,-0.096,1.0,7.121,-0.658,0.723,-4.554,-2.619,-0.686,-5.341,-0.034,0.977,1.638,2.24,-2.023,-1.344,0.139,-1.395,0.285,-0.016,-0.347,7.768
135,0.014,1.0,6.744,-0.854,0.744,-3.932,-2.549,-0.384,-5.107,0.459,0.639,1.596,2.778,-2.139,-1.248,-0.243,-1.327,0.583,0.022,-0.281,6.909
136,0.184,1.0,7.501,-1.076,0.462,-3.46,-2.551,-0.384,-5.254,0.856,0.94,1.996,2.386,-2.027,-1.17,-0.526,-1.355,0.626,0.222,0.628,7.634
137,-0.11,1.0,6.306,-0.662,0.37,-3.954,-2.531,-0.298,-5.097,-0.14,1.179,1.752,2.497,-2.128,-1.275,0.275,-1.492,0.559,0.299,-0.271,7.174
138,0.171,1.0,7.192,-0.74,0.439,-3.722,-2.621,-0.594,-5.375,0.578,1.153,1.781,2.596,-1.856,-1.326,-0.234,-1.576,0.557,0.196,0.563,7.706
139,0.361,1.0,7.052,-0.886,0.685,-4.111,-2.503,-0.343,-5.233,0.762,0.942,1.713,1.519,-2.175,-1.228,-0.565,-0.649,0.571,0.242,0.166,7.536
140,0.255,1.0,7.35,-0.83,0.515,-4.695,-2.505,-0.43,-5.457,0.574,0.988,1.758,2.507,-2.008,-1.301,-0.468,-1.536,0.587,-0.197,-0.501,7.657
141,0.055,1.0,6.831,-0.724,0.555,-2.661,-2.377,-0.626,-5.305,0.836,0.893,1.746,3.063,-2.005,-1.232,-0.256,-1.586,0.563,0.334,1.414,7.553
142,0.008,1.0,6.646,-0.744,0.718,-2.784,-2.631,-0.471,-5.208,0.523,0.704,1.595,2.61,-2.097,-1.208,-0.177,-1.158,0.467,0.093,0.639,6.922
143,0.0,1.0,6.521,-0.818,0.475,-5.616,-2.189,-0.599,-5.299,0.426,0.859,1.911,2.785,-2.121,-1.438,-0.075,-1.517,0.5,0.396,-1.492,7.511
