x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,y
-0.05,0.211,0.099,0.634,-0.217,0.322,0.195,-0.943,0.158,0.014,-0.179,1.008,-0.029,-0.342,-0.866,-0.174,-0.752,0.365,-0.088,-0.186,1.0
0.263,0.406,-0.051,0.68,-0.409,0.627,0.277,-0.857,0.021,0.041,-0.062,0.988,-0.056,-0.204,-1.316,-0.02,-0.65,0.498,-0.428,-0.487,1.0
1.169,0.568,-0.373,0.783,-0.219,0.057,0.61,-1.26,0.049,0.07,-0.419,0.465,-0.147,-0.303,-1.138,-0.996,-0.591,1.45,-0.589,-0.524,1.0
0.654,0.504,-0.281,0.828,-0.724,0.418,0.552,-0.611,0.416,0.138,-0.325,0.653,-0.414,-0.343,-0.975,-0.39,-0.5,0.965,-0.355,-0.521,1.0
-0.248,0.245,-0.198,0.484,-0.606,0.578,0.325,-0.625,0.242,-0.127,-0.178,0.873,-0.201,-0.574,-1.012,-0.229,-0.534,0.37,-0.364,-0.33,1.0
0.607,0.446,0.16,0.601,0.152,0.441,0.225,-0.887,-0.065,0.182,0.118,1.069,-0.144,0.18,-1.346,-0.642,-0.793,0.642,-0.577,-0.567,1.0
1.416,0.657,-0.258,1.147,0.355,0.33,0.583,-1.233,-0.307,0.038,-0.162,0.516,-0.325,0.302,-1.346,-1.193,-0.992,1.264,-0.821,-0.954,1.0
-0.026,0.261,-0.146,0.34,-0.531,0.613,0.236,-0.476,-0.021,-0.15,-0.295,0.845,-0.102,-0.28,-0.625,0.324,-0.535,0.045,0.103,0.008,1.0
0.081,0.001,-0.162,0.376,-0.4,0.51,0.175,-0.666,-0.199,0.221,-0.089,0.947,0.01,-0.053,-1.041,0.122,-0.481,0.058,-0.121,-0.226,1.0
0.45,0.296,-0.451,0.937,-0.853,0.404,0.488,-0.853,0.105,0.001,-0.429,0.714,-0.272,-0.59,-1.134,-0.573,-0.546,0.964,-0.622,-0.738,1.0
0.34,0.134,0.383,0.5,-0.421,0.548,0.065,-0.621,-0.11,-0.061,0.025,1.004,-0.16,-0.124,-1.162,-0.162,-0.688,0.349,-0.4,-0.443,1.0
0.761,0.41,-0.182,0.741,-0.319,0.17,0.263,-0.775,0.169,0.352,-0.262,0.613,-0.103,-0.129,-1.019,-0.895,-0.508,0.986,-0.49,-0.538,1.0
0.449,0.471,0.149,0.473,-0.059,0.392,0.377,-0.666,-0.156,0.072,0.034,0.448,-0.316,0.052,-0.944,-0.801,-0.564,0.693,-0.408,-0.402,1.0
0.074,0.275,-0.072,0.511,-0.165,0.31,0.124,-1.024,-0.019,0.062,-0.12,1.011,-0.206,-0.108,-1.188,-0.116,-0.538,0.499,-0.381,-0.398,1.0
0.631,0.681,-0.207,0.847,-0.353,0.21,0.361,-1.108,-0.047,0.113,-0.233,0.844,-0.174,-0.047,-1.55,-0.098,-0.825,0.911,-0.698,-0.536,1.0
1.191,0.631,0.306,0.63,0.269,0.172,0.472,-1.056,-0.267,0.236,0.135,0.616,-0.409,0.188,-1.232,-0.925,-0.663,1.239,-0.232,-0.34,1.0
0.337,0.511,-0.307,0.778,-0.45,0.251,0.277,-0.758,0.293,0.239,-0.282,0.901,-0.231,-0.404,-0.892,-0.419,-0.502,0.753,-0.347,-0.349,1.0
0.84,0.404,0.37,1.022,0.337,0.37,0.402,-1.152,-0.306,0.087,0.197,0.882,-0.037,0.319,-1.406,-1.058,-1.014,0.885,-0.842,-0.953,1.0
0.112,0.343,-0.16,0.545,-0.516,0.513,0.052,-0.54,0.284,-0.056,-0.239,0.85,-0.277,-0.467,-0.775,-0.177,-0.505,0.56,-0.145,-0.362,1.0
0.851,0.102,-0.354,0.81,-0.028,0.269,0.34,-1.335,-0.038,-0.101,-0.25,0.967,-0.051,-0.146,-1.376,-0.258,-0.78,0.737,-0.705,-0.58,1.0
0.338,0.45,0.613,0.342,-0.198,0.419,0.205,-0.471,-0.188,-0.087,0.286,0.88,-0.34,0.011,-1.074,-0.803,-0.596,0.546,-0.394,-0.356,1.0
0.954,0.477,0.606,0.806,0.543,0.203,0.328,-1.117,-0.627,0.082,0.373,0.923,-0.337,0.442,-1.601,-0.926,-1.014,0.866,-0.7,-0.698,1.0
0.221,0.076,0.014,0.565,-0.189,0.611,0.244,-0.956,0.366,0.08,-0.16,0.774,0.038,-0.171,-1.121,-0.296,-0.572,0.381,-0.394,-0.509,1.0
0.705,0.729,-0.061,0.813,0.041,0.508,0.328,-1.32,0.094,0.182,0.025,0.911,-0.562,0.136,-1.471,-0.775,-0.847,0.951,-0.718,-0.862,1.0
0.391,0.391,0.052,0.745,-0.205,0.618,0.341,-0.921,-0.126,0.056,-0.112,0.835,-0.128,0.07,-1.341,-0.533,-0.819,0.679,-0.575,-0.685,1.0
0.457,0.286,-0.108,0.696,-0.48,0.469,0.213,-0.64,0.405,-0.028,-0.145,1.09,-0.159,-0.288,-0.898,-0.533,-0.597,0.689,-0.216,-0.503,1.0
0.467,0.238,0.109,0.779,-0.386,0.352,0.177,-0.328,-0.002,-0.065,0.087,0.878,-0.069,-0.183,-0.906,-1.013,-0.729,0.703,-0.343,-0.551,1.0
0.147,0.188,-0.16,0.678,-0.325,0.426,0.201,-0.892,-0.163,0.031,-0.164,1.014,-0.091,-0.252,-1.293,-0.025,-0.494,0.332,-0.69,-0.548,1.0
0.251,0.373,-0.042,0.593,-0.388,0.359,0.21,-0.714,0.183,0.161,-0.145,0.915,-0.162,-0.291,-1.079,-0.268,-0.588,0.675,-0.159,-0.414,1.0
0.005,0.108,-0.135,0.597,-0.337,0.531,0.206,-0.672,-0.12,-0.207,-0.055,0.853,0.142,-0.299,-0.805,-0.263,-0.707,0.328,-0.253,-0.417,1.0
0.241,0.299,-0.215,0.527,-0.329,0.578,-0.005,-0.932,0.209,-0.088,-0.224,1.065,-0.313,-0.379,-1.187,0.162,-0.576,0.634,-0.507,-0.492,1.0
0.429,0.158,0.192,0.559,0.367,0.468,0.125,-1.268,-0.33,0.105,0.19,1.023,-0.088,0.291,-1.36,-0.359,-0.915,0.27,-0.518,-0.504,1.0
0.631,0.26,0.577,0.541,0.239,0.425,0.192,-0.699,-0.433,0.097,0.302,0.987,-0.181,0.404,-1.526,-0.762,-1.024,0.43,-0.63,-0.553,1.0
0.672,0.489,-0.043,0.635,0.01,0.235,0.158,-0.744,0.028,0.448,-0.105,1.015,-0.196,0.116,-0.881,-1.018,-0.477,0.817,-0.477,-0.489,1.0
0.163,0.443,-0.114,0.593,-0.259,0.629,0.347,-0.827,0.033,-0.017,-0.088,0.954,-0.261,-0.085,-1.119,-0.081,-0.839,0.183,-0.376,-0.517,1.0
0.509,0.245,0.271,0.683,-0.009,0.357,0.168,-0.909,-0.254,0.007,0.212,0.936,-0.171,-0.056,-1.552,-0.75,-0.777,0.736,-0.889,-0.754,1.0
0.293,0.294,-0.407,0.736,-0.328,0.442,0.272,-0.722,0.016,-0.056,-0.304,0.895,-0.291,-0.237,-0.974,-0.573,-0.79,0.654,-0.257,-0.497,1.0
0.077,0.011,0.796,0.425,-0.193,0.722,-0.018,-0.358,-0.461,-0.205,0.527,1.355,0.052,0.039,-1.145,-0.512,-0.795,-0.002,-0.344,-0.428,1.0
0.502,0.456,-0.182,0.698,-0.437,0.448,0.192,-0.735,0.004,0.131,-0.218,0.877,-0.241,-0.292,-1.036,-0.62,-0.586,0.645,-0.333,-0.538,1.0
0.021,0.12,0.067,0.455,0.012,0.391,0.253,-1.06,0.121,0.074,-0.045,0.833,-0.059,0.006,-1.398,0.203,-0.696,0.097,-0.451,-0.467,1.0
0.233,0.15,0.322,0.234,-0.432,0.549,0.323,-0.308,0.116,-0.032,0.102,0.631,0.06,-0.134,-0.901,-0.159,-0.631,0.313,0.079,-0.077,1.0
-0.438,0.213,-0.033,0.168,-0.515,0.517,0.124,-0.119,0.134,0.043,-0.064,0.906,-0.251,-0.275,-0.512,-0.137,-0.605,-0.098,0.139,0.079,1.0
0.372,0.385,0.252,0.548,-0.276,0.387,0.172,-0.552,0.151,0.402,-0.061,1.056,-0.398,-0.136,-0.602,-0.668,-0.479,0.609,-0.176,-0.274,1.0
-0.118,0.288,0.033,0.406,-0.716,0.615,0.092,-0.159,0.123,-0.137,-0.078,1.038,-0.265,-0.508,-0.665,-0.245,-0.536,0.221,-0.015,-0.199,1.0
0.156,0.369,-0.152,0.642,-0.364,0.469,0.206,-0.782,0.181,0.204,-0.327,0.898,-0.07,-0.272,-0.88,0.1,-0.546,0.406,-0.218,-0.332,1.0
0.519,0.484,0.32,0.704,0.33,0.356,0.095,-1.142,-0.365,0.106,0.211,1.103,0.025,0.232,-1.608,-0.45,-0.788,0.637,-0.741,-0.647,1.0
0.396,0.396,0.104,0.579,-0.256,0.505,0.131,-0.666,-0.043,0.06,-0.007,0.889,-0.384,-0.105,-1.226,-0.361,-0.564,0.483,-0.521,-0.513,1.0
-0.131,0.158,0.019,0.644,-0.294,0.367,0.182,-0.748,0.257,0.181,-0.072,1.156,-0.186,-0.239,-1.083,0.108,-0.556,0.203,-0.37,-0.487,1.0
0.952,0.373,-0.003,0.994,-0.104,0.147,0.176,-1.041,-0.104,0.102,0.025,1.201,-0.185,-0.065,-1.174,-1.135,-0.658,1.061,-0.588,-0.715,1.0
0.413,0.613,0.052,0.408,-0.183,0.229,0.147,-0.949,-0.054,0.079,0.005,1.055,-0.253,-0.188,-1.256,-0.331,-0.583,0.799,-0.234,-0.418,1.0
0.956,0.382,0.223,0.803,0.09,0.467,0.366,-1.077,-0.162,0.068,0.141,0.661,-0.117,0.221,-1.38,-0.816,-1.033,1.027,-0.571,-0.643,1.0
0.794,0.615,0.01,0.703,-0.267,0.311,0.353,-1.092,-0.048,0.171,0.008,0.726,-0.405,-0.126,-1.231,-0.741,-0.718,1.057,-0.587,-0.455,1.0
0.301,0.403,-0.115,0.766,-0.234,0.438,0.47,-0.979,-0.019,0.139,-0.141,0.864,-0.285,0.019,-1.119,-0.682,-0.576,0.663,-0.554,-0.645,1.0
0.3,0.402,-0.005,0.486,-0.197,0.294,0.155,-0.544,0.283,0.344,0.034,1.194,-0.241,-0.183,-0.981,-0.646,-0.59,0.645,-0.054,-0.309,1.0
0.5,0.196,0.153,0.63,-0.38,0.499,0.122,-0.903,-0.139,0.188,0.069,1.019,-0.259,-0.09,-1.29,-0.638,-0.476,0.711,-0.544,-0.563,1.0
-0.249,0.112,-0.272,0.321,-0.361,0.428,0.073,-0.514,0.257,0.063,-0.192,0.949,-0.233,-0.577,-0.665,-0.13,-0.497,0.088,-0.031,-0.248,1.0
-0.025,0.382,-0.365,0.441,-0.5,0.345,0.354,-0.688,0.17,0.093,-0.353,0.828,-0.116,-0.459,-0.924,-0.445,-0.497,0.53,-0.121,-0.414,1.0
0.791,0.637,0.086,0.701,-0.234,0.241,0.16,-0.744,0.194,0.248,-0.041,0.92,-0.368,-0.182,-1.023,-1.068,-0.541,1.231,-0.302,-0.499,1.0
0.173,0.24,-0.115,0.479,-0.422,0.503,0.236,-0.932,-0.058,0.016,-0.192,1.082,-0.132,-0.203,-1.299,-0.006,-0.654,0.336,-0.539,-0.618,1.0
-0.074,0.288,-0.357,0.757,-0.983,0.446,0.289,-0.258,0.426,-0.057,-0.31,0.701,-0.206,-0.597,-0.906,-0.051,-0.511,0.41,-0.303,-0.373,1.0
0.166,0.289,-0.193,0.353,-0.188,0.414,0.426,-0.879,0.306,0.158,-0.234,0.727,-0.313,-0.281,-0.661,-0.198,-0.509,0.384,0.106,-0.153,1.0
-0.097,0.074,0.245,0.504,-0.314,0.564,0.158,-0.259,-0.287,-0.02,0.176,1.1,0.219,-0.102,-1.152,-0.391,-0.581,0.073,-0.409,-0.461,1.0
0.499,0.494,-0.096,0.838,-0.174,0.228,0.342,-0.751,-0.21,0.002,-0.047,0.583,-0.366,-0.145,-0.945,-0.828,-0.741,0.868,-0.343,-0.497,1.0
0.638,0.607,0.512,0.689,0.299,0.468,0.251,-0.806,-0.335,0.294,0.36,0.796,-0.453,0.496,-1.736,-0.793,-0.832,0.744,-0.776,-0.71,1.0
0.606,0.202,0.114,0.615,0.001,0.549,0.124,-0.608,-0.412,-0.122,0.157,0.961,-0.206,0.021,-1.007,-0.804,-0.782,0.445,-0.273,-0.5,1.0
0.399,0.371,0.189,0.581,-0.341,0.204,0.279,-0.797,0.263,0.192,0.0,0.786,-0.136,-0.283,-1.208,-0.415,-0.502,0.827,-0.492,-0.589,1.0
-0.237,-0.08,0.181,0.435,-0.435,0.94,0.057,-0.204,-0.06,0.13,0.024,1.006,-0.073,0.034,-1.042,0.28,-0.736,-0.306,-0.234,-0.224,1.0
0.425,0.154,-0.044,0.537,-0.131,0.62,0.384,-0.924,0.146,-0.012,-0.042,0.701,-0.248,-0.141,-0.912,-0.384,-0.595,0.546,-0.342,-0.581,1.0
-0.691,-0.101,0.302,0.368,-0.636,0.851,-0.058,0.098,0.155,-0.244,0.192,1.187,0.182,-0.468,-0.931,0.174,-0.627,-0.269,-0.052,-0.132,1.0
0.596,0.396,0.25,0.763,0.283,0.299,0.264,-1.215,-0.263,0.251,0.134,0.996,-0.099,0.2,-1.466,-0.707,-0.759,0.659,-0.752,-0.768,1.0
0.697,0.313,-0.225,0.869,-0.236,0.415,0.306,-0.971,-0.003,-0.055,-0.137,1.103,-0.24,-0.203,-1.346,-0.55,-0.83,0.952,-0.731,-0.661,1.0
0.381,0.457,0.348,0.798,-0.119,0.359,0.106,-0.865,0.09,0.324,0.198,0.888,-0.304,0.055,-1.304,-0.625,-0.8,0.575,-0.543,-0.602,1.0
0.36,0.381,0.43,0.362,-0.175,0.602,0.185,-0.363,-0.205,0.034,0.126,1.028,-0.218,-0.025,-0.716,-0.845,-0.474,0.519,-0.004,-0.075,1.0
0.066,0.153,-0.221,0.536,-0.684,0.601,0.309,0.056,0.006,-0.142,-0.248,0.649,-0.136,-0.29,-0.653,-0.162,-0.485,0.116,-0.106,-0.241,1.0
0.378,0.25,-0.346,0.6,-0.464,0.588,0.277,-0.549,0.251,0.133,-0.179,0.7,-0.17,-0.251,-0.899,-0.372,-0.473,0.525,-0.335,-0.306,1.0
0.092,0.027,0.766,0.702,0.034,0.475,0.01,-0.928,-0.375,-0.239,0.406,1.271,-0.059,0.191,-1.642,-0.309,-1.134,0.167,-0.581,-0.726,1.0
0.577,0.273,-0.533,0.938,-0.377,0.335,0.219,-0.826,0.156,-0.17,-0.337,0.945,-0.1,-0.393,-0.972,-0.857,-0.718,1.02,-0.606,-0.58,1.0
0.511,0.299,0.212,0.943,0.143,0.42,0.34,-0.991,-0.159,0.091,0.225,0.831,0.078,0.277,-1.748,-0.637,-1.005,0.484,-0.826,-0.921,1.0
-0.184,0.156,-0.048,0.773,-0.54,0.683,0.217,-0.731,0.157,0.016,-0.102,1.074,-0.099,-0.356,-1.223,0.042,-0.613,0.25,-0.58,-0.703,1.0
