Unnamed: 0,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y,x12,x13,x14,x15,x16,x17,x18,x19,x20
22,1.188,1.005,-2.17,1.571,-3.889,1.945,0.266,-1.244,4.366,-0.254,1.362,1.0,-0.119,1.759,1.793,4.784,-0.194,1.056,-1.418,0.552,0.731
23,0.934,1.043,-0.972,1.54,-3.956,1.586,0.176,-1.089,3.262,0.652,1.178,1.0,-0.332,1.468,1.632,3.319,-0.117,1.017,-0.783,0.527,0.837
24,-0.072,0.897,1.828,1.992,-3.692,0.898,1.135,-1.22,4.024,0.309,0.862,1.0,-0.786,1.944,1.415,1.999,1.155,1.925,-0.51,0.001,0.895
25,1.174,0.702,1.045,1.993,-3.287,0.834,1.236,-1.015,4.31,0.788,1.141,1.0,-0.188,2.266,0.594,2.123,-0.365,2.074,-0.258,0.28,0.932
26,0.897,0.941,-0.494,1.76,-3.77,1.044,0.811,-1.195,4.412,0.289,1.401,1.0,-0.343,1.893,1.141,3.729,0.419,1.438,-0.676,0.27,0.78
27,0.493,0.839,1.066,1.664,-3.968,1.07,1.2,-1.034,4.32,0.65,0.884,1.0,-0.669,1.874,1.609,1.901,0.385,2.115,-0.944,-0.195,0.881
28,0.488,1.006,0.048,1.737,-3.52,0.867,0.57,-1.125,3.82,0.632,1.128,1.0,-0.157,1.96,1.104,3.527,0.381,1.342,-0.363,0.299,0.916
29,0.839,0.907,0.461,1.779,-4.025,0.845,1.005,-1.11,4.702,0.783,1.24,1.0,-0.345,2.138,1.079,2.803,-0.201,1.865,-0.38,0.488,0.945
30,0.722,0.816,0.263,1.667,-4.76,1.351,1.035,-1.075,3.946,0.66,0.986,1.0,-0.695,1.819,1.98,2.369,0.001,1.742,-0.831,0.425,0.825
31,0.936,1.005,1.03,1.468,-1.505,0.185,1.139,-0.664,3.171,0.709,0.905,1.0,-0.118,2.139,-0.07,2.077,-0.457,1.963,0.479,0.49,0.778
32,1.08,1.099,-0.757,1.614,-3.544,0.962,0.3,-1.198,3.366,0.565,1.436,1.0,0.02,1.736,1.222,4.139,-0.128,0.936,-0.26,0.722,0.868
33,1.193,0.644,0.42,2.035,-2.84,0.813,0.964,-0.932,4.164,0.445,1.253,1.0,-0.447,1.869,0.895,2.362,-0.02,1.747,-0.386,0.319,0.92
34,1.176,0.885,-0.684,2.001,-4.475,1.39,0.68,-1.166,4.24,0.305,1.439,1.0,-0.336,1.881,1.98,3.672,-0.039,1.507,-1.011,0.32,0.955
35,0.695,0.632,0.437,1.808,-4.105,1.053,1.076,-1.065,4.458,0.549,1.119,1.0,-0.632,1.947,1.404,2.632,0.311,1.969,-0.739,0.117,0.902
36,0.718,0.983,0.358,1.759,-4.608,1.332,1.033,-1.19,4.543,0.732,1.216,1.0,-0.834,2.024,1.482,3.084,0.812,1.889,-0.959,0.057,0.798
37,0.597,0.954,0.575,1.572,-3.694,0.804,1.185,-0.909,3.854,1.162,1.01,1.0,-0.288,2.078,0.887,2.347,-0.164,1.927,-0.332,0.254,0.926
38,1.349,0.9,-0.855,1.812,-3.688,0.812,0.606,-1.08,4.485,0.865,1.563,1.0,0.022,2.06,0.964,3.917,-0.407,1.681,-0.375,0.666,0.889
39,1.141,0.813,0.809,1.882,-2.709,0.07,0.675,-1.057,4.286,0.955,1.525,1.0,-0.373,2.296,0.516,2.878,0.192,1.823,0.169,0.146,0.817
40,1.04,0.744,-0.028,2.012,-4.014,1.254,1.179,-1.412,4.778,0.44,1.336,1.0,-0.624,2.097,1.423,2.719,-0.127,1.854,-0.849,0.343,0.887
41,0.827,0.845,0.086,1.495,-4.453,1.124,1.059,-1.062,3.552,0.772,1.233,1.0,-0.747,1.617,1.717,2.551,0.146,1.7,-0.641,-0.007,0.922
42,1.086,0.963,-1.422,1.791,-3.815,1.377,0.185,-0.997,3.906,0.387,1.522,1.0,0.174,1.788,1.434,4.39,-0.189,0.982,-0.884,0.678,0.777
43,0.878,0.844,-0.388,1.845,-3.418,1.121,0.718,-0.81,4.477,0.554,1.391,1.0,-0.624,2.039,1.024,3.824,0.683,1.478,-0.572,0.418,0.791
44,1.109,0.732,-0.052,1.841,-3.499,0.424,0.913,-0.731,4.975,0.679,1.473,1.0,-0.246,2.063,0.891,3.649,0.218,1.55,-0.229,0.343,0.928
45,0.642,0.862,0.533,1.812,-3.728,0.591,1.182,-1.139,4.688,0.81,1.333,1.0,-0.265,2.254,0.989,3.41,0.434,1.989,-0.07,0.309,0.793
46,1.088,0.787,0.449,1.726,-3.358,0.528,0.736,-1.033,3.551,1.094,1.265,1.0,-0.387,1.923,1.001,2.764,-0.055,1.735,-0.073,0.66,0.729
47,0.553,0.985,0.667,1.738,-4.579,0.977,1.201,-1.228,4.286,0.937,1.181,1.0,-0.881,1.971,1.594,2.407,0.275,2.005,-0.551,-0.098,1.08
48,1.027,0.796,0.218,1.723,-4.117,1.016,1.364,-1.197,4.512,0.951,1.155,1.0,-0.565,1.87,1.077,2.417,-0.193,2.212,-0.423,0.173,1.044
49,0.989,0.897,0.648,1.726,-3.582,0.678,1.134,-0.956,3.543,0.81,1.091,1.0,-0.277,2.033,0.858,2.444,-0.181,1.889,-0.133,0.334,0.97
50,0.921,0.513,1.283,1.383,-3.127,0.043,1.179,-1.061,3.239,1.45,1.124,1.0,-0.473,2.026,0.261,1.617,-0.217,2.14,0.279,0.045,0.751
51,0.962,0.905,0.818,1.862,-3.083,1.0,1.211,-1.063,4.637,0.589,1.232,1.0,-0.494,2.353,0.548,2.244,-0.17,2.148,-0.321,0.454,0.868
52,0.698,0.94,0.88,1.758,-3.93,0.772,1.026,-1.078,3.929,1.011,1.374,1.0,-0.651,1.922,0.969,2.725,0.527,1.817,-0.643,-0.187,0.899
53,0.557,1.094,0.107,1.708,-4.514,1.641,1.058,-0.95,3.92,0.447,0.892,1.0,-0.425,1.709,1.795,2.217,-0.079,2.026,-1.032,0.364,0.859
54,0.51,1.105,0.434,1.4,-3.364,0.584,0.64,-1.051,3.798,0.458,1.292,1.0,-0.33,1.919,1.19,3.311,0.74,1.402,-0.269,0.055,0.863
55,0.72,0.77,0.29,1.755,-3.945,1.2,0.918,-1.038,4.271,0.762,1.086,1.0,-0.16,1.932,1.415,2.559,-0.224,1.821,-0.533,0.561,0.867
56,0.721,0.946,0.502,1.605,-4.386,0.839,0.866,-1.246,3.762,1.308,1.255,1.0,-0.109,2.102,1.228,2.69,-0.218,1.677,-0.457,0.478,0.779
57,0.797,0.83,1.17,1.789,-4.054,0.713,1.449,-0.985,4.036,1.108,1.093,1.0,-0.346,1.961,0.935,1.853,-0.051,2.057,-0.385,-0.112,1.08
58,0.777,0.976,0.291,1.91,-4.233,0.734,0.723,-1.136,3.788,0.842,1.402,1.0,-0.146,1.959,1.332,3.404,0.311,1.49,-0.47,0.175,0.814
59,0.616,0.644,1.484,1.74,-4.068,0.616,1.499,-0.992,4.57,0.531,1.06,1.0,-0.898,2.028,1.68,1.561,0.422,2.569,-0.546,-0.15,0.707
60,0.837,1.043,0.495,1.498,-2.812,0.387,0.188,-1.007,3.627,0.843,1.327,1.0,-0.302,1.772,0.954,3.148,0.433,1.372,0.032,0.287,0.787
61,1.367,1.012,-0.359,1.386,-3.137,0.823,0.482,-0.918,2.879,0.493,1.29,1.0,-0.172,1.572,1.206,2.745,-0.372,1.369,-0.417,0.232,0.817
62,1.068,1.186,-1.096,1.819,-3.861,1.223,0.448,-1.253,4.197,0.102,1.32,1.0,0.087,1.793,1.769,4.159,0.069,1.175,-0.752,0.399,0.879
63,0.89,0.777,0.977,2.007,-3.515,0.79,1.178,-1.163,4.518,0.379,1.114,1.0,-0.778,2.011,1.196,2.052,0.08,1.822,-0.548,0.045,0.946
64,1.047,0.935,-0.385,2.095,-3.416,1.472,0.916,-1.012,4.984,0.111,1.266,1.0,-0.387,2.27,1.256,3.222,-0.193,1.852,-0.624,0.309,1.073
65,0.415,0.698,1.341,1.812,-3.544,0.739,1.224,-1.17,4.037,0.291,0.999,1.0,-0.822,2.085,1.442,2.181,0.744,2.154,-0.468,-0.246,0.899
66,0.749,0.734,0.273,1.726,-3.042,0.631,0.998,-1.022,3.734,0.844,1.194,1.0,-0.176,2.159,0.7,2.539,-0.121,1.756,-0.189,0.355,0.962
67,0.924,0.701,1.087,1.893,-3.318,0.49,1.141,-0.874,4.041,0.971,1.048,1.0,-0.361,1.96,0.775,1.769,-0.16,2.005,-0.247,0.114,0.929
68,1.354,0.903,-0.409,1.857,-2.335,0.597,0.8,-0.951,4.089,0.626,1.563,1.0,0.139,2.404,0.194,3.704,-0.453,1.577,0.08,0.72,0.888
69,0.643,0.781,1.324,1.681,-2.667,0.56,1.093,-0.829,3.885,0.683,1.154,1.0,-0.766,2.087,0.282,2.178,0.424,1.783,-0.036,-0.112,1.186
70,0.834,0.801,0.682,1.89,-3.503,0.892,1.152,-1.059,4.392,0.653,1.171,1.0,-0.538,2.194,0.91,2.542,0.037,1.919,-0.37,0.362,0.832
71,1.023,0.951,0.028,1.778,-4.649,1.462,0.921,-1.119,4.219,0.488,1.222,1.0,-0.553,2.019,1.765,2.928,0.215,1.82,-0.946,0.327,0.839
72,0.388,0.692,0.905,1.657,-4.409,0.783,1.051,-1.507,3.966,0.808,1.056,1.0,-0.434,1.836,1.706,2.359,0.375,1.981,-0.699,0.162,0.749
73,0.49,0.757,1.342,1.682,-3.675,0.125,0.951,-0.99,4.102,1.488,1.33,1.0,-0.424,2.175,0.665,2.483,0.27,1.848,0.058,0.122,0.866
74,1.157,0.69,0.223,2.124,-2.75,0.738,0.879,-1.028,4.245,0.751,1.377,1.0,-0.341,2.09,0.489,2.575,-0.102,1.863,-0.091,0.498,0.814
75,0.594,0.704,1.231,1.906,-4.286,0.93,1.356,-1.087,5.085,0.497,0.941,1.0,-0.743,2.096,1.663,1.99,0.506,2.323,-0.594,-0.009,0.93
76,1.02,0.746,-0.345,1.799,-4.858,1.177,0.905,-1.189,4.163,0.84,1.262,1.0,-0.254,1.977,1.902,3.038,-0.093,1.824,-0.769,0.422,0.688
77,0.891,1.178,0.245,1.661,-3.502,0.885,0.664,-1.023,3.309,0.515,1.179,1.0,-0.288,1.638,1.183,3.213,0.243,1.455,-0.363,0.262,0.97
78,0.699,0.96,0.574,1.472,-4.528,1.158,0.954,-1.255,3.797,0.663,1.103,1.0,-0.666,1.843,1.846,2.352,0.466,2.053,-0.861,-0.108,0.759
79,0.882,0.726,0.932,1.697,-3.169,0.409,1.227,-1.03,4.182,1.171,1.083,1.0,-0.242,2.146,0.611,1.959,-0.356,2.184,0.158,0.305,0.912
80,0.826,1.038,0.017,1.733,-3.499,0.871,0.981,-1.269,4.101,0.418,1.323,1.0,-0.3,1.793,1.226,3.051,0.229,1.817,-0.572,0.32,0.936
81,0.402,0.745,1.049,1.782,-4.392,1.098,1.136,-1.1,4.151,0.547,0.818,1.0,-0.646,1.928,1.759,1.962,0.383,2.189,-0.728,-0.012,0.996
82,0.6,0.935,0.666,1.836,-4.409,1.127,1.287,-1.139,3.966,0.445,1.067,1.0,-0.819,1.802,1.766,2.089,0.314,1.956,-0.896,-0.021,0.913
83,0.877,1.18,0.12,1.608,-4.425,0.885,0.162,-1.173,3.204,1.089,1.217,1.0,0.007,1.778,1.533,3.096,-0.297,0.991,-0.614,0.208,0.797
84,0.607,0.766,0.907,1.84,-3.953,1.24,1.201,-0.983,4.1,-0.335,0.881,1.0,-0.559,1.752,2.205,1.902,0.227,2.13,-0.884,0.285,0.681
85,0.976,0.964,0.484,1.716,-4.476,1.022,0.478,-1.233,3.363,1.041,1.367,1.0,-0.611,1.754,1.693,2.812,0.344,1.346,-0.665,-0.111,1.039
86,1.259,0.987,-0.954,1.609,-3.581,1.271,0.611,-1.053,3.623,0.698,1.341,1.0,0.116,1.943,1.082,3.697,-0.418,1.29,-0.477,0.66,1.06
87,1.03,0.8,0.075,1.771,-2.903,0.858,0.946,-1.008,4.148,0.352,1.368,1.0,-0.601,2.025,0.737,2.985,0.255,1.768,-0.319,0.25,0.933
88,0.789,1.08,-0.436,1.828,-3.738,0.894,0.453,-0.882,3.912,0.645,1.244,1.0,0.006,1.686,1.39,3.714,0.195,1.078,-0.393,0.486,0.788
89,0.711,0.811,0.73,1.661,-3.983,1.028,0.98,-1.195,4.252,0.492,1.089,1.0,-0.496,2.009,1.469,2.209,0.21,2.016,-0.648,0.364,0.965
90,0.255,0.794,1.935,1.655,-4.355,0.334,1.147,-0.779,3.083,1.611,0.738,1.0,-0.334,1.668,1.301,1.585,0.265,1.838,-0.221,-0.052,0.792
91,0.939,0.675,0.508,1.824,-2.847,0.273,0.986,-0.929,3.907,1.16,1.39,1.0,-0.401,2.224,0.38,2.627,-0.268,1.842,0.126,0.383,0.876
92,0.909,0.819,0.877,1.758,-3.689,0.563,1.082,-1.207,3.764,0.455,1.1,1.0,-0.449,1.899,1.234,2.196,0.103,1.918,-0.442,-0.0,0.924
93,0.775,0.906,0.347,1.758,-4.54,1.023,0.949,-1.011,4.12,1.247,1.19,1.0,-0.437,1.938,1.422,2.563,-0.191,1.825,-0.615,0.369,0.897
94,0.943,1.0,-0.511,1.715,-3.013,0.837,0.845,-0.96,4.108,0.586,1.374,1.0,-0.109,1.682,0.833,3.783,-0.034,1.304,-0.472,0.369,0.89
95,0.484,0.979,0.599,1.822,-4.704,1.334,0.844,-1.309,4.249,0.56,1.211,1.0,-0.8,1.584,1.901,2.636,0.663,1.824,-1.117,0.103,0.834
96,1.33,0.98,0.211,1.531,-2.573,0.809,0.873,-1.097,3.306,0.184,1.335,1.0,-0.268,1.865,0.517,2.626,-0.361,1.75,-0.244,0.529,0.91
97,1.192,0.951,0.546,1.906,-3.095,0.738,1.153,-1.175,4.712,0.227,1.451,1.0,-0.261,2.474,1.046,3.008,-0.212,1.985,-0.399,0.356,0.824
98,1.069,0.743,0.033,1.649,-4.408,1.472,0.958,-1.279,3.688,0.146,1.148,1.0,-0.893,1.83,2.044,2.268,0.109,1.778,-1.046,0.215,0.874
99,1.031,1.12,0.823,1.913,-3.148,0.592,1.117,-0.938,4.203,0.376,1.124,1.0,-0.254,2.086,0.956,2.837,0.2,1.908,-0.356,0.466,0.592
100,0.966,1.037,0.705,1.594,-3.59,1.049,1.115,-1.063,4.147,0.538,1.132,1.0,-0.619,2.032,0.964,2.147,-0.037,1.925,-0.491,0.276,0.894
101,0.662,0.785,0.703,1.59,-4.33,0.951,1.215,-1.087,3.665,0.529,0.959,1.0,-0.54,1.705,1.746,1.953,0.123,1.979,-0.863,0.147,0.901
102,1.085,0.92,0.347,2.159,-3.598,0.527,0.894,-1.055,5.003,0.927,1.57,1.0,0.0,2.181,0.689,3.219,-0.345,1.721,-0.135,0.541,0.86
103,0.907,0.621,0.058,1.496,-4.646,1.116,0.757,-1.263,3.677,0.941,1.375,1.0,-0.646,1.839,1.787,2.284,0.02,1.744,-0.883,0.078,0.857
104,0.497,0.849,0.953,1.778,-4.275,0.622,1.0,-1.263,3.906,1.454,1.29,1.0,-0.551,2.14,0.925,2.783,0.477,1.789,-0.307,-0.118,0.883
105,0.536,0.675,-0.192,1.622,-4.425,1.185,0.937,-1.119,4.249,0.742,1.15,1.0,-0.146,2.002,1.573,3.047,-0.17,1.634,-0.744,0.42,0.859
106,0.988,0.981,-0.034,1.791,-3.795,1.092,0.949,-0.95,4.168,1.066,1.338,1.0,-0.299,2.067,0.846,3.088,-0.025,1.683,-0.391,0.4,1.129
107,1.081,1.085,-0.135,1.799,-4.247,1.116,0.582,-1.172,3.907,1.093,1.326,1.0,-0.229,1.98,1.418,3.264,-0.131,1.487,-0.4,0.676,0.869
108,0.888,0.768,1.792,1.838,-2.009,-0.266,1.222,-0.782,4.344,1.153,0.927,1.0,-0.351,2.463,-0.339,1.76,-0.209,2.186,0.554,0.331,0.865
109,0.469,0.921,0.481,1.635,-4.415,0.964,0.665,-1.136,4.192,0.787,1.147,1.0,-0.43,1.835,1.717,3.03,0.539,1.636,-0.786,-0.209,1.03
110,0.67,1.133,0.428,1.861,-3.274,1.239,1.048,-0.94,4.56,0.147,0.867,1.0,-0.42,1.926,1.42,2.496,0.025,1.861,-0.785,0.275,0.872
111,1.104,1.026,-0.334,1.741,-2.858,0.253,0.564,-1.091,4.464,0.733,1.326,1.0,0.255,2.189,0.415,4.107,-0.171,1.364,-0.025,0.421,0.817
112,0.854,1.023,0.119,1.838,-3.552,1.016,0.726,-1.022,4.147,0.426,1.331,1.0,-0.413,1.956,1.098,3.512,0.274,1.633,-0.563,0.323,0.958
113,0.923,1.11,-0.1,1.661,-3.792,1.055,0.415,-1.264,3.425,0.142,1.133,1.0,-0.312,1.614,1.943,2.814,-0.118,1.25,-0.792,0.372,0.714
114,0.868,0.87,0.887,1.896,-4.199,1.184,1.172,-1.268,4.217,0.592,0.806,1.0,-0.46,2.096,1.585,1.756,-0.159,2.299,-0.745,0.253,0.907
115,1.273,0.819,-0.334,1.864,-3.352,1.219,1.213,-0.939,4.256,0.303,1.166,0.0,0.234,2.391,0.977,2.852,-1.306,1.87,-0.425,0.758,0.998
116,1.507,0.75,-1.361,1.855,-3.913,1.363,1.42,-1.027,5.061,0.732,1.21,0.0,0.559,2.246,0.961,3.021,-2.064,2.018,-0.571,1.167,0.929
117,1.231,1.045,-0.623,1.571,-3.459,1.323,1.093,-1.134,4.005,0.245,1.069,0.0,0.067,2.059,1.412,3.023,-0.896,1.782,-0.557,0.806,0.84
118,1.105,0.872,-0.174,1.414,-3.985,1.106,0.866,-1.06,3.935,0.594,1.075,0.0,0.283,2.011,1.359,2.408,-0.883,1.674,-0.855,0.555,0.789
119,0.926,1.123,-1.839,1.749,-4.876,2.164,0.613,-1.106,3.831,0.346,1.219,0.0,-0.122,1.656,2.216,3.619,-0.953,1.357,-1.334,0.861,0.841
120,1.18,0.836,-0.693,1.654,-4.271,1.55,0.967,-1.107,3.856,0.189,1.185,0.0,-0.094,1.686,1.946,2.274,-1.088,1.658,-1.139,0.833,0.701
121,1.408,0.997,-1.836,2.058,-3.799,1.422,0.864,-1.134,4.631,0.456,1.548,0.0,0.107,1.872,1.336,3.853,-1.637,1.706,-0.616,0.97,0.836
122,1.424,0.565,-0.02,1.867,-3.456,0.558,1.22,-0.949,4.356,1.153,1.31,0.0,0.189,2.083,0.688,2.174,-1.461,1.969,0.069,0.618,1.025
123,0.752,0.726,0.502,1.859,-4.817,1.623,1.58,-1.129,4.027,0.232,0.926,0.0,-0.725,1.916,2.017,1.823,-0.033,2.281,-1.26,0.047,0.93
124,1.182,0.919,-0.833,1.813,-3.838,1.455,1.312,-1.1,4.511,0.724,1.016,0.0,0.368,2.028,1.012,2.665,-1.658,2.045,-0.588,0.927,0.825
125,1.424,0.988,-0.19,1.919,-2.921,0.87,1.06,-1.016,4.277,-0.024,1.117,0.0,0.859,2.331,1.165,2.317,-2.223,2.22,-0.401,0.906,0.808
126,1.174,0.768,0.117,1.627,-3.047,0.862,1.092,-0.838,4.057,0.971,0.933,0.0,0.356,2.005,0.734,2.345,-1.054,1.82,-0.063,0.749,0.944
127,0.9,0.87,0.519,1.446,-3.268,0.786,1.16,-0.942,3.403,1.135,1.07,0.0,0.049,1.848,0.662,2.197,-0.677,1.834,-0.101,0.578,0.968
128,1.307,0.886,-0.994,1.676,-3.987,1.188,0.498,-1.155,3.543,1.04,1.441,0.0,-0.142,1.821,1.474,3.157,-0.683,1.201,-0.467,0.789,0.63
129,1.014,0.95,-0.191,1.674,-4.331,1.365,1.178,-1.21,3.678,0.785,1.051,0.0,0.204,1.691,1.594,2.198,-1.234,1.875,-0.672,0.89,0.85
130,1.031,0.631,-0.335,1.695,-3.676,1.376,1.207,-0.962,4.098,0.737,1.163,0.0,0.251,2.194,0.892,2.428,-1.28,1.928,-0.578,0.935,0.801
131,1.413,0.931,-0.838,1.745,-3.567,1.384,0.767,-1.172,3.658,0.975,1.287,0.0,0.044,1.996,0.93,2.811,-1.482,1.45,-0.32,0.824,0.965
132,1.074,0.919,-0.263,1.823,-4.518,1.571,1.49,-0.952,4.28,0.864,1.366,0.0,-0.051,2.257,1.502,2.648,-0.776,2.267,-0.683,0.745,0.858
133,1.213,0.966,-0.276,1.693,-2.656,1.335,1.336,-0.87,4.032,0.443,1.236,0.0,0.591,2.208,0.611,2.502,-1.545,1.998,-0.14,1.064,1.035
134,1.272,1.142,-1.063,1.492,-3.735,1.08,0.635,-0.885,3.526,1.044,1.331,0.0,0.209,1.971,0.93,3.404,-1.101,1.27,-0.289,0.855,0.872
135,1.328,0.77,0.105,2.088,-4.137,1.343,1.244,-1.173,4.546,0.361,1.083,0.0,-0.3,2.024,1.463,2.08,-0.729,2.299,-0.86,0.443,0.959
136,1.226,0.866,-1.285,1.716,-3.344,1.223,0.921,-1.158,4.014,0.603,1.244,0.0,0.898,1.958,0.886,2.824,-2.34,1.844,-0.471,1.477,0.65
137,1.066,1.036,-1.416,1.906,-5.128,1.889,0.828,-1.211,4.607,0.634,1.258,0.0,0.031,1.851,2.028,3.481,-1.102,1.719,-0.966,1.078,0.747
138,1.039,0.754,-0.13,1.842,-4.494,1.125,1.233,-1.297,4.758,1.257,1.023,0.0,0.119,2.009,1.315,2.484,-0.874,1.998,-0.366,0.666,1.001
139,1.128,0.873,-0.347,1.985,-4.204,1.455,1.133,-0.894,4.971,0.506,1.114,0.0,0.199,2.083,1.503,2.813,-0.818,2.024,-0.8,0.823,0.769
140,1.17,0.853,-0.287,1.874,-4.026,1.552,0.878,-0.998,3.817,0.127,1.097,0.0,-0.144,1.829,1.926,2.324,-0.581,1.714,-0.948,0.551,0.855
141,0.987,0.924,0.314,2.024,-3.89,1.163,1.407,-1.183,5.224,0.706,1.241,0.0,-0.226,2.267,1.173,2.774,-0.311,2.249,-0.527,0.643,0.945
142,1.197,0.821,-0.294,1.705,-4.05,1.428,1.527,-0.95,4.066,-0.076,1.017,0.0,0.204,2.02,1.711,2.145,-1.35,2.307,-0.772,0.859,0.821
143,1.357,1.138,-1.909,1.729,-3.977,1.252,0.726,-0.922,3.911,1.13,1.449,0.0,0.465,1.915,0.982,3.633,-2.233,1.201,-0.276,1.551,0.768
144,1.018,0.68,-0.565,1.992,-3.814,1.475,1.454,-1.08,4.745,0.381,1.116,0.0,-0.049,1.993,1.236,2.673,-1.126,2.166,-0.393,0.883,0.853
145,1.043,0.775,0.487,1.777,-3.494,0.765,1.526,-0.94,4.258,1.157,1.151,0.0,-0.104,2.283,0.659,2.146,-0.733,2.206,-0.197,0.658,0.789
146,1.328,0.792,-1.409,1.75,-3.881,1.383,0.882,-0.987,4.075,0.899,1.312,0.0,0.105,1.891,1.095,3.422,-1.508,1.634,-0.368,0.926,1.009
147,1.104,0.924,-0.088,1.685,-4.241,1.367,1.059,-1.202,4.456,0.913,0.731,0.0,0.573,2.13,1.666,2.147,-1.664,2.065,-0.446,1.195,0.841
148,1.463,0.906,-0.381,1.593,-3.142,0.991,1.169,-1.247,3.296,0.209,1.254,0.0,0.226,1.722,1.184,2.429,-1.174,1.786,-0.423,0.582,1.021
149,1.293,0.726,-1.05,1.469,-3.444,1.487,0.937,-0.86,3.539,0.116,1.078,0.0,0.152,1.962,1.29,2.446,-1.581,1.784,-0.547,0.96,0.927
150,1.351,0.868,-0.734,1.862,-2.953,0.995,1.132,-0.944,4.142,0.979,1.417,0.0,0.188,2.158,0.392,2.75,-1.348,1.893,-0.091,0.996,0.837
151,1.204,0.597,0.472,1.947,-3.516,0.946,1.239,-0.984,4.319,0.677,1.099,0.0,0.181,2.079,0.852,1.658,-0.895,2.26,-0.276,0.666,0.805
