Unnamed: 0,x0,x1,x2,x3,x4,x5,y,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
12,0.084,-1.109,0.25,-1.453,-0.858,0.013,1.0,0.91,-4.035,-1.765,-1.285,0.431,0.464,-1.364,-0.225,6.277,-0.954,-4.026,0.349,-3.272,1.188
13,-0.214,-1.086,0.018,-1.427,-0.914,0.114,1.0,1.109,-4.428,-2.193,-1.385,0.251,0.476,-1.754,-0.555,6.963,-0.594,-4.426,0.19,-3.562,1.472
14,0.016,-1.283,0.209,-1.338,-0.742,-0.051,1.0,1.45,-4.326,-2.149,-1.584,0.459,0.53,-1.605,-0.264,6.911,-0.789,-4.509,0.549,-3.93,1.223
15,-0.178,-1.428,0.186,-1.419,-0.634,-0.023,0.0,1.459,-4.112,-2.522,-1.644,0.55,0.694,-1.429,-0.448,6.704,-0.394,-4.496,0.151,-4.183,1.103
16,0.023,-1.101,0.257,-1.217,-0.521,-0.291,0.0,1.873,-3.556,-2.411,-2.037,0.963,1.345,-1.406,-0.391,6.185,-0.194,-3.913,0.262,-4.022,0.863
17,-0.143,-1.224,0.229,-1.627,-0.855,0.044,0.0,1.302,-3.666,-2.365,-0.946,0.174,0.556,-1.337,-0.339,5.961,-0.622,-4.13,0.046,-3.865,1.015
18,0.096,-1.198,0.2,-1.336,-0.473,-0.044,0.0,1.058,-3.134,-2.158,-1.171,0.153,0.507,-1.259,-0.385,5.268,-0.349,-3.799,0.204,-3.841,0.914
19,0.116,-1.213,0.184,-1.218,-0.613,-0.276,0.0,1.643,-2.958,-2.626,-1.508,0.63,1.081,-1.074,-0.341,5.535,-0.01,-3.72,0.231,-4.423,0.693
20,-0.032,-1.279,0.407,-1.499,-0.473,-0.201,0.0,1.474,-3.587,-2.055,-1.677,0.607,1.255,-1.346,-0.297,6.279,-0.654,-3.78,0.335,-3.638,0.929
21,-0.068,-1.236,0.064,-1.516,-0.578,-0.117,0.0,1.059,-4.12,-2.277,-1.445,0.398,0.708,-1.556,-0.33,6.771,-0.616,-4.052,0.114,-3.711,1.124
22,-0.005,-1.342,0.18,-1.561,-0.611,-0.028,0.0,1.796,-3.875,-2.066,-1.336,0.331,0.636,-1.235,-0.24,6.6,-0.606,-4.649,0.232,-3.905,1.176
23,0.037,-1.424,0.156,-1.371,-0.418,-0.052,0.0,1.997,-3.762,-2.673,-2.29,1.265,1.439,-1.465,-0.295,6.713,-0.378,-4.09,0.172,-4.157,1.0
24,-0.125,-1.374,0.152,-1.555,-0.529,-0.075,0.0,1.36,-3.563,-2.025,-1.865,0.947,1.124,-1.5,-0.444,5.927,-0.839,-3.437,0.176,-3.253,1.154
25,0.561,-1.309,0.271,-1.323,-0.587,-0.472,0.0,1.109,-2.873,-2.206,-1.335,0.112,1.11,-1.017,-0.173,4.484,-0.995,-2.64,0.343,-3.151,0.64
26,0.109,-1.212,0.404,-1.169,-0.495,-0.167,0.0,1.666,-3.925,-2.117,-1.815,0.816,1.24,-1.401,-0.324,6.517,-0.783,-3.988,0.244,-3.619,1.044
27,0.182,-1.291,0.28,-1.387,-0.411,-0.222,0.0,1.316,-3.41,-2.008,-1.134,0.225,0.82,-1.193,-0.284,5.511,-0.667,-3.548,0.135,-3.395,0.921
28,-0.034,-1.338,0.245,-1.334,-0.63,0.19,0.0,1.993,-4.191,-2.059,-1.725,0.653,0.847,-1.449,-0.384,6.934,-0.655,-4.674,0.088,-3.68,1.251
29,0.16,-1.312,0.223,-1.221,-0.476,-0.267,0.0,1.201,-3.431,-2.656,-1.557,0.325,0.929,-1.373,-0.321,5.484,-0.33,-3.8,0.109,-4.305,0.798
30,0.152,-1.277,0.215,-1.176,-0.328,-0.509,0.0,1.445,-2.417,-2.918,-0.958,0.151,1.11,-0.85,-0.387,4.236,-0.204,-2.788,0.173,-4.14,0.383
31,-0.117,-1.25,0.202,-1.555,-0.661,0.026,0.0,1.527,-3.497,-2.562,-1.425,0.467,0.836,-1.231,-0.693,6.155,-0.038,-4.075,0.18,-4.174,1.112
32,-0.242,-1.141,0.114,-1.209,-0.603,-0.112,0.0,0.948,-3.558,-2.093,-0.552,-0.358,0.401,-1.466,-0.307,5.511,-0.536,-3.757,0.235,-3.311,0.899
33,-0.026,-1.376,0.293,-1.085,-0.332,-0.319,0.0,2.008,-2.939,-2.894,-1.987,0.932,1.545,-0.919,-0.244,5.426,-0.575,-3.383,0.158,-4.225,0.711
34,-0.077,-1.331,0.139,-1.294,-0.558,-0.088,0.0,1.745,-4.058,-2.535,-1.918,0.688,0.917,-1.533,-0.477,7.006,-0.304,-4.555,0.208,-4.359,1.206
35,0.215,-1.331,0.146,-1.363,-0.596,-0.202,0.0,1.544,-3.478,-2.261,-1.428,0.44,1.14,-1.343,-0.253,5.931,-0.693,-3.713,0.121,-3.917,0.865
36,0.101,-1.312,0.366,-1.408,-0.515,-0.079,0.0,1.567,-4.052,-2.401,-1.513,0.354,0.969,-1.656,-0.447,6.643,-0.662,-4.137,0.267,-4.017,1.003
37,-0.052,-1.233,0.25,-1.613,-0.531,-0.135,0.0,1.459,-3.363,-2.509,-2.187,1.062,1.208,-1.605,-0.292,5.511,-0.529,-3.403,0.292,-3.862,0.998
38,0.132,-1.085,0.116,-1.37,-0.673,-0.048,0.0,1.371,-3.768,-2.548,-1.812,0.618,1.04,-1.565,-0.318,6.231,-0.586,-3.926,0.123,-4.115,1.079
39,-0.058,-1.17,0.269,-1.49,-0.828,-0.247,0.0,1.523,-4.052,-2.183,-1.527,0.669,1.042,-1.386,-0.441,6.787,-0.417,-4.191,0.338,-3.845,1.002
40,-0.122,-1.305,0.257,-1.542,-0.832,-0.15,0.0,1.534,-4.527,-2.317,-1.339,0.345,0.787,-1.657,-0.458,7.432,-0.552,-4.827,0.185,-4.17,1.464
41,0.112,-1.296,0.099,-1.451,-0.619,-0.2,0.0,1.596,-3.815,-2.109,-1.066,0.05,0.766,-1.358,-0.443,6.256,-0.66,-4.151,0.214,-3.732,1.089
42,0.173,-1.173,0.463,-1.066,-0.672,-0.194,0.0,1.88,-3.069,-2.474,-1.887,0.993,1.451,-1.205,-0.239,5.604,-0.491,-3.413,0.393,-3.956,0.717
43,-0.1,-1.324,0.465,-1.71,-0.875,0.047,0.0,1.997,-4.523,-1.992,-1.726,0.892,0.92,-1.593,-0.479,7.674,-0.588,-5.08,0.069,-3.995,1.53
44,0.026,-1.252,0.153,-1.318,-0.494,-0.257,0.0,1.514,-3.174,-2.183,-1.445,0.795,1.137,-1.098,-0.408,5.657,-0.569,-3.56,0.292,-3.899,1.001
45,0.124,-1.359,0.425,-1.815,-0.61,-0.046,0.0,1.352,-4.536,-2.137,-1.454,0.462,0.663,-1.576,-0.639,7.342,-0.63,-4.518,0.17,-3.951,1.253
46,0.067,-1.244,0.18,-1.427,-0.399,-0.084,0.0,1.867,-3.772,-2.016,-2.048,1.097,1.419,-1.359,-0.321,6.428,-0.717,-3.841,0.239,-3.576,1.093
47,0.125,-1.283,0.191,-0.994,-0.524,-0.545,0.0,1.867,-3.174,-2.391,-2.05,0.949,1.806,-1.093,-0.235,5.486,-0.481,-3.037,0.029,-3.596,0.497
48,0.282,-1.315,0.268,-1.277,-0.698,-0.266,0.0,1.871,-4.14,-1.885,-1.743,0.776,1.323,-1.537,-0.448,7.004,-0.632,-4.151,0.266,-3.675,1.191
49,-0.006,-1.249,0.05,-1.216,-0.475,-0.168,0.0,1.753,-3.55,-2.33,-1.198,0.364,0.979,-1.293,-0.411,6.322,-0.196,-4.24,0.287,-4.238,0.824
50,0.122,-1.334,0.063,-1.53,-0.479,-0.176,0.0,0.735,-3.401,-2.136,-0.765,-0.35,0.338,-1.387,-0.311,5.366,-0.642,-3.483,0.116,-3.297,0.917
51,-0.045,-1.203,0.091,-1.365,-0.615,0.02,0.0,1.282,-3.967,-2.41,-1.19,0.091,0.447,-1.148,-0.291,6.819,-0.485,-4.692,0.048,-4.248,1.24
52,0.265,-1.33,0.274,-1.371,-0.288,-0.461,0.0,1.247,-3.171,-2.789,-1.558,0.408,1.249,-1.326,-0.375,5.335,-0.558,-3.159,0.166,-3.84,0.648
53,-0.042,-1.387,0.231,-1.462,-0.745,-0.134,0.0,1.635,-3.787,-2.034,-1.787,0.809,1.138,-1.294,-0.211,6.632,-0.768,-4.058,0.308,-3.935,1.03
54,0.103,-1.299,0.33,-1.147,-0.522,-0.155,0.0,1.551,-2.873,-2.52,-2.146,1.153,1.394,-1.386,-0.381,4.902,-0.417,-2.977,0.161,-3.393,0.684
55,-0.015,-1.329,0.168,-1.597,-0.467,-0.018,0.0,1.584,-3.629,-2.394,-2.022,0.795,1.032,-1.469,-0.376,6.19,-0.762,-3.972,0.095,-3.761,1.21
56,0.063,-1.017,0.166,-1.361,-0.557,-0.186,0.0,1.602,-4.024,-2.1,-1.677,0.582,1.026,-1.552,-0.569,6.29,-0.431,-3.915,0.195,-3.501,1.086
57,-0.237,-1.169,0.097,-1.597,-0.765,-0.259,0.0,1.221,-3.513,-2.301,-1.177,0.232,0.808,-1.243,-0.239,5.883,-0.586,-3.725,0.094,-3.726,0.966
58,0.077,-1.319,0.212,-1.058,-0.178,-0.26,0.0,1.449,-2.473,-2.62,-1.333,0.402,1.088,-0.986,-0.159,4.381,-0.376,-3.023,0.56,-4.014,0.265
59,0.079,-1.084,0.171,-1.418,-0.727,-0.143,0.0,0.747,-3.794,-1.888,-1.086,0.11,0.301,-1.423,-0.491,5.721,-0.554,-3.66,0.17,-3.271,1.184
60,-0.006,-1.321,-0.042,-1.455,-0.962,0.13,0.0,1.65,-4.188,-2.239,-1.316,0.257,0.576,-1.496,-0.404,6.842,-0.487,-4.725,0.196,-4.086,1.225
61,0.089,-1.275,0.175,-1.183,-0.593,-0.189,0.0,1.605,-3.075,-2.638,-1.858,0.768,1.171,-1.309,-0.381,5.389,-0.345,-3.558,0.322,-4.171,0.698
62,-0.129,-1.103,0.215,-1.524,-0.648,-0.095,0.0,1.497,-3.786,-1.941,-1.119,0.423,0.749,-1.164,-0.182,6.37,-0.713,-4.155,0.06,-3.685,1.238
63,-0.025,-1.136,0.132,-1.524,-0.783,0.273,0.0,1.502,-4.349,-1.87,-1.565,0.36,0.565,-1.653,-0.167,6.977,-0.731,-4.708,0.095,-3.419,1.433
64,0.076,-1.319,0.286,-1.191,-0.534,-0.321,0.0,1.42,-3.287,-2.271,-1.319,0.384,0.896,-1.061,-0.382,5.485,-0.452,-3.527,0.234,-3.943,0.764
65,-0.12,-1.399,0.244,-1.436,-0.833,-0.06,0.0,2.153,-3.977,-2.368,-2.007,0.905,1.023,-1.238,-0.483,7.16,-0.195,-4.865,0.299,-4.316,1.204
66,0.019,-1.284,0.397,-1.296,-0.4,-0.22,0.0,1.726,-3.855,-2.281,-1.828,0.962,1.391,-1.239,-0.317,6.774,-0.623,-3.841,0.262,-3.703,0.84
67,-0.222,-1.221,0.221,-1.46,-0.745,0.081,0.0,1.378,-4.16,-1.99,-1.647,0.49,0.52,-1.484,-0.336,6.968,-0.513,-4.559,0.149,-3.835,1.35
68,0.001,-1.185,0.244,-1.51,-0.772,-0.092,0.0,1.286,-3.908,-1.95,-1.14,0.211,0.687,-1.235,-0.429,6.556,-0.468,-4.157,0.098,-3.316,1.106
69,0.153,-1.079,0.168,-1.02,-0.522,-0.532,0.0,1.433,-2.983,-2.258,-1.214,0.513,1.252,-1.049,-0.309,4.941,-0.441,-2.912,0.208,-3.355,0.688
70,0.224,-1.343,0.32,-1.252,-0.393,-0.237,0.0,1.78,-3.043,-2.636,-1.704,0.784,1.249,-1.149,-0.594,5.325,-0.168,-3.631,0.184,-4.078,0.745
71,0.054,-1.159,0.245,-1.2,-0.352,-0.408,0.0,1.461,-2.887,-2.19,-1.632,0.631,1.464,-1.083,-0.296,5.112,-0.507,-3.073,0.442,-3.651,0.648
72,-0.022,-1.241,0.235,-1.154,-0.322,-0.116,0.0,1.636,-3.018,-2.371,-1.792,0.569,1.084,-1.157,-0.306,5.255,-0.524,-3.561,0.245,-3.762,0.755
73,0.145,-1.323,0.171,-0.998,-0.465,-0.364,0.0,1.698,-2.784,-2.309,-1.349,0.469,1.325,-0.906,-0.299,4.91,-0.395,-3.094,0.148,-3.647,0.658
74,-0.295,-1.265,0.22,-1.397,-0.72,-0.067,0.0,1.391,-3.14,-2.498,-1.408,0.293,0.737,-1.036,-0.223,5.612,-0.408,-3.956,0.262,-4.177,0.869
75,-0.175,-1.002,0.187,-1.227,-0.653,-0.113,0.0,1.413,-3.901,-1.918,-1.633,0.808,0.949,-1.309,-0.244,6.393,-0.768,-4.005,0.242,-3.561,1.042
76,-0.054,-1.104,0.268,-1.084,-0.545,-0.32,0.0,1.622,-2.861,-2.086,-1.544,0.811,1.282,-1.02,-0.247,5.219,-0.387,-3.296,0.424,-3.896,0.677
77,0.095,-1.423,0.071,-1.563,-0.452,-0.089,0.0,1.793,-3.697,-2.211,-2.268,0.894,1.222,-1.392,-0.284,6.473,-0.609,-4.168,0.375,-3.74,0.952
78,0.024,-1.153,0.09,-1.15,-0.525,-0.338,0.0,1.006,-3.3,-2.338,-1.332,0.076,0.777,-1.326,-0.37,5.3,-0.532,-3.3,0.273,-3.723,0.855
79,0.0,-1.18,0.235,-1.089,-0.304,-0.153,0.0,1.796,-3.729,-2.322,-1.955,0.881,1.235,-1.306,-0.216,6.512,-0.66,-4.099,0.192,-3.948,0.956
80,-0.09,-1.357,0.131,-1.331,-0.624,-0.091,0.0,1.518,-3.726,-2.524,-1.453,0.35,0.678,-1.544,-0.357,6.271,-0.427,-4.252,0.278,-4.134,1.004
81,0.059,-1.188,0.399,-1.297,-0.409,-0.164,0.0,2.028,-3.434,-2.249,-1.907,0.796,1.356,-1.261,-0.442,5.965,-0.393,-3.817,0.289,-3.821,0.833
82,0.142,-1.389,0.533,-1.362,-0.539,0.005,0.0,1.989,-3.565,-2.424,-2.386,1.452,1.522,-1.437,-0.36,6.126,-0.574,-3.921,0.266,-3.898,0.902
83,-0.228,-1.129,0.168,-1.352,-0.703,-0.233,0.0,1.726,-3.618,-2.678,-1.602,0.733,1.172,-1.388,-0.198,6.466,-0.652,-4.071,0.264,-4.291,1.065
84,-0.071,-1.207,0.198,-1.155,-0.304,-0.39,0.0,1.279,-2.621,-2.263,-1.154,0.163,1.14,-1.183,-0.512,4.284,-0.071,-2.815,0.317,-3.66,0.436
85,0.018,-1.213,0.201,-1.019,-0.213,-0.29,0.0,1.624,-2.812,-2.387,-1.637,0.42,1.105,-1.192,-0.593,5.131,0.02,-3.449,0.243,-4.088,0.567
86,-0.249,-1.134,0.379,-1.256,-0.404,-0.153,0.0,1.472,-3.031,-1.897,-1.804,1.191,1.176,-0.926,-0.182,5.229,-0.617,-3.52,0.367,-3.645,0.947
87,-0.051,-1.122,0.218,-1.459,-0.582,-0.209,0.0,2.077,-4.55,-1.952,-2.248,1.184,1.515,-1.649,-0.214,7.395,-0.64,-4.366,0.222,-3.584,1.235
88,-0.185,-1.074,0.092,-1.47,-0.503,-0.127,0.0,1.448,-3.909,-2.193,-2.005,0.821,1.061,-1.556,-0.578,6.647,-0.444,-4.035,0.154,-3.735,1.24
89,0.168,-1.307,0.226,-1.397,-0.478,-0.143,0.0,1.25,-3.831,-2.162,-1.429,0.446,0.881,-1.293,-0.119,6.351,-0.939,-3.923,0.23,-3.521,1.044
90,0.02,-1.248,0.176,-1.544,-0.732,-0.018,0.0,1.416,-4.049,-2.282,-1.169,0.353,0.434,-1.574,-0.44,6.689,-0.605,-4.438,0.162,-3.894,1.329
91,-0.01,-1.437,0.08,-1.189,-0.303,-0.365,0.0,1.755,-2.749,-2.784,-1.354,0.422,1.3,-0.81,-0.312,5.326,-0.145,-3.674,0.318,-4.469,0.588
92,-0.151,-1.324,0.185,-1.435,-0.732,-0.263,0.0,1.459,-3.911,-2.26,-1.241,0.475,0.819,-1.286,-0.287,6.72,-0.792,-4.336,0.244,-4.066,1.162
93,0.002,-1.185,-0.075,-1.401,-0.595,-0.328,0.0,1.259,-3.104,-2.978,-1.236,0.284,1.062,-1.265,-0.518,5.607,-0.27,-3.597,0.222,-4.518,0.921
94,-0.116,-1.275,0.248,-1.573,-0.599,-0.054,0.0,1.4,-4.63,-2.182,-1.303,0.137,0.543,-1.817,-0.19,7.679,-0.819,-4.79,0.176,-3.939,1.368
95,-0.025,-1.372,0.156,-1.344,-0.661,-0.123,0.0,1.356,-3.814,-2.449,-1.403,0.292,0.546,-1.409,-0.503,6.205,-0.477,-4.114,0.203,-3.911,0.975
96,-0.012,-1.359,0.28,-1.334,-0.384,-0.39,0.0,1.719,-3.799,-2.419,-1.879,0.908,1.407,-1.382,-0.368,6.331,-0.659,-3.762,0.316,-3.871,0.804
97,-0.06,-1.251,0.321,-1.598,-0.817,0.103,0.0,1.137,-5.168,-1.866,-1.566,0.538,0.457,-1.867,-0.311,8.102,-0.948,-4.93,0.12,-3.451,1.46
98,0.002,-1.274,-0.041,-1.49,-0.674,-0.182,0.0,1.428,-4.032,-2.147,-0.964,0.049,0.674,-1.305,-0.256,6.951,-0.745,-4.491,0.193,-3.903,1.256
99,0.24,-1.342,0.084,-1.324,-0.609,-0.192,0.0,1.674,-3.699,-2.052,-1.472,0.347,1.08,-1.363,-0.256,6.32,-0.778,-3.949,0.372,-3.7,0.968
100,-0.056,-1.137,0.441,-1.219,-0.483,-0.349,0.0,1.489,-2.756,-2.848,-1.139,0.394,1.218,-0.987,-0.479,4.827,-0.064,-3.24,0.341,-4.438,0.833
101,0.23,-1.458,0.113,-1.346,-0.572,-0.119,0.0,2.479,-3.656,-2.6,-2.191,1.061,1.523,-1.471,-0.41,6.31,-0.393,-4.166,0.259,-4.453,0.918
102,-0.013,-1.238,0.448,-1.252,-0.278,-0.213,0.0,2.088,-3.342,-2.283,-2.422,1.409,1.763,-1.215,-0.204,5.721,-0.92,-3.374,0.308,-3.524,0.777
103,-0.315,-1.196,0.354,-1.343,-0.545,-0.343,0.0,1.933,-3.096,-2.399,-1.781,0.84,1.476,-1.058,-0.334,5.622,-0.177,-3.72,0.277,-3.903,0.671
104,0.0,-1.353,0.213,-1.548,-0.818,-0.006,0.0,1.55,-4.382,-1.835,-1.755,0.87,0.929,-1.64,-0.341,7.136,-0.806,-4.585,0.149,-3.682,1.286
105,-0.029,-1.103,0.183,-1.143,-0.316,-0.215,0.0,1.614,-3.664,-2.706,-1.683,0.49,0.992,-1.179,-0.451,6.165,-0.376,-4.126,0.076,-3.984,0.807
106,0.045,-1.392,0.157,-1.077,-0.653,-0.412,0.0,1.504,-3.375,-2.489,-1.393,0.09,0.953,-1.189,-0.364,5.987,-0.557,-3.84,0.39,-4.1,0.684
107,0.061,-1.451,0.354,-1.374,-0.678,-0.202,0.0,0.98,-3.334,-2.521,-1.51,0.383,0.797,-1.28,-0.389,5.566,-0.557,-3.539,0.168,-3.971,0.865
108,-0.001,-1.366,0.369,-1.754,-0.738,-0.062,0.0,1.588,-4.485,-2.005,-1.469,0.486,0.446,-1.548,-0.401,7.025,-0.64,-4.912,0.193,-4.089,1.541
109,0.064,-1.273,0.2,-1.117,-0.545,-0.297,0.0,1.243,-3.223,-2.033,-1.176,0.241,0.921,-1.114,-0.424,5.132,-0.609,-3.386,0.246,-3.4,0.784
110,-0.18,-1.152,0.391,-0.994,-0.39,-0.016,0.0,1.915,-3.397,-2.341,-1.653,0.65,1.002,-1.239,-0.512,6.022,-0.237,-4.058,0.044,-3.839,0.87
111,-0.068,-1.393,0.102,-1.411,-0.928,0.044,0.0,1.682,-4.294,-2.036,-1.261,0.438,0.635,-1.317,-0.274,6.971,-0.864,-4.915,0.152,-4.211,1.305
112,0.015,-1.303,0.48,-1.389,-0.596,-0.145,0.0,2.046,-4.536,-2.317,-2.162,1.171,1.31,-1.775,-0.571,7.251,-0.41,-4.457,0.199,-3.845,1.239
113,0.319,-1.356,0.087,-1.38,-0.575,-0.303,0.0,1.137,-4.006,-2.68,-1.412,0.14,0.554,-1.706,-0.614,6.086,-0.426,-3.821,0.25,-3.855,1.11
114,0.046,-1.395,0.273,-1.681,-0.595,0.127,0.0,2.06,-4.121,-2.449,-1.812,0.816,0.93,-1.421,-0.193,7.341,-0.592,-5.05,0.228,-4.462,1.323
115,-0.127,-1.272,0.161,-1.518,-0.515,-0.022,0.0,1.28,-3.515,-2.386,-1.745,0.421,0.748,-1.481,-0.202,5.92,-0.738,-3.843,0.133,-3.816,0.98
116,-0.04,-1.466,0.133,-1.639,-0.898,0.068,0.0,1.733,-3.942,-2.399,-1.449,0.474,0.614,-1.348,-0.386,6.848,-0.351,-4.787,0.277,-4.331,1.274
117,0.043,-1.264,0.307,-1.289,-0.652,-0.395,0.0,1.376,-3.732,-2.037,-1.692,0.74,1.14,-1.439,-0.319,5.917,-0.629,-3.468,0.081,-3.361,0.764
118,-0.047,-1.262,0.071,-1.143,-0.306,-0.583,0.0,1.481,-2.879,-2.562,-1.623,0.426,1.356,-0.984,-0.21,5.146,-0.509,-3.106,0.212,-3.921,0.5
119,0.032,-1.196,0.24,-1.52,-0.737,0.085,0.0,2.191,-4.191,-2.512,-2.195,1.088,1.08,-1.673,-0.549,7.397,-0.007,-5.07,0.161,-4.498,1.273
120,0.144,-1.29,0.056,-1.473,-0.83,-0.104,0.0,1.388,-4.235,-2.38,-1.642,0.542,0.941,-1.609,-0.421,6.859,-0.528,-4.132,0.161,-3.737,1.095
121,-0.076,-1.193,0.248,-1.315,-0.541,-0.299,0.0,1.487,-3.747,-2.479,-1.774,0.551,1.135,-1.505,-0.371,6.268,-0.54,-3.949,0.325,-4.214,1.065
122,-0.108,-1.283,0.297,-1.33,-0.561,-0.255,0.0,1.426,-3.78,-2.274,-1.366,0.278,0.8,-1.4,-0.311,6.059,-0.424,-4.013,0.247,-3.945,0.975
123,-0.063,-1.196,0.177,-1.405,-0.678,0.078,0.0,1.545,-4.243,-1.944,-1.482,0.43,0.638,-1.584,-0.142,6.786,-0.756,-4.437,0.217,-3.384,1.142
124,0.018,-1.306,0.245,-1.489,-0.716,0.176,0.0,1.75,-4.915,-1.787,-1.696,0.514,0.507,-1.895,-0.442,7.809,-0.401,-5.207,0.108,-3.736,1.317
125,0.092,-1.397,0.246,-1.381,-0.785,-0.124,0.0,1.384,-3.19,-2.288,-1.483,0.542,0.872,-1.377,-0.404,5.284,-0.462,-3.559,0.157,-4.034,1.076
126,0.163,-1.07,0.204,-1.161,-0.732,-0.385,0.0,0.957,-3.953,-2.032,-1.203,0.269,0.882,-1.616,-0.267,6.213,-0.786,-3.712,0.261,-3.605,1.02
127,-0.036,-1.299,0.261,-1.296,-0.49,-0.096,0.0,1.116,-3.538,-2.091,-1.262,0.34,0.782,-1.402,-0.413,5.656,-0.724,-3.59,0.312,-3.381,0.999
128,-0.058,-1.331,0.205,-1.214,-0.507,-0.387,0.0,1.631,-3.412,-2.427,-1.89,0.979,1.199,-1.149,-0.389,5.849,-0.339,-3.644,0.28,-3.777,0.785
129,-0.049,-1.294,0.318,-1.339,-0.756,-0.031,0.0,1.881,-4.276,-2.124,-1.877,0.917,0.992,-1.537,-0.322,6.996,-0.574,-4.405,0.142,-3.707,1.189
130,0.191,-1.447,0.399,-1.071,-0.504,-0.491,0.0,1.741,-2.574,-2.61,-1.848,0.791,1.569,-1.047,-0.158,4.78,-0.642,-2.859,0.335,-3.847,0.515
131,0.39,-1.404,0.341,-1.406,-0.189,-0.676,0.0,1.43,-2.675,-2.881,-1.38,0.496,1.388,-1.058,-0.419,4.694,-0.409,-2.759,0.246,-3.989,0.475
132,-0.089,-1.349,0.092,-1.421,-0.879,-0.035,0.0,1.405,-4.247,-2.099,-1.767,0.612,0.831,-1.687,-0.523,6.907,-0.451,-4.519,0.221,-3.729,1.181
133,0.162,-1.365,0.292,-1.408,-0.63,0.018,0.0,1.481,-3.601,-1.949,-1.771,0.607,0.94,-1.355,-0.43,6.204,-0.393,-4.077,0.122,-3.52,1.102
134,0.111,-1.434,0.261,-1.397,-0.343,-0.345,0.0,1.328,-2.726,-2.349,-1.803,0.687,1.082,-1.088,-0.149,4.637,-0.52,-3.15,0.457,-3.935,0.69
135,-0.071,-1.191,0.346,-1.207,-0.392,-0.098,0.0,1.414,-3.32,-1.976,-2.074,0.821,0.97,-1.403,-0.353,5.334,-0.583,-3.444,0.063,-3.347,0.746
136,0.022,-1.296,0.085,-1.442,-0.504,-0.312,0.0,1.831,-3.441,-2.388,-2.133,0.958,1.335,-1.298,-0.31,6.02,-0.462,-3.739,0.317,-3.963,0.839
137,0.098,-1.459,0.297,-1.45,-0.673,-0.458,0.0,1.772,-3.846,-2.369,-1.635,0.505,1.157,-1.382,-0.293,6.51,-0.694,-3.929,0.325,-3.795,0.74
138,-0.025,-1.339,0.244,-1.558,-0.714,-0.138,0.0,1.254,-3.697,-2.404,-1.191,0.139,0.629,-1.36,-0.407,6.355,-0.385,-4.124,0.145,-4.026,1.063
139,-0.185,-1.06,0.117,-1.262,-0.641,-0.157,0.0,1.227,-3.665,-2.444,-1.358,0.237,0.768,-1.276,-0.262,5.9,-0.421,-4.132,0.166,-4.057,0.937
