Unnamed: 0,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y,x13,x14,x15,x16,x17,x18,x19,x20
28,0.736,0.169,0.028,0.256,0.203,-1.016,0.371,-0.926,0.214,0.415,-0.824,0.437,1.0,-0.636,2.912,0.354,-0.997,-0.349,0.612,-3.725,0.116
29,0.401,0.083,0.063,0.108,0.039,-0.876,0.289,-1.109,0.252,0.035,-0.914,0.5,1.0,-0.538,2.709,0.307,-1.243,-0.12,0.657,-3.566,0.348
30,0.461,-0.264,0.496,0.177,0.285,-0.64,1.101,-1.185,0.045,-0.062,-0.63,0.727,1.0,0.049,2.927,0.326,-0.578,-0.128,0.597,-3.585,0.237
31,1.06,-0.323,-0.458,0.206,-0.084,-0.967,0.005,-0.839,0.28,0.579,-0.95,1.112,1.0,-0.585,3.461,0.071,-1.963,-0.455,-0.102,-4.011,-0.391
32,0.912,0.581,-0.785,0.203,0.247,-1.089,-0.727,-0.965,0.473,0.68,-1.162,1.085,1.0,-1.257,2.984,0.192,-1.926,-0.479,-0.018,-4.087,-0.085
33,0.695,0.109,-0.232,0.119,-0.083,-1.042,0.171,-0.911,0.422,0.475,-1.039,0.855,1.0,-0.689,2.947,0.261,-1.653,-0.201,0.156,-3.862,0.046
34,0.441,0.075,-0.198,0.193,0.05,-0.783,0.412,-0.881,0.24,0.241,-0.758,0.548,1.0,-0.527,2.733,0.289,-1.062,-0.2,0.532,-3.287,0.191
35,0.844,-0.102,0.208,0.145,0.139,-0.978,0.12,-0.916,0.246,0.594,-1.078,0.561,1.0,-0.415,2.77,-0.04,-1.292,-0.332,0.363,-3.817,-0.108
36,0.656,0.152,-0.083,0.256,0.263,-0.841,0.014,-1.18,0.391,0.213,-0.833,0.638,1.0,-0.685,2.983,0.28,-1.324,-0.404,0.448,-3.936,0.052
37,0.338,0.205,-0.133,0.283,0.226,-0.928,0.502,-0.935,0.431,0.16,-0.855,0.283,1.0,-0.649,2.724,0.484,-0.703,-0.083,0.866,-3.183,0.458
38,0.884,-0.082,0.032,0.256,0.422,-1.19,0.075,-0.806,0.492,0.486,-1.017,0.428,1.0,-0.664,2.664,0.322,-1.172,-0.234,0.339,-3.71,-0.138
39,0.383,0.613,-0.315,-0.005,0.296,-1.239,-0.4,-1.279,0.43,0.755,-1.052,0.851,1.0,-0.732,3.065,-0.029,-1.702,-0.611,0.378,-3.996,0.175
40,0.44,-0.021,-0.08,0.092,0.166,-0.987,0.214,-0.971,0.305,0.351,-1.02,0.586,1.0,-0.439,2.737,0.288,-1.078,-0.172,0.49,-3.462,0.129
41,0.496,0.233,0.089,0.426,0.324,-0.902,0.217,-0.803,0.282,0.091,-0.687,0.372,1.0,-0.807,2.709,0.318,-1.182,-0.15,0.619,-3.89,0.231
42,0.757,0.303,-0.695,0.266,0.152,-1.286,-0.713,-0.7,0.494,0.682,-1.07,1.013,1.0,-1.195,2.978,0.356,-2.021,-0.419,-0.099,-3.98,-0.129
43,0.652,-0.129,-0.475,0.129,0.041,-1.318,0.033,-0.967,0.251,0.591,-0.849,1.064,1.0,-0.604,2.871,0.144,-1.611,-0.531,0.114,-3.796,-0.125
44,0.856,-0.385,-0.604,0.341,0.161,-1.183,0.067,-0.929,0.399,0.443,-0.823,0.872,1.0,-0.685,2.981,0.307,-1.301,-0.386,0.247,-3.55,-0.187
45,1.232,-0.755,-0.001,0.163,0.123,-0.937,1.028,-1.009,0.196,0.269,-0.73,1.539,1.0,0.228,3.43,0.448,-1.043,-0.25,-0.302,-4.078,-0.443
46,0.662,-0.013,-0.201,-0.005,0.389,-1.108,0.253,-0.971,0.132,0.865,-0.698,1.002,1.0,-0.267,3.128,0.301,-1.114,-0.43,0.007,-3.806,-0.049
47,0.583,0.192,-0.022,0.045,0.146,-0.893,0.105,-0.968,0.35,0.809,-0.935,0.586,1.0,-0.586,2.53,0.133,-1.338,-0.46,0.523,-3.635,0.235
48,0.458,-0.131,-0.308,0.101,0.078,-1.025,0.197,-0.888,0.416,0.476,-0.974,0.691,1.0,-0.577,2.524,0.276,-1.058,-0.416,0.313,-3.255,0.128
49,1.199,-0.677,-0.007,0.256,0.359,-1.026,0.493,-0.934,0.219,0.333,-0.983,1.328,1.0,-0.341,3.634,0.217,-1.333,-0.32,-0.061,-4.387,-0.328
50,0.715,-0.028,-0.15,-0.008,-0.015,-1.156,0.548,-1.133,0.111,0.82,-0.867,1.55,1.0,-0.196,3.346,0.243,-1.374,-0.284,-0.431,-4.068,0.02
51,0.87,-0.245,0.302,0.067,0.01,-0.9,0.5,-0.882,0.029,0.495,-0.439,0.784,1.0,-0.126,2.485,0.433,-0.834,-0.309,0.17,-3.471,0.035
52,0.781,0.175,-0.184,0.316,0.249,-1.221,-0.001,-1.05,0.452,0.379,-0.893,0.731,1.0,-0.719,3.05,0.281,-1.139,-0.541,0.436,-3.916,0.018
53,1.104,-0.005,-0.508,0.339,0.082,-1.102,-0.363,-0.673,0.527,0.693,-1.092,0.874,1.0,-0.98,3.145,0.342,-1.807,-0.427,-0.003,-3.869,-0.259
54,0.223,0.456,-0.164,0.23,0.105,-0.896,0.015,-1.098,0.089,-0.14,-0.623,0.519,1.0,-0.91,3.221,0.33,-1.639,-0.18,0.674,-3.987,0.474
55,0.502,-0.026,-0.275,0.031,0.224,-1.309,-0.297,-0.858,0.563,0.948,-1.119,0.875,1.0,-0.702,2.883,0.005,-1.876,-0.453,0.248,-4.084,-0.059
56,0.715,-0.378,-0.019,0.117,0.259,-0.921,0.531,-1.135,0.149,0.166,-0.754,0.872,1.0,-0.261,2.895,0.261,-1.106,-0.232,0.356,-3.459,0.053
57,1.051,0.045,-0.756,0.06,0.072,-1.158,-0.459,-1.011,0.517,0.931,-1.16,1.265,1.0,-0.808,3.195,-0.093,-1.913,-0.721,-0.083,-4.086,-0.257
58,0.684,0.02,-0.081,0.031,0.129,-1.102,0.118,-1.164,0.265,0.498,-0.837,0.829,1.0,-0.447,2.9,0.125,-1.263,-0.215,0.249,-3.814,0.107
59,1.009,0.321,-0.923,0.095,0.354,-1.074,-0.379,-0.921,0.335,0.944,-0.671,1.177,1.0,-1.013,3.207,0.061,-1.676,-0.456,-0.189,-3.91,-0.23
60,0.738,0.231,-0.029,0.228,0.278,-0.917,-0.383,-0.958,0.476,1.016,-1.059,0.529,1.0,-0.884,2.849,0.155,-1.772,-0.821,0.286,-4.133,-0.072
61,0.685,0.2,-0.622,0.053,0.276,-1.162,-0.023,-0.988,0.383,0.522,-0.915,0.829,1.0,-0.792,3.263,0.006,-1.301,-0.339,0.291,-3.599,0.057
62,0.31,0.543,0.022,0.182,0.242,-1.005,-0.485,-0.984,0.276,0.384,-0.879,0.332,1.0,-0.895,2.673,0.147,-1.562,-0.452,0.77,-4.065,0.291
63,0.721,0.514,-0.581,0.137,0.226,-1.1,-0.562,-0.922,0.333,0.731,-1.127,0.927,1.0,-1.14,2.835,0.06,-1.789,-0.583,0.11,-3.722,-0.054
64,1.2,-0.583,-0.514,0.19,0.198,-1.312,-0.016,-0.904,0.491,0.919,-1.097,1.427,1.0,-0.662,3.489,0.168,-1.961,-0.709,-0.295,-4.567,-0.398
65,0.48,0.444,-0.03,0.15,0.161,-1.242,-0.11,-0.715,0.388,0.884,-0.93,0.723,1.0,-0.817,2.969,0.239,-1.9,-0.535,0.225,-4.305,0.23
66,0.352,0.44,-0.74,0.335,0.207,-1.134,-0.508,-0.937,0.484,0.472,-1.003,0.894,1.0,-1.17,2.843,0.195,-1.655,-0.396,0.262,-4.072,0.154
67,0.87,0.24,-0.683,0.222,0.243,-1.213,-0.87,-0.748,0.567,0.685,-0.987,0.891,1.0,-1.181,2.909,0.059,-1.821,-0.449,0.035,-4.076,-0.287
68,0.809,0.016,-0.414,0.164,0.006,-1.084,0.203,-1.168,0.557,0.564,-1.094,1.0,1.0,-0.613,3.188,0.391,-1.631,-0.293,0.207,-3.972,-0.191
69,0.296,0.296,0.021,0.237,0.077,-1.12,0.049,-0.988,0.395,0.356,-1.043,0.578,1.0,-0.664,2.785,0.276,-1.312,-0.371,0.369,-3.883,0.316
70,0.803,0.404,-0.107,0.025,0.055,-1.334,-0.27,-0.99,0.288,0.352,-0.945,0.799,1.0,-0.68,2.812,0.109,-1.952,-0.362,0.464,-4.044,0.083
71,1.042,0.089,-0.918,0.329,0.105,-1.114,-0.634,-0.976,0.514,0.436,-1.112,0.825,1.0,-1.098,3.0,0.088,-1.806,-0.56,0.246,-3.678,-0.228
72,0.568,0.236,0.212,0.342,0.396,-1.093,-0.529,-0.818,0.333,0.271,-1.161,0.462,1.0,-0.928,2.454,0.264,-1.691,-0.311,0.392,-4.199,0.044
73,0.708,0.493,-0.822,0.009,0.129,-1.301,-0.263,-1.288,0.212,0.467,-0.885,0.863,1.0,-0.781,3.246,0.092,-1.493,-0.374,0.362,-3.641,0.29
74,0.67,0.568,-0.148,0.182,0.232,-1.071,-0.259,-0.958,0.363,0.489,-0.84,0.534,1.0,-0.887,2.661,-0.065,-1.584,-0.376,0.641,-3.911,0.288
75,0.27,0.113,0.476,0.375,0.175,-0.893,0.678,-0.919,0.035,-0.114,-0.555,0.14,1.0,-0.444,2.58,0.451,-1.036,-0.057,0.972,-3.613,0.423
76,0.977,0.437,-0.315,0.258,0.134,-1.114,-0.279,-1.344,0.384,0.433,-1.085,0.716,1.0,-1.008,3.516,0.223,-1.908,-0.335,0.57,-4.325,0.242
77,0.968,-0.163,-0.036,0.08,0.34,-1.132,0.288,-0.896,0.136,0.352,-0.825,0.88,1.0,-0.434,2.894,0.097,-1.024,-0.266,0.296,-4.056,-0.031
78,0.739,0.068,-0.551,0.317,0.236,-1.098,-0.1,-1.104,0.666,0.492,-1.266,0.711,1.0,-0.766,2.905,0.03,-1.149,-0.355,0.415,-3.425,-0.018
79,0.895,0.164,-0.134,0.15,0.039,-1.018,-0.413,-0.962,0.523,0.654,-0.978,1.064,1.0,-0.763,3.022,-0.127,-2.023,-0.529,0.098,-4.371,-0.091
80,0.65,0.092,-0.047,0.371,0.122,-0.79,-0.181,-0.797,0.271,0.662,-0.871,0.452,1.0,-0.766,2.677,0.345,-1.512,-0.516,0.493,-3.697,-0.028
81,0.745,-0.197,-0.642,0.264,0.206,-1.215,-0.064,-0.835,0.411,0.906,-1.147,1.219,1.0,-0.759,3.155,0.277,-1.279,-0.421,-0.372,-3.714,-0.306
82,0.741,0.178,-0.638,0.154,0.293,-1.021,-0.438,-0.69,0.311,0.84,-1.026,0.827,1.0,-1.087,3.039,-0.092,-1.717,-0.514,0.061,-4.011,-0.14
83,0.448,0.446,-0.034,0.22,0.215,-1.062,-0.146,-1.001,0.319,0.378,-1.022,0.622,1.0,-0.849,3.014,0.351,-1.29,-0.423,0.427,-4.083,0.17
84,0.95,-0.619,-0.048,0.045,-0.049,-1.089,0.746,-0.707,0.277,0.294,-0.771,1.452,1.0,-0.078,3.212,0.356,-1.397,-0.059,-0.352,-4.065,-0.252
85,1.088,-0.335,0.161,0.124,0.028,-1.037,0.292,-1.198,0.178,0.47,-0.796,1.126,1.0,-0.205,3.243,0.165,-1.639,-0.389,0.025,-4.16,-0.114
86,0.503,-0.019,-0.036,0.398,0.381,-0.658,0.363,-0.952,0.393,0.331,-0.825,0.477,1.0,-0.629,2.745,0.245,-0.878,-0.441,0.531,-3.569,0.053
87,0.438,0.285,-0.138,0.287,0.205,-1.053,0.384,-1.002,0.261,0.401,-1.004,0.497,1.0,-0.698,3.145,0.139,-1.273,-0.36,0.632,-3.913,0.39
88,0.449,0.235,-0.221,0.422,0.049,-1.156,0.128,-1.148,0.489,-0.053,-0.893,0.391,1.0,-0.691,3.006,0.167,-1.265,-0.399,0.879,-3.619,0.31
89,0.849,0.293,-0.377,0.207,0.254,-0.946,-0.419,-1.121,0.428,0.71,-1.113,0.794,1.0,-0.876,2.929,0.234,-1.445,-0.659,0.274,-3.688,0.059
90,0.891,-0.212,-0.177,0.342,0.203,-1.28,0.149,-0.932,0.375,0.329,-0.934,0.882,1.0,-0.637,3.033,0.337,-1.316,-0.248,0.087,-4.075,-0.067
91,0.597,0.471,-0.606,0.15,0.21,-0.803,-0.333,-0.877,0.32,0.867,-0.894,0.618,1.0,-0.897,3.015,-0.062,-1.317,-0.53,0.303,-3.722,0.21
92,0.681,0.358,-0.426,0.254,0.198,-0.899,-0.152,-1.207,0.225,0.79,-0.96,0.534,1.0,-0.936,3.064,0.061,-1.156,-0.602,0.576,-3.36,0.051
93,0.716,0.082,-0.191,0.324,0.097,-1.071,-0.355,-0.928,0.442,0.469,-1.101,0.78,1.0,-0.895,2.902,-0.029,-1.998,-0.439,0.291,-4.26,-0.112
94,1.036,0.142,-0.872,-0.003,0.308,-1.641,-0.521,-0.794,0.679,0.926,-1.141,1.048,1.0,-0.881,3.232,0.118,-1.753,-0.254,-0.207,-3.975,-0.322
95,0.337,0.325,-0.588,0.042,0.266,-1.109,-0.147,-1.078,0.524,0.595,-1.083,0.806,1.0,-0.775,3.035,-0.012,-1.247,-0.338,0.22,-3.757,0.258
96,0.669,0.517,0.093,0.271,0.148,-0.719,-0.441,-1.418,0.231,0.123,-0.624,0.608,1.0,-0.873,3.095,0.278,-1.634,-0.535,0.706,-4.153,0.34
97,0.16,0.104,-0.252,0.255,-0.006,-1.201,0.323,-0.685,0.434,0.155,-0.792,0.612,1.0,-0.456,2.396,0.621,-0.851,-0.125,0.415,-3.132,0.325
98,0.627,0.072,-0.099,0.304,0.265,-1.219,0.027,-1.023,0.513,0.11,-0.832,0.996,1.0,-0.73,3.318,0.348,-1.808,-0.184,0.23,-4.638,-0.115
99,0.54,0.41,-0.1,0.154,0.283,-1.009,-0.085,-0.981,0.244,0.426,-0.901,0.423,1.0,-0.877,2.732,0.297,-1.167,-0.325,0.668,-3.729,0.311
100,0.702,-0.162,-0.008,0.171,0.016,-1.037,0.371,-1.009,0.341,0.508,-0.964,0.866,1.0,-0.41,3.083,0.356,-1.24,-0.297,0.226,-3.863,0.027
101,0.416,0.083,0.187,0.342,0.001,-0.944,0.306,-0.83,0.442,0.32,-0.839,0.42,1.0,-0.572,2.706,0.269,-1.507,-0.393,0.679,-3.834,0.255
102,0.958,-0.826,0.108,-0.019,0.143,-0.653,1.301,-0.888,0.048,0.39,-0.886,1.206,1.0,0.421,2.787,0.278,-0.183,-0.078,-0.109,-2.959,-0.078
103,0.63,0.379,-0.685,0.166,0.15,-1.318,-0.247,-0.882,0.444,0.565,-0.797,0.796,1.0,-0.947,3.222,0.134,-1.528,-0.321,0.233,-3.809,0.039
104,1.119,-0.756,-0.294,0.185,0.008,-0.831,0.826,-1.231,0.402,0.457,-1.015,1.218,1.0,0.001,3.081,0.382,-0.576,-0.342,-0.023,-3.139,-0.28
105,0.777,-0.08,0.209,0.158,0.158,-0.861,0.071,-1.283,0.141,0.423,-0.803,0.47,1.0,-0.359,2.956,0.295,-1.114,-0.49,0.798,-3.782,0.147
106,1.181,-0.944,0.107,0.146,0.147,-0.955,0.677,-0.899,0.006,0.436,-0.663,1.274,1.0,-0.064,3.303,0.361,-1.563,-0.237,-0.042,-4.252,-0.377
107,1.127,-0.552,-0.649,0.121,0.142,-1.15,0.462,-0.971,0.343,0.707,-0.842,1.439,1.0,-0.265,3.138,0.276,-0.769,-0.305,-0.374,-3.131,-0.43
108,0.693,0.298,-0.059,0.289,-0.058,-1.116,-0.198,-1.086,0.523,0.349,-0.994,0.636,1.0,-0.87,3.148,0.287,-2.085,-0.447,0.535,-4.598,0.129
109,0.67,0.076,-0.256,0.17,0.038,-1.277,0.294,-1.011,0.221,0.578,-0.983,0.948,1.0,-0.66,3.431,0.317,-1.653,-0.265,0.098,-4.061,0.027
110,0.934,0.027,-0.417,0.103,0.06,-1.033,0.081,-1.076,0.379,0.807,-0.793,1.087,1.0,-0.533,2.954,0.19,-1.364,-0.571,0.038,-3.669,-0.103
111,0.92,-0.561,0.457,0.155,0.143,-0.788,0.753,-0.792,0.157,0.952,-0.668,0.911,1.0,-0.184,2.821,0.269,-0.99,-0.353,-0.144,-4.154,-0.318
112,0.51,0.278,-0.334,0.154,0.217,-0.944,-0.472,-0.626,0.437,0.776,-1.152,0.738,1.0,-1.047,3.041,0.195,-1.846,-0.593,0.164,-4.233,-0.028
113,0.812,-0.078,0.147,0.186,-0.007,-1.14,-0.128,-0.934,0.369,0.313,-0.922,0.595,1.0,-0.698,2.665,0.13,-1.742,-0.373,0.414,-4.041,0.011
114,0.975,0.131,-0.232,0.139,0.282,-1.244,-0.137,-1.07,0.587,0.688,-1.14,0.907,1.0,-0.934,3.234,-0.065,-1.756,-0.515,0.217,-4.565,-0.083
115,0.874,0.081,-0.496,0.202,0.056,-1.223,-0.473,-1.125,0.604,0.474,-0.914,0.901,1.0,-0.979,3.156,-0.011,-2.212,-0.606,0.3,-4.451,-0.058
116,0.814,0.204,-0.49,0.134,0.223,-1.298,-0.13,-1.111,0.496,0.56,-1.008,0.881,1.0,-0.76,3.35,0.361,-1.273,-0.371,0.246,-3.811,0.036
117,0.438,-0.002,0.296,-0.05,0.173,-0.676,0.406,-0.701,0.031,0.569,-0.622,0.675,1.0,-0.367,2.677,0.329,-1.515,-0.177,0.183,-3.99,0.175
118,1.038,-0.134,-0.046,0.151,0.052,-1.152,0.055,-0.719,0.424,0.781,-0.961,0.782,1.0,-0.395,2.68,0.501,-1.595,-0.459,0.146,-3.717,-0.333
119,0.832,0.35,-0.576,0.109,0.218,-1.045,-0.369,-0.815,0.216,0.595,-1.03,0.602,1.0,-1.08,2.907,0.172,-1.345,-0.415,0.482,-3.503,-0.006
120,0.905,-0.401,-0.031,0.119,0.126,-1.044,0.322,-1.022,0.369,0.605,-0.962,1.113,1.0,-0.391,3.151,0.262,-1.388,-0.356,0.043,-3.974,-0.035
121,0.636,0.303,-0.227,0.249,0.177,-0.799,-0.202,-1.027,0.443,0.641,-0.848,0.622,1.0,-0.882,2.89,0.135,-1.5,-0.485,0.557,-3.802,0.127
122,0.739,-0.235,-0.491,0.119,0.066,-0.923,0.439,-0.841,0.235,0.532,-0.834,0.845,1.0,-0.255,2.686,0.272,-0.867,-0.258,0.158,-2.738,0.026
123,0.667,0.006,-0.348,0.039,0.197,-1.49,-0.101,-0.818,0.375,0.748,-0.923,0.927,1.0,-0.731,2.89,0.181,-1.292,-0.23,-0.065,-3.479,-0.051
124,0.97,0.123,-0.62,0.284,0.334,-1.276,-0.428,-0.941,0.472,0.722,-1.043,1.033,1.0,-0.992,3.294,0.107,-1.673,-0.429,-0.026,-4.238,-0.271
125,0.698,0.375,0.001,0.401,0.106,-0.891,-0.15,-1.144,0.354,0.177,-0.905,0.559,1.0,-0.879,3.014,0.443,-1.573,-0.376,0.582,-3.994,0.132
126,0.498,-0.544,-0.032,-0.061,0.109,-0.791,1.136,-0.951,0.014,0.275,-0.561,1.121,1.0,0.029,3.261,0.514,-0.561,0.13,-0.047,-3.446,0.244
127,0.653,0.382,-0.682,0.201,0.213,-1.018,-0.163,-0.945,0.304,0.349,-0.98,0.888,1.0,-0.754,3.109,0.244,-1.325,-0.308,0.318,-3.655,0.131
128,0.983,-0.372,-0.139,0.104,0.123,-1.183,0.593,-1.042,0.271,0.717,-0.673,1.061,1.0,-0.29,3.066,0.14,-1.172,-0.297,0.064,-3.67,0.036
129,0.704,-0.153,0.134,0.422,0.249,-0.713,0.195,-0.931,0.324,0.681,-1.029,0.605,1.0,-0.624,2.737,0.223,-1.195,-0.566,0.34,-3.913,-0.091
130,0.752,0.303,0.06,0.182,0.116,-1.054,-0.319,-1.002,0.325,0.506,-0.848,0.541,1.0,-0.921,2.895,0.329,-1.784,-0.463,0.54,-4.227,0.061
131,0.593,0.38,-0.469,0.156,0.081,-1.16,-0.141,-0.921,0.315,0.391,-0.802,0.482,1.0,-0.929,2.84,0.31,-1.586,-0.327,0.507,-3.656,0.215
132,0.941,-0.036,-0.305,0.219,0.373,-0.969,0.191,-0.902,0.338,0.212,-0.876,1.104,1.0,-0.748,3.192,0.202,-1.118,-0.309,0.074,-3.966,-0.283
133,0.54,0.005,-0.401,0.409,0.14,-1.219,-0.082,-1.025,0.407,0.187,-0.995,0.695,1.0,-0.888,2.867,0.257,-1.358,-0.43,0.438,-3.544,-0.007
134,0.882,-0.025,-0.598,0.254,0.187,-1.009,-0.204,-1.204,0.425,0.42,-1.053,0.784,1.0,-0.821,3.417,0.105,-1.686,-0.637,0.359,-4.104,-0.087
135,0.886,-0.598,-0.321,0.15,0.136,-1.101,0.466,-1.026,0.321,0.381,-0.659,1.259,1.0,-0.187,3.315,0.202,-1.385,-0.315,-0.06,-4.104,-0.261
136,0.773,0.12,-0.083,0.218,0.244,-0.893,-0.114,-1.055,0.468,0.511,-0.986,0.796,1.0,-0.579,2.874,0.331,-1.376,-0.466,0.358,-3.661,0.168
137,0.516,0.831,-0.411,0.136,0.166,-1.004,-0.581,-0.921,0.219,0.448,-0.878,0.579,1.0,-1.226,2.829,0.001,-1.883,-0.426,0.511,-3.984,0.277
138,0.588,0.407,-0.487,0.217,0.095,-1.033,-0.287,-1.019,0.258,0.441,-1.158,0.677,1.0,-0.948,2.859,0.24,-1.529,-0.476,0.41,-3.762,0.091
139,0.588,0.24,-0.306,0.247,0.125,-1.121,0.107,-0.971,0.379,0.143,-1.096,0.66,1.0,-0.676,2.919,0.248,-1.451,-0.204,0.479,-3.744,0.165
140,0.68,0.134,-0.412,0.215,0.166,-1.039,-0.093,-0.95,0.44,0.401,-1.037,0.555,1.0,-0.845,2.962,0.175,-1.326,-0.383,0.333,-3.675,0.011
141,0.462,0.369,-0.67,0.049,0.136,-1.084,-0.221,-0.844,0.585,0.555,-1.172,0.922,1.0,-0.689,2.484,-0.032,-0.972,-0.318,0.28,-3.14,0.164
142,0.622,0.261,-0.229,0.526,0.077,-1.109,-0.278,-1.132,0.407,0.28,-1.045,0.45,1.0,-1.039,3.135,0.337,-1.793,-0.5,0.67,-3.978,0.201
143,0.791,0.144,-0.477,-0.092,0.124,-1.451,-0.452,-1.136,0.593,0.895,-1.048,0.967,1.0,-0.726,2.78,0.049,-1.648,-0.686,0.211,-3.616,-0.009
144,0.886,0.338,-0.238,0.354,0.203,-1.06,0.018,-1.088,0.331,0.302,-0.729,0.591,1.0,-0.78,2.894,0.42,-1.563,-0.357,0.532,-3.798,-0.061
