Unnamed: 0,x0,x1,x2,x3,x4,x5,x6,x7,y,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
27,-0.567,0.228,0.392,-4.016,1.496,-2.402,-1.91,-0.797,0.0,1.129,0.267,-0.55,-0.301,-4.832,8.563,-0.886,-0.486,0.23,0.148,-0.217,-1.913
28,-0.001,-0.035,-0.134,-3.528,1.659,-2.542,-1.891,-0.287,0.0,1.184,0.422,-0.259,-0.334,-4.777,8.352,-0.381,-0.229,-0.064,0.286,-0.293,-1.662
29,-0.308,0.248,0.318,-3.791,1.359,-2.452,-1.965,-0.91,0.0,1.269,0.352,-0.414,-0.252,-4.171,8.42,-0.403,-0.358,0.208,-0.039,-0.105,-2.125
30,-0.982,0.266,0.802,-3.74,1.467,-2.09,-1.799,-0.822,0.0,1.061,-0.136,-0.307,-0.15,-4.233,7.573,-0.577,-0.468,0.052,-0.115,-0.185,-1.923
31,-0.171,0.185,0.127,-4.513,1.46,-3.104,-1.875,-0.801,0.0,1.614,0.5,-0.528,-0.347,-4.177,8.139,-0.741,-0.146,0.368,0.511,-0.577,-1.929
32,-0.174,-0.147,0.287,-4.513,1.806,-3.161,-2.068,-0.556,0.0,1.376,0.134,-0.128,-0.32,-2.393,6.719,-0.392,-0.75,-0.034,0.199,-0.051,-2.082
33,-0.636,-0.233,0.405,-4.412,1.849,-2.211,-1.593,-0.537,0.0,1.172,0.099,-0.149,-0.542,-4.739,8.388,-0.265,-0.314,0.006,0.184,-0.39,-1.929
34,-0.385,0.046,0.199,-4.624,1.758,-2.952,-2.158,-0.754,0.0,1.356,0.151,-0.699,-0.257,-4.311,8.59,-0.553,-0.481,-0.029,-0.002,-0.11,-1.942
35,-0.759,-0.607,0.32,-3.956,1.904,-1.769,-1.554,-0.281,0.0,0.841,0.074,-0.058,-0.491,-6.243,9.237,-0.317,0.038,-0.506,0.446,-0.28,-1.34
36,-0.054,0.46,-0.108,-3.89,1.269,-2.903,-2.344,-1.208,0.0,1.498,0.26,-0.631,-0.28,-3.612,7.357,-0.73,-0.574,0.358,0.21,-0.504,-2.145
37,0.033,0.008,-0.172,-4.133,1.724,-2.812,-2.172,-0.797,0.0,1.24,0.478,-0.45,-0.15,-3.609,7.831,-0.412,-0.461,0.124,0.269,-0.01,-1.93
38,-0.288,0.158,0.182,-3.574,1.331,-2.536,-1.693,-0.773,0.0,1.192,0.269,-0.379,-0.299,-4.833,8.347,-0.582,-0.274,0.254,0.401,-0.414,-1.684
39,-1.113,0.144,0.736,-3.518,1.31,-1.885,-1.811,-0.668,0.0,1.338,0.132,-0.357,-0.192,-5.407,8.4,-0.613,-0.431,0.118,0.173,-0.11,-1.73
40,0.019,-0.08,0.067,-3.849,1.603,-2.189,-1.962,-0.775,0.0,1.071,0.28,-0.224,-0.422,-4.378,7.704,-0.429,-0.336,-0.009,0.364,-0.26,-1.842
41,-0.795,0.215,0.399,-3.344,1.358,-1.832,-2.003,-0.96,0.0,0.924,0.006,-0.335,-0.156,-5.065,8.596,-0.497,-0.322,0.122,-0.082,-0.03,-1.867
42,-0.116,0.016,0.096,-4.214,1.77,-2.798,-1.891,-0.561,0.0,1.192,0.296,-0.198,-0.537,-4.288,8.187,-0.611,-0.13,0.048,0.19,-0.272,-1.849
43,-1.015,-0.021,0.507,-3.472,1.477,-1.604,-1.75,-0.739,0.0,1.091,-0.011,-0.247,-0.28,-5.57,8.234,-0.55,-0.343,0.06,-0.047,-0.091,-1.501
44,-0.807,-0.427,0.601,-3.939,1.94,-1.884,-1.731,-0.347,0.0,1.133,-0.083,-0.281,-0.436,-4.55,7.398,-0.316,-0.38,-0.085,0.186,-0.232,-1.363
45,-0.646,0.005,0.226,-3.584,1.682,-2.069,-2.079,-0.741,0.0,0.991,-0.03,-0.343,-0.445,-4.913,8.542,-0.341,-0.332,0.293,0.342,-0.283,-1.704
46,0.024,-0.055,-0.227,-4.153,1.613,-2.638,-1.863,-0.597,0.0,1.213,0.51,-0.284,-0.257,-4.379,8.155,-0.309,-0.052,0.051,0.145,-0.204,-1.77
47,-0.121,0.354,-0.011,-3.584,1.262,-2.559,-2.05,-1.072,0.0,1.299,0.294,-0.44,-0.236,-4.043,7.534,-0.751,-0.425,0.243,0.152,-0.221,-1.857
48,-0.237,0.075,0.243,-4.344,1.506,-2.812,-1.824,-0.647,0.0,1.2,0.217,-0.441,-0.317,-3.437,7.676,-0.595,-0.389,0.258,0.151,-0.169,-2.086
49,-0.474,0.061,0.165,-3.764,1.597,-2.471,-2.177,-0.758,0.0,1.246,0.129,-0.557,-0.219,-4.711,8.008,-0.591,-0.248,0.211,0.327,-0.314,-1.696
50,-0.743,0.261,0.227,-3.645,1.458,-1.85,-2.028,-1.005,0.0,1.063,0.001,-0.662,-0.562,-5.255,8.029,-0.817,-0.284,0.416,0.371,-0.367,-1.685
51,-0.897,0.044,0.395,-3.992,1.37,-2.268,-1.686,-0.734,0.0,1.214,0.126,-0.545,-0.308,-4.538,7.851,-0.534,-0.203,0.13,0.1,-0.181,-1.456
52,0.198,0.021,-0.209,-3.773,1.55,-2.172,-1.928,-0.828,0.0,1.011,0.454,-0.563,-0.333,-6.247,9.975,-0.429,-0.043,0.254,0.249,-0.287,-1.622
53,0.4,0.373,-0.376,-3.738,1.374,-2.989,-2.343,-1.207,0.0,1.447,0.911,-0.458,-0.316,-3.664,7.444,-0.746,-0.463,0.148,-0.054,-0.135,-2.013
54,-0.278,0.132,-0.244,-3.135,1.298,-1.921,-1.762,-0.835,0.0,1.009,0.202,-0.324,-0.159,-5.322,8.134,-0.662,0.149,0.009,-0.414,0.152,-1.487
55,-0.675,-0.002,0.329,-3.649,1.782,-1.841,-2.127,-0.695,0.0,0.756,-0.078,-0.114,-0.556,-4.133,7.605,-0.334,-0.489,-0.043,0.342,-0.437,-1.875
56,-0.22,0.379,0.044,-4.555,1.489,-2.955,-2.123,-1.172,0.0,1.526,0.222,-0.57,-0.443,-4.511,8.379,-0.92,-0.19,0.28,0.427,-0.51,-1.953
57,-0.507,0.096,-0.007,-3.248,1.326,-2.028,-1.97,-0.768,0.0,0.984,-0.111,-0.259,-0.219,-5.171,8.668,-0.337,-0.232,0.088,0.104,-0.118,-1.601
58,-0.844,0.124,0.444,-3.894,1.518,-2.119,-1.95,-0.69,0.0,1.017,0.196,-0.394,-0.432,-4.747,7.836,-0.649,-0.555,0.247,0.252,-0.541,-1.815
59,-0.958,0.336,0.764,-3.653,1.56,-2.424,-1.914,-0.848,0.0,1.173,0.067,-0.595,-0.115,-5.231,9.028,-0.928,-0.482,0.13,0.12,-0.023,-2.135
60,-0.531,-0.18,0.391,-3.329,1.723,-1.612,-1.75,-0.574,0.0,0.796,0.01,-0.324,-0.325,-5.964,9.047,-0.293,-0.297,-0.01,0.264,-0.31,-1.64
61,-0.701,0.253,0.518,-3.564,1.325,-2.095,-1.771,-0.961,0.0,1.126,0.091,-0.49,-0.364,-5.318,8.727,-0.552,-0.11,0.251,0.352,-0.337,-1.777
62,-0.65,0.135,0.385,-3.531,1.561,-2.013,-2.19,-0.902,0.0,1.135,0.305,-0.463,-0.407,-4.966,8.07,-0.608,-0.242,0.452,0.065,-0.361,-1.635
63,-0.325,-0.028,0.346,-4.341,1.721,-2.666,-1.793,-0.62,0.0,1.409,0.406,-0.32,-0.523,-4.016,7.648,-0.569,-0.167,-0.063,0.262,-0.385,-1.875
64,-0.08,-0.072,0.332,-3.898,1.505,-2.493,-1.703,-0.68,0.0,1.181,0.119,-0.295,-0.264,-3.455,7.164,-0.296,-0.228,-0.062,0.401,-0.253,-1.91
65,-0.364,0.171,0.173,-3.437,1.64,-2.256,-2.097,-0.756,0.0,1.345,0.188,-0.362,-0.205,-4.644,8.12,-0.564,-0.375,0.289,0.198,-0.216,-1.944
66,-0.077,0.38,-0.185,-3.522,1.256,-2.399,-2.272,-1.32,0.0,1.298,0.641,-0.598,-0.057,-5.196,9.172,-0.737,-0.065,0.244,-0.197,0.13,-1.942
67,-0.651,0.098,0.379,-3.866,1.671,-2.261,-2.105,-0.876,0.0,1.19,0.065,-0.371,-0.222,-3.962,7.37,-0.676,-0.645,0.248,0.074,-0.097,-1.974
68,-0.228,0.081,0.108,-3.949,1.634,-2.638,-1.783,-0.609,0.0,1.125,0.53,-0.415,-0.206,-3.866,7.822,-0.723,-0.369,0.072,-0.011,-0.047,-1.949
69,-0.595,0.186,0.257,-4.274,1.611,-2.577,-2.176,-0.877,0.0,1.08,0.021,-0.602,-0.412,-4.071,7.897,-0.633,-0.342,0.251,0.358,-0.467,-2.046
70,0.198,0.204,-0.295,-3.712,1.501,-2.845,-2.034,-0.863,0.0,1.243,0.614,-0.467,-0.15,-4.419,8.302,-0.553,-0.157,0.443,0.2,-0.33,-1.851
71,-0.624,-0.102,0.393,-3.905,1.87,-2.175,-1.793,-0.577,0.0,1.079,0.175,-0.277,-0.169,-4.45,8.325,-0.423,-0.211,0.218,0.316,-0.296,-1.914
72,-0.693,-0.042,0.16,-3.714,1.635,-2.233,-1.852,-0.455,0.0,1.101,0.083,-0.308,-0.343,-4.988,8.509,-0.466,-0.322,0.082,0.16,-0.043,-1.709
73,-0.758,0.113,0.335,-3.636,1.312,-2.038,-1.944,-0.854,0.0,1.102,0.164,-0.309,-0.308,-4.149,7.489,-0.596,-0.498,0.108,0.043,-0.049,-1.825
74,-0.578,-0.212,0.121,-3.79,1.699,-2.136,-1.919,-0.445,0.0,1.203,0.101,-0.252,-0.252,-5.119,8.307,-0.374,-0.195,-0.065,0.243,0.012,-1.472
75,-0.229,0.27,0.375,-4.019,1.329,-2.951,-1.817,-0.69,0.0,1.268,0.299,-0.413,-0.079,-3.87,7.982,-0.515,-0.095,0.123,0.232,-0.322,-1.948
76,-0.101,0.457,-0.118,-3.233,1.314,-2.596,-2.1,-1.113,0.0,1.228,0.58,-0.583,-0.095,-3.887,7.815,-0.607,-0.47,0.364,0.02,-0.046,-1.913
77,-0.634,0.349,0.211,-3.973,1.335,-2.148,-2.145,-1.263,0.0,1.011,0.153,-0.521,-0.397,-4.988,8.546,-0.654,-0.228,0.255,0.228,-0.26,-1.944
78,-0.425,0.18,0.067,-3.949,1.503,-2.41,-1.989,-0.766,0.0,1.057,0.273,-0.433,-0.368,-4.956,8.351,-0.794,-0.471,0.111,0.292,-0.341,-1.804
79,-0.518,-0.116,0.068,-3.491,1.533,-1.622,-2.008,-0.689,0.0,1.067,-0.112,-0.145,-0.449,-5.859,8.603,-0.287,-0.097,0.135,0.392,-0.32,-1.436
80,-0.442,0.146,0.19,-3.736,1.571,-2.406,-2.221,-0.615,0.0,1.16,0.43,-0.362,-0.399,-4.975,8.656,-0.482,-0.326,0.041,0.311,-0.192,-1.809
81,-0.265,0.073,0.083,-4.565,1.705,-2.874,-2.101,-0.941,0.0,1.239,0.237,-0.33,-0.303,-2.896,7.027,-0.367,-0.482,0.051,0.013,-0.163,-1.996
82,0.039,-0.192,-0.149,-4.095,1.637,-2.367,-1.908,-0.686,0.0,1.066,0.41,-0.104,-0.537,-4.015,7.376,-0.615,-0.293,-0.119,0.32,-0.224,-1.721
83,-0.123,-0.012,-0.384,-4.253,1.607,-2.669,-2.358,-0.985,0.0,1.342,0.337,-0.141,-0.24,-3.715,7.252,-0.657,-0.447,0.007,0.165,-0.14,-1.732
84,-0.684,0.015,0.463,-3.544,1.593,-1.992,-1.8,-0.538,0.0,1.123,0.069,-0.331,-0.554,-5.157,8.219,-0.652,-0.506,0.165,0.358,-0.434,-1.647
85,-0.251,0.272,-0.051,-3.069,1.403,-1.917,-2.04,-0.878,0.0,0.96,0.422,-0.497,-0.219,-5.518,8.701,-0.61,-0.327,0.306,0.357,-0.419,-1.787
86,-0.317,0.306,0.062,-3.7,1.252,-2.507,-1.696,-0.714,0.0,1.281,0.305,-0.416,-0.303,-4.309,7.785,-0.727,-0.27,0.233,0.315,-0.469,-1.806
87,-0.467,0.069,0.16,-3.589,1.716,-2.155,-1.692,-0.609,0.0,1.182,0.186,-0.243,-0.131,-4.886,8.173,-0.484,-0.17,0.185,0.17,-0.183,-1.751
88,0.184,0.056,-0.016,-3.512,1.316,-2.398,-1.689,-0.741,0.0,1.393,0.406,-0.186,-0.227,-5.704,8.883,-0.823,0.161,0.06,0.209,-0.103,-1.583
89,-0.079,0.078,0.116,-3.463,1.78,-2.486,-1.944,-0.499,0.0,1.223,0.377,-0.337,-0.153,-4.206,7.978,-0.518,-0.555,0.306,0.24,-0.252,-1.968
90,-0.019,-0.106,-0.004,-3.918,1.628,-2.707,-1.983,-0.521,0.0,1.234,0.363,-0.26,-0.169,-4.245,8.313,-0.467,-0.19,-0.087,-0.027,0.127,-1.911
91,-0.547,0.115,0.169,-4.321,1.507,-2.606,-2.082,-0.811,0.0,1.234,0.323,-0.339,-0.472,-4.378,8.088,-0.566,-0.454,0.13,0.443,-0.503,-1.949
92,-0.549,-0.169,0.464,-4.043,1.802,-2.45,-1.758,-0.381,0.0,0.969,0.013,-0.238,-0.142,-3.628,7.399,-0.505,-0.448,0.263,0.158,0.053,-1.853
93,-0.183,0.076,0.028,-4.114,1.385,-2.638,-2.011,-0.815,0.0,1.258,0.317,-0.176,-0.283,-4.417,8.159,-0.419,-0.357,-0.123,0.296,-0.312,-1.747
94,-0.271,0.206,-0.18,-4.003,1.453,-2.575,-1.982,-1.004,0.0,1.18,0.469,-0.371,-0.484,-4.751,8.349,-0.717,-0.331,0.215,0.21,-0.31,-1.726
95,-0.81,0.289,0.616,-3.827,1.491,-2.385,-1.947,-0.887,0.0,1.331,0.169,-0.467,-0.23,-4.281,7.893,-0.568,-0.429,0.303,0.24,-0.295,-2.086
96,0.548,0.346,-0.41,-3.345,1.44,-2.665,-1.832,-0.949,0.0,1.13,0.372,-0.52,-0.219,-4.209,8.04,-0.673,-0.113,0.356,0.236,-0.249,-1.866
97,-0.152,0.043,0.146,-3.728,1.274,-2.362,-1.796,-0.699,0.0,1.275,0.386,-0.479,-0.281,-4.625,8.273,-0.505,-0.12,-0.131,0.078,-0.21,-1.811
98,-0.281,0.032,0.057,-3.732,1.474,-2.515,-1.633,-0.591,0.0,1.384,0.211,-0.54,-0.291,-5.186,8.759,-0.605,-0.052,0.326,0.207,-0.108,-1.592
99,-0.244,0.168,0.195,-4.173,1.179,-2.718,-1.786,-0.938,0.0,1.212,0.264,-0.388,-0.252,-4.156,7.889,-0.923,-0.316,-0.117,0.181,0.062,-1.995
100,-0.343,-0.016,0.336,-3.734,1.712,-2.166,-1.944,-0.744,0.0,1.033,0.111,-0.318,-0.349,-5.047,8.718,-0.759,-0.549,0.065,0.097,-0.117,-2.018
101,-0.726,0.024,0.388,-3.935,1.663,-2.011,-1.949,-0.848,0.0,0.935,0.044,-0.313,-0.447,-5.498,8.859,-0.439,-0.334,0.277,0.386,-0.342,-1.608
102,-0.24,0.298,0.154,-3.842,1.277,-2.479,-1.817,-0.83,0.0,1.362,0.239,-0.568,-0.291,-5.12,8.641,-0.739,-0.057,0.248,0.224,-0.266,-1.801
103,0.07,0.196,-0.12,-3.935,1.417,-2.742,-2.027,-1.032,0.0,1.139,0.374,-0.566,-0.154,-3.866,7.844,-0.624,-0.229,0.215,0.243,-0.033,-1.997
104,-0.526,-0.135,0.503,-3.859,1.361,-1.95,-1.679,-0.687,0.0,0.951,0.294,-0.309,-0.424,-5.091,8.25,-0.25,-0.111,-0.066,0.464,-0.208,-1.562
105,-0.512,0.225,0.128,-3.715,1.378,-2.222,-2.113,-0.917,0.0,1.426,0.262,-0.482,-0.413,-4.131,7.226,-0.694,-0.271,0.231,0.633,-0.439,-1.766
106,-0.206,0.155,0.095,-3.446,1.536,-2.33,-2.068,-0.704,0.0,1.132,0.213,-0.326,-0.141,-3.965,7.931,-0.457,-0.61,-0.108,0.015,-0.042,-2.039
107,-1.227,0.135,0.741,-3.706,1.568,-1.785,-2.137,-0.831,0.0,1.02,-0.205,-0.381,-0.234,-4.97,8.542,-0.451,-0.627,0.179,0.303,-0.208,-2.011
108,-0.93,0.229,0.544,-3.927,1.38,-1.998,-2.178,-0.882,0.0,1.297,-0.013,-0.364,-0.485,-4.925,8.395,-0.536,-0.311,0.112,0.081,-0.179,-2.003
109,-0.681,0.129,0.494,-4.06,1.733,-2.197,-2.028,-0.742,0.0,1.037,0.089,-0.373,-0.284,-4.481,8.151,-0.594,-0.268,0.097,0.172,-0.282,-2.001
110,0.062,-0.081,-0.058,-4.428,1.683,-2.617,-1.875,-0.673,0.0,1.247,0.375,-0.227,-0.641,-4.308,8.169,-0.399,-0.091,0.182,0.116,-0.41,-1.863
111,-0.884,-0.13,0.714,-3.431,1.65,-1.686,-1.658,-0.494,0.0,0.849,0.031,-0.289,-0.322,-4.967,7.902,-0.468,-0.192,0.133,-0.04,-0.206,-1.385
112,-0.168,-0.164,0.173,-3.944,1.728,-2.285,-1.816,-0.397,0.0,1.041,0.378,-0.11,-0.37,-4.971,8.094,-0.542,-0.183,0.007,0.223,-0.238,-1.722
113,0.102,-0.106,-0.146,-3.398,1.595,-2.053,-1.921,-0.49,0.0,1.042,0.471,-0.302,-0.375,-5.621,9.019,-0.434,-0.167,0.04,0.376,-0.136,-1.654
114,-0.641,0.289,0.159,-3.596,1.396,-1.948,-2.12,-0.978,0.0,0.934,0.169,-0.417,-0.3,-5.021,8.375,-0.425,-0.594,0.199,-0.009,-0.371,-1.792
115,-0.595,0.408,0.002,-3.621,1.363,-2.28,-2.361,-1.121,0.0,1.147,0.242,-0.582,-0.296,-4.492,7.327,-0.957,-0.55,0.253,0.206,-0.38,-1.795
116,-0.163,0.211,-0.068,-3.39,1.51,-2.209,-1.891,-0.916,0.0,1.149,0.263,-0.332,-0.269,-5.317,8.652,-0.683,-0.172,0.241,0.626,-0.326,-1.746
117,-0.828,-0.098,0.412,-3.722,1.767,-1.764,-1.919,-0.55,0.0,1.042,0.163,-0.472,-0.52,-5.207,8.244,-0.332,-0.173,0.184,0.27,-0.311,-1.704
118,-0.517,0.029,0.162,-4.071,1.545,-2.527,-1.988,-0.719,0.0,1.286,0.28,-0.207,-0.361,-4.687,8.065,-0.782,0.083,0.126,0.341,-0.469,-1.751
119,-0.491,0.406,0.229,-4.084,1.439,-2.709,-2.29,-1.166,0.0,1.328,0.15,-0.702,-0.177,-3.85,7.588,-0.913,-0.806,0.442,0.011,-0.256,-2.095
120,0.041,-0.009,0.07,-3.764,1.458,-2.422,-1.855,-0.748,0.0,1.25,0.252,-0.355,-0.472,-4.327,7.834,-0.438,-0.144,0.15,0.329,-0.224,-1.656
121,-0.693,0.105,0.428,-3.838,1.508,-2.139,-1.837,-0.73,0.0,1.28,0.015,-0.451,-0.353,-4.585,7.875,-0.61,-0.48,0.188,0.359,-0.426,-1.916
122,-0.429,0.012,0.301,-4.09,1.568,-2.535,-1.97,-0.852,0.0,1.255,0.154,-0.318,-0.341,-4.443,8.052,-0.418,-0.135,0.053,0.292,-0.337,-1.788
123,-0.513,0.139,-0.152,-3.588,1.439,-2.43,-1.971,-0.815,0.0,1.074,0.227,-0.208,-0.099,-5.53,9.12,-0.503,-0.055,-0.015,0.281,-0.075,-1.647
124,-1.09,0.072,0.609,-4.208,1.906,-2.294,-1.96,-0.733,0.0,1.105,0.123,-0.406,-0.374,-4.082,7.592,-0.663,-0.359,0.106,0.258,-0.236,-1.982
125,-0.265,0.238,0.058,-3.387,1.487,-2.098,-2.074,-0.963,0.0,1.273,0.444,-0.321,-0.432,-4.89,8.184,-0.553,-0.481,0.159,0.504,-0.383,-1.751
126,-0.524,0.267,0.174,-3.503,1.262,-1.973,-2.051,-1.053,0.0,0.91,0.289,-0.453,-0.342,-4.547,7.699,-0.578,-0.456,0.29,-0.144,-0.189,-1.766
127,0.013,-0.029,-0.118,-4.143,1.627,-2.568,-1.829,-0.932,0.0,1.099,0.402,-0.323,-0.296,-3.737,7.611,-0.671,-0.448,0.216,0.078,-0.201,-2.074
128,-0.307,0.165,0.235,-4.139,1.601,-2.718,-1.897,-0.602,0.0,1.203,0.326,-0.509,-0.449,-5.14,8.804,-0.742,-0.152,0.308,0.173,-0.343,-1.826
129,-0.61,-0.09,0.629,-3.917,1.896,-2.329,-1.771,-0.612,0.0,1.269,0.347,-0.258,-0.382,-4.133,7.445,-0.369,-0.479,0.139,0.358,-0.219,-1.854
130,-0.654,0.284,0.381,-4.364,1.288,-2.888,-1.945,-0.934,0.0,1.245,0.311,-0.438,-0.363,-3.977,7.761,-0.884,-0.401,0.15,0.192,-0.277,-2.064
131,-0.395,-0.004,0.449,-3.216,1.446,-1.953,-1.815,-0.599,0.0,1.056,0.297,-0.23,-0.172,-5.125,8.094,-0.542,-0.3,0.02,0.115,-0.129,-1.595
132,-0.08,0.013,-0.12,-3.832,1.694,-2.38,-2.045,-0.838,0.0,1.144,0.299,-0.323,-0.331,-3.708,7.032,-0.549,-0.295,-0.001,0.287,-0.313,-1.831
133,-0.547,-0.401,0.174,-3.908,1.962,-2.053,-1.694,-0.514,0.0,1.039,0.24,-0.199,-0.429,-4.572,7.653,-0.401,-0.308,-0.109,0.213,-0.144,-1.433
134,-0.176,0.035,0.034,-4.478,1.901,-3.002,-2.146,-0.718,0.0,1.544,0.424,-0.196,-0.321,-3.877,7.866,-0.657,-0.469,0.014,0.152,-0.185,-2.086
135,-0.832,0.089,0.399,-4.079,1.576,-2.366,-2.142,-0.688,0.0,1.274,-0.025,-0.353,-0.402,-4.53,7.975,-0.614,-0.304,0.292,0.303,-0.307,-1.684
136,-0.322,-0.081,0.095,-3.593,1.514,-2.141,-1.778,-0.537,0.0,1.375,0.23,-0.221,-0.222,-5.261,8.142,-0.749,-0.098,-0.064,0.258,-0.212,-1.414
137,0.081,0.395,-0.25,-3.604,1.419,-2.705,-2.134,-1.261,0.0,1.314,0.337,-0.566,-0.106,-4.16,7.946,-0.667,-0.209,0.334,0.214,-0.093,-1.819
138,-0.491,0.155,0.091,-4.435,1.713,-2.841,-2.099,-0.644,0.0,1.621,0.313,-0.49,-0.396,-4.331,8.418,-0.559,-0.374,0.164,0.187,-0.137,-1.941
139,-0.279,0.163,-0.097,-3.801,1.808,-2.343,-2.18,-0.878,0.0,1.182,0.402,-0.406,-0.255,-4.512,7.854,-0.66,-0.353,0.308,0.576,-0.402,-1.927
