x0,x1,x2,x3,y,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0.751,-0.338,-2.106,0.704,1.0,0.634,3.09,-0.21,1.443,-0.546,-0.919,5.902,0.482,-0.052,-0.925,-3.935,3.362,-1.808,1.084,1.742,2.532
0.731,-0.701,-2.68,0.419,1.0,0.562,3.269,-0.284,1.774,-0.613,-0.662,6.667,-0.097,0.022,-1.171,-4.549,4.449,-2.658,0.088,1.918,2.652
0.676,-0.65,-2.362,-0.223,1.0,0.446,2.637,-0.303,1.515,-0.155,-0.363,5.769,-0.506,0.081,-1.184,-4.003,4.346,-2.481,0.6,1.537,1.62
0.854,-0.713,-2.839,-0.295,1.0,0.442,2.57,-0.442,1.563,-0.039,-0.264,6.123,-0.201,0.054,-0.834,-4.08,4.116,-2.196,0.398,1.249,2.159
0.656,-0.482,-2.579,0.709,1.0,0.574,2.912,-0.224,1.378,-0.668,-0.905,6.111,0.462,0.069,-0.827,-3.903,3.193,-1.601,0.138,1.581,3.158
0.728,-0.476,-2.49,0.114,1.0,0.291,2.807,-0.277,1.442,-0.288,-0.723,6.146,-0.094,-0.01,-0.637,-3.963,4.06,-2.482,0.544,1.59,2.358
0.778,-0.375,-2.915,0.171,1.0,0.557,3.125,-0.196,1.463,-0.35,-0.682,6.923,-0.118,0.052,-1.063,-4.451,3.968,-2.045,-0.045,1.752,3.244
0.777,-0.628,-2.677,0.561,1.0,0.603,2.76,-0.342,1.403,-0.631,-0.81,6.314,0.354,-0.142,-0.874,-3.897,3.389,-1.735,0.781,1.583,2.831
0.783,-0.632,-2.721,0.485,1.0,0.55,3.322,-0.317,1.604,-0.428,-0.645,7.403,-0.031,-0.02,-0.922,-4.374,4.213,-2.375,0.529,1.422,3.462
0.744,-0.661,-2.757,0.437,1.0,0.684,3.09,-0.291,1.718,-0.587,-0.755,6.777,0.104,-0.047,-1.109,-4.614,4.327,-2.438,-0.01,1.933,2.855
0.7,-0.43,-2.6,0.825,1.0,0.633,3.097,-0.333,1.465,-0.772,-1.009,6.338,0.66,-0.034,-1.101,-4.061,3.307,-1.496,0.371,1.915,2.985
0.457,-0.478,-2.195,0.473,1.0,0.54,2.839,-0.202,1.387,-0.369,-0.911,6.059,0.113,0.074,-1.114,-3.432,3.485,-1.958,0.486,1.598,2.756
0.801,-0.514,-2.25,0.468,1.0,0.52,2.777,-0.269,1.518,-0.328,-0.698,5.802,0.171,-0.08,-0.885,-4.066,3.888,-2.233,0.425,1.236,2.213
0.756,-0.731,-2.666,0.145,1.0,0.825,2.928,-0.284,1.446,-0.194,-0.469,6.895,0.196,-0.081,-1.142,-4.092,3.48,-1.837,1.172,1.4,3.357
0.639,-0.733,-2.782,-0.033,1.0,0.493,2.564,-0.326,1.627,-0.259,-0.496,6.224,-0.369,-0.064,-1.086,-3.959,4.316,-2.343,0.297,1.538,2.481
0.735,-0.379,-2.346,0.211,1.0,0.77,2.636,-0.278,1.222,-0.378,-0.604,5.338,0.401,-0.071,-1.164,-3.561,2.783,-1.421,1.561,1.443,2.442
0.792,-0.339,-2.641,0.063,1.0,0.589,2.854,-0.297,1.426,-0.245,-0.74,6.544,-0.082,0.11,-0.853,-4.086,4.001,-2.027,0.279,1.573,2.796
0.806,-0.413,-2.55,-0.302,1.0,0.644,2.763,-0.418,1.357,-0.093,-0.531,6.238,-0.211,0.043,-0.871,-4.017,3.761,-1.893,0.683,1.576,2.694
0.527,-0.575,-2.79,-0.383,1.0,0.534,2.562,-0.304,1.687,-0.077,-0.38,6.924,-0.475,0.148,-1.288,-4.054,4.334,-2.444,0.435,1.567,3.295
0.795,-0.614,-2.442,0.157,1.0,0.632,2.658,-0.357,1.625,-0.254,-0.592,6.005,0.07,0.108,-1.157,-4.092,3.908,-1.97,0.661,1.644,2.221
0.828,-0.44,-2.444,-0.226,1.0,0.591,2.546,-0.301,1.219,-0.099,-0.477,6.006,-0.133,0.035,-1.043,-3.883,3.409,-2.01,0.511,1.672,2.337
0.712,-0.211,-2.436,-0.05,1.0,0.431,2.578,-0.238,1.504,-0.216,-0.595,5.72,0.191,0.121,-0.828,-3.811,3.57,-1.812,0.19,1.336,2.16
0.685,-0.404,-2.587,0.839,1.0,0.657,3.373,-0.332,1.763,-0.748,-0.826,6.519,0.442,0.119,-1.037,-4.219,4.036,-2.042,0.344,1.823,2.777
0.905,-0.531,-2.781,-0.616,1.0,0.479,2.506,-0.505,1.292,0.125,-0.106,6.151,-0.521,0.146,-0.822,-3.808,3.796,-2.144,0.875,1.21,2.393
0.774,-0.687,-2.304,-0.362,1.0,0.467,1.974,-0.276,1.267,-0.086,-0.214,5.161,-0.209,0.08,-0.798,-3.584,3.782,-2.073,0.574,1.198,1.488
0.83,-0.295,-2.579,0.876,1.0,0.909,3.121,-0.476,1.593,-0.818,-0.979,5.986,0.502,0.175,-1.196,-4.214,3.44,-1.737,0.655,1.987,2.468
0.876,-0.466,-2.787,0.497,1.0,0.537,3.053,-0.465,1.54,-0.446,-0.789,7.071,-0.148,0.068,-0.758,-4.51,4.065,-2.296,0.031,1.658,3.242
0.601,-0.454,-2.414,0.602,1.0,0.491,2.941,-0.222,1.553,-0.57,-0.929,5.991,0.464,-0.017,-0.776,-3.948,3.477,-1.749,0.961,1.621,2.718
0.509,-0.329,-2.503,0.429,1.0,0.694,2.82,-0.521,1.503,-0.54,-0.867,5.939,0.325,0.06,-1.221,-3.421,3.585,-1.746,0.588,1.581,2.558
0.842,-0.509,-2.746,-0.702,1.0,0.684,2.412,-0.417,1.763,0.092,-0.334,6.274,-0.768,0.346,-1.1,-4.011,4.604,-2.716,0.365,1.422,2.179
0.698,-0.549,-2.276,-0.038,1.0,0.578,2.473,-0.254,1.48,-0.289,-0.614,5.476,0.025,0.141,-1.144,-3.798,3.753,-1.884,0.55,1.581,1.747
0.519,-0.605,-2.763,0.374,1.0,0.626,2.89,-0.366,1.74,-0.621,-0.697,6.296,0.311,0.147,-1.16,-4.127,3.923,-1.897,0.665,1.832,2.724
0.891,-0.516,-2.923,0.709,1.0,0.669,3.118,-0.319,1.486,-0.726,-0.975,7.016,0.392,0.252,-0.863,-4.245,3.261,-1.811,0.449,1.604,3.772
0.635,-0.501,-2.753,0.988,0.0,0.35,3.495,-0.357,1.877,-0.939,-0.978,7.027,0.294,0.126,-0.98,-4.667,4.297,-2.427,0.794,2.179,3.16
0.953,-0.533,-2.722,-0.06,0.0,0.086,2.666,-0.406,1.931,-0.108,-0.541,6.462,-0.318,0.199,-0.558,-4.768,5.14,-2.999,0.335,1.684,2.011
0.657,-0.143,-2.595,1.068,0.0,0.364,3.273,-0.418,2.086,-0.759,-1.135,6.716,0.038,0.253,-0.904,-4.536,4.941,-2.859,0.091,2.01,2.464
0.911,-0.544,-2.93,0.31,0.0,0.354,3.033,-0.375,1.296,-0.427,-0.626,6.966,0.134,0.201,-0.518,-4.106,3.751,-1.981,1.139,1.514,3.145
0.755,-0.634,-3.334,-0.209,0.0,0.032,3.058,-0.433,1.717,-0.024,-0.554,7.426,-0.396,0.304,-0.246,-4.163,4.679,-2.464,0.762,1.265,3.341
0.82,-0.565,-2.982,0.315,0.0,0.141,3.045,-0.365,1.695,-0.351,-0.813,7.042,-0.499,-0.062,-0.61,-4.767,4.887,-2.855,0.503,1.836,2.658
0.957,-0.14,-2.849,1.868,0.0,0.368,3.805,-0.61,1.945,-1.25,-1.494,6.759,0.587,0.238,-0.664,-4.824,4.309,-2.311,0.787,2.099,2.581
0.602,-0.446,-2.533,0.652,0.0,0.305,3.257,-0.333,1.775,-0.51,-0.798,6.393,-0.068,-0.011,-0.724,-4.258,4.543,-2.594,0.576,1.852,2.264
0.608,-0.441,-2.476,-0.651,0.0,0.32,2.43,-0.218,1.748,-0.002,-0.317,6.262,-0.605,-0.051,-0.879,-4.16,4.797,-2.749,1.2,1.59,2.05
0.709,-0.533,-2.383,1.463,0.0,0.358,3.417,-0.386,2.159,-1.1,-1.404,6.27,0.223,0.08,-0.921,-4.932,5.12,-3.126,0.747,2.241,1.932
0.919,-0.353,-2.869,0.657,0.0,0.383,3.359,-0.5,1.608,-0.548,-0.856,7.046,0.1,0.004,-0.644,-4.249,3.936,-2.133,0.903,1.712,3.352
0.821,-0.442,-2.755,0.437,0.0,0.194,2.993,-0.343,2.005,-0.548,-0.786,6.441,-0.477,-0.153,-0.618,-4.647,4.99,-3.145,0.315,1.757,2.071
0.841,-0.633,-2.819,-0.625,0.0,0.005,2.6,-0.403,2.021,0.142,-0.288,6.352,-0.74,-0.213,-0.631,-4.433,5.328,-2.952,0.716,1.459,1.679
0.578,-0.635,-2.907,0.618,0.0,0.016,3.463,-0.308,1.894,-0.596,-0.979,7.815,0.158,0.019,-0.414,-4.806,4.241,-2.168,0.558,1.6,4.175
0.659,-0.17,-2.107,1.13,0.0,0.138,3.005,-0.42,1.723,-0.895,-1.249,5.788,0.264,0.129,-0.453,-4.072,4.134,-2.414,0.691,1.904,1.824
0.715,-0.345,-2.284,0.589,0.0,0.519,2.888,-0.386,1.577,-0.498,-0.896,5.652,-0.131,0.074,-1.08,-3.893,4.021,-2.134,0.65,2.008,1.844
0.765,-0.388,-2.692,0.709,0.0,0.325,3.507,-0.367,1.636,-0.394,-0.953,6.852,0.092,-0.108,-0.55,-4.244,4.263,-2.313,0.963,1.538,2.842
0.878,-0.318,-2.266,0.741,0.0,0.391,2.803,-0.298,1.834,-0.537,-0.914,5.601,-0.146,0.075,-0.552,-4.384,4.567,-2.425,0.586,1.941,1.26
0.728,-0.341,-2.939,1.266,0.0,0.472,3.633,-0.246,2.051,-0.769,-1.133,7.03,0.19,-0.034,-0.851,-4.969,4.87,-2.823,0.876,2.185,2.951
0.694,-0.451,-2.592,1.031,0.0,0.273,3.43,-0.114,1.809,-0.904,-1.055,6.596,0.278,-0.096,-0.489,-4.614,4.071,-2.198,0.749,1.865,2.841
0.702,-0.723,-2.931,0.073,0.0,0.472,2.939,-0.275,1.493,-0.212,-0.602,7.05,-0.413,0.063,-0.969,-4.178,4.041,-2.297,0.76,1.607,3.422
0.937,-0.401,-2.749,0.663,0.0,0.356,3.402,-0.278,1.707,-0.589,-0.995,7.122,0.011,0.135,-0.662,-4.604,4.199,-2.427,0.806,2.029,2.899
0.73,-0.631,-3.078,-0.092,0.0,0.368,3.031,-0.273,1.722,-0.032,-0.628,7.534,-0.69,0.091,-0.719,-4.516,4.052,-2.269,1.054,1.471,4.063
0.597,-0.296,-2.153,1.217,0.0,0.481,3.263,-0.142,1.901,-0.975,-1.305,5.689,0.314,0.102,-1.074,-4.307,4.466,-2.414,0.29,2.126,1.476
0.621,-0.564,-2.343,0.358,0.0,0.293,3.003,-0.228,1.726,-0.393,-0.734,6.027,-0.045,-0.082,-0.801,-4.253,4.542,-2.526,0.244,1.57,2.095
0.848,-0.595,-3.163,0.953,0.0,0.362,3.537,-0.538,1.785,-0.739,-0.836,7.572,0.273,-0.181,-1.001,-4.762,4.408,-2.456,1.017,2.002,3.367
0.941,-0.433,-2.563,0.503,0.0,0.284,3.068,-0.49,2.127,-0.445,-0.616,6.162,-0.202,0.126,-0.589,-4.588,4.884,-2.841,0.621,1.882,1.716
0.825,-0.329,-2.31,0.853,0.0,0.519,2.998,-0.319,1.616,-0.606,-1.094,6.029,0.209,0.124,-0.805,-4.419,4.048,-1.959,0.419,1.921,2.0
0.881,-0.401,-2.588,0.423,0.0,0.325,2.887,-0.447,1.506,-0.44,-0.816,6.238,0.186,0.216,-0.53,-3.907,3.67,-1.625,1.145,1.53,2.666
0.817,-0.45,-2.776,1.519,0.0,0.365,3.335,-0.417,1.916,-1.154,-1.387,6.799,0.535,0.19,-1.083,-4.943,4.247,-2.405,0.851,2.288,3.031
0.882,-0.327,-3.113,0.438,0.0,0.105,3.262,-0.35,1.848,-0.467,-0.753,7.416,-0.391,0.162,-0.391,-4.677,4.817,-2.777,0.386,1.635,3.212
0.7,-0.26,-2.771,1.649,0.0,0.46,3.962,-0.328,2.157,-1.152,-1.392,6.995,0.54,0.093,-0.798,-4.748,4.3,-2.333,0.51,2.208,3.05
0.67,-0.347,-2.672,0.979,0.0,0.122,3.211,-0.32,2.102,-0.905,-1.096,6.389,-0.032,-0.138,-0.635,-4.735,5.143,-2.886,0.773,1.898,1.753
0.777,-0.502,-2.668,-0.011,0.0,-0.091,2.791,-0.239,1.684,-0.147,-0.595,6.547,-0.227,0.08,-0.434,-4.22,4.348,-2.23,1.098,1.331,2.582
0.721,-0.48,-2.425,0.187,0.0,0.255,2.838,-0.237,1.543,-0.398,-0.665,6.27,0.002,0.151,-0.691,-4.084,4.062,-1.967,0.827,1.577,2.61
0.564,-0.597,-2.518,0.52,0.0,0.278,3.104,-0.318,1.864,-0.53,-0.829,6.502,-0.027,0.036,-0.929,-4.066,4.479,-2.351,0.239,1.819,2.514
0.839,-0.527,-2.673,0.52,0.0,0.28,3.116,-0.357,1.854,-0.601,-0.687,6.712,-0.157,-0.029,-0.807,-4.329,4.898,-2.775,0.466,1.83,2.318
0.659,-0.396,-2.239,1.184,0.0,0.236,3.197,-0.339,1.949,-0.868,-1.313,5.846,0.166,0.14,-0.861,-4.385,4.732,-2.795,0.196,1.999,1.727
0.928,-0.255,-2.574,0.766,0.0,0.342,3.108,-0.521,1.851,-0.686,-0.895,6.097,-0.093,0.241,-0.803,-4.469,4.472,-2.685,0.541,1.954,1.905
0.749,-0.386,-3.072,1.282,0.0,0.453,3.631,-0.319,1.405,-0.991,-0.969,7.115,0.352,-0.024,-1.032,-4.233,3.749,-2.018,0.852,2.107,3.385
0.739,-0.493,-2.298,0.161,0.0,0.217,2.856,-0.329,1.397,-0.215,-0.732,6.072,-0.334,0.132,-0.736,-3.924,4.229,-2.44,0.412,1.486,2.168
0.626,-0.328,-2.415,0.073,0.0,0.456,2.674,-0.359,1.63,-0.237,-0.6,6.055,-0.121,0.005,-1.054,-4.076,4.402,-2.356,0.537,1.577,2.167
0.678,-0.484,-3.151,-0.286,0.0,0.249,2.997,-0.368,1.483,-0.133,-0.513,7.094,-0.283,0.052,-0.651,-4.036,4.447,-2.627,0.844,1.474,3.282
0.744,-0.483,-3.232,0.172,0.0,0.379,3.072,-0.406,1.695,-0.291,-0.776,6.924,-0.136,0.133,-0.831,-4.059,4.541,-2.462,1.274,1.707,2.88
0.833,-0.584,-2.982,0.073,0.0,0.151,3.074,-0.315,1.721,-0.201,-0.549,7.02,-0.302,0.046,-0.348,-4.585,4.324,-2.568,0.771,1.533,3.056
0.473,-0.334,-2.525,0.696,0.0,0.081,3.189,-0.286,1.986,-0.743,-1.05,6.382,0.304,-0.055,-0.554,-4.272,4.985,-2.781,0.178,1.728,2.407
0.556,-0.495,-2.283,-0.61,0.0,0.305,2.478,-0.262,1.399,0.149,-0.502,5.701,-0.497,0.21,-1.08,-3.636,4.115,-2.218,0.735,1.33,1.961
1.016,-0.72,-3.268,0.095,0.0,0.134,3.307,-0.324,1.835,-0.342,-0.578,7.801,-0.416,-0.112,-0.494,-5.021,4.613,-2.826,0.625,1.704,3.445
0.567,-0.501,-2.771,0.111,0.0,0.264,2.863,-0.189,1.737,-0.207,-0.64,6.534,-0.454,-0.096,-0.848,-4.211,5.071,-2.88,0.615,1.697,2.286
0.946,-0.569,-3.066,0.273,0.0,0.385,3.239,-0.408,1.879,-0.382,-0.702,7.216,-0.245,0.07,-0.735,-4.815,5.038,-2.884,0.776,1.719,2.734
0.75,-0.671,-3.143,0.211,0.0,0.451,3.014,-0.326,1.721,-0.498,-0.628,7.207,0.04,-0.009,-0.842,-4.619,4.557,-2.553,0.291,1.874,3.196
0.488,-0.363,-2.077,1.424,0.0,0.35,3.465,-0.021,2.139,-1.147,-1.368,6.568,0.432,0.053,-1.042,-4.761,4.487,-2.475,0.495,2.42,2.628
0.833,-0.383,-2.505,0.895,0.0,0.219,3.194,-0.432,1.617,-0.72,-1.024,6.408,0.21,0.236,-0.425,-4.377,4.214,-2.202,0.927,1.872,2.518
0.501,-0.517,-2.271,0.217,0.0,0.197,2.782,-0.135,1.753,-0.258,-0.637,5.742,-0.165,-0.023,-0.956,-3.82,4.322,-2.45,0.511,1.607,1.972
0.678,-0.333,-3.055,0.391,0.0,0.137,3.283,-0.266,1.7,-0.452,-0.579,7.59,-0.357,0.096,-0.87,-4.626,4.454,-2.566,0.443,1.685,3.774
0.843,-0.474,-1.895,0.864,0.0,0.497,2.805,-0.328,1.538,-0.732,-0.995,4.853,0.539,-0.193,-0.894,-3.896,3.849,-1.935,0.94,1.663,1.182
0.955,-0.499,-2.966,-0.072,0.0,0.263,2.902,-0.427,1.709,-0.073,-0.415,6.601,-0.324,0.139,-0.56,-4.344,4.391,-2.717,0.769,1.601,2.458
0.576,-0.445,-2.33,0.574,0.0,0.635,2.914,-0.128,1.547,-0.53,-0.931,5.874,0.262,-0.123,-0.922,-4.181,3.925,-2.174,0.567,1.931,2.189
0.972,-0.413,-2.568,0.91,0.0,0.525,3.024,-0.466,1.778,-0.758,-1.026,5.967,-0.047,0.15,-0.976,-4.444,4.604,-2.636,0.999,2.085,1.623
0.575,-0.573,-2.677,0.522,0.0,0.307,3.083,-0.233,1.725,-0.532,-0.832,6.503,-0.129,0.178,-0.768,-4.455,4.278,-2.413,0.525,1.837,2.666
0.987,-0.585,-2.659,0.531,0.0,0.257,2.744,-0.375,1.604,-0.549,-0.713,6.214,-0.18,-0.319,-0.53,-4.229,4.3,-2.47,0.75,1.712,1.972
0.779,-0.363,-2.535,-0.005,0.0,0.279,2.955,-0.317,1.799,-0.208,-0.727,6.456,-0.372,0.123,-0.722,-4.302,4.756,-2.667,0.285,1.541,2.418
0.569,-0.563,-2.999,0.473,0.0,0.48,3.221,-0.482,1.935,-0.525,-0.826,7.107,-0.086,0.032,-1.124,-4.51,4.611,-2.625,0.878,1.922,3.38
0.812,-0.672,-3.078,-0.913,0.0,0.298,2.311,-0.349,1.207,0.339,-0.168,6.802,-0.717,-0.009,-0.891,-3.707,4.276,-2.554,0.801,1.244,2.825
0.529,-0.521,-1.96,1.293,0.0,0.25,3.132,-0.164,1.834,-0.939,-1.202,5.726,0.307,0.11,-0.866,-4.257,4.635,-2.538,0.243,1.911,1.636
0.786,-0.51,-2.423,-0.402,0.0,0.077,2.576,-0.456,1.394,0.106,-0.398,6.167,-0.286,-0.005,-0.518,-3.832,4.243,-2.522,0.995,1.232,2.095
0.841,-0.394,-3.055,0.567,0.0,0.179,3.198,-0.347,1.628,-0.632,-0.752,7.128,0.261,0.032,-0.48,-4.436,4.12,-2.391,0.691,1.824,3.088
0.908,-0.456,-2.507,0.476,0.0,0.334,2.788,-0.551,1.893,-0.447,-0.763,6.015,-0.15,-0.113,-0.615,-4.266,4.674,-2.498,0.438,1.584,1.647
0.541,-0.479,-2.352,-0.001,0.0,0.1,2.492,-0.235,1.248,-0.25,-0.649,5.95,0.066,0.341,-0.796,-3.541,3.545,-1.856,1.236,1.505,2.741
0.514,-0.141,-2.443,0.548,0.0,0.291,2.884,-0.146,1.802,-0.524,-0.906,6.156,0.29,0.205,-0.852,-4.238,4.039,-2.036,0.663,1.915,2.434
0.722,-0.357,-2.414,0.938,0.0,0.274,3.39,-0.35,1.919,-0.812,-0.917,6.378,0.103,0.098,-0.658,-4.441,4.378,-2.427,0.808,1.947,2.439
0.632,-0.411,-2.583,-0.614,0.0,0.134,2.218,-0.254,1.479,0.258,-0.388,6.158,-0.495,0.18,-0.708,-3.675,4.633,-2.587,0.888,1.326,2.42
0.936,-0.526,-2.819,0.642,0.0,0.28,3.216,-0.395,1.707,-0.541,-0.885,6.458,0.176,0.173,-0.441,-4.292,4.291,-2.297,0.571,1.537,2.189
0.535,-0.468,-2.41,-0.05,0.0,0.191,2.927,-0.227,1.762,-0.184,-0.577,6.236,-0.277,0.233,-0.858,-4.094,4.455,-2.489,0.467,1.55,2.477
0.825,-0.562,-2.155,0.0,0.0,0.404,2.434,-0.335,1.498,-0.192,-0.569,5.335,-0.104,0.126,-0.969,-3.743,4.056,-2.189,1.063,1.783,1.321
0.863,-0.454,-2.446,0.812,0.0,0.106,3.163,-0.441,2.114,-0.506,-0.967,6.131,-0.16,0.163,-0.313,-4.726,5.068,-2.92,0.471,1.754,1.553
0.776,-0.501,-2.669,0.709,0.0,0.542,3.206,-0.495,1.644,-0.738,-0.823,5.893,0.254,0.016,-0.965,-4.357,3.901,-2.032,1.021,1.925,2.025
0.617,-0.695,-2.482,0.119,0.0,0.447,2.8,-0.208,1.815,-0.351,-0.604,6.572,-0.521,-0.039,-0.791,-4.328,5.033,-3.016,0.169,1.715,2.258
0.66,-0.405,-2.566,0.452,0.0,0.07,2.847,-0.372,1.713,-0.449,-0.828,5.917,-0.357,0.013,-0.737,-4.074,4.622,-2.636,0.293,1.807,1.617
0.893,-0.263,-2.997,0.197,0.0,0.252,3.101,-0.451,1.734,-0.322,-0.801,7.105,-0.028,0.036,-0.666,-4.306,4.12,-2.216,0.919,1.583,3.367
0.644,-0.498,-2.75,0.767,0.0,0.294,3.135,-0.332,1.905,-0.58,-0.937,6.685,-0.161,-0.088,-0.868,-4.519,5.311,-2.992,0.969,2.016,2.098
1.09,-0.266,-2.549,1.06,0.0,0.405,3.263,-0.601,1.849,-0.817,-1.061,5.908,0.441,0.27,-0.517,-4.572,3.862,-2.089,1.02,1.803,2.075
0.83,-0.442,-2.886,-0.102,0.0,0.421,2.872,-0.265,1.632,-0.372,-0.48,6.434,-0.243,0.099,-0.969,-4.036,4.43,-2.453,0.548,1.728,2.24
0.495,-0.499,-2.71,0.27,0.0,0.28,3.143,-0.307,1.882,-0.524,-0.755,6.434,-0.104,-0.039,-0.929,-4.073,4.681,-2.519,0.441,1.71,2.583
0.897,-0.571,-2.371,0.67,0.0,0.446,2.914,-0.365,1.653,-0.595,-0.903,6.078,0.078,-0.016,-0.617,-4.256,4.128,-2.181,0.591,1.75,2.045
0.553,-0.58,-2.437,0.25,0.0,0.175,2.802,-0.197,1.799,-0.374,-0.642,6.067,-0.357,0.073,-0.655,-4.08,4.781,-2.736,1.144,1.762,2.127
0.643,-0.674,-2.652,-0.293,0.0,0.413,2.892,-0.219,1.641,-0.232,-0.436,6.59,-0.079,0.207,-1.015,-4.175,4.356,-2.517,0.673,1.438,2.713
0.942,-0.625,-3.034,0.679,0.0,0.372,3.39,-0.481,1.881,-0.544,-0.93,7.443,-0.096,-0.025,-0.405,-4.808,4.565,-2.5,0.821,1.707,3.486
0.752,-0.389,-2.75,0.305,0.0,0.296,3.192,-0.338,1.8,-0.383,-0.673,6.976,-0.273,-0.002,-0.649,-4.895,4.755,-2.846,0.627,1.85,2.847
0.845,-0.294,-2.662,0.886,0.0,0.413,3.301,-0.302,1.782,-0.611,-0.903,6.603,0.218,0.28,-0.501,-4.434,4.254,-2.351,0.94,1.712,2.599
0.556,-0.722,-2.43,-0.842,0.0,-0.025,2.205,-0.177,1.887,0.302,-0.086,5.707,-0.819,-0.23,-0.852,-3.998,5.407,-3.289,0.707,1.356,1.288
0.701,-0.429,-2.658,1.179,0.0,0.344,3.551,-0.309,2.195,-0.896,-1.107,6.645,0.005,0.065,-0.985,-4.712,4.777,-2.617,1.032,2.05,2.075
0.891,-0.384,-2.362,0.651,0.0,0.242,2.804,-0.327,1.651,-0.636,-0.922,5.632,0.129,0.138,-0.384,-4.128,3.903,-2.071,1.516,1.672,1.725
0.508,-0.637,-2.082,-0.161,0.0,0.151,2.545,-0.241,1.527,-0.107,-0.62,5.523,-0.385,0.033,-0.844,-3.676,4.295,-2.576,0.622,1.434,1.828
0.973,-0.393,-2.699,0.737,0.0,0.433,3.112,-0.527,1.76,-0.745,-0.912,6.438,0.133,0.089,-0.801,-4.337,4.566,-2.562,1.196,1.934,2.057
0.744,-0.533,-2.558,0.371,0.0,0.507,3.232,-0.349,1.804,-0.621,-0.801,6.689,0.044,-0.024,-0.713,-4.427,4.259,-2.237,0.6,1.741,2.805
1.092,-0.68,-3.028,-0.38,0.0,0.297,2.834,-0.523,1.828,-0.054,-0.398,6.529,-0.484,-0.013,-0.605,-4.6,4.729,-2.659,0.98,1.581,2.193
0.78,-0.677,-3.073,-0.979,0.0,0.347,2.472,-0.339,1.544,0.407,0.005,6.925,-0.873,0.004,-0.881,-4.079,4.953,-2.873,0.978,1.309,2.893
0.292,-0.746,-2.542,-0.436,0.0,0.272,2.392,-0.105,1.717,-0.001,-0.385,6.108,-0.71,-0.019,-1.131,-3.916,4.624,-2.803,0.789,1.754,2.457
0.592,-0.401,-2.683,1.464,0.0,0.161,3.698,-0.3,2.178,-1.005,-1.201,7.04,0.202,-0.001,-0.616,-4.994,5.069,-2.845,0.772,2.2,2.591
0.505,-0.452,-2.876,0.342,0.0,0.374,3.202,-0.239,1.614,-0.399,-0.827,6.608,-0.206,0.17,-1.159,-4.112,4.421,-2.409,0.549,1.751,2.788
0.778,-0.346,-2.619,0.606,0.0,0.242,3.078,-0.326,1.606,-0.543,-0.904,6.083,0.046,0.073,-0.546,-4.269,4.182,-2.444,0.663,1.664,2.131
0.611,-0.407,-2.583,1.147,0.0,0.413,3.329,-0.253,1.684,-0.876,-1.253,6.599,0.096,0.023,-0.946,-4.425,4.497,-2.559,0.993,2.205,2.433
0.74,-0.404,-2.428,0.141,0.0,0.219,2.707,-0.362,1.812,-0.309,-0.648,5.87,-0.315,0.13,-0.631,-4.288,4.424,-2.704,0.549,1.552,1.921
