x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,y,x18,x19,x20
-4.989,3.923,2.242,0.749,-2.391,-3.207,-1.304,-0.186,0.657,-0.471,-1.919,1.859,-0.387,0.381,-1.454,1.082,0.63,1.0,0.463,-1.1,-0.487
-4.05,4.888,1.882,0.296,-2.725,-4.426,-1.686,0.063,0.481,0.461,-1.47,1.633,-0.044,0.113,-1.317,0.11,0.014,1.0,0.611,-1.3,-0.518
-4.86,4.075,2.232,0.771,-2.67,-4.239,-1.589,0.184,0.932,-0.284,-1.592,2.048,-0.131,0.648,-1.186,1.017,1.16,1.0,0.42,-1.066,-0.569
-3.424,4.679,1.528,0.515,-2.684,-3.483,-1.499,-0.315,0.41,0.695,-1.308,1.358,-0.089,-0.464,-1.341,0.19,0.286,1.0,0.391,-1.245,-0.466
-4.603,4.438,1.343,0.715,-2.733,-4.075,-1.543,-0.089,0.977,0.222,-1.369,1.818,-0.01,0.188,-1.041,0.211,0.505,1.0,0.632,-1.151,-0.88
-4.119,3.762,3.566,0.899,-3.158,-4.524,-1.354,0.442,0.233,-1.17,-2.556,1.707,0.272,-0.011,-1.94,1.489,0.275,1.0,0.572,-1.173,-0.534
-4.846,4.853,2.321,0.481,-3.34,-4.517,-1.629,0.202,0.637,0.68,-1.42,1.757,0.151,0.231,-1.324,0.574,0.992,1.0,0.479,-1.162,-0.583
-3.53,4.564,1.594,0.651,-2.976,-3.69,-1.519,-0.15,0.861,0.409,-1.381,1.821,0.253,0.093,-1.253,0.198,0.624,1.0,0.456,-1.186,-0.783
-4.576,5.083,0.709,0.152,-3.035,-3.882,-1.882,-0.051,1.324,1.382,-0.625,1.72,-0.07,1.22,-0.499,-0.208,0.031,1.0,0.408,-1.535,-0.395
-3.858,4.501,1.998,0.634,-3.014,-3.469,-1.586,-0.127,0.747,0.12,-1.709,1.89,0.006,0.529,-1.406,0.814,0.826,1.0,0.368,-1.239,-0.761
-2.841,4.829,1.839,0.528,-3.224,-3.912,-1.536,0.15,0.671,0.636,-1.328,1.536,0.252,-0.011,-1.318,0.266,0.482,1.0,0.277,-1.307,-0.544
-3.619,4.43,1.048,0.465,-2.633,-3.923,-1.856,-0.444,0.896,0.323,-1.213,1.892,0.021,0.262,-1.225,-0.118,-0.061,1.0,0.245,-1.497,-0.772
-3.985,4.141,3.251,0.603,-2.562,-4.149,-1.493,0.267,0.334,-0.194,-1.743,1.693,0.238,0.35,-1.683,1.531,1.465,1.0,0.543,-1.186,-0.441
-4.433,4.991,1.317,0.369,-2.799,-3.799,-1.625,-0.087,0.833,0.691,-1.095,1.892,0.039,0.257,-1.076,0.135,0.562,1.0,0.384,-1.545,-0.578
-3.821,4.187,2.67,0.699,-2.927,-4.242,-1.608,0.138,0.865,-0.264,-1.914,1.988,0.162,0.664,-1.512,0.946,0.49,1.0,0.515,-1.158,-0.568
-3.993,5.03,2.996,0.814,-2.619,-4.361,-1.718,0.154,0.409,-0.074,-2.425,1.826,0.123,0.258,-1.847,1.264,0.175,1.0,0.505,-1.056,-0.41
-3.869,5.198,1.076,0.146,-2.837,-3.886,-1.747,-0.182,0.991,1.433,-0.736,1.81,-0.075,0.89,-0.711,0.165,1.0,1.0,0.183,-1.363,-0.406
-2.937,4.585,1.693,0.266,-2.792,-4.217,-1.702,0.146,0.735,0.599,-1.107,1.728,0.305,0.015,-1.098,0.155,0.86,1.0,0.266,-1.505,-0.606
-2.903,3.58,2.626,0.949,-2.782,-3.293,-1.512,0.301,0.219,-1.337,-2.632,1.611,0.13,-0.075,-1.735,1.464,0.683,1.0,0.543,-1.2,-0.573
-3.876,5.115,1.115,0.411,-2.94,-3.812,-1.862,-0.397,0.692,0.785,-1.049,1.525,0.005,-0.05,-1.049,-0.05,0.823,1.0,0.639,-1.645,-0.708
-3.5,4.205,2.806,0.568,-2.584,-4.905,-1.398,0.295,0.537,0.143,-1.468,1.777,0.314,0.584,-1.21,0.852,0.704,1.0,0.086,-1.097,-0.345
-3.229,4.296,2.962,0.687,-2.881,-4.017,-1.551,0.251,0.212,-0.37,-2.171,1.706,0.134,0.387,-1.765,1.293,0.439,1.0,0.296,-1.181,-0.434
-2.546,4.684,2.825,0.789,-2.494,-4.368,-1.431,0.243,0.496,0.012,-1.817,1.598,0.643,-0.294,-1.496,0.981,1.246,1.0,0.427,-1.009,-0.658
-3.919,4.399,1.864,0.498,-2.849,-3.941,-1.352,-0.048,0.716,0.036,-1.638,1.477,-0.064,0.073,-1.284,0.515,0.297,1.0,0.408,-1.218,-0.539
-3.755,4.847,2.322,0.649,-2.875,-3.644,-1.648,-0.013,0.56,0.419,-1.855,1.655,-0.061,0.311,-1.481,0.999,1.04,1.0,0.553,-1.297,-0.74
-2.875,4.555,2.428,0.76,-2.901,-3.621,-1.875,0.003,0.234,-0.337,-2.106,1.702,0.173,-0.269,-1.775,1.033,0.823,1.0,0.637,-1.433,-0.614
-3.201,4.15,2.215,0.58,-2.403,-4.138,-1.298,-0.115,0.242,-0.385,-1.74,1.54,-0.04,-0.272,-1.586,0.298,0.169,1.0,0.525,-1.176,-0.514
-4.194,4.385,2.517,0.786,-2.781,-4.317,-1.61,0.062,0.422,-0.021,-1.59,1.718,0.132,-0.257,-1.52,0.81,0.861,1.0,0.423,-1.053,-0.562
-4.628,5.047,2.417,0.601,-2.68,-4.635,-1.43,0.145,0.88,0.702,-1.564,1.934,0.054,0.663,-1.111,0.768,0.962,1.0,0.502,-0.93,-0.587
-4.666,3.891,2.611,0.428,-2.51,-3.875,-1.286,-0.005,0.686,-0.4,-1.748,1.873,0.179,-0.061,-1.662,0.475,0.327,1.0,0.334,-1.068,-0.703
-4.447,4.862,1.117,0.643,-3.098,-3.687,-1.551,-0.024,1.235,0.947,-1.153,1.815,0.147,0.304,-0.92,0.058,0.543,1.0,0.473,-1.01,-0.636
-3.694,4.746,2.124,0.571,-2.991,-3.851,-1.615,-0.042,0.791,0.318,-1.693,1.784,-0.113,-0.06,-1.538,0.578,0.664,1.0,0.335,-1.221,-0.617
-3.944,4.599,1.827,0.433,-2.855,-3.421,-1.727,-0.108,0.67,0.338,-1.407,1.748,-0.106,0.423,-1.232,0.834,0.991,1.0,0.4,-1.338,-0.529
-3.261,4.354,1.752,0.52,-2.72,-3.666,-1.963,-0.144,0.312,-0.085,-1.365,1.522,0.026,-0.029,-1.418,0.61,0.95,1.0,0.483,-1.63,-0.578
-3.953,5.2,1.384,0.322,-2.614,-4.117,-1.762,0.084,0.761,0.795,-1.006,1.979,0.154,0.449,-1.135,0.107,0.315,1.0,0.519,-1.506,-0.544
-4.191,4.321,2.141,0.463,-2.975,-3.524,-1.453,0.068,0.736,-0.123,-1.869,1.897,-0.162,0.51,-1.502,0.518,0.408,1.0,0.337,-1.209,-0.532
-3.736,4.517,1.933,0.693,-3.018,-3.758,-1.627,-0.175,0.671,0.063,-1.634,1.806,0.185,0.246,-1.423,0.526,0.037,1.0,0.575,-1.155,-0.482
-5.063,4.969,0.75,0.672,-2.843,-3.19,-1.545,-0.551,0.88,0.753,-1.332,1.952,-0.392,-0.087,-1.388,-0.032,0.27,1.0,0.495,-1.275,-0.761
-4.582,4.547,2.43,0.861,-2.925,-3.79,-1.439,-0.006,0.439,0.226,-1.572,1.818,-0.065,0.224,-1.611,1.145,0.896,1.0,0.512,-1.017,-0.346
-4.641,4.447,2.091,0.798,-2.89,-3.608,-1.491,-0.183,0.549,0.078,-1.776,1.814,-0.09,0.148,-1.447,0.842,0.778,1.0,0.661,-1.094,-0.633
-2.954,4.411,1.949,0.351,-2.867,-3.757,-1.679,0.12,0.509,0.122,-1.564,1.545,0.001,0.144,-1.237,0.355,0.102,1.0,0.366,-1.354,-0.476
-4.167,3.809,2.584,0.876,-3.054,-3.75,-1.498,0.038,0.773,-0.56,-2.201,1.879,-0.116,0.543,-1.484,1.339,0.537,1.0,0.534,-0.967,-0.417
-3.656,4.319,3.52,0.545,-2.813,-4.265,-1.46,0.258,0.23,-0.283,-2.275,1.493,0.19,-0.035,-1.854,1.235,0.55,1.0,0.519,-1.2,-0.487
-4.408,4.21,2.348,0.454,-3.135,-3.749,-1.702,-0.069,0.497,-0.116,-1.716,1.824,-0.019,0.316,-1.486,0.873,0.85,1.0,0.348,-1.448,-0.584
-4.413,5.24,1.266,0.376,-2.889,-3.898,-1.753,-0.201,0.798,0.982,-1.195,1.87,0.1,0.4,-1.195,-0.238,0.143,1.0,0.162,-1.671,-0.691
-3.791,4.522,2.607,0.715,-3.032,-3.881,-1.684,0.377,0.415,0.222,-1.857,1.869,0.24,0.306,-1.562,1.156,0.678,1.0,0.31,-1.115,-0.474
-1.854,4.677,1.847,0.578,-2.519,-3.666,-1.424,-0.035,0.499,0.155,-1.803,1.39,0.498,-0.412,-1.466,0.257,-0.097,1.0,0.419,-1.193,-0.637
-3.88,5.153,1.489,0.386,-2.668,-4.676,-1.591,-0.078,0.886,1.213,-0.948,1.84,-0.076,0.599,-0.917,0.067,0.206,1.0,0.375,-1.245,-0.434
-3.626,4.305,2.962,0.83,-2.837,-4.506,-1.387,0.45,0.263,-0.291,-1.94,1.55,0.394,-0.486,-1.716,1.054,0.756,1.0,0.427,-1.013,-0.489
-4.012,5.275,-0.368,0.215,-3.053,-3.4,-1.743,-0.069,1.473,1.659,-0.559,1.664,-0.059,0.69,-0.344,-0.755,0.297,1.0,0.26,-1.351,-0.813
-4.097,4.827,1.579,0.673,-3.014,-4.336,-1.764,0.186,0.889,0.835,-1.05,1.828,-0.034,0.236,-1.092,0.357,0.683,1.0,0.529,-1.309,-0.58
-3.714,5.297,-0.154,0.6,-3.185,-3.167,-1.628,-0.302,1.123,1.211,-0.676,1.463,-0.342,-0.204,-0.764,-0.49,0.502,1.0,0.536,-1.266,-0.888
-4.043,4.764,2.165,0.676,-3.057,-3.501,-1.594,0.117,0.423,0.123,-1.822,1.667,0.095,0.18,-1.58,0.806,0.434,1.0,0.558,-1.247,-0.562
-4.404,4.212,2.905,0.732,-2.9,-4.071,-1.399,0.32,0.38,-0.351,-1.999,1.812,0.166,-0.063,-1.791,0.929,0.553,1.0,0.571,-1.187,-0.742
-3.075,4.492,2.078,0.414,-2.933,-4.365,-1.537,0.023,0.563,0.499,-1.295,1.615,0.349,-0.067,-1.215,0.336,0.596,1.0,0.477,-1.211,-0.511
-4.103,4.792,1.54,0.516,-2.817,-3.969,-1.75,-0.146,0.676,0.673,-1.48,1.64,-0.037,0.163,-1.263,0.415,0.42,1.0,0.288,-1.051,-0.594
-3.579,4.708,1.972,0.413,-3.14,-4.347,-1.695,0.071,0.489,0.464,-1.532,1.605,0.237,-0.151,-1.439,0.111,0.001,1.0,0.443,-1.443,-0.524
-3.118,4.595,2.249,0.731,-2.959,-3.862,-1.52,0.006,0.535,0.39,-1.713,1.503,0.174,0.151,-1.343,0.872,0.527,1.0,0.637,-1.148,-0.463
-4.902,4.153,2.643,0.778,-2.586,-3.704,-1.337,0.1,0.52,-0.396,-2.202,1.722,-0.035,0.069,-1.61,1.102,0.814,1.0,0.422,-0.907,-0.642
-2.877,4.106,2.171,0.699,-3.108,-3.918,-1.672,-0.061,0.405,-0.281,-1.86,1.714,0.143,0.18,-1.459,0.891,0.507,1.0,0.44,-1.334,-0.576
-4.926,4.855,2.317,0.665,-2.847,-4.589,-1.713,0.362,0.788,0.372,-1.713,1.714,0.139,-0.176,-1.503,0.467,0.543,1.0,0.463,-1.209,-0.742
-5.065,4.439,2.202,0.766,-2.792,-3.458,-1.466,-0.208,0.414,0.14,-1.993,1.747,-0.131,-0.017,-1.718,0.899,0.765,1.0,0.6,-0.847,-0.522
-4.029,4.504,2.485,0.663,-3.074,-3.962,-1.396,-0.193,0.65,0.134,-1.818,1.866,-0.016,0.325,-1.573,0.885,0.89,1.0,0.511,-1.062,-0.8
-4.428,4.772,1.717,0.377,-2.798,-4.119,-1.532,0.246,0.822,0.497,-1.221,1.646,0.207,0.404,-1.038,0.287,0.732,1.0,0.497,-1.447,-0.625
-3.087,4.705,2.404,0.771,-3.078,-3.191,-1.821,-0.129,0.181,-0.068,-2.039,1.655,-0.221,0.3,-1.66,1.58,1.07,1.0,0.417,-1.255,-0.512
-3.959,4.243,2.896,0.682,-2.971,-4.014,-1.35,0.011,0.513,-0.006,-2.04,1.729,0.109,-0.116,-1.683,1.135,1.095,1.0,0.285,-0.842,-0.612
-3.716,4.619,2.665,0.614,-3.29,-4.162,-1.599,0.306,0.783,0.322,-1.671,1.824,0.182,0.539,-1.41,0.997,0.9,1.0,0.564,-1.09,-0.441
-4.217,4.267,1.948,0.701,-3.001,-3.557,-1.611,-0.247,0.467,0.195,-1.645,1.773,0.045,0.157,-1.442,0.78,0.929,1.0,0.462,-1.222,-0.46
-3.332,4.182,3.082,0.462,-2.704,-3.748,-1.618,-0.025,0.319,0.041,-1.739,1.648,0.05,0.138,-1.82,1.213,0.725,1.0,0.339,-1.224,-0.42
-3.365,4.62,1.774,0.292,-2.776,-3.922,-1.796,0.028,0.515,0.439,-1.107,1.619,-0.078,0.314,-1.041,0.524,0.751,1.0,0.594,-1.528,-0.374
-4.66,4.982,2.421,0.634,-2.952,-4.493,-1.572,-0.003,0.798,0.13,-1.966,1.931,-0.003,0.099,-1.604,0.654,0.573,1.0,0.626,-1.298,-0.699
-4.093,4.293,2.397,0.553,-2.664,-4.03,-1.543,0.047,0.801,0.299,-1.675,1.871,0.221,0.418,-1.608,0.552,0.143,1.0,0.379,-1.208,-0.635
-3.848,4.863,1.374,0.36,-2.841,-4.089,-1.968,0.051,0.877,0.618,-1.015,1.704,-0.072,0.485,-0.897,0.341,0.682,1.0,0.365,-1.522,-0.511
-3.264,3.742,3.761,1.079,-2.963,-4.304,-1.451,0.512,0.228,-1.36,-2.966,1.603,0.345,0.132,-1.946,1.928,0.533,1.0,0.411,-0.969,-0.41
-3.054,3.922,2.793,0.511,-2.937,-4.273,-1.436,0.222,0.328,-0.631,-2.174,1.683,0.261,-0.046,-1.611,0.804,0.777,1.0,0.26,-1.201,-0.701
-3.678,4.744,1.475,0.429,-2.826,-4.294,-1.829,0.02,0.923,1.009,-1.084,1.619,-0.018,0.372,-1.086,0.039,0.082,1.0,0.534,-1.218,-0.447
-4.554,5.22,1.214,0.172,-2.637,-4.119,-1.512,-0.166,1.086,1.101,-0.864,1.797,-0.24,0.542,-0.837,-0.113,0.635,1.0,0.442,-1.527,-0.717
-2.804,4.447,1.912,0.678,-2.484,-4.02,-1.738,-0.005,0.619,0.374,-1.318,1.815,0.187,0.092,-1.32,0.612,0.752,1.0,0.466,-1.197,-0.562
-3.623,4.218,2.555,0.656,-2.72,-4.176,-1.583,0.097,0.876,0.098,-1.939,1.908,0.151,0.334,-1.474,0.803,0.197,1.0,0.456,-1.09,-0.517
-3.296,5.244,2.225,0.368,-3.071,-4.719,-1.78,0.193,1.003,0.902,-1.181,1.889,0.473,0.428,-1.313,0.317,0.36,1.0,0.421,-1.474,-0.482
-2.898,4.377,1.738,0.408,-2.618,-3.608,-1.77,0.005,0.864,-0.259,-1.805,1.525,-0.057,0.032,-1.294,0.516,0.562,1.0,0.446,-1.441,-0.88
-3.751,4.502,1.399,0.611,-2.941,-3.892,-1.839,-0.171,1.022,0.27,-1.325,1.822,0.007,0.127,-1.25,0.441,0.934,1.0,0.506,-1.47,-0.626
-4.733,4.473,1.857,0.614,-3.081,-4.052,-1.474,-0.1,0.601,0.07,-1.589,1.828,-0.03,-0.169,-1.544,0.262,0.338,1.0,0.578,-1.153,-0.649
-4.978,3.687,2.583,0.693,-2.531,-3.729,-1.381,0.019,0.099,-0.452,-2.031,1.454,0.044,-0.222,-1.74,0.931,0.314,1.0,0.287,-0.808,-0.435
-4.607,5.023,1.519,0.336,-2.876,-4.163,-1.764,-0.101,0.844,0.913,-1.105,1.671,-0.04,0.448,-0.998,0.247,0.914,1.0,0.351,-1.402,-0.628
-3.716,4.676,1.969,0.618,-2.974,-3.913,-1.622,0.062,0.671,0.272,-1.676,1.779,0.118,0.254,-1.414,0.688,0.45,1.0,0.364,-1.204,-0.482
-3.007,4.152,2.01,0.572,-2.529,-3.83,-1.602,-0.206,0.85,-0.107,-1.606,1.745,0.108,0.052,-1.452,0.231,0.094,1.0,0.289,-1.184,-0.807
-4.16,4.999,2.602,0.717,-2.855,-3.839,-1.545,0.021,0.374,0.402,-1.981,1.637,0.167,0.316,-1.535,1.196,0.379,1.0,0.266,-1.101,-0.19
-4.148,5.672,2.295,0.841,-2.699,-3.731,-1.817,-0.016,0.337,0.458,-2.145,1.65,-0.043,-0.027,-1.809,1.127,0.261,1.0,0.48,-1.298,-0.397
-4.032,3.801,4.161,1.026,-2.918,-4.194,-1.546,0.448,0.409,-1.795,-3.264,1.912,0.229,0.114,-2.182,1.996,0.386,1.0,0.371,-1.158,-0.638
-4.272,4.677,1.562,0.293,-2.727,-4.082,-1.772,-0.104,0.872,0.605,-1.075,1.964,0.045,0.217,-1.148,0.164,0.901,1.0,0.303,-1.48,-0.643
-3.983,4.707,1.753,0.563,-2.968,-3.75,-1.526,-0.117,0.799,0.636,-1.476,1.876,0.07,-0.049,-1.428,0.262,0.682,1.0,0.57,-1.23,-0.824
-2.855,5.275,1.766,0.473,-2.945,-3.593,-1.746,-0.298,0.583,0.813,-1.69,1.557,0.047,0.308,-1.485,0.443,0.169,1.0,0.251,-1.142,-0.551
-4.069,4.003,3.093,0.888,-2.834,-3.908,-1.71,0.115,0.501,-0.647,-2.419,1.774,0.007,0.039,-1.945,1.399,0.684,1.0,0.388,-0.899,-0.618
