x0,x1,x2,x3,x4,x5,x6,x7,x8,y,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0.284,-0.136,-0.023,-3.943,-1.354,0.11,0.175,0.366,2.655,1.0,0.499,-3.176,0.842,2.519,7.799,-1.781,0.056,2.452,0.071,-0.303,0.667
-0.288,-0.206,0.741,-4.361,-1.013,0.841,0.273,0.387,2.916,1.0,1.307,-4.486,0.777,2.494,7.872,-1.907,0.914,2.559,0.528,0.119,0.769
-0.683,-0.436,1.14,-4.071,-1.188,0.852,0.3,0.374,2.763,1.0,1.5,-4.471,0.776,2.289,7.831,-1.815,0.61,3.062,0.439,0.35,0.794
-0.359,-0.395,0.345,-4.125,-1.011,0.785,0.215,0.161,2.899,1.0,1.198,-4.374,0.883,2.22,8.148,-2.055,0.632,2.276,0.281,0.171,0.801
-0.875,-0.286,0.634,-4.508,-0.49,0.83,0.544,0.161,3.205,1.0,1.706,-4.785,0.508,2.581,7.384,-2.084,0.733,3.273,0.908,0.226,0.884
-1.166,-0.403,0.535,-3.761,-0.667,0.899,0.651,-0.071,3.091,1.0,1.79,-4.551,0.828,2.529,7.23,-1.962,0.429,3.127,0.456,0.273,0.57
0.043,0.167,1.042,-3.524,-1.438,0.04,0.033,0.328,2.272,1.0,0.301,-3.274,0.587,2.294,7.715,-1.732,0.206,2.539,0.427,-0.306,0.682
-0.395,-0.183,0.671,-3.043,-1.188,0.808,0.247,0.393,1.749,1.0,0.974,-4.33,0.951,1.431,8.074,-1.341,0.684,2.009,-0.084,0.442,0.656
-0.16,-0.244,0.692,-4.536,-1.343,0.572,0.193,0.357,3.052,1.0,0.997,-4.139,0.8,2.443,7.525,-1.987,1.101,2.846,0.456,0.016,0.816
0.226,-0.201,0.644,-3.634,-1.549,0.312,0.157,0.431,2.262,1.0,0.635,-3.8,0.602,2.045,7.399,-1.737,1.014,2.046,0.401,-0.142,0.873
0.018,-0.177,0.505,-4.035,-1.249,0.554,0.247,0.223,2.703,1.0,0.956,-4.23,0.725,2.294,8.06,-1.868,0.65,2.269,0.531,0.219,0.597
-0.622,-0.448,1.079,-3.974,-1.217,0.58,0.174,0.274,2.761,1.0,1.08,-4.464,0.696,2.423,7.969,-1.795,0.543,2.783,0.632,0.184,0.664
-0.572,-0.143,0.681,-4.518,-1.21,0.362,0.154,0.568,3.08,1.0,0.774,-3.878,0.633,2.54,7.969,-2.159,0.088,3.647,0.878,-0.049,0.492
-0.943,-0.474,0.265,-4.058,-0.844,0.983,0.524,0.019,2.986,1.0,1.825,-4.818,0.807,2.284,7.512,-1.962,0.869,2.827,0.405,0.215,0.817
-0.38,-0.592,0.973,-3.744,-1.239,1.097,0.43,0.009,2.574,1.0,1.612,-5.343,0.922,2.211,8.241,-1.718,1.537,1.808,0.172,0.377,0.64
-0.594,-0.365,0.597,-3.588,-0.947,0.626,0.284,0.385,2.382,1.0,1.215,-4.862,0.773,1.942,8.255,-2.002,0.897,2.663,0.471,0.305,0.439
-0.108,-0.081,1.064,-3.781,-1.359,0.353,0.028,0.516,2.252,1.0,0.624,-3.727,0.735,2.049,7.816,-1.676,0.44,2.583,0.159,0.251,0.753
-0.066,-0.268,0.89,-4.224,-1.517,0.385,-0.151,0.448,2.736,1.0,0.36,-3.73,0.955,2.255,7.838,-1.934,0.397,2.42,0.095,-0.201,0.619
-1.019,-0.45,0.425,-4.355,-0.742,0.931,0.643,0.08,3.426,1.0,1.883,-4.68,0.472,2.757,7.912,-2.039,0.458,3.409,0.682,0.375,0.785
-0.458,-0.3,0.534,-3.441,-0.655,0.657,0.276,0.157,2.466,1.0,0.78,-4.747,0.863,1.899,8.325,-1.781,0.86,2.533,0.373,-0.125,0.513
-0.292,-0.535,0.974,-3.654,-1.281,0.963,0.168,0.314,2.401,1.0,1.521,-4.795,0.845,1.764,7.621,-1.697,1.244,1.981,0.265,0.341,0.697
-0.383,-0.278,0.332,-3.188,-0.815,0.667,0.301,0.159,2.084,1.0,0.894,-4.507,1.023,1.994,8.102,-1.4,0.64,2.374,-0.043,0.086,0.875
-0.013,-0.095,0.648,-4.206,-1.558,0.07,0.088,0.385,2.97,1.0,0.377,-3.752,0.731,2.627,8.206,-1.968,0.249,2.713,0.43,-0.018,0.559
-0.779,-0.392,1.215,-3.797,-0.975,0.872,0.373,0.183,2.628,1.0,1.339,-4.645,0.74,2.008,7.813,-1.799,0.805,2.673,0.333,0.148,0.707
-0.411,-0.329,0.086,-3.554,-0.602,0.943,0.553,-0.118,2.453,1.0,1.671,-4.931,0.854,2.233,8.101,-1.882,1.317,1.782,0.489,0.335,0.713
-0.064,-0.062,0.997,-4.004,-1.516,0.552,-0.032,0.438,2.462,1.0,0.603,-4.145,0.956,2.343,8.187,-1.693,0.534,2.312,0.045,0.105,0.73
-0.741,-0.284,0.696,-3.802,-1.035,0.685,0.324,0.225,2.694,1.0,1.154,-4.8,0.938,2.389,8.147,-2.026,0.645,2.772,0.312,0.297,0.759
-0.285,-0.441,1.149,-4.192,-1.175,0.702,0.18,0.335,2.693,1.0,1.25,-4.239,0.78,2.246,7.737,-1.706,0.719,2.592,0.231,0.341,0.725
-0.181,-0.419,0.095,-3.483,-0.737,0.442,0.434,0.216,2.639,1.0,1.002,-3.741,0.691,2.243,7.734,-1.773,0.318,2.502,0.469,-0.007,0.794
-0.315,-0.06,1.022,-4.192,-1.301,0.437,0.084,0.552,2.709,1.0,0.825,-4.072,0.81,2.338,7.847,-2.177,0.493,3.08,0.41,0.031,0.755
-0.727,-0.303,0.543,-3.635,-0.905,0.475,0.256,0.036,2.629,1.0,0.776,-3.912,0.85,2.288,8.129,-1.8,-0.031,2.913,0.249,-0.022,0.535
0.057,-0.204,0.603,-3.972,-1.369,0.377,-0.069,0.497,2.52,1.0,0.545,-3.789,0.727,2.215,8.086,-1.713,0.554,2.307,0.238,0.061,0.791
-0.428,-0.364,0.747,-4.679,-1.188,0.901,0.135,0.475,3.245,1.0,1.289,-4.416,0.8,2.474,7.625,-1.889,0.968,2.59,0.373,0.144,0.45
-0.098,-0.263,0.552,-3.846,-1.349,0.553,0.22,0.426,2.441,1.0,0.769,-3.784,0.694,2.017,7.27,-1.908,0.803,2.317,0.419,0.205,0.62
-0.119,-0.242,0.196,-4.052,-0.982,0.689,0.334,0.331,2.733,1.0,1.412,-4.141,0.645,2.389,7.726,-1.834,0.825,2.535,0.518,0.204,0.54
-1.254,-0.239,0.502,-3.654,-0.793,0.778,0.398,0.203,2.718,1.0,1.395,-4.729,1.038,2.131,8.255,-1.882,0.128,3.341,0.128,0.226,0.798
-0.909,-0.195,0.274,-3.744,-0.658,0.672,0.342,0.162,2.857,1.0,1.144,-4.01,0.896,2.535,7.271,-1.998,0.265,2.96,0.302,0.335,0.813
-1.021,-0.582,0.575,-3.829,-0.639,0.941,0.431,0.131,2.892,1.0,1.534,-4.602,0.781,2.144,7.534,-1.658,0.612,3.008,0.242,0.175,0.788
-0.945,-0.486,0.567,-4.355,-1.018,0.663,0.313,0.24,3.192,1.0,1.213,-4.081,0.868,2.588,7.599,-2.058,0.142,3.32,0.279,-0.107,0.683
-0.351,-0.319,0.586,-3.76,-1.164,0.561,0.284,0.242,2.589,1.0,1.09,-4.333,0.84,2.5,8.36,-1.766,0.472,2.64,0.307,0.207,0.768
-0.157,0.06,0.294,-3.761,-1.139,0.227,-0.011,0.564,2.678,1.0,0.352,-3.35,0.879,2.598,8.017,-2.019,-0.168,3.085,0.459,0.001,0.59
-0.399,-0.603,0.712,-4.148,-0.838,0.88,0.278,0.136,2.611,1.0,1.485,-4.592,0.852,1.892,7.301,-1.864,0.963,2.14,0.382,0.305,0.651
-0.142,-0.016,0.466,-3.68,-1.362,0.297,0.197,0.366,2.461,1.0,0.727,-3.831,0.944,2.219,8.087,-1.854,0.276,2.68,0.064,-0.098,0.566
-0.668,-0.127,1.302,-3.478,-1.37,0.394,0.095,0.426,2.374,1.0,0.699,-4.0,0.807,2.099,7.598,-1.941,0.325,2.946,0.507,0.092,0.765
-0.693,-0.401,0.988,-4.195,-1.129,1.008,0.106,0.401,2.741,1.0,1.316,-4.744,0.603,2.08,7.478,-1.672,1.207,2.542,0.438,0.476,0.76
-0.764,-0.339,0.476,-4.109,-0.952,0.579,0.502,0.25,3.315,1.0,1.363,-4.535,0.895,2.65,8.248,-2.056,0.339,3.425,0.405,0.072,0.743
0.03,-0.173,0.632,-3.196,-1.573,0.452,0.128,0.45,2.199,1.0,0.936,-4.124,1.024,1.785,7.963,-1.657,0.742,2.155,-0.163,0.107,0.789
0.126,-0.311,-0.238,-3.99,-1.049,0.542,0.178,0.403,2.615,1.0,0.804,-3.621,0.854,2.184,7.148,-1.936,0.646,2.207,0.265,0.043,0.801
-0.575,-0.398,0.522,-4.032,-1.055,0.748,0.301,0.347,2.793,1.0,1.038,-4.372,0.935,2.409,7.765,-1.917,0.725,2.809,0.206,0.221,0.773
-0.587,-0.444,0.263,-3.917,-1.019,0.872,0.392,0.192,2.899,1.0,1.465,-4.408,0.778,2.423,7.393,-2.079,0.796,2.8,0.493,0.284,0.657
-1.115,-0.494,0.777,-3.916,-1.012,0.61,0.221,0.134,2.846,1.0,1.033,-4.384,0.993,2.465,7.808,-1.853,0.064,3.379,0.283,-0.112,0.652
-0.715,-0.237,0.383,-4.206,-1.094,0.5,0.148,0.381,3.113,1.0,0.883,-3.952,0.898,2.576,7.81,-2.16,0.03,3.084,0.284,0.041,0.765
-0.334,-0.075,-0.082,-4.517,-0.95,0.49,0.36,0.43,3.362,1.0,1.259,-4.187,0.678,2.867,7.946,-2.031,0.65,3.266,0.616,0.1,0.705
-0.052,-0.34,0.521,-4.103,-1.139,0.703,0.226,0.325,2.748,1.0,1.144,-3.965,0.959,2.351,7.848,-2.135,0.674,2.361,0.282,0.167,0.712
-0.428,-0.18,1.11,-3.868,-1.414,0.799,0.168,0.472,2.307,1.0,1.048,-4.306,0.523,1.97,7.384,-1.837,0.752,2.629,0.51,0.155,0.695
0.077,0.222,0.856,-3.789,-1.271,0.116,-0.072,0.342,2.521,1.0,0.268,-3.833,0.725,2.594,7.908,-1.693,0.408,2.193,0.236,-0.108,0.747
-0.572,0.062,0.334,-4.098,-1.209,0.249,0.2,0.303,2.994,1.0,0.691,-3.823,0.838,2.881,7.677,-2.12,0.11,3.324,0.304,-0.245,0.893
-0.479,-0.329,1.044,-4.233,-1.654,0.728,0.288,0.425,2.83,1.0,1.319,-4.639,0.911,2.203,7.886,-1.884,0.935,2.511,0.256,0.247,0.597
-0.413,-0.309,0.464,-4.015,-1.205,0.654,0.006,0.441,2.519,1.0,1.106,-4.597,0.676,2.17,8.003,-1.857,0.992,2.485,0.503,0.309,0.547
-0.53,-0.185,0.612,-4.331,-0.954,0.347,0.12,0.426,3.184,1.0,0.656,-3.407,0.694,2.763,7.424,-2.364,-0.054,3.292,0.816,-0.09,0.694
-0.996,-0.454,0.602,-4.014,-0.767,0.935,0.322,0.214,2.872,1.0,1.246,-4.914,0.849,2.267,7.887,-1.895,0.591,3.142,0.395,0.211,0.604
-0.243,-0.109,-0.02,-4.017,-1.083,0.462,0.348,0.186,2.73,1.0,1.123,-4.164,0.867,2.562,8.218,-1.601,0.607,2.669,0.092,0.242,0.535
-0.409,-0.262,-0.067,-3.854,-0.753,0.882,0.449,0.199,2.588,1.0,1.105,-4.585,0.687,2.095,7.87,-1.754,0.876,2.408,0.501,-0.006,0.771
-0.611,-0.442,0.385,-4.042,-0.866,0.72,0.371,0.182,3.025,1.0,1.406,-4.096,0.484,2.331,7.361,-1.809,0.451,2.804,0.509,0.202,0.825
-0.294,-0.289,0.773,-3.614,-1.063,0.538,0.092,0.433,2.527,1.0,0.682,-4.148,0.654,2.072,7.996,-1.839,0.31,2.439,0.379,0.154,0.749
0.024,-0.355,0.763,-3.361,-1.605,0.612,-0.081,0.419,1.873,1.0,0.752,-4.377,1.012,1.619,8.112,-1.579,1.09,1.823,0.001,0.289,0.865
-0.454,-0.206,0.733,-4.168,-1.158,0.407,0.233,0.188,3.167,1.0,0.968,-3.735,0.628,2.698,7.358,-2.025,0.212,2.947,0.524,0.238,0.702
-0.314,-0.104,0.738,-3.68,-1.166,0.385,0.063,0.378,2.438,1.0,0.662,-3.758,0.864,1.867,7.827,-2.123,0.175,2.63,0.374,0.005,0.62
-0.241,-0.131,0.484,-4.118,-1.335,0.533,0.379,0.2,2.982,1.0,1.134,-4.336,0.851,2.919,8.184,-1.862,0.923,2.403,0.306,0.071,0.666
-0.196,-0.067,0.755,-3.709,-1.525,0.66,0.377,0.398,2.555,1.0,1.25,-4.796,0.986,2.359,8.065,-1.52,1.283,2.418,0.225,0.095,0.822
0.237,0.167,0.732,-3.476,-1.428,-0.118,-0.393,0.461,2.043,1.0,-0.248,-3.22,0.631,2.09,8.245,-1.594,-0.109,2.421,0.298,-0.332,0.762
-0.773,-0.481,0.219,-4.032,-0.702,1.106,0.574,0.023,2.952,1.0,1.857,-4.983,0.651,2.43,7.676,-1.734,1.143,2.557,0.319,0.486,0.566
-0.915,-0.179,0.391,-4.233,-1.101,0.54,0.304,0.371,3.241,1.0,1.058,-4.057,0.719,2.808,7.218,-2.097,0.154,3.237,0.472,0.073,0.692
-0.776,-0.422,0.808,-4.025,-1.157,0.96,0.541,-0.092,2.932,1.0,1.871,-4.952,0.764,2.593,7.956,-1.967,0.846,2.791,0.215,0.361,0.719
0.198,-0.214,1.6,-3.496,-1.205,0.405,-0.411,0.561,1.867,1.0,0.338,-3.457,0.911,1.644,7.561,-1.609,0.378,1.978,0.19,0.031,0.636
-0.183,-0.155,0.527,-4.299,-1.295,0.225,0.124,0.56,2.948,1.0,0.562,-3.189,0.53,2.694,7.635,-2.135,-0.084,3.346,0.794,-0.213,0.629
-0.346,0.162,0.49,-3.358,-0.968,0.218,0.109,0.404,2.322,1.0,0.672,-3.171,0.752,2.334,6.806,-2.029,-0.104,2.731,0.489,0.165,0.666
-0.423,-0.559,1.001,-3.9,-1.184,1.049,0.124,0.36,2.59,1.0,1.594,-5.166,0.685,1.772,8.304,-1.773,1.083,2.185,0.166,0.442,0.638
0.077,-0.319,0.132,-3.53,-0.756,0.408,0.157,0.281,2.328,1.0,0.615,-3.751,0.913,1.998,7.676,-1.833,0.673,1.938,0.328,-0.138,0.753
