Unnamed: 0,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,y,x19,x20
32,0.685,-0.418,0.4,0.284,-0.259,0.472,1.22,-0.116,-0.925,1.802,7.852,0.013,1.222,-6.906,8.478,0.508,0.304,0.987,0.0,-0.856,-0.591
33,0.552,0.073,0.414,-0.304,-0.155,0.559,1.081,-0.783,-0.827,1.619,8.075,-0.21,1.208,-7.872,8.759,0.46,0.103,0.771,0.0,-0.629,-0.807
34,0.735,-0.473,0.25,0.048,-0.032,0.545,1.14,-0.205,-1.06,2.24,8.344,-0.062,1.244,-7.0,8.433,0.305,0.427,0.757,0.0,-0.903,-0.689
35,0.437,-0.461,0.925,-0.083,0.007,0.536,1.766,-0.186,-1.076,3.967,9.345,0.079,1.109,-6.685,8.069,0.808,0.65,0.739,0.0,-0.976,-0.77
36,0.7,-0.192,0.63,-0.217,-0.239,1.057,1.221,-0.627,-1.003,1.839,8.303,-0.079,1.279,-8.015,8.259,0.275,0.274,1.016,0.0,-0.557,-1.333
37,0.519,0.294,0.58,-0.37,0.041,0.102,1.619,-0.557,-0.68,3.014,7.98,-0.106,1.413,-6.567,8.126,0.823,0.145,1.061,0.0,-0.684,-0.274
38,0.59,-0.251,0.558,-0.207,-0.144,0.484,1.224,-0.598,-0.922,2.587,8.06,-0.151,1.378,-7.128,8.232,0.507,0.247,0.543,0.0,-0.698,-0.638
39,0.58,-0.284,0.546,-0.266,-0.238,0.602,1.249,-0.232,-0.974,2.066,7.959,-0.163,1.204,-7.195,8.213,0.623,0.368,0.709,0.0,-0.854,-0.685
40,0.697,-0.232,0.255,-0.156,-0.05,0.244,1.248,-0.297,-1.009,2.441,7.633,-0.113,1.269,-6.497,8.411,0.439,0.111,0.748,0.0,-0.992,-0.363
41,0.781,-0.528,0.444,0.146,-0.028,0.485,1.266,-0.344,-0.976,1.917,8.274,-0.035,1.095,-6.985,8.477,0.619,0.444,0.914,0.0,-0.941,-0.709
42,0.336,0.276,0.265,-0.107,-0.086,0.639,1.291,-0.813,-0.624,1.674,8.491,-0.134,1.019,-8.428,9.155,0.44,-0.11,0.856,0.0,-0.364,-0.713
43,0.6,0.053,0.172,-0.335,-0.143,0.976,1.147,-0.409,-0.957,2.291,8.108,-0.028,1.386,-7.566,8.462,0.349,-0.018,1.22,0.0,-0.71,-1.022
44,0.88,-0.716,0.514,-0.001,-0.07,0.42,1.615,-0.154,-1.166,3.904,9.135,-0.105,1.273,-6.758,8.233,0.518,0.505,0.671,0.0,-0.988,-0.509
45,0.661,-0.452,0.519,-0.272,-0.206,0.313,1.05,-0.308,-1.119,2.514,7.749,-0.018,0.953,-6.605,8.369,0.405,0.482,0.479,0.0,-1.165,-0.51
46,0.586,-0.63,0.628,-0.046,0.132,0.088,1.091,-0.261,-0.944,2.265,7.663,-0.062,1.12,-6.338,8.081,0.292,0.469,0.497,0.0,-1.09,-0.487
47,0.428,-0.389,0.718,0.026,-0.129,1.12,1.336,-0.575,-1.016,2.373,9.406,-0.028,1.097,-8.399,8.651,0.422,0.382,0.627,0.0,-0.424,-1.235
48,0.776,-0.25,0.627,0.282,-0.339,0.873,1.187,-0.495,-0.784,2.913,9.566,-0.43,1.279,-8.07,8.554,0.161,0.259,0.706,0.0,-0.684,-1.029
49,0.752,-0.464,0.267,0.058,0.019,0.461,1.28,-0.113,-0.933,2.499,8.552,0.037,1.172,-7.07,8.343,0.629,0.15,0.858,0.0,-0.911,-0.722
50,0.872,0.396,0.038,-0.293,-0.522,1.062,1.261,-0.474,-1.049,3.017,8.199,-0.34,1.049,-7.533,8.21,0.211,-0.426,0.785,0.0,-0.974,-1.199
51,0.714,-0.896,0.322,0.09,-0.315,1.299,1.378,-0.144,-1.251,3.499,9.917,-0.171,1.207,-8.083,8.416,0.117,0.598,0.956,0.0,-0.898,-1.474
52,0.836,-0.411,0.69,-0.23,0.001,0.665,1.233,-0.243,-1.121,1.826,8.141,-0.109,1.123,-7.469,8.349,0.482,0.491,0.857,0.0,-0.757,-0.891
53,0.818,-0.637,0.459,0.125,-0.135,0.705,1.311,-0.149,-1.08,3.167,8.968,-0.243,1.352,-7.345,8.115,0.385,0.272,0.814,0.0,-0.841,-0.848
54,0.615,-0.47,0.633,-0.265,0.043,0.744,1.215,-0.249,-1.114,2.241,8.382,-0.227,1.192,-7.374,8.491,0.512,0.314,0.794,0.0,-0.863,-0.905
55,0.816,0.194,-0.016,-0.41,0.002,0.415,1.602,-0.478,-0.873,3.574,8.226,-0.213,1.389,-6.858,8.249,0.549,-0.175,0.742,0.0,-0.934,-0.489
56,0.835,-0.577,0.454,0.058,-0.234,1.069,1.058,-0.299,-1.165,2.21,9.251,-0.201,1.097,-8.045,8.361,0.072,0.43,0.95,0.0,-0.74,-1.312
57,0.702,-0.202,0.516,-0.125,0.015,0.517,0.981,-0.529,-0.855,1.877,7.837,0.178,1.164,-7.128,8.503,0.484,0.153,0.862,0.0,-0.608,-0.583
58,0.277,0.334,0.322,-0.521,-0.014,0.521,1.332,-0.842,-0.707,3.033,8.049,-0.148,1.279,-6.986,8.262,0.731,-0.182,0.791,0.0,-0.636,-0.705
59,0.582,-1.043,0.722,0.096,0.016,0.339,1.233,0.182,-1.248,2.716,8.7,0.069,0.982,-6.711,8.541,0.711,0.759,0.825,0.0,-1.19,-0.634
60,0.69,-0.055,0.564,-0.346,0.073,-0.152,1.583,-0.416,-0.794,3.083,7.611,0.011,1.264,-6.103,8.222,0.677,0.217,0.96,0.0,-0.975,-0.149
61,0.572,-0.922,0.639,0.361,-0.052,0.72,1.017,-0.134,-1.051,2.386,9.35,0.06,1.363,-7.359,8.109,0.145,0.674,0.841,0.0,-0.647,-0.835
62,0.58,-0.355,0.787,-0.08,-0.068,0.494,1.06,-0.182,-0.919,0.738,6.764,-0.057,0.983,-6.707,8.131,0.281,0.439,0.677,0.0,-0.842,-0.624
63,0.795,-0.704,0.677,0.136,-0.194,0.922,1.591,-0.017,-1.128,3.513,9.278,-0.042,1.299,-7.239,8.195,0.519,0.498,0.665,0.0,-0.873,-0.901
64,0.54,0.181,0.119,-0.161,-0.274,1.019,1.231,-0.742,-0.591,2.649,9.238,-0.321,1.083,-8.429,8.624,0.334,-0.257,0.89,0.0,-0.544,-1.268
65,0.493,-1.11,0.41,0.215,-0.213,0.882,1.011,0.428,-1.162,2.201,8.562,-0.007,1.253,-7.155,8.461,0.315,0.851,0.707,0.0,-1.078,-0.984
66,0.727,0.258,0.493,-0.59,-0.187,0.749,1.287,-0.712,-0.987,1.982,8.08,-0.221,1.012,-8.049,8.801,0.453,-0.149,0.871,0.0,-0.83,-1.101
67,0.626,0.174,0.521,-0.212,0.012,0.566,1.245,-0.66,-0.685,2.99,8.878,0.0,1.339,-7.542,8.64,0.506,0.056,0.775,0.0,-0.66,-0.635
68,0.609,-0.471,0.646,0.354,-0.186,0.881,1.341,-0.367,-1.024,2.909,9.461,-0.083,1.194,-7.878,8.59,0.397,0.255,0.883,0.0,-0.689,-1.109
69,0.885,-1.115,0.731,0.282,-0.229,0.543,0.859,0.218,-1.495,2.031,8.434,0.005,1.156,-6.836,8.213,0.249,0.778,0.624,0.0,-1.068,-1.007
70,0.676,0.109,0.459,-0.627,-0.051,0.387,1.105,-0.785,-0.85,1.822,7.188,-0.364,1.068,-7.019,8.089,0.44,-0.018,0.873,0.0,-0.919,-0.617
71,0.535,-0.779,0.558,0.233,-0.358,1.059,1.499,-0.16,-1.244,3.922,10.636,-0.142,1.025,-8.197,8.901,0.4,0.456,0.666,0.0,-0.738,-1.101
72,0.874,-0.513,0.671,-0.181,0.092,0.188,0.898,-0.419,-1.052,0.647,6.445,-0.047,1.319,-6.57,8.129,0.189,0.296,0.85,0.0,-1.029,-0.468
73,0.386,-0.462,0.614,0.071,-0.375,1.551,1.155,-0.538,-0.864,1.966,9.616,0.061,1.255,-9.037,8.873,0.185,0.425,0.922,0.0,-0.29,-1.598
74,0.509,-0.605,0.655,-0.254,0.044,0.354,1.537,0.004,-1.108,3.245,8.794,0.099,1.319,-6.779,8.451,0.598,0.469,0.723,0.0,-0.773,-0.622
75,0.646,-0.222,0.245,-0.462,-0.12,0.177,1.57,-0.296,-1.086,3.238,8.541,-0.155,1.043,-7.071,8.589,0.838,0.398,0.918,0.0,-1.005,-0.577
76,0.52,0.113,0.114,-0.346,-0.348,1.249,1.255,-0.706,-0.9,1.84,8.143,-0.275,1.235,-8.118,8.16,0.342,-0.008,0.812,0.0,-0.408,-1.09
77,0.735,-0.496,0.619,0.018,-0.144,0.606,1.06,-0.378,-1.028,1.853,8.451,-0.08,1.3,-7.677,8.724,0.456,0.422,0.639,0.0,-0.942,-0.943
78,0.83,-0.565,0.73,0.021,-0.023,0.582,1.303,-0.012,-1.13,2.485,8.112,-0.277,1.288,-6.772,8.419,0.494,0.469,0.871,0.0,-1.154,-0.61
79,0.55,-0.142,0.361,0.105,-0.2,0.911,1.303,-0.561,-0.727,1.957,8.472,-0.184,1.065,-7.888,8.24,0.358,0.022,0.733,0.0,-0.436,-0.967
80,0.736,-0.616,0.68,0.209,-0.343,0.725,1.561,-0.101,-1.04,3.574,9.816,-0.033,1.33,-7.714,8.907,0.486,0.677,0.819,0.0,-0.95,-0.812
81,0.763,-0.412,0.398,0.175,-0.022,0.624,1.114,-0.337,-0.995,1.429,7.659,-0.189,1.241,-6.945,8.223,0.221,0.254,0.705,0.0,-0.89,-0.593
82,0.877,-0.407,0.421,-0.007,-0.102,0.398,1.376,-0.129,-1.082,2.616,8.404,-0.036,1.341,-6.934,8.686,0.475,0.248,0.854,0.0,-1.106,-0.643
83,0.736,-0.1,0.187,-0.438,0.106,0.513,1.077,-0.248,-0.953,1.672,7.042,-0.135,1.161,-6.821,8.104,0.347,-0.085,0.842,0.0,-0.75,-0.613
84,0.777,-0.412,0.609,0.038,-0.086,0.614,1.224,-0.538,-0.847,2.41,8.718,0.019,1.131,-7.553,8.683,0.613,0.229,0.814,0.0,-0.765,-0.81
85,0.716,-0.758,0.274,0.233,-0.256,1.585,1.354,-0.028,-1.145,2.376,9.39,-0.231,1.285,-8.253,8.286,0.322,0.448,0.802,0.0,-0.739,-1.657
86,0.721,-0.32,0.256,-0.179,0.02,0.814,1.091,-0.365,-0.992,1.696,7.676,-0.096,1.046,-7.26,8.096,0.074,0.091,0.711,0.0,-0.628,-0.903
87,0.684,-1.113,0.449,0.183,0.152,0.254,1.07,0.518,-1.271,2.882,9.115,-0.014,0.978,-6.894,8.753,0.477,0.759,0.92,0.0,-1.136,-0.685
88,0.517,-0.276,0.831,-0.31,0.029,0.377,1.531,-0.416,-1.141,3.217,8.658,-0.045,1.136,-7.128,8.555,0.758,0.547,0.902,0.0,-0.882,-0.581
89,0.353,-0.482,0.625,0.096,-0.163,0.748,1.365,-0.292,-0.918,2.817,8.916,-0.165,1.227,-7.55,8.372,0.705,0.244,0.694,0.0,-0.514,-0.861
90,0.6,-0.585,0.714,-0.366,-0.042,0.818,1.313,-0.036,-1.149,2.357,8.222,-0.125,1.131,-7.418,8.551,0.518,0.364,1.005,0.0,-0.987,-0.955
91,0.958,-0.681,0.544,-0.027,-0.065,0.513,1.296,-0.072,-1.153,1.998,8.018,0.001,1.135,-7.015,8.699,0.389,0.426,0.767,0.0,-1.251,-0.741
92,0.829,-0.83,0.635,-0.242,0.299,-0.099,1.432,0.09,-1.18,3.035,8.121,0.07,1.143,-6.281,8.313,0.583,0.597,0.821,0.0,-1.155,-0.194
93,0.423,-0.318,0.665,-0.01,-0.103,0.731,1.591,-0.358,-1.051,3.236,9.305,-0.129,1.056,-7.402,8.294,0.691,0.4,0.659,0.0,-0.682,-0.931
94,0.638,-0.72,0.711,-0.008,0.024,0.522,1.395,-0.123,-1.235,2.968,8.594,0.078,1.073,-6.794,8.333,0.442,0.608,0.865,0.0,-0.854,-0.736
95,0.714,-0.595,0.44,0.155,-0.02,1.038,0.908,-0.121,-1.124,1.711,8.243,-0.261,1.199,-7.375,8.506,0.212,0.435,0.854,0.0,-0.903,-0.846
96,0.637,-0.726,0.753,0.145,0.036,1.127,1.507,-0.245,-1.098,3.554,10.426,-0.127,1.133,-8.047,8.75,0.455,0.566,0.788,0.0,-0.733,-1.199
97,0.705,-0.36,0.529,-0.079,-0.112,0.838,1.386,-0.377,-1.079,3.118,9.541,-0.287,1.174,-7.99,8.563,0.468,0.338,0.735,0.0,-0.713,-0.983
98,0.447,-0.451,0.634,0.012,-0.057,0.683,0.92,-0.422,-0.956,1.473,8.096,0.089,1.214,-7.327,8.409,0.392,0.435,0.802,0.0,-0.594,-0.865
99,0.717,-0.634,0.39,-0.101,0.027,0.272,1.195,0.002,-1.045,2.042,7.332,0.041,1.207,-6.308,8.16,0.51,0.268,0.657,0.0,-1.03,-0.683
100,0.4,-0.796,0.459,-0.126,-0.166,1.27,1.285,-0.115,-1.268,3.102,10.159,0.051,1.091,-8.45,8.874,0.267,0.63,0.922,0.0,-0.614,-1.4
101,0.587,-1.077,0.57,-0.15,0.103,0.928,0.736,0.18,-1.438,1.815,8.415,-0.154,1.166,-7.497,8.537,0.12,0.741,0.98,0.0,-1.071,-1.091
102,0.651,-0.939,0.945,0.177,0.074,0.227,1.236,-0.075,-1.293,2.291,8.465,0.073,1.242,-6.666,9.065,0.472,0.727,0.684,0.0,-1.14,-0.275
103,0.861,-0.694,0.548,-0.36,0.081,0.273,0.981,0.206,-1.25,1.682,7.004,-0.025,0.999,-6.431,8.448,0.526,0.536,0.972,0.0,-1.225,-0.342
104,0.702,-0.123,0.482,-0.44,-0.134,0.464,1.255,-0.33,-1.009,2.109,7.643,0.007,1.103,-6.806,8.085,0.476,0.225,0.919,0.0,-0.926,-0.645
105,0.639,-0.194,0.523,-0.043,0.001,0.52,1.364,-0.594,-0.838,2.234,8.77,-0.268,1.197,-7.92,8.837,0.455,0.175,0.824,0.0,-0.606,-0.63
106,0.618,-0.594,0.359,0.065,-0.205,0.796,1.065,-0.283,-1.07,2.259,8.286,-0.003,1.066,-7.164,8.09,0.312,0.342,0.706,0.0,-0.693,-0.614
107,0.576,-0.273,0.491,-0.159,-0.053,0.172,1.565,-0.196,-0.736,3.183,8.788,-0.15,1.141,-7.265,8.827,0.873,0.397,0.77,0.0,-0.884,-0.467
108,0.583,-1.074,0.842,0.137,-0.132,0.709,1.126,0.103,-1.346,3.219,9.264,0.044,1.305,-7.159,8.559,0.062,0.858,0.716,0.0,-1.077,-0.878
109,0.319,-0.823,0.68,0.092,-0.023,0.717,1.025,-0.028,-1.075,1.943,8.695,0.048,1.224,-7.73,9.164,0.335,0.617,0.967,0.0,-1.011,-0.922
110,0.844,-0.956,0.531,0.086,0.12,0.237,1.063,0.332,-1.408,2.449,8.429,-0.1,1.125,-6.826,8.421,0.317,0.569,0.633,0.0,-1.215,-0.545
111,0.129,-0.212,0.453,-0.201,-0.149,1.322,1.441,-0.522,-0.815,2.785,9.688,0.001,1.089,-8.399,8.492,0.467,0.432,0.817,0.0,-0.29,-1.419
112,0.672,-0.481,0.429,0.086,0.153,0.382,1.636,-0.124,-1.004,3.359,8.917,-0.326,1.058,-6.675,8.423,0.564,0.479,0.616,0.0,-0.973,-0.279
113,0.65,-0.272,0.406,-0.063,-0.209,0.552,1.553,-0.343,-1.062,3.431,8.543,-0.205,0.914,-6.836,8.202,0.565,0.078,0.747,0.0,-0.904,-0.514
114,0.624,-0.696,0.753,0.157,-0.083,0.371,1.218,-0.101,-1.152,2.829,8.769,-0.025,1.264,-6.96,8.704,0.432,0.555,0.865,0.0,-1.021,-0.531
115,0.632,-0.133,0.525,-0.022,-0.058,0.538,1.229,-0.655,-0.928,1.896,8.357,-0.099,1.153,-7.664,8.974,0.527,0.187,0.713,0.0,-0.777,-0.619
116,0.601,-0.245,0.495,0.119,-0.12,0.728,1.302,-0.396,-0.86,2.403,8.361,-0.042,1.097,-7.096,8.114,0.357,0.241,0.749,0.0,-0.74,-0.859
117,0.826,-0.62,0.343,0.165,-0.2,0.702,1.066,-0.031,-1.064,1.209,7.915,-0.003,1.1,-7.474,8.761,0.24,0.259,0.943,0.0,-0.886,-0.86
118,0.779,-0.092,0.155,-0.307,0.042,0.199,1.185,-0.351,-0.78,2.203,7.298,-0.014,1.121,-6.6,8.214,0.557,0.003,0.692,0.0,-0.783,-0.48
119,0.718,-0.935,0.824,0.29,-0.096,0.689,0.918,0.016,-1.06,1.432,8.193,-0.125,1.287,-7.193,8.156,0.566,0.857,0.904,0.0,-0.862,-0.912
120,0.621,-0.377,0.287,-0.42,-0.08,0.29,1.176,0.029,-1.121,2.384,7.917,-0.141,1.318,-7.128,8.441,0.506,0.326,0.662,0.0,-1.04,-0.646
121,0.705,-1.272,0.703,0.481,-0.018,0.5,1.273,0.159,-1.333,3.301,9.183,0.216,1.253,-6.49,8.367,0.445,0.8,0.782,0.0,-1.136,-0.644
122,0.992,-0.502,0.368,-0.356,0.009,0.317,1.159,-0.053,-1.132,1.557,6.641,-0.096,1.195,-6.133,8.161,0.462,0.322,0.837,0.0,-1.17,-0.397
123,0.543,-0.543,0.43,-0.251,-0.093,0.82,1.691,-0.063,-1.002,3.541,9.604,-0.247,1.036,-7.67,8.402,0.419,0.312,0.601,0.0,-0.805,-1.086
124,0.642,-0.783,0.795,0.017,-0.03,0.914,1.092,-0.094,-1.231,2.23,8.832,-0.125,1.271,-7.638,8.425,0.179,0.573,0.637,0.0,-0.734,-1.036
125,0.869,-0.576,0.574,-0.077,-0.238,0.299,1.502,-0.016,-1.235,3.479,9.204,0.034,1.114,-7.316,8.874,0.674,0.564,0.839,0.0,-0.997,-0.606
126,0.793,-0.492,0.554,0.13,-0.04,0.432,1.634,-0.13,-0.957,3.306,9.126,-0.097,1.251,-7.195,8.692,0.617,0.345,0.649,0.0,-0.901,-0.482
127,0.674,-0.239,0.71,-0.198,-0.067,-0.091,1.402,-0.335,-1.032,2.976,7.614,0.086,1.24,-6.187,8.653,0.845,0.376,0.815,0.0,-1.093,-0.0
128,0.595,-0.521,0.62,0.027,-0.001,1.027,1.612,-0.258,-0.876,3.5,10.098,-0.063,1.112,-7.928,8.298,0.257,0.349,0.679,0.0,-0.533,-1.259
129,0.515,-0.308,0.689,-0.088,-0.268,1.278,1.262,-0.397,-1.053,2.765,9.243,-0.211,1.185,-8.138,8.167,0.442,0.501,0.746,0.0,-0.612,-1.303
130,0.69,-0.389,0.426,-0.179,-0.098,0.448,1.259,-0.19,-1.165,2.556,8.486,-0.211,1.015,-7.395,8.46,0.421,0.295,0.711,0.0,-0.932,-0.715
131,0.806,0.096,0.295,-0.369,-0.383,0.835,1.708,-0.713,-1.068,3.503,8.818,-0.203,1.107,-7.513,8.33,0.386,-0.031,0.879,0.0,-0.691,-1.016
132,0.778,-0.416,0.395,-0.076,-0.126,0.529,1.422,-0.362,-0.936,2.622,9.087,-0.259,1.127,-7.775,8.682,0.504,0.163,0.788,0.0,-0.728,-0.778
133,0.876,-0.863,0.872,0.25,-0.306,1.365,1.268,-0.177,-1.193,2.206,9.455,-0.321,1.081,-8.178,8.478,-0.082,0.681,0.969,0.0,-0.758,-1.436
134,0.58,-0.592,0.869,0.2,-0.41,0.681,1.215,-0.37,-1.081,2.595,8.417,0.022,1.079,-7.165,8.41,0.625,0.371,1.01,0.0,-0.93,-0.604
135,0.563,-0.464,0.371,-0.072,0.244,0.012,1.184,-0.403,-0.99,1.926,7.923,-0.13,1.049,-6.972,8.831,0.668,0.227,0.923,0.0,-0.824,-0.297
136,0.839,-0.282,0.495,-0.185,0.099,0.411,1.126,-0.324,-0.939,2.068,8.566,0.028,1.022,-7.816,9.185,0.54,0.254,1.009,0.0,-0.804,-0.678
137,1.0,-0.425,0.551,-0.209,-0.018,0.383,1.65,-0.198,-1.121,3.603,8.663,-0.163,1.363,-6.802,8.17,0.596,0.16,0.808,0.0,-0.976,-0.649
138,1.005,-0.338,0.699,-0.225,-0.049,0.697,1.284,-0.446,-1.069,2.201,8.081,-0.032,0.989,-7.088,8.451,0.1,0.432,0.823,0.0,-0.966,-0.706
139,0.437,-0.29,0.597,0.144,-0.316,1.206,1.043,-0.61,-0.929,1.466,8.745,-0.169,1.143,-8.4,8.2,0.538,0.23,0.915,0.0,-0.495,-1.472
140,0.869,-0.613,0.502,0.074,-0.077,0.164,0.913,-0.172,-1.129,1.547,7.774,-0.21,1.327,-7.064,8.762,0.276,0.168,0.592,0.0,-1.145,-0.506
141,0.732,-0.134,0.316,-0.109,-0.183,1.015,1.327,-0.355,-0.965,2.835,9.096,-0.202,0.969,-7.849,8.122,0.584,0.131,0.67,0.0,-0.639,-1.293
142,0.636,0.104,0.645,-0.211,-0.198,0.481,1.514,-0.719,-0.694,2.916,8.746,-0.073,1.145,-7.669,8.277,0.527,-0.117,0.822,0.0,-0.519,-0.738
143,0.459,-0.322,0.405,-0.19,-0.257,1.185,1.379,-0.328,-1.045,3.478,10.051,-0.117,1.291,-8.4,8.694,0.56,0.352,0.728,0.0,-0.679,-1.221
144,0.453,-0.09,0.514,-0.211,-0.137,0.439,1.546,-0.62,-0.823,2.919,8.246,0.117,1.219,-6.93,8.108,0.921,0.073,0.842,0.0,-0.544,-0.62
145,0.889,-0.735,0.423,0.141,-0.079,1.082,1.297,0.203,-1.166,2.398,9.317,-0.231,1.049,-7.863,8.475,0.201,0.43,0.81,0.0,-0.917,-1.292
146,0.453,-0.049,0.286,-0.54,0.045,0.39,1.229,-0.46,-0.951,1.436,7.222,0.001,1.068,-7.003,8.285,0.622,0.139,0.764,0.0,-0.663,-0.615
