Unnamed: 0,x0,x1,x2,x3,x4,x5,x6,y,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
17,-0.061,-0.988,-1.694,-0.441,3.83,0.514,2.354,1.0,0.149,4.297,-0.12,1.172,-0.309,-1.95,1.597,0.242,-0.943,1.894,-2.616,0.34,-2.54
18,0.009,-0.955,-1.581,-0.718,3.837,0.316,1.864,1.0,0.507,4.387,-0.105,0.877,-0.287,-1.79,1.762,0.217,-0.97,2.146,-2.799,0.206,-2.459
19,-0.062,-0.921,-1.576,-0.076,3.809,0.206,2.624,1.0,0.189,4.523,0.11,0.944,-0.103,-2.005,1.507,0.249,-1.057,1.683,-3.026,0.003,-2.367
20,0.054,-0.966,-1.573,-0.724,3.76,0.226,2.384,1.0,0.269,4.417,-0.035,0.795,-0.09,-1.702,1.823,0.074,-0.579,2.113,-2.953,0.239,-2.694
21,0.088,-1.124,-1.584,-0.683,3.8,0.366,1.866,1.0,0.12,4.495,0.123,0.615,-0.199,-1.689,1.622,0.151,-0.946,2.154,-3.091,0.266,-2.711
22,0.107,-0.925,-1.24,-0.278,3.22,0.245,1.925,1.0,0.387,4.039,-0.168,0.607,-0.159,-1.576,1.317,0.174,-0.769,1.897,-2.911,0.366,-2.478
23,0.128,-1.013,-1.329,-0.905,3.805,0.122,2.35,1.0,0.221,4.476,-0.089,0.909,-0.021,-1.633,1.442,0.236,-0.718,2.127,-2.866,0.251,-2.857
24,-0.149,-1.123,-1.584,-0.273,3.962,0.441,2.097,1.0,-0.002,4.364,-0.141,0.868,-0.245,-1.982,1.43,0.147,-0.913,1.77,-2.767,0.296,-2.446
25,-0.099,-0.863,-1.568,-0.465,4.162,0.355,2.712,1.0,0.046,5.176,-0.323,1.343,-0.184,-2.406,1.473,0.091,-0.976,1.977,-3.165,0.394,-2.338
26,-0.065,-1.01,-1.566,-0.882,3.124,0.176,1.998,1.0,0.353,4.272,-0.077,0.783,-0.092,-1.563,1.919,0.266,-0.777,1.67,-2.956,0.253,-2.247
27,0.252,-1.057,-1.498,-1.575,3.762,0.14,1.167,1.0,0.52,3.991,0.227,0.483,-0.371,-0.992,1.928,0.21,-0.912,2.176,-2.849,-0.004,-2.864
28,-0.11,-1.142,-1.401,-0.842,4.091,0.185,2.204,1.0,0.34,4.685,-0.14,1.074,-0.159,-1.86,1.373,0.305,-1.097,1.769,-3.002,0.434,-2.481
29,0.173,-1.347,-1.456,-0.402,2.803,0.097,1.678,1.0,0.292,4.326,-0.111,0.284,0.078,-2.007,1.507,-0.037,-0.953,1.772,-3.108,0.296,-1.407
30,0.076,-0.942,-1.429,-0.663,3.829,0.006,1.962,1.0,0.424,4.493,-0.061,1.106,-0.399,-1.953,1.528,0.19,-0.903,1.929,-2.739,0.185,-2.475
31,0.188,-0.918,-1.44,-0.604,3.981,0.136,2.142,1.0,0.171,4.556,-0.051,0.771,-0.149,-1.817,1.79,0.288,-0.681,2.302,-2.956,0.172,-2.64
32,0.111,-1.028,-1.636,-0.264,3.604,0.466,1.923,1.0,0.156,4.203,0.008,0.689,-0.136,-1.882,1.749,0.273,-1.014,2.041,-2.897,0.34,-2.142
33,0.028,-0.948,-1.59,-0.357,3.902,0.197,2.435,1.0,0.285,4.712,-0.163,0.742,-0.032,-2.177,1.543,0.164,-0.867,2.004,-3.019,0.395,-2.548
34,0.117,-0.948,-1.426,-0.393,3.8,0.238,2.35,1.0,0.396,4.594,-0.084,0.996,-0.387,-2.155,1.608,0.133,-0.762,2.127,-2.906,0.055,-2.187
35,0.145,-0.851,-1.385,-0.355,3.389,0.149,2.243,1.0,0.346,4.431,-0.198,0.718,-0.178,-1.898,1.313,0.262,-0.748,2.022,-2.887,0.373,-2.297
36,0.259,-1.03,-1.467,-0.169,3.732,0.312,1.759,1.0,0.284,4.308,0.005,0.277,-0.263,-1.849,1.676,-0.019,-0.807,2.28,-3.164,0.257,-2.353
37,0.043,-0.93,-1.267,-0.792,3.191,0.013,2.139,1.0,0.272,4.26,-0.328,0.603,0.167,-1.728,1.423,0.476,-0.843,1.667,-2.911,0.202,-2.1
38,-0.118,-1.121,-1.518,-0.685,3.874,0.14,1.921,1.0,0.667,4.502,-0.042,0.843,-0.189,-1.834,1.727,0.229,-0.935,1.929,-2.987,0.305,-2.556
39,-0.045,-0.915,-1.599,0.005,3.605,0.326,2.812,1.0,0.434,4.402,-0.046,1.068,-0.104,-2.071,1.834,0.228,-1.037,1.862,-2.78,0.009,-2.128
40,-0.154,-1.093,-1.5,-0.395,3.977,0.185,2.249,1.0,0.512,4.86,-0.061,0.971,-0.022,-2.233,1.623,0.291,-1.1,1.792,-3.029,0.126,-2.134
41,0.093,-1.018,-1.557,-0.239,3.813,0.163,2.495,1.0,0.35,4.717,-0.188,0.809,-0.06,-2.2,1.713,0.04,-0.7,1.827,-2.92,0.184,-2.443
42,0.091,-0.976,-1.264,-0.604,2.872,0.197,1.794,1.0,0.181,3.961,-0.235,0.413,-0.021,-1.401,1.446,0.354,-0.928,1.53,-2.742,0.117,-1.896
43,0.06,-0.952,-1.499,-0.276,3.978,0.409,2.731,1.0,0.325,4.411,-0.056,1.445,-0.07,-2.131,1.763,0.205,-0.975,1.864,-2.746,0.271,-2.433
44,-0.003,-1.007,-1.562,-0.191,3.939,0.218,2.614,1.0,0.221,4.656,-0.03,1.295,-0.28,-2.232,1.67,0.17,-0.963,1.869,-2.995,0.164,-2.32
45,-0.118,-0.886,-1.577,-0.549,3.359,0.305,1.307,1.0,0.135,3.919,0.009,0.334,-0.314,-1.498,1.56,0.382,-0.953,2.019,-2.693,-0.054,-2.272
46,0.067,-1.001,-1.399,-0.327,3.963,0.211,2.297,1.0,0.334,4.873,-0.047,0.798,-0.126,-2.087,1.449,0.129,-0.998,2.002,-3.395,0.177,-2.318
47,-0.096,-0.913,-1.512,-0.601,2.883,0.243,1.881,1.0,0.33,3.759,-0.113,0.571,0.235,-1.25,1.636,0.37,-0.671,1.601,-2.769,-0.071,-2.269
48,-0.142,-1.005,-1.38,0.105,3.733,0.323,2.392,1.0,0.375,4.25,-0.033,0.787,-0.111,-1.942,1.47,-0.06,-0.985,1.69,-2.762,0.108,-2.424
49,-0.008,-1.316,-1.708,0.129,4.024,0.312,2.179,1.0,0.315,4.499,0.186,0.846,-0.175,-2.181,1.873,0.181,-1.088,1.852,-3.185,0.094,-2.376
50,-0.023,-0.881,-1.605,-0.312,3.793,0.174,2.432,1.0,0.415,4.443,0.015,0.901,-0.115,-2.004,1.785,0.189,-0.872,1.852,-2.85,-0.096,-2.338
51,0.126,-0.971,-1.624,-0.935,3.773,0.201,2.06,1.0,0.289,4.48,-0.153,0.843,-0.108,-1.602,1.802,0.187,-0.915,2.065,-2.89,0.108,-2.799
52,0.083,-0.965,-1.429,-0.873,4.067,0.126,2.705,1.0,0.589,4.681,-0.081,1.167,-0.036,-1.589,1.745,0.221,-0.88,2.076,-3.056,0.221,-2.871
53,0.181,-1.121,-1.459,0.071,3.592,0.25,2.372,1.0,0.318,4.584,-0.119,0.59,-0.044,-2.234,1.673,0.107,-1.001,2.203,-3.131,0.218,-1.989
54,0.1,-0.873,-1.64,-0.646,4.077,0.262,2.312,1.0,0.346,4.522,-0.063,1.151,-0.199,-1.845,1.712,0.246,-0.752,2.031,-2.863,0.013,-2.697
55,0.03,-1.091,-1.664,-0.758,3.313,0.071,1.971,1.0,0.292,4.285,0.108,0.399,0.088,-1.508,1.723,0.233,-0.82,1.911,-3.074,0.151,-2.175
56,-0.079,-1.035,-1.473,0.285,3.982,0.468,2.679,1.0,0.297,4.824,-0.398,1.216,-0.293,-2.572,1.511,0.057,-0.936,1.891,-2.9,0.32,-2.132
57,0.098,-1.014,-1.619,-0.624,4.07,0.36,1.991,1.0,0.282,4.854,-0.183,1.017,-0.416,-2.048,1.803,0.058,-0.825,2.094,-3.089,0.118,-2.501
58,0.293,-1.172,-1.358,-0.665,3.26,0.073,1.493,1.0,0.47,4.176,-0.101,0.021,0.029,-1.555,1.877,0.185,-0.765,2.27,-3.059,0.108,-2.236
59,0.144,-0.954,-1.463,-0.389,3.746,-0.005,1.971,1.0,0.336,4.431,-0.025,0.539,-0.135,-2.008,1.599,0.095,-0.812,2.094,-3.274,0.183,-2.249
60,0.155,-1.152,-1.497,-0.344,3.779,0.174,1.858,1.0,0.262,4.401,-0.029,0.778,-0.282,-1.757,1.789,-0.066,-0.638,2.236,-2.797,0.041,-2.391
61,0.076,-1.108,-1.527,-0.613,3.375,0.27,1.81,1.0,0.423,4.336,-0.169,0.736,-0.141,-1.81,1.745,0.11,-1.057,1.82,-3.176,0.003,-2.067
62,0.299,-0.927,-1.708,-0.524,3.766,0.308,2.082,1.0,0.176,4.579,0.016,0.767,-0.255,-2.065,1.865,0.019,-0.766,2.199,-3.134,-0.056,-2.482
63,0.093,-1.036,-1.239,-0.372,3.611,0.178,2.109,1.0,0.606,4.379,-0.168,0.906,-0.296,-1.949,1.545,0.274,-0.925,1.777,-3.052,0.088,-2.249
64,-0.261,-0.943,-1.608,-0.249,3.811,0.435,2.604,1.0,0.24,4.306,0.137,1.275,-0.188,-2.043,1.447,0.119,-1.072,1.525,-2.75,0.423,-2.178
65,0.053,-1.048,-1.432,-0.267,3.704,0.274,2.171,1.0,0.386,4.478,-0.079,0.795,-0.179,-1.981,1.577,0.133,-0.844,2.007,-2.818,0.355,-2.523
66,0.118,-0.856,-1.457,-0.507,3.706,0.126,2.355,1.0,0.348,4.237,0.026,1.009,-0.191,-1.658,1.891,0.367,-0.735,1.967,-2.965,0.126,-2.797
67,0.135,-1.139,-1.552,-0.005,3.818,0.48,2.455,1.0,0.392,4.346,-0.104,0.872,-0.045,-2.107,1.792,0.113,-0.834,1.884,-2.739,-0.002,-2.216
68,0.083,-1.038,-1.442,-0.083,3.912,0.291,2.442,1.0,0.214,4.634,-0.01,0.922,-0.293,-2.154,1.818,0.124,-0.781,2.001,-2.928,0.323,-2.691
69,0.096,-1.07,-1.617,-1.016,3.987,0.153,1.754,1.0,0.251,4.342,0.15,0.517,-0.163,-1.575,1.648,0.249,-0.778,2.041,-2.833,0.335,-3.053
70,0.154,-1.067,-1.824,-0.892,3.856,0.197,2.132,1.0,0.496,4.847,0.065,0.836,-0.235,-1.858,1.95,0.261,-0.904,2.258,-3.137,0.047,-2.472
71,0.084,-1.082,-1.43,-0.964,3.841,-0.107,2.178,1.0,0.406,4.956,-0.173,1.078,-0.188,-1.95,1.767,0.049,-0.987,1.989,-3.306,-0.125,-2.511
72,0.002,-1.16,-1.53,-0.592,3.573,0.343,1.846,1.0,0.289,4.163,0.079,0.691,-0.313,-1.594,1.466,0.184,-0.897,1.838,-2.894,0.22,-2.458
73,0.053,-1.072,-1.425,-0.033,4.017,0.175,2.896,1.0,0.405,5.199,-0.22,0.986,-0.215,-2.325,1.716,0.15,-0.988,2.187,-3.502,0.043,-2.209
74,-0.108,-0.784,-1.724,-0.548,3.582,0.312,2.563,1.0,0.354,4.572,-0.171,0.973,-0.221,-1.844,1.764,0.412,-0.935,1.846,-2.903,0.225,-2.387
75,-0.006,-1.028,-1.586,0.141,3.762,0.432,2.378,1.0,0.329,4.302,0.059,1.16,-0.207,-2.303,1.566,0.095,-0.858,1.812,-2.646,0.415,-2.169
76,-0.025,-1.278,-1.631,-0.177,3.892,0.482,2.141,1.0,0.229,4.344,0.139,0.88,-0.106,-2.037,1.746,0.203,-1.075,1.933,-2.737,0.126,-2.289
77,-0.029,-0.883,-1.37,-0.882,3.9,0.076,2.209,1.0,0.491,4.646,-0.05,0.904,-0.228,-1.925,1.353,0.241,-0.834,2.118,-3.062,0.213,-2.398
78,0.028,-1.022,-1.48,-0.445,3.754,-0.009,2.258,1.0,0.542,4.379,-0.162,1.035,-0.342,-1.832,1.819,0.264,-1.022,1.8,-2.892,0.112,-2.349
79,0.139,-0.919,-1.406,-0.28,4.036,0.242,2.29,1.0,0.246,4.586,-0.133,0.978,-0.065,-2.091,1.608,0.154,-0.934,1.907,-3.081,0.294,-2.563
80,0.208,-1.048,-1.475,-0.1,3.452,0.102,2.133,1.0,0.168,4.419,-0.219,0.573,0.078,-2.081,1.672,0.05,-0.812,2.21,-3.05,0.122,-2.077
81,0.129,-1.014,-1.384,-0.836,3.708,-0.062,2.106,1.0,0.285,4.358,-0.022,1.144,-0.275,-1.821,1.627,0.208,-0.689,1.97,-2.762,0.144,-2.644
82,0.307,-0.913,-1.47,0.122,3.8,0.419,1.892,1.0,0.251,4.414,-0.16,0.53,-0.317,-2.241,1.726,-0.034,-0.83,2.293,-2.785,0.04,-2.446
83,0.07,-1.039,-1.376,-0.553,3.892,0.048,2.131,1.0,0.315,4.576,0.041,0.492,-0.024,-1.987,1.534,0.312,-0.885,2.057,-3.283,0.122,-2.332
84,0.004,-1.063,-1.482,-0.728,3.774,0.485,1.655,1.0,0.264,4.168,0.029,0.74,-0.15,-1.427,1.604,0.327,-1.113,1.905,-2.709,0.088,-2.656
85,0.182,-1.184,-1.593,-0.087,3.962,0.236,2.44,1.0,0.342,4.83,-0.065,0.962,-0.209,-2.425,1.896,0.278,-1.003,2.098,-3.11,0.095,-2.14
86,0.018,-0.881,-1.656,-0.468,3.78,0.248,2.215,1.0,0.341,4.503,-0.013,0.852,-0.283,-1.719,1.697,0.136,-0.917,2.067,-2.934,0.097,-2.445
87,0.074,-1.031,-1.506,-0.329,3.872,0.377,2.379,1.0,0.127,4.759,-0.044,0.781,0.032,-2.162,1.652,0.166,-0.754,2.104,-3.079,0.265,-2.467
88,0.046,-0.879,-1.247,-0.173,3.701,0.295,2.475,1.0,0.278,4.191,-0.061,1.365,-0.472,-1.683,1.46,0.125,-0.729,1.701,-2.545,0.303,-2.635
89,0.048,-0.966,-1.688,-0.471,3.737,0.427,2.645,1.0,0.476,4.6,-0.098,1.31,-0.174,-2.247,1.993,0.248,-0.735,1.968,-2.609,0.159,-2.366
90,-0.16,-0.728,-1.543,-0.165,3.834,0.155,3.118,1.0,0.441,4.756,-0.188,1.498,-0.09,-2.266,1.662,0.279,-1.01,1.629,-2.936,0.285,-2.267
91,0.144,-0.937,-1.662,-0.202,4.032,0.515,1.997,1.0,0.344,4.468,0.095,0.788,-0.39,-1.976,2.052,0.29,-0.827,2.224,-2.929,-0.167,-2.728
92,-0.073,-1.006,-1.523,-0.323,3.299,0.262,2.37,1.0,0.39,4.308,-0.13,0.812,-0.019,-1.825,1.643,0.524,-0.767,1.685,-3.024,0.006,-2.186
93,0.144,-0.927,-1.43,-0.823,3.395,0.204,1.758,1.0,0.485,4.418,-0.164,0.652,-0.195,-1.561,1.788,0.169,-0.903,2.129,-2.902,-0.074,-2.17
94,0.068,-0.927,-1.392,-0.648,3.702,0.257,2.174,1.0,0.189,4.413,-0.086,0.813,-0.273,-1.76,1.465,0.204,-1.055,1.941,-2.888,-0.026,-2.375
95,-0.046,-0.995,-1.316,-0.124,2.833,0.202,2.315,1.0,0.405,4.199,-0.234,0.662,0.1,-1.677,1.481,0.129,-1.18,1.421,-2.843,0.216,-1.527
96,0.257,-1.041,-1.553,-0.849,3.377,0.271,1.728,1.0,0.647,4.362,-0.252,0.873,-0.271,-1.568,1.815,0.101,-0.793,1.978,-2.842,0.049,-2.712
97,-0.088,-0.843,-1.21,-0.345,3.266,0.101,2.432,1.0,0.303,4.228,-0.31,0.965,-0.18,-1.919,1.332,0.158,-1.059,1.757,-2.764,0.101,-1.988
98,-0.016,-0.797,-1.378,-0.206,4.189,0.169,2.801,1.0,0.444,4.659,0.048,1.254,-0.275,-2.306,1.44,-0.082,-0.809,1.844,-3.201,0.166,-2.304
99,0.193,-0.938,-1.643,-0.336,3.986,0.31,2.519,1.0,0.234,4.477,0.054,0.865,-0.124,-1.943,1.828,0.254,-0.637,1.98,-2.901,0.149,-2.62
100,-0.007,-1.05,-1.238,-0.169,3.782,0.244,2.318,1.0,0.4,4.175,-0.198,0.987,-0.162,-1.923,1.611,0.125,-0.912,1.819,-2.769,0.028,-2.513
101,0.208,-1.11,-1.489,-0.708,3.38,0.024,1.586,1.0,0.365,3.897,0.014,0.529,-0.205,-1.397,1.59,0.263,-0.768,2.127,-2.874,0.25,-2.563
102,0.006,-1.047,-1.478,-0.316,3.868,0.134,2.24,1.0,0.337,4.54,0.094,0.825,-0.106,-2.091,1.715,0.004,-0.884,1.896,-3.127,0.135,-2.436
103,-0.211,-1.065,-1.575,-0.221,3.983,0.261,2.577,1.0,0.145,4.668,-0.184,1.063,-0.203,-2.281,1.491,0.231,-0.803,1.622,-2.95,0.414,-2.437
104,0.242,-0.753,-1.547,-0.603,4.126,0.505,2.368,1.0,0.314,4.746,-0.027,1.069,-0.322,-1.955,1.806,0.129,-0.931,2.149,-3.207,-0.041,-2.673
105,-0.103,-1.27,-1.562,-0.043,3.865,0.509,1.906,1.0,0.418,4.26,0.161,0.443,-0.189,-2.117,1.531,0.234,-0.933,1.997,-2.893,0.06,-2.356
106,0.035,-1.027,-1.454,-0.696,3.952,0.266,2.222,1.0,0.196,4.551,-0.021,1.133,-0.256,-1.912,1.708,0.267,-0.768,2.012,-2.838,0.137,-2.909
107,-0.174,-0.988,-1.57,-0.848,3.903,0.215,1.999,1.0,0.109,4.62,0.078,0.526,-0.07,-1.794,1.438,0.294,-0.923,2.173,-3.074,0.476,-2.613
108,0.089,-1.094,-1.573,-0.518,3.564,0.222,1.892,1.0,0.302,4.469,0.108,0.53,-0.227,-1.736,1.688,0.198,-1.072,1.955,-3.313,0.265,-2.392
109,0.15,-1.17,-1.324,-0.914,3.975,0.256,1.621,1.0,0.451,4.282,-0.104,0.647,-0.282,-1.454,1.582,0.156,-0.744,2.177,-2.898,0.013,-2.822
110,0.163,-0.978,-1.27,-0.243,3.01,0.157,2.479,1.0,0.441,4.193,-0.212,0.76,-0.135,-1.769,1.711,-0.085,-0.935,1.656,-2.742,0.093,-1.897
111,0.098,-1.049,-1.464,0.039,3.871,0.186,2.077,1.0,0.153,4.269,-0.104,0.728,-0.431,-2.071,1.536,0.195,-0.788,1.976,-2.615,0.224,-2.462
112,-0.092,-1.124,-2.006,0.064,3.879,0.68,2.573,1.0,0.23,4.415,0.005,0.849,-0.202,-2.109,1.677,0.194,-0.897,2.027,-2.726,0.26,-2.314
113,0.233,-0.829,-1.473,0.186,3.168,0.252,2.16,1.0,0.178,4.135,-0.198,0.601,-0.096,-2.086,1.688,0.067,-0.828,2.09,-2.776,0.06,-2.075
114,0.254,-1.23,-1.429,-0.26,3.773,0.285,1.733,1.0,0.379,4.336,0.192,0.365,-0.187,-2.131,1.726,0.109,-0.936,2.079,-3.182,0.107,-2.159
115,0.044,-1.055,-1.695,-0.152,3.586,0.619,2.173,1.0,0.423,4.459,0.04,0.582,-0.034,-1.956,1.706,0.222,-0.752,1.899,-2.872,0.066,-2.497
116,0.037,-1.105,-1.449,-0.775,3.515,0.12,1.978,1.0,0.525,4.151,-0.124,0.916,-0.092,-1.547,1.648,0.189,-0.841,1.83,-2.717,0.031,-2.531
117,0.041,-1.139,-1.508,-0.833,4.093,-0.015,2.133,1.0,0.397,4.759,-0.169,1.16,-0.324,-2.057,1.514,0.314,-0.798,1.84,-3.092,0.194,-2.638
118,0.105,-1.008,-1.625,-0.512,3.792,0.316,2.008,1.0,0.181,4.135,0.124,0.878,-0.309,-1.684,1.636,0.112,-0.68,2.093,-2.702,0.034,-2.765
119,0.021,-0.92,-1.329,-0.443,3.809,0.207,2.376,1.0,0.297,4.589,-0.01,0.814,0.019,-1.861,1.491,0.277,-0.873,2.244,-3.179,0.14,-2.535
120,0.07,-1.213,-1.613,-0.47,3.588,0.493,1.762,1.0,0.467,4.167,-0.069,0.641,-0.088,-1.696,1.809,0.09,-0.796,2.064,-2.668,0.112,-2.583
121,0.275,-0.953,-1.559,-0.681,3.628,0.251,1.887,1.0,0.255,4.294,-0.117,0.952,-0.296,-1.65,1.629,0.45,-0.629,1.894,-2.682,0.132,-2.658
122,0.042,-1.217,-1.253,-0.503,3.83,0.152,1.939,1.0,0.052,4.296,-0.058,0.656,-0.141,-1.755,1.229,0.241,-0.935,1.904,-2.949,0.178,-2.42
123,-0.078,-1.068,-1.647,-0.075,4.012,0.493,2.302,1.0,0.273,4.437,0.003,1.093,-0.376,-2.008,1.668,0.106,-0.989,1.949,-2.832,0.398,-2.576
124,0.117,-1.009,-1.433,-0.459,3.571,0.315,2.103,1.0,0.242,4.577,-0.152,0.704,-0.148,-1.995,1.467,0.148,-0.928,1.933,-3.223,0.188,-2.108
125,0.219,-0.998,-1.593,-0.581,3.144,0.153,1.799,1.0,0.259,3.828,0.022,0.523,0.074,-1.566,1.99,0.062,-0.822,1.917,-2.724,0.041,-2.173
126,0.025,-1.164,-1.373,-0.116,3.548,0.202,2.313,1.0,0.399,4.547,-0.347,0.694,-0.097,-2.069,1.694,0.041,-1.077,1.889,-2.88,0.064,-2.181
127,0.186,-0.942,-1.36,-0.634,3.628,0.056,2.364,1.0,0.675,4.701,-0.152,0.883,-0.094,-2.151,1.871,0.227,-0.831,2.064,-3.226,0.098,-2.206
128,0.145,-0.81,-1.605,-0.129,3.652,0.308,2.668,1.0,0.212,4.406,-0.089,0.91,-0.005,-2.002,1.767,0.16,-0.84,2.162,-2.977,-0.092,-2.347
129,0.078,-0.944,-1.398,-0.21,4.013,0.251,2.598,1.0,0.378,4.712,-0.056,0.807,0.045,-2.024,1.7,0.165,-0.962,2.027,-3.385,0.097,-2.405
130,0.099,-0.906,-1.442,-0.367,4.149,0.15,2.597,1.0,0.423,5.091,-0.027,0.765,-0.045,-2.201,1.691,0.184,-0.922,2.349,-3.408,0.02,-2.487
131,0.095,-1.025,-1.48,-0.327,3.932,0.308,2.016,1.0,0.394,4.467,-0.112,0.649,-0.278,-1.854,1.726,0.389,-0.609,2.136,-2.746,0.063,-2.532
132,0.26,-1.113,-1.351,0.023,3.448,0.34,1.96,1.0,0.346,4.242,-0.126,0.24,-0.032,-2.053,1.552,0.032,-0.788,2.275,-3.086,0.188,-2.035
133,0.116,-0.961,-1.671,-0.417,3.899,0.067,2.531,1.0,0.287,4.707,0.059,0.923,-0.084,-1.999,1.943,0.125,-0.756,1.93,-3.124,-0.014,-2.516
134,0.074,-0.839,-1.357,-0.622,3.438,0.039,2.168,1.0,0.243,4.049,-0.078,0.713,-0.061,-1.595,1.617,0.331,-0.498,2.068,-2.605,0.274,-2.73
135,-0.172,-0.96,-1.186,-0.29,4.194,0.106,2.448,1.0,0.224,4.518,-0.074,1.131,-0.318,-2.035,1.354,0.277,-0.976,1.827,-3.048,0.043,-2.766
136,0.118,-0.899,-1.595,-0.477,4.003,0.27,2.31,1.0,0.126,4.608,0.006,1.004,-0.459,-2.159,1.786,0.306,-0.739,2.08,-2.918,0.119,-2.548
137,0.202,-0.846,-1.444,-0.273,3.27,0.349,2.053,1.0,0.105,3.827,-0.182,0.802,-0.328,-1.544,1.501,-0.012,-0.725,1.839,-2.727,0.091,-2.342
138,0.054,-0.88,-1.555,0.159,3.168,0.498,2.287,1.0,0.192,4.111,0.145,0.547,-0.021,-2.019,1.468,0.135,-0.796,1.636,-2.905,0.001,-2.024
139,0.105,-0.977,-1.445,-0.561,3.249,0.134,1.711,1.0,0.316,4.322,-0.043,0.128,0.02,-1.581,1.559,-0.134,-1.054,2.077,-3.258,-0.003,-2.228
140,0.027,-1.086,-1.396,-0.222,3.857,0.327,2.388,1.0,0.181,4.646,-0.211,0.911,-0.169,-2.153,1.418,0.173,-1.082,1.98,-2.976,0.277,-2.118
141,0.229,-0.992,-1.426,-0.024,3.479,0.518,2.196,1.0,0.1,4.325,-0.364,0.663,-0.249,-2.027,1.618,0.284,-0.587,2.218,-2.666,0.165,-2.427
142,0.07,-1.101,-1.282,-0.302,3.114,0.279,1.644,1.0,0.333,3.896,0.016,0.368,-0.022,-1.566,1.617,0.079,-1.049,1.82,-2.997,0.115,-2.094
143,0.218,-0.835,-1.485,-0.444,3.666,0.156,2.097,1.0,0.358,4.605,-0.15,0.514,-0.058,-1.87,1.801,0.176,-1.134,2.273,-3.252,0.252,-2.261
144,0.056,-0.818,-1.678,-0.521,3.946,0.476,2.331,1.0,0.194,4.303,-0.181,0.993,-0.243,-1.877,1.578,0.004,-0.936,1.883,-2.648,0.233,-2.447
