Unnamed: 0,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,y,x18,x19,x20
37,2.106,-0.303,1.024,0.421,0.042,-0.158,0.917,-1.545,-0.763,-0.824,-0.331,-0.312,-0.166,1.766,0.07,0.26,-0.068,0.0,-0.198,-0.837,1.228
38,1.656,0.373,0.164,0.992,0.126,-0.345,1.513,-1.959,-1.781,0.124,0.12,-0.383,0.345,2.651,-0.606,-0.077,-0.584,0.0,-0.86,-1.705,-0.12
39,1.966,-0.398,0.681,1.138,-0.249,-0.222,1.132,-1.695,-0.953,-0.428,-0.195,-0.335,-0.017,2.052,-0.188,0.18,-0.211,0.0,-0.177,-1.037,0.467
40,2.3,-0.657,0.99,0.525,-0.368,-0.088,1.051,-1.312,-0.517,-0.545,-0.296,-0.453,-0.271,2.395,0.091,0.057,-0.175,0.0,-0.455,-0.701,1.165
41,2.26,-0.556,0.771,0.977,-0.378,-0.495,1.054,-1.805,-1.065,-0.539,-0.134,-0.548,-0.422,2.518,-0.026,-0.16,-0.168,0.0,-0.578,-1.154,0.591
42,2.045,-0.685,1.3,0.769,-0.429,-0.243,1.026,-1.882,-1.09,-0.439,-0.157,-0.29,-0.416,2.387,-0.196,-0.305,-0.6,0.0,-0.672,-1.019,1.062
43,1.787,-0.847,0.746,0.829,-0.278,-0.375,1.036,-1.681,-1.064,-0.516,0.081,-0.188,-0.434,1.925,-0.28,0.054,-0.342,0.0,-0.565,-0.852,0.292
44,3.035,-0.038,0.963,0.182,-1.544,-1.22,0.862,-1.276,0.174,-0.02,-0.549,-0.666,0.158,3.577,-0.094,-0.419,0.366,0.0,-0.985,-0.53,1.055
45,2.224,-0.253,0.454,1.156,-1.544,-0.769,0.63,-1.197,0.403,0.038,-0.194,-0.441,-0.236,3.034,-0.061,-0.271,0.361,0.0,-1.115,-0.188,0.631
46,1.442,-0.336,0.349,0.344,-0.547,0.016,0.804,-1.077,-0.206,-0.394,-0.102,-0.342,-0.134,1.634,0.169,0.171,0.215,0.0,-0.21,-0.493,0.486
47,1.804,-0.971,0.888,0.5,-1.018,0.198,0.634,-0.955,-0.102,-0.448,-0.322,-0.193,-0.49,2.301,-0.006,-0.098,0.043,0.0,-0.403,-0.44,0.888
48,2.629,-0.336,0.649,0.821,-1.225,-0.862,0.933,-1.613,-0.524,-0.225,-0.294,-0.631,-0.084,3.438,-0.067,-0.457,-0.123,0.0,-1.228,-0.706,0.594
49,2.414,-0.364,0.604,0.663,-0.092,-0.402,1.476,-2.323,-1.152,-0.744,-0.319,-0.416,-0.148,2.885,0.151,0.139,-0.344,0.0,-0.747,-1.721,0.529
50,2.598,-0.687,0.82,0.742,-1.031,-1.111,1.207,-2.191,-1.079,-0.2,-0.09,-0.672,-0.633,3.324,-0.058,-0.704,-0.427,0.0,-1.107,-1.296,0.444
51,2.063,-0.607,0.627,0.643,-1.118,-0.618,0.882,-1.503,-0.342,-0.091,-0.168,-0.602,-0.432,2.898,0.089,-0.224,-0.066,0.0,-0.677,-0.667,0.58
52,1.959,-0.371,0.763,0.514,-0.388,-0.258,0.873,-1.514,-0.915,-0.461,-0.235,-0.329,-0.361,2.193,-0.04,-0.068,-0.359,0.0,-0.512,-0.847,0.538
53,2.266,-0.158,0.926,0.615,-0.683,-0.748,1.106,-1.597,-0.924,-0.004,-0.095,-0.556,0.058,2.328,-0.056,0.011,-0.301,0.0,-0.651,-0.808,0.7
54,2.385,-0.047,0.556,0.397,-1.931,-1.009,0.433,-0.625,0.44,0.276,-0.237,-0.69,0.0,3.453,-0.098,-0.32,0.306,0.0,-1.208,0.133,0.591
55,2.621,-0.222,0.738,0.83,-1.573,-0.978,0.424,-0.734,0.75,-0.293,-0.546,-0.511,-0.118,2.849,-0.037,0.017,0.573,0.0,-0.721,0.164,0.969
56,1.992,-0.03,0.474,0.9,-0.569,-0.499,0.957,-1.212,-0.671,-0.052,-0.184,-0.36,0.264,2.363,0.151,0.083,-0.055,0.0,-0.568,-0.607,0.408
57,2.224,-0.823,0.626,0.259,-0.797,-0.389,1.145,-2.029,-1.059,-0.237,-0.136,-0.393,-0.622,3.002,0.061,-0.421,-0.465,0.0,-0.743,-1.276,0.144
58,2.026,-0.469,0.957,0.396,0.691,-0.212,1.838,-2.615,-1.615,-0.779,-0.088,-0.377,-0.203,2.366,-0.165,-0.122,-0.854,0.0,-0.691,-2.22,0.276
59,2.636,-0.254,1.039,0.396,-0.952,-0.869,1.086,-1.726,-1.008,-0.147,-0.368,-0.575,-0.283,3.208,-0.06,-0.422,-0.444,0.0,-1.012,-1.11,0.76
60,2.664,-0.731,0.687,0.523,-1.368,-1.157,1.353,-2.16,-0.973,-0.101,-0.175,-0.679,-0.313,3.895,-0.171,-0.718,-0.299,0.0,-1.393,-1.291,0.405
61,2.615,-0.202,1.192,1.064,-1.21,-0.755,0.918,-1.287,-0.059,-0.028,-0.621,-0.434,-0.367,2.751,0.068,0.022,0.174,0.0,-0.531,-0.423,1.235
62,1.99,-0.202,0.923,0.588,-0.077,0.029,1.012,-1.341,-1.033,-0.457,-0.237,-0.247,-0.131,2.098,-0.222,0.202,-0.292,0.0,-0.363,-0.901,0.71
63,2.428,-0.461,0.181,0.311,-1.439,-1.183,0.885,-1.37,-0.342,0.126,-0.017,-0.764,-0.156,3.312,-0.1,-0.133,-0.059,0.0,-1.105,-0.455,0.062
64,2.432,-0.597,1.296,0.599,-0.505,-0.636,1.35,-2.015,-1.673,-0.398,-0.164,-0.482,-0.24,3.053,-0.11,-0.291,-0.506,0.0,-0.802,-1.529,0.987
65,2.705,-0.05,1.001,0.014,-1.041,-0.67,1.253,-1.505,-0.922,-0.182,-0.58,-0.474,-0.099,3.496,0.074,-0.431,-0.269,0.0,-1.322,-1.208,0.865
66,2.735,0.344,0.767,0.061,-1.48,-1.398,0.624,-1.009,0.426,0.126,-0.475,-0.807,0.249,3.345,-0.049,-0.22,0.23,0.0,-1.093,-0.018,0.942
67,2.41,0.298,0.642,0.586,-1.1,-1.23,0.666,-1.277,0.088,0.159,-0.132,-0.696,0.094,2.864,0.047,-0.308,0.155,0.0,-1.121,-0.444,0.545
68,2.45,-0.771,0.915,0.167,-1.055,-0.752,0.484,-1.139,-0.164,-0.252,-0.152,-0.669,-0.253,2.464,-0.232,-0.139,0.092,0.0,-0.781,-0.133,0.846
69,1.981,-0.127,0.398,0.552,-0.986,-0.673,0.525,-1.233,0.099,0.071,-0.08,-0.586,0.012,2.363,0.127,0.051,0.338,0.0,-0.661,-0.292,0.725
70,2.063,-0.022,1.01,0.724,-0.282,-0.368,0.826,-1.418,-0.819,-0.26,-0.076,-0.397,0.292,2.516,0.032,0.178,-0.248,0.0,-0.637,-0.816,0.954
71,2.172,-0.68,1.082,0.539,-0.686,-0.677,1.2,-1.872,-1.224,-0.41,-0.15,-0.447,-0.37,2.907,-0.376,-0.298,-0.581,0.0,-0.807,-1.082,0.753
72,1.704,-0.825,1.078,0.559,-0.544,0.506,1.116,-1.484,-0.937,-0.368,-0.158,-0.083,-0.189,2.16,-0.183,-0.07,-0.202,0.0,-0.41,-1.132,0.925
73,1.953,-0.61,0.507,0.668,-0.557,-0.42,1.117,-1.666,-1.21,-0.327,-0.098,-0.413,-0.216,2.513,0.021,-0.208,-0.483,0.0,-0.663,-1.023,0.441
74,2.287,-0.156,0.457,0.667,-0.542,-0.797,1.251,-1.993,-1.233,0.036,-0.116,-0.418,0.054,2.921,-0.198,-0.189,-0.348,0.0,-0.816,-1.452,0.25
75,2.397,-0.445,0.721,0.826,-0.831,-0.676,1.242,-1.89,-0.836,-0.593,-0.316,-0.544,-0.408,2.753,-0.005,-0.392,-0.116,0.0,-1.029,-1.184,0.693
76,2.131,-0.864,0.793,0.138,-1.331,-0.527,0.517,-1.031,0.193,-0.228,-0.233,-0.558,-0.553,2.582,-0.001,-0.257,0.209,0.0,-0.892,-0.186,0.849
77,2.23,0.051,1.168,0.64,-0.164,-0.704,1.094,-1.831,-1.441,-0.163,-0.106,-0.486,0.179,2.597,-0.185,0.057,-0.43,0.0,-0.731,-1.076,0.819
78,3.066,-0.105,0.729,0.708,-1.297,-1.344,1.212,-2.022,-0.997,0.012,-0.177,-0.801,0.079,3.812,-0.048,-0.638,-0.024,0.0,-1.394,-1.196,0.67
79,2.431,-0.402,0.999,1.049,-0.21,-0.686,1.151,-1.771,-1.216,-0.486,-0.145,-0.511,-0.011,2.441,0.017,-0.021,-0.471,0.0,-0.625,-1.081,0.587
80,1.486,0.38,0.373,0.105,0.447,-0.566,1.277,-2.091,-1.445,-0.089,-0.046,-0.342,0.389,1.572,-0.187,0.39,-0.447,0.0,0.017,-1.271,0.019
81,2.462,-0.112,0.566,0.447,-1.11,-1.174,0.845,-1.3,-0.035,-0.179,-0.141,-0.763,0.237,2.666,0.037,-0.078,0.192,0.0,-0.82,-0.353,0.613
82,1.918,-0.525,1.345,0.266,0.585,0.05,1.697,-2.524,-1.677,-0.754,-0.096,-0.205,-0.291,1.658,0.186,-0.088,-0.799,0.0,-0.426,-2.02,1.205
83,1.691,-0.539,0.765,-0.002,0.254,-0.391,1.426,-2.41,-1.437,-0.703,-0.106,-0.433,-0.424,2.102,-0.232,-0.055,-0.507,0.0,-0.498,-1.709,0.375
84,2.604,-0.038,0.804,0.288,-0.55,-0.809,1.031,-1.715,-1.083,-0.024,-0.352,-0.509,0.26,3.249,0.018,-0.146,-0.179,0.0,-1.093,-1.198,0.708
85,2.553,0.132,0.655,0.357,-0.392,-0.789,1.309,-1.925,-1.309,-0.402,-0.132,-0.558,0.279,3.294,-0.066,-0.009,-0.28,0.0,-0.963,-1.369,0.622
86,2.238,-0.714,0.505,0.748,-0.675,-0.737,1.148,-1.939,-0.817,-0.526,-0.064,-0.558,-0.514,2.823,0.038,-0.154,-0.159,0.0,-0.877,-1.084,0.429
87,2.117,-0.186,1.242,1.221,0.269,-0.324,1.093,-1.739,-1.092,-0.749,-0.185,-0.205,-0.238,1.853,-0.355,0.318,-0.319,0.0,-0.185,-1.06,1.07
88,2.039,-0.366,0.303,0.357,-0.54,-0.921,1.475,-2.317,-1.603,-0.303,0.168,-0.524,-0.054,2.772,-0.248,-0.361,-0.563,0.0,-0.915,-1.536,-0.141
89,2.093,-0.203,0.457,-0.082,-1.227,-0.665,0.584,-0.764,0.273,0.148,-0.26,-0.341,-0.062,3.026,0.018,-0.007,0.24,0.0,-0.879,-0.042,0.415
90,2.024,-0.493,1.023,0.579,0.168,-0.103,1.491,-2.433,-1.703,-0.641,-0.073,-0.388,-0.238,2.529,-0.193,-0.03,-0.789,0.0,-0.706,-1.762,0.612
91,2.57,-0.048,1.149,0.523,-0.452,-0.225,1.425,-1.877,-1.097,-0.319,-0.479,-0.432,0.05,2.853,0.208,-0.118,-0.163,0.0,-0.789,-1.482,1.278
92,2.253,-0.046,0.707,0.771,-1.235,-0.824,1.255,-1.51,-0.877,0.296,-0.196,-0.273,-0.102,3.54,-0.088,-0.554,-0.29,0.0,-1.095,-0.96,0.292
93,2.184,-0.569,1.177,0.442,-0.223,0.161,1.098,-1.727,-0.912,-0.932,-0.361,-0.246,-0.169,2.18,-0.023,-0.116,-0.266,0.0,-0.361,-1.136,0.99
94,2.05,-0.321,1.01,0.894,0.702,-0.325,1.231,-2.308,-1.786,-0.685,-0.158,-0.385,-0.176,1.848,-0.184,0.226,-0.512,0.0,-0.34,-1.668,0.636
95,2.289,-0.645,0.871,1.601,-1.272,-0.45,0.619,-1.049,-0.011,-0.239,-0.098,-0.393,-0.489,2.426,-0.033,-0.31,0.218,0.0,-0.779,-0.261,1.086
96,2.92,-0.678,1.112,0.421,-1.027,-0.491,1.321,-1.898,-1.081,-0.336,-0.375,-0.485,-0.031,3.684,0.083,-0.527,-0.286,0.0,-1.264,-1.303,0.777
97,1.603,-0.252,0.952,0.318,0.256,0.342,0.785,-1.31,-0.945,-0.246,-0.2,-0.041,-0.151,1.769,-0.201,0.276,-0.399,0.0,-0.157,-0.915,0.642
98,2.451,-1.59,0.749,0.886,-1.451,-0.171,1.03,-1.559,-0.526,-0.361,-0.162,-0.663,-0.635,2.654,-0.144,-0.474,-0.011,0.0,-0.853,-0.776,0.628
99,1.708,-0.299,0.158,0.527,-1.056,-0.728,0.467,-1.035,-0.015,0.017,0.161,-0.465,-0.065,2.489,-0.266,-0.161,-0.004,0.0,-0.782,-0.218,-0.061
100,1.532,0.083,0.95,0.755,0.35,0.43,0.953,-1.069,-0.955,-0.199,-0.214,-0.12,0.137,1.623,-0.332,0.452,-0.323,0.0,-0.066,-0.722,1.048
101,2.398,-0.634,0.311,0.701,-1.524,-0.927,1.038,-1.649,-0.543,0.072,0.075,-0.574,-0.408,3.552,-0.053,-0.696,-0.31,0.0,-1.342,-0.904,0.011
102,2.484,-0.539,0.762,0.406,-0.704,-0.87,1.382,-2.172,-1.255,-0.241,-0.283,-0.505,-0.242,2.974,0.12,-0.354,-0.435,0.0,-0.93,-1.272,0.466
103,2.843,-0.629,0.851,0.696,-0.724,-1.275,1.045,-2.316,-1.023,-0.599,-0.407,-0.623,-0.439,3.242,0.116,-0.503,-0.136,0.0,-1.093,-1.488,0.834
104,1.659,-0.071,1.128,0.386,-1.106,-0.21,0.969,-1.053,-0.195,0.166,-0.074,-0.191,0.056,2.161,0.076,-0.177,0.091,0.0,-0.586,-0.48,1.38
105,2.328,-0.623,0.764,0.89,-0.77,-0.658,0.947,-1.69,-0.645,-0.306,-0.36,-0.533,-0.414,2.553,0.005,-0.208,-0.111,0.0,-0.58,-0.863,0.877
106,2.319,0.113,0.857,0.798,0.69,-0.457,1.759,-2.512,-1.74,-0.467,-0.412,-0.483,0.153,2.032,-0.102,0.278,-0.461,0.0,-0.399,-2.103,0.558
107,2.642,-0.061,1.11,0.233,0.153,-0.432,1.589,-2.562,-1.431,-0.305,-0.262,-0.771,0.02,2.921,0.172,0.104,-0.308,0.0,-0.791,-1.888,0.903
108,2.133,-0.383,0.011,1.67,-0.123,-0.467,1.394,-1.962,-1.299,-0.475,0.073,-0.619,-0.269,2.969,-0.149,0.05,-0.185,0.0,-0.896,-1.442,-0.038
109,1.697,-0.038,1.055,0.562,-0.298,0.221,1.218,-1.783,-1.203,0.109,-0.108,-0.287,0.113,2.432,-0.059,-0.223,-0.205,0.0,-0.546,-1.379,0.837
110,2.628,-0.223,0.766,0.864,-1.335,-0.843,0.879,-1.236,-0.24,-0.225,-0.177,-0.685,-0.075,3.164,-0.161,-0.29,0.201,0.0,-0.895,-0.448,0.896
111,2.282,-0.605,0.871,0.751,-0.625,-0.119,0.901,-1.196,-0.513,-0.472,-0.37,-0.313,-0.082,2.809,0.055,0.028,-0.13,0.0,-0.879,-0.603,0.953
112,2.155,-0.348,1.135,0.691,0.856,-0.123,2.012,-3.203,-1.874,-0.873,-0.192,-0.49,-0.077,2.353,-0.027,-0.095,-0.75,0.0,-0.418,-2.812,0.705
113,1.479,0.173,0.776,-0.216,0.255,0.118,1.427,-1.743,-1.622,-0.186,-0.196,-0.082,0.093,1.347,-0.254,0.297,-0.594,0.0,-0.164,-1.363,0.475
114,2.054,-0.823,0.529,0.659,-1.614,-0.523,1.056,-1.357,-0.322,-0.082,-0.047,-0.382,-0.522,2.687,-0.153,-0.465,0.011,0.0,-0.833,-0.606,0.579
115,2.379,-0.71,0.878,0.848,0.18,-0.236,1.336,-2.223,-1.553,-0.815,-0.17,-0.367,-0.199,2.749,-0.061,-0.225,-0.591,0.0,-0.837,-1.768,0.444
116,2.053,-0.768,0.917,0.349,0.016,-0.075,1.508,-2.172,-1.336,-0.698,-0.166,-0.328,-0.398,2.413,0.033,-0.186,-0.549,0.0,-0.648,-1.779,0.409
117,1.307,0.061,0.12,0.412,-0.808,-0.406,0.892,-1.203,-0.842,0.374,0.091,-0.284,0.328,2.163,-0.44,0.005,-0.004,0.0,-0.606,-0.616,0.013
118,3.089,-0.825,0.671,0.244,-1.708,-1.169,0.961,-1.454,-0.044,-0.219,-0.422,-0.802,-0.184,3.374,0.071,-0.561,0.263,0.0,-0.971,-0.554,0.801
119,2.074,-0.558,0.685,1.002,-0.976,-0.686,0.91,-1.39,-0.396,-0.208,-0.202,-0.411,-0.297,2.284,-0.184,-0.184,-0.135,0.0,-0.546,-0.474,0.68
120,2.355,-0.318,1.172,0.492,0.153,-0.065,1.161,-1.722,-1.286,-0.82,-0.502,-0.257,-0.118,2.437,-0.045,0.176,-0.312,0.0,-0.412,-1.366,1.109
121,2.249,-0.642,1.474,0.412,-0.914,-0.278,0.964,-1.468,-0.609,-0.451,-0.146,-0.378,-0.291,2.381,0.124,-0.211,-0.102,0.0,-0.636,-0.692,1.428
122,1.756,-0.318,1.282,0.574,0.376,0.167,1.289,-1.913,-1.502,-0.654,-0.023,-0.342,-0.106,1.672,-0.233,0.315,-0.502,0.0,-0.238,-1.302,0.88
123,1.569,-0.281,0.342,0.333,0.126,0.088,1.07,-1.52,-0.965,-0.373,0.01,-0.321,-0.103,1.641,-0.06,0.104,-0.237,0.0,-0.345,-0.973,0.244
124,2.727,-0.191,1.201,1.34,-0.54,-0.745,1.135,-1.884,-0.879,-0.293,-0.343,-0.512,-0.139,3.177,0.23,-0.411,-0.445,0.0,-0.929,-1.336,1.035
125,2.319,-0.223,0.204,0.291,-1.372,-1.062,1.177,-1.841,-0.589,0.128,-0.286,-0.574,-0.002,3.374,0.209,-0.661,-0.127,0.0,-1.268,-1.122,0.055
126,1.986,-0.184,0.192,0.839,-0.467,-0.69,0.876,-1.424,-0.695,-0.183,-0.001,-0.364,-0.166,2.588,-0.009,-0.056,-0.144,0.0,-0.768,-0.776,0.026
127,1.945,-0.463,0.663,0.646,-1.647,-0.483,0.314,-0.713,0.506,-0.134,-0.073,-0.499,-0.072,2.856,-0.123,-0.196,0.287,0.0,-0.818,0.164,0.701
128,1.928,-0.049,0.475,0.105,-0.49,-0.629,1.146,-1.904,-1.258,0.207,-0.001,-0.523,0.164,2.892,0.071,-0.243,-0.311,0.0,-0.684,-1.411,0.17
129,1.614,-0.567,0.857,1.046,-0.384,0.294,0.854,-1.175,-0.355,-0.381,-0.217,-0.272,-0.159,1.652,0.004,0.133,-0.103,0.0,-0.312,-0.669,0.967
130,2.25,-0.038,1.048,1.208,-0.113,-0.395,1.225,-1.95,-0.971,-0.334,-0.09,-0.657,-0.014,2.337,-0.074,-0.032,-0.105,0.0,-0.619,-1.297,1.172
131,1.914,-0.182,0.269,1.049,-1.282,-0.371,0.594,-0.897,0.058,-0.052,-0.025,-0.477,-0.105,2.385,-0.078,0.008,0.236,0.0,-0.658,-0.061,0.627
132,2.206,-0.099,0.662,0.669,-0.627,-0.446,1.437,-1.758,-0.81,-0.021,-0.272,-0.368,-0.018,2.656,0.092,-0.044,-0.064,0.0,-0.827,-1.15,0.417
133,2.321,0.327,0.931,0.665,-0.121,-0.694,1.185,-1.872,-1.276,-0.148,-0.241,-0.534,0.303,2.51,-0.179,0.142,-0.241,0.0,-0.619,-1.273,0.994
134,1.529,0.064,0.436,0.222,-0.296,-0.29,0.764,-0.684,-0.219,-0.129,0.003,-0.359,0.265,1.588,-0.033,0.192,0.059,0.0,-0.287,-0.332,0.593
135,2.065,-0.44,0.83,1.058,-0.775,-0.472,0.473,-0.999,0.095,-0.335,-0.203,-0.413,-0.164,2.33,0.109,0.225,0.15,0.0,-0.424,-0.195,0.742
136,2.281,-0.605,1.186,0.45,0.404,-0.634,1.835,-3.042,-1.925,-0.751,-0.058,-0.447,-0.405,2.592,-0.033,-0.254,-0.97,0.0,-0.855,-2.358,0.372
137,1.699,-0.334,1.418,0.197,0.775,0.313,1.423,-2.116,-1.86,-0.29,-0.014,-0.161,-0.342,1.705,-0.142,0.19,-0.793,0.0,-0.401,-1.779,0.977
138,2.393,0.279,1.045,0.558,-0.529,-0.556,0.952,-1.408,-0.495,-0.005,-0.155,-0.647,0.234,2.745,0.189,0.018,0.053,0.0,-0.876,-0.818,0.965
139,2.555,-0.303,0.795,0.94,-0.005,-0.55,1.872,-3.02,-1.603,-0.371,-0.217,-0.589,-0.037,3.23,0.038,-0.301,-0.419,0.0,-1.109,-2.592,0.755
140,2.846,-0.611,1.319,0.469,-0.948,-0.986,0.963,-1.826,-0.723,-0.661,-0.366,-0.559,-0.231,3.207,0.252,-0.302,-0.16,0.0,-1.162,-0.981,1.312
