x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y,x13,x14,x15,x16,x17,x18,x19,x20
2.243,-0.27,4.904,-0.441,-0.299,-3.837,1.341,0.853,6.046,-1.493,0.49,-1.258,1.0,3.204,-0.485,-8.677,0.645,-2.877,1.04,-4.075,-0.4
2.106,-0.306,5.101,-0.326,-0.436,-4.358,1.889,0.866,5.714,-1.992,0.096,-1.47,1.0,2.921,-0.588,-8.258,0.915,-2.64,1.136,-3.814,-0.242
2.076,-0.507,4.246,-0.384,-1.246,-3.424,2.907,0.449,5.691,-1.743,0.677,-1.33,1.0,2.243,-1.34,-7.138,0.833,-2.746,0.347,-3.661,-0.158
2.155,-0.29,5.338,-0.557,-1.185,-4.482,3.285,0.501,5.789,-2.106,0.296,-1.636,1.0,2.034,-1.973,-7.855,0.87,-2.852,0.786,-4.021,-0.338
2.153,-0.514,4.14,-0.493,-0.969,-3.32,2.15,0.542,5.04,-1.806,0.085,-1.329,1.0,2.574,-1.305,-7.297,0.708,-2.372,0.641,-3.876,-0.418
2.135,-0.177,4.64,-0.362,-0.448,-3.867,1.701,0.82,5.894,-1.528,0.309,-1.506,1.0,3.212,-0.31,-8.131,0.802,-2.802,1.023,-3.923,-0.478
2.304,-0.59,4.841,-0.398,-1.186,-3.857,3.082,0.728,5.48,-1.827,0.216,-1.485,1.0,2.017,-1.474,-7.449,0.735,-2.692,0.589,-3.714,-0.22
2.23,-0.097,5.293,-0.495,-0.385,-4.32,2.212,0.485,5.761,-1.929,0.473,-1.677,1.0,2.765,-0.591,-8.368,0.842,-2.93,1.133,-3.699,-0.379
2.186,-0.368,4.973,-0.459,-0.964,-4.308,2.451,0.425,5.507,-1.516,0.226,-1.283,1.0,2.41,-1.199,-7.806,0.876,-2.537,0.936,-3.89,-0.363
2.138,-0.31,4.642,-0.459,-0.215,-3.749,2.566,0.186,4.631,-1.98,0.62,-1.621,1.0,1.672,-0.243,-6.952,0.74,-2.851,1.174,-2.296,-0.575
2.204,-0.325,5.793,-0.53,-1.251,-5.06,3.055,0.57,7.012,-1.811,0.401,-1.606,1.0,3.08,-2.025,-9.003,0.857,-3.038,0.918,-5.146,-0.081
2.239,-0.128,5.517,-0.272,0.201,-4.644,1.104,0.896,6.388,-1.833,0.073,-1.631,1.0,3.735,-0.179,-9.17,0.695,-3.024,1.39,-4.206,-0.44
2.188,-0.292,5.522,-0.442,-0.641,-4.719,2.048,0.152,6.158,-1.896,0.132,-1.499,1.0,3.172,-0.931,-8.653,0.861,-2.851,0.962,-4.546,-0.442
2.17,-0.39,5.063,-0.469,-0.62,-4.111,2.837,0.409,4.967,-1.619,0.203,-1.328,1.0,1.308,-0.775,-6.875,0.856,-2.637,0.979,-2.81,-0.345
2.243,-0.161,5.578,-0.486,-0.246,-4.552,2.492,1.181,5.759,-1.856,0.158,-1.556,1.0,2.201,-0.693,-7.982,0.87,-2.792,1.15,-3.385,-0.2
2.383,-0.786,4.293,-0.289,-0.974,-3.521,2.475,0.442,4.965,-1.592,0.385,-1.446,1.0,2.467,-0.777,-7.831,0.769,-2.513,0.623,-3.627,-0.118
2.406,-0.468,5.292,-0.271,-0.693,-4.601,2.525,0.26,5.519,-2.184,0.417,-1.67,1.0,2.314,-0.883,-7.986,0.803,-2.878,1.15,-3.485,-0.158
2.256,-0.597,3.976,-0.446,-1.263,-3.356,2.6,1.525,6.53,-1.776,0.617,-1.524,1.0,3.094,-1.481,-7.731,0.795,-2.651,0.265,-4.501,-0.309
2.348,0.594,5.803,-0.433,0.872,-4.935,1.47,0.388,4.161,-1.51,-0.069,-1.477,1.0,1.37,1.047,-6.807,0.843,-2.844,1.884,-1.323,-0.145
2.013,-0.288,5.473,-0.344,-0.649,-4.477,2.274,0.592,5.541,-1.576,0.345,-1.159,1.0,2.293,-0.799,-7.955,0.669,-2.793,0.975,-3.641,-0.618
2.121,-0.19,4.163,-0.563,-0.959,-3.349,2.068,0.497,5.753,-1.401,0.258,-1.198,1.0,2.742,-1.225,-7.111,0.695,-2.543,0.659,-4.081,-0.408
2.114,0.073,4.741,-0.298,0.443,-3.996,1.504,0.9,4.608,-1.579,0.21,-1.523,1.0,2.062,0.425,-6.884,0.788,-2.75,1.549,-2.205,-0.013
2.15,-0.558,4.616,-0.313,-1.038,-3.72,3.193,0.954,5.249,-1.923,0.336,-1.52,1.0,1.904,-1.162,-7.181,0.996,-2.674,0.843,-3.197,-0.282
2.004,-0.269,4.742,-0.339,-0.213,-3.919,2.083,0.605,5.3,-1.419,0.511,-1.408,1.0,2.427,0.096,-7.598,0.97,-2.905,1.17,-2.994,-0.423
2.186,-0.336,5.588,-0.419,-0.498,-4.542,2.432,0.229,5.287,-1.481,0.236,-1.32,1.0,2.13,-0.489,-8.023,0.853,-2.93,1.141,-3.287,-0.073
2.291,-0.654,5.179,-0.314,-0.708,-4.3,2.237,0.104,5.833,-1.723,0.088,-1.641,1.0,2.96,-1.105,-8.692,0.71,-2.793,0.975,-4.093,-0.24
2.147,-0.635,4.969,-0.256,-1.053,-3.906,2.628,1.164,5.976,-1.705,0.117,-1.294,1.0,2.345,-1.588,-7.888,0.986,-2.692,0.436,-4.085,-0.139
2.223,-0.414,4.624,-0.314,-1.053,-3.882,2.76,0.183,5.109,-1.676,0.317,-1.23,1.0,2.036,-1.057,-7.008,0.974,-2.704,0.666,-3.404,-0.412
2.261,-0.573,4.344,-0.411,-1.1,-3.546,2.422,0.702,6.995,-1.7,0.371,-1.286,1.0,3.334,-2.591,-8.155,0.884,-2.802,0.062,-5.635,-0.506
2.217,-0.195,4.777,-0.436,-0.997,-3.751,2.48,0.659,6.169,-1.617,0.357,-1.504,1.0,3.244,-1.109,-8.364,0.853,-2.753,0.802,-4.379,-0.258
2.303,0.243,5.676,-0.431,0.756,-4.878,1.351,0.191,4.981,-1.071,0.325,-1.241,1.0,2.054,0.606,-7.692,0.811,-2.884,1.733,-2.396,-0.254
2.375,-0.444,4.634,-0.362,-1.046,-3.873,2.524,0.955,5.851,-1.793,0.482,-1.47,1.0,2.726,-1.056,-8.115,0.769,-2.723,0.539,-4.027,-0.424
2.317,-0.326,5.498,-0.38,-0.777,-4.653,2.475,0.269,5.877,-1.607,0.49,-1.443,1.0,2.756,-0.836,-8.748,0.801,-2.798,0.872,-4.059,-0.172
2.252,-0.605,4.809,-0.313,-1.081,-4.007,2.652,0.809,6.023,-1.632,0.477,-1.592,1.0,2.983,-0.937,-8.448,0.914,-2.971,0.646,-4.08,-0.307
2.063,-0.177,5.549,-0.262,-0.607,-4.715,2.16,0.423,5.525,-1.716,-0.087,-1.509,1.0,2.663,-1.284,-8.232,0.722,-2.649,0.921,-4.148,-0.225
2.304,-0.389,4.955,-0.414,-0.831,-4.147,2.477,0.278,5.865,-1.974,0.333,-1.435,1.0,2.822,-0.999,-8.293,0.892,-2.838,0.893,-3.865,-0.282
2.453,-0.382,4.777,-0.364,-0.487,-3.761,1.961,0.351,5.284,-1.679,0.044,-1.433,1.0,2.822,-0.941,-8.045,0.797,-2.506,0.951,-3.821,-0.232
2.248,-0.66,6.005,-0.27,-0.899,-5.288,1.427,0.544,6.751,-1.871,0.008,-1.292,1.0,4.146,-0.883,-10.144,0.999,-2.748,0.955,-5.367,-0.077
2.124,-0.515,3.675,-0.377,-0.758,-2.578,1.49,0.676,5.266,-1.501,0.283,-1.199,1.0,3.075,-0.469,-7.374,0.755,-2.542,0.567,-3.618,-0.363
2.355,-0.193,4.045,-0.562,-0.535,-3.276,2.379,0.719,4.617,-1.421,0.293,-1.475,1.0,2.0,-0.221,-6.688,1.009,-2.593,0.881,-2.588,-0.218
2.329,-0.341,4.889,-0.49,-0.642,-4.079,1.706,0.046,5.964,-1.362,0.104,-1.094,1.0,3.091,-0.99,-8.223,0.714,-2.828,0.833,-4.193,-0.172
2.252,-0.447,5.351,-0.256,-0.98,-4.435,3.234,0.322,5.414,-1.823,0.076,-1.463,1.0,1.635,-1.272,-7.609,0.767,-2.701,0.8,-3.238,-0.122
2.398,-0.752,4.571,-0.355,-1.263,-3.68,2.397,0.528,5.639,-1.727,0.271,-1.527,1.0,2.884,-1.175,-8.332,0.919,-2.616,0.433,-4.107,-0.502
2.185,-0.334,4.357,-0.401,0.048,-3.688,1.603,0.157,5.324,-1.367,0.251,-1.374,1.0,2.665,-0.076,-7.375,0.666,-2.7,0.701,-3.393,-0.175
2.047,-0.66,5.164,-0.373,-1.343,-4.255,2.981,1.041,6.471,-1.871,0.136,-1.547,1.0,2.848,-2.459,-8.38,0.901,-2.61,0.681,-5.123,-0.448
1.989,-0.332,5.041,-0.346,-0.679,-3.993,1.858,0.12,5.885,-1.647,0.485,-1.574,1.0,3.314,-0.608,-8.484,0.88,-2.906,0.952,-4.242,-0.341
2.016,-0.497,4.423,-0.477,-0.881,-3.436,3.002,0.735,5.217,-1.834,0.241,-1.528,1.0,1.992,-1.03,-7.096,0.823,-2.46,0.774,-3.326,-0.542
2.183,-0.383,4.788,-0.288,-0.268,-3.911,2.312,0.388,4.726,-1.819,0.303,-1.499,1.0,1.694,-0.457,-7.144,0.794,-2.791,1.01,-2.569,-0.242
2.153,-0.583,4.974,-0.245,-0.918,-4.155,2.593,1.144,5.919,-1.878,-0.115,-1.495,1.0,2.533,-1.519,-8.082,1.097,-2.646,0.894,-3.868,-0.207
2.257,-0.352,4.41,-0.488,-0.649,-3.559,2.763,0.723,5.076,-0.977,0.257,-1.174,1.0,1.597,-0.357,-6.664,1.049,-2.877,0.922,-2.673,-0.236
2.184,-0.361,4.866,-0.337,-0.623,-4.058,2.535,0.679,5.192,-1.443,0.14,-1.528,1.0,2.123,-0.688,-7.381,0.742,-2.642,0.934,-3.071,-0.417
2.456,-0.196,5.047,-0.366,-0.649,-4.177,1.851,0.654,5.789,-1.714,0.06,-1.306,1.0,2.742,-0.588,-7.973,0.994,-2.533,0.921,-3.669,-0.074
2.256,-0.521,5.167,-0.397,-1.155,-4.265,3.093,0.987,6.099,-1.816,0.451,-1.605,1.0,2.341,-1.549,-8.247,1.051,-2.84,0.69,-4.144,-0.424
2.264,-0.504,4.06,-0.382,-0.912,-3.216,2.838,0.423,5.048,-1.654,0.383,-1.358,1.0,1.528,-1.048,-6.237,0.81,-2.638,0.692,-2.859,-0.56
2.254,-0.709,4.312,-0.291,-1.321,-3.541,2.447,0.389,5.683,-1.898,0.353,-1.328,1.0,2.613,-1.553,-7.637,0.726,-2.56,0.254,-4.211,-0.431
2.259,-0.477,3.78,-0.487,-1.305,-2.964,2.808,0.611,5.291,-1.788,0.162,-1.411,1.0,2.433,-1.613,-7.136,0.774,-2.304,0.228,-4.103,-0.378
2.114,-0.333,4.282,-0.556,-1.14,-3.631,3.347,-0.005,5.044,-1.716,0.569,-1.473,1.0,1.647,-1.545,-6.55,0.626,-2.735,0.605,-3.378,-0.364
2.217,-0.081,5.061,-0.22,-0.088,-4.027,1.844,0.953,5.298,-1.689,0.218,-1.409,1.0,2.331,-0.263,-7.652,0.71,-2.663,1.167,-2.992,-0.218
2.202,-0.243,4.428,-0.275,-0.541,-3.501,2.629,0.96,4.607,-1.583,0.357,-1.351,1.0,1.343,-0.482,-6.156,0.895,-2.73,0.793,-2.151,-0.27
2.145,-0.516,4.442,-0.477,-1.19,-3.642,3.125,1.014,6.513,-2.022,0.469,-1.548,1.0,2.603,-1.702,-7.846,0.834,-2.666,0.576,-4.474,-0.255
2.301,-0.59,5.258,-0.16,-0.611,-4.67,2.029,0.345,5.738,-1.903,0.044,-1.609,1.0,2.905,-0.912,-8.673,1.068,-2.658,0.81,-4.04,-0.174
2.313,-0.201,4.167,-0.397,0.265,-3.301,1.369,0.848,5.068,-1.153,0.394,-1.316,1.0,2.647,0.406,-7.429,0.659,-2.634,1.023,-2.854,-0.404
2.26,-0.354,4.693,-0.5,-0.429,-3.88,1.81,0.489,5.29,-1.528,0.254,-1.45,1.0,2.646,-0.556,-7.632,1.033,-2.62,1.041,-3.481,-0.162
2.258,-0.133,5.472,-0.365,0.019,-4.615,0.725,0.146,6.089,-1.279,0.047,-1.328,1.0,3.835,-0.018,-9.217,0.817,-2.783,1.207,-4.522,-0.014
2.139,-0.5,4.552,-0.295,-0.695,-3.771,1.971,0.772,6.364,-1.569,0.586,-1.245,1.0,3.247,-0.415,-8.492,0.851,-2.97,0.665,-4.205,-0.256
2.179,-0.444,4.743,-0.378,-1.117,-3.796,3.257,1.304,5.506,-1.618,0.208,-1.427,1.0,1.82,-1.008,-7.33,1.104,-2.68,0.729,-3.227,-0.254
2.191,-0.443,5.319,-0.446,-0.621,-4.359,2.659,0.359,5.029,-1.627,0.065,-1.485,1.0,1.926,-0.84,-7.767,1.063,-2.698,1.012,-3.159,-0.252
2.118,-0.768,4.447,-0.455,-1.171,-3.607,3.188,0.749,5.681,-1.507,0.248,-1.279,1.0,2.026,-1.922,-7.228,0.746,-2.521,0.569,-4.082,-0.348
2.49,-0.405,5.872,-0.442,-0.921,-5.043,2.606,0.942,6.003,-2.023,0.024,-1.603,1.0,2.759,-1.591,-8.853,0.817,-2.804,1.119,-4.214,-0.219
2.31,-0.611,5.17,-0.515,-1.369,-4.351,3.219,0.141,5.726,-1.97,0.245,-1.575,1.0,2.011,-1.945,-8.054,1.02,-2.868,0.682,-4.038,-0.288
2.181,-0.217,4.755,-0.402,-0.158,-3.904,0.925,0.631,5.603,-1.534,0.162,-1.307,1.0,3.442,-0.18,-8.14,0.558,-2.544,1.049,-3.953,-0.325
2.204,-0.327,5.4,-0.483,-1.045,-4.496,2.363,0.612,6.131,-1.817,0.033,-1.517,1.0,2.966,-1.401,-8.401,0.944,-2.833,1.077,-4.428,-0.309
2.358,-0.646,5.165,-0.382,-0.88,-4.512,2.38,0.678,5.958,-1.925,0.142,-1.567,1.0,2.975,-0.9,-8.806,0.909,-2.981,0.851,-3.99,-0.264
2.134,-0.871,4.653,-0.394,-1.012,-3.66,2.755,0.092,5.114,-1.804,0.363,-1.518,1.0,2.103,-1.822,-7.638,0.653,-2.65,0.713,-3.742,-0.381
2.072,-0.6,5.471,-0.417,-1.004,-4.456,2.538,0.984,5.958,-1.574,-0.054,-1.261,1.0,2.371,-1.746,-8.335,0.901,-2.575,0.754,-4.348,-0.044
2.052,-0.124,4.734,-0.501,0.007,-3.801,2.104,0.611,4.516,-1.29,0.25,-1.226,1.0,1.382,-0.04,-6.768,0.873,-2.725,1.209,-2.102,-0.233
2.316,-0.222,5.797,-0.455,-0.337,-4.688,2.666,0.793,5.254,-1.717,0.083,-1.512,1.0,1.762,-0.883,-7.685,0.927,-2.661,1.231,-3.23,-0.328
2.362,-0.191,4.017,-0.408,0.091,-3.066,1.887,0.608,4.74,-1.616,0.209,-1.531,1.0,2.137,-0.047,-6.754,0.836,-2.478,1.07,-2.501,-0.2
2.399,-0.366,4.284,-0.449,-0.072,-3.288,1.501,0.213,5.214,-1.469,0.233,-1.349,1.0,2.623,-0.043,-7.333,0.993,-2.781,1.013,-3.23,-0.134
2.04,-0.158,4.942,-0.56,-0.828,-4.092,2.452,0.638,6.128,-2.032,0.323,-1.563,1.0,2.771,-1.167,-8.142,0.898,-2.9,0.955,-4.109,-0.351
2.394,0.037,5.255,-0.485,0.087,-4.289,1.518,0.678,5.09,-1.346,0.18,-1.331,1.0,2.407,0.423,-7.732,0.826,-2.787,1.316,-2.706,-0.315
2.271,-0.279,5.224,-0.404,-0.684,-4.24,1.408,0.219,6.128,-1.572,0.235,-1.305,1.0,3.552,-0.788,-9.056,0.723,-2.8,1.115,-4.571,-0.554
2.314,-0.657,4.423,-0.408,-1.229,-3.364,3.069,0.607,5.984,-1.805,0.507,-1.379,1.0,2.277,-2.109,-7.397,0.738,-2.598,0.444,-4.363,-0.351
2.397,-0.533,4.326,-0.422,-0.243,-3.465,1.783,0.72,5.134,-1.638,0.533,-1.425,1.0,2.746,-0.188,-7.862,0.776,-2.699,0.855,-3.482,-0.348
2.303,-0.495,6.039,-0.343,-0.647,-4.972,2.712,0.32,5.309,-1.449,0.215,-1.477,1.0,2.002,-0.598,-8.452,0.94,-2.945,1.062,-3.114,-0.462
2.219,-0.219,5.159,-0.414,-0.342,-4.266,1.902,0.628,5.65,-1.763,0.189,-1.566,1.0,2.72,-0.513,-8.281,0.927,-2.721,1.103,-3.799,-0.362
2.324,-0.313,5.548,-0.233,-0.112,-4.663,1.605,0.43,5.911,-1.811,0.259,-1.498,1.0,3.315,-0.402,-9.014,0.73,-2.922,1.258,-3.983,-0.355
2.234,-0.615,4.731,-0.515,-1.073,-3.849,2.833,0.915,5.584,-1.734,0.576,-1.435,1.0,2.434,-1.088,-7.952,0.719,-2.702,0.687,-3.842,-0.563
2.109,-0.207,4.276,-0.565,-0.092,-3.409,1.758,0.412,4.502,-1.288,0.195,-1.241,1.0,1.997,-0.178,-6.694,0.747,-2.581,1.202,-2.428,-0.263
2.24,-0.091,5.067,-0.415,-0.077,-4.236,2.012,0.222,5.083,-1.876,0.295,-1.477,1.0,2.278,-0.274,-7.464,0.794,-2.782,1.199,-3.003,-0.317
2.129,-0.249,5.012,-0.37,-0.296,-4.162,1.852,0.902,5.428,-1.8,0.266,-1.648,1.0,2.756,-0.365,-7.961,0.857,-2.611,1.018,-3.524,-0.196
2.12,-0.271,5.054,-0.402,-0.092,-4.191,1.416,0.373,5.003,-1.622,0.425,-1.136,1.0,2.287,0.155,-7.669,0.994,-2.789,1.275,-2.854,-0.291
2.216,-0.176,4.956,-0.531,-0.298,-4.146,2.812,0.191,4.294,-1.613,0.136,-1.46,1.0,0.905,-0.405,-6.398,1.052,-2.596,1.256,-1.954,-0.159
2.018,-0.369,4.81,-0.468,-0.9,-4.15,2.032,0.501,5.951,-1.801,0.259,-1.453,1.0,3.085,-0.961,-8.276,0.756,-2.707,0.764,-4.307,-0.297
2.036,-0.749,4.536,-0.486,-1.084,-3.419,1.893,0.638,6.147,-1.52,0.104,-1.313,1.0,3.698,-1.406,-8.859,0.887,-2.432,0.744,-4.865,-0.383
2.238,-0.985,4.658,-0.224,-1.59,-3.785,3.181,1.036,5.864,-2.11,0.149,-1.535,1.0,2.734,-1.633,-8.316,0.927,-2.52,0.423,-4.371,-0.116
2.208,-0.127,4.63,-0.502,-0.48,-3.766,1.761,0.609,5.427,-1.556,0.22,-1.312,1.0,2.773,-0.677,-7.832,0.809,-2.693,0.935,-3.773,-0.337
2.141,-0.305,4.543,-0.4,-0.886,-3.671,1.979,1.6,6.571,-1.663,0.462,-1.33,1.0,3.405,-0.877,-8.45,0.635,-2.734,0.661,-4.48,-0.469
2.298,-0.199,5.083,-0.194,-0.053,-4.138,1.455,0.518,5.108,-1.765,0.118,-1.406,1.0,2.674,-0.097,-8.236,1.046,-2.538,1.087,-3.291,-0.251
2.157,-0.148,5.469,-0.351,-0.507,-4.35,1.93,0.986,5.95,-1.764,0.282,-1.471,1.0,2.744,-0.75,-8.406,0.705,-2.76,0.985,-3.867,-0.191
2.111,-0.286,3.013,-0.427,-0.025,-2.3,0.691,1.028,4.413,-1.21,0.177,-1.123,1.0,2.708,0.457,-6.373,0.655,-2.238,0.68,-2.542,-0.389
2.062,-0.44,3.556,-0.461,-1.367,-2.75,2.937,0.208,4.648,-1.713,0.32,-1.296,1.0,1.989,-1.472,-6.094,0.771,-2.239,0.385,-3.259,-0.261
2.235,-0.674,5.007,-0.478,-0.57,-4.215,2.291,0.78,6.265,-1.743,0.31,-1.456,1.0,2.964,-0.633,-8.5,0.922,-2.798,0.854,-4.11,-0.368
2.209,-0.431,5.371,-0.325,-0.988,-4.323,2.477,0.767,5.866,-1.911,-0.144,-1.605,1.0,3.074,-1.236,-8.601,0.797,-2.672,0.766,-4.296,-0.514
2.018,-0.727,3.911,-0.381,-0.978,-3.048,1.2,0.375,5.529,-1.388,0.314,-1.189,1.0,3.611,-0.893,-8.106,0.705,-2.461,0.566,-4.485,-0.459
2.013,-0.118,6.283,-0.298,-0.246,-5.388,2.37,1.042,5.375,-1.942,-0.207,-1.482,1.0,1.817,-1.007,-7.921,0.966,-2.646,1.515,-3.165,0.072
2.25,-0.078,5.911,-0.393,-0.674,-4.943,2.763,1.371,5.901,-1.782,-0.069,-1.525,1.0,2.096,-1.052,-8.222,0.83,-2.858,1.11,-3.532,-0.124
2.08,-0.481,4.724,-0.311,-0.809,-3.732,1.72,0.646,5.951,-1.533,0.52,-1.252,1.0,3.123,-0.67,-8.228,0.956,-2.819,0.793,-4.255,-0.489
2.246,-0.124,5.513,-0.558,-0.135,-4.762,2.572,0.897,5.596,-1.726,0.157,-1.448,1.0,1.624,-0.773,-7.308,0.771,-3.029,1.287,-3.001,-0.022
2.176,-0.467,4.737,-0.495,-0.891,-3.917,2.533,0.775,5.666,-1.52,0.366,-1.383,1.0,2.382,-0.992,-7.604,1.015,-2.793,0.68,-3.725,-0.275
2.255,-0.809,5.302,-0.367,-1.168,-4.493,3.533,1.165,6.342,-1.88,0.3,-1.417,1.0,1.772,-2.237,-7.885,0.83,-2.907,0.523,-4.127,-0.491
2.103,-0.544,4.586,-0.361,-0.787,-3.732,2.501,0.745,5.059,-1.539,0.353,-1.449,1.0,2.051,-0.752,-7.476,1.055,-2.646,0.767,-3.009,-0.051
2.416,-0.369,5.165,-0.443,-0.426,-4.347,1.851,0.454,5.806,-1.826,0.144,-1.647,1.0,3.145,-0.644,-8.75,0.899,-2.677,0.934,-4.125,-0.202
2.242,-0.469,4.624,-0.458,-0.64,-3.823,2.337,0.401,5.511,-1.698,0.39,-1.47,1.0,2.54,-0.631,-7.607,0.662,-2.641,0.789,-3.618,-0.503
2.407,-0.675,4.765,-0.344,-1.011,-4.027,2.103,0.516,6.02,-1.565,0.063,-1.309,1.0,3.244,-1.058,-8.481,0.766,-2.593,0.469,-4.554,-0.226
2.3,-0.353,4.418,-0.538,-0.755,-3.601,2.162,0.021,5.248,-1.856,0.359,-1.558,1.0,2.946,-0.873,-7.899,0.775,-2.693,0.797,-3.812,-0.327
