x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,y,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
1.482,0.178,4.08,-1.377,0.534,-2.813,0.462,-4.077,-1.927,-1.157,0.0,-1.424,-1.169,0.343,-3.676,0.037,1.073,-3.058,-0.923,0.133,1.125
1.518,0.16,4.247,-1.238,0.779,-3.077,0.497,-3.401,-1.737,-1.525,0.0,-1.531,-1.069,0.323,-3.504,0.118,0.94,-2.595,-0.743,-0.017,0.547
1.397,-0.323,4.012,-1.503,0.507,-2.841,0.52,-3.565,-1.564,-1.479,0.0,-1.663,-1.243,0.144,-3.758,0.134,0.966,-2.314,-0.646,0.267,0.87
1.428,0.321,4.337,-0.687,0.321,-2.614,0.239,-2.92,-1.256,-1.412,0.0,-1.525,-1.137,0.35,-4.057,0.146,0.967,-2.716,-1.058,-0.061,0.851
1.718,0.353,3.813,-1.177,0.594,-2.981,0.428,-3.777,-1.589,-1.076,0.0,-1.484,-1.206,0.175,-3.221,0.244,1.053,-3.061,-1.172,0.009,1.033
1.301,-0.158,3.98,-1.737,0.601,-3.199,0.444,-4.097,-1.913,-1.497,0.0,-1.534,-1.401,0.128,-3.287,0.064,0.99,-2.791,-0.794,-0.02,0.838
1.256,0.513,4.441,-0.685,0.743,-2.678,0.506,-4.024,-1.888,-1.214,0.0,-1.655,-1.381,0.166,-4.296,0.34,0.974,-3.389,-1.427,0.045,0.615
1.366,0.205,3.857,-1.423,0.744,-2.796,0.467,-3.537,-1.042,-1.358,0.0,-1.483,-1.919,0.389,-3.68,0.322,0.792,-3.514,-1.394,0.041,0.782
1.618,-0.317,4.106,-1.568,0.562,-3.123,0.237,-3.544,-2.274,-1.709,0.0,-1.157,-1.146,0.439,-2.838,0.075,0.629,-2.252,-0.65,0.21,0.59
1.449,-0.278,4.13,-1.532,0.494,-2.736,0.386,-3.257,-2.072,-1.425,0.0,-1.253,-0.994,-0.026,-2.714,-0.1,0.127,-2.066,-0.494,0.102,-0.198
1.364,0.085,4.324,-1.164,0.349,-3.02,0.301,-3.79,-2.144,-1.255,0.0,-1.703,-0.419,0.04,-3.823,-0.021,1.631,-1.88,-0.315,0.238,1.352
1.79,-0.027,4.276,-1.165,0.605,-3.01,0.515,-3.826,-3.284,-1.238,0.0,-1.648,0.707,0.14,-3.606,0.11,1.034,-1.137,0.607,-0.013,0.345
1.461,-0.274,3.44,-2.197,0.433,-2.815,0.305,-4.02,-2.162,-1.226,0.0,-0.901,-1.259,0.092,-2.108,-0.01,0.508,-2.588,-0.729,0.188,0.33
1.325,-0.092,4.301,-1.563,0.64,-2.914,0.388,-4.45,-1.806,-1.347,0.0,-1.631,-1.519,0.222,-3.904,0.201,1.244,-3.105,-0.814,0.053,1.232
1.287,0.26,4.176,-1.022,0.58,-3.068,0.506,-3.735,-2.133,-1.371,0.0,-1.566,-0.704,0.215,-3.819,0.391,1.096,-2.579,-0.647,-0.012,0.819
1.446,0.106,4.321,-1.376,0.574,-3.107,0.584,-4.641,-3.611,-1.454,0.0,-1.202,-0.464,0.224,-3.176,0.228,0.773,-2.345,-0.357,0.118,0.334
1.557,-0.052,4.296,-1.235,0.366,-2.854,0.238,-3.537,-2.439,-1.349,0.0,-1.709,0.118,0.081,-3.599,0.058,0.859,-1.305,0.436,-0.003,0.349
1.683,-0.147,4.756,-1.163,0.679,-3.094,0.384,-3.913,-2.051,-1.421,0.0,-1.684,-0.884,0.069,-3.946,0.138,0.662,-2.296,-0.643,0.188,0.491
1.349,-0.148,3.569,-1.913,0.437,-3.193,0.482,-3.606,-1.754,-1.472,0.0,-1.111,-1.634,0.247,-2.484,0.012,0.565,-2.714,-0.902,0.511,0.654
1.519,-0.117,4.019,-1.408,0.348,-2.74,0.254,-3.517,-2.069,-1.361,0.0,-1.256,-0.896,0.115,-2.937,0.088,0.393,-2.278,-0.452,0.085,-0.256
1.337,-0.152,4.799,-0.919,0.8,-2.689,0.599,-3.859,-1.584,-1.204,0.0,-1.799,-1.082,0.338,-4.787,0.282,1.351,-2.716,-0.77,0.373,1.164
1.582,-0.279,3.236,-1.686,0.547,-2.982,0.532,-3.822,-2.129,-1.289,0.0,-1.402,-0.972,0.302,-2.924,0.135,1.352,-2.077,-0.323,-0.042,1.136
1.454,0.087,3.617,-1.653,0.769,-2.59,0.329,-4.172,-1.753,-1.123,0.0,-1.505,-1.382,0.486,-3.575,0.325,1.39,-3.011,-0.769,0.12,1.176
1.657,0.312,5.042,-1.026,0.762,-2.83,0.567,-3.515,-1.259,-1.213,0.0,-1.545,-1.604,-0.021,-4.067,0.256,0.352,-3.596,-1.22,0.162,0.19
1.549,-0.297,3.802,-1.613,0.458,-2.971,0.426,-4.105,-3.668,-1.246,0.0,-1.283,0.501,0.255,-2.927,0.043,1.281,-1.051,0.781,0.099,0.491
1.563,-0.168,4.645,-1.167,0.574,-3.303,0.292,-3.805,-2.665,-1.357,0.0,-1.64,-0.192,0.163,-3.753,-0.021,1.017,-1.63,0.047,0.07,0.803
1.499,0.337,4.282,-1.48,0.448,-2.916,0.316,-3.746,-1.459,-1.483,0.0,-1.348,-1.821,0.223,-3.385,0.057,0.385,-3.128,-1.185,0.177,0.199
1.612,0.44,4.397,-0.823,0.767,-2.844,0.502,-4.063,-2.223,-1.402,0.0,-1.813,-0.748,0.161,-4.379,0.362,1.352,-3.164,-0.983,0.21,1.054
1.481,0.002,3.736,-1.358,0.417,-2.984,0.46,-3.849,-2.67,-1.246,0.0,-1.404,-0.267,0.147,-2.848,-0.05,1.498,-2.167,-0.431,0.215,1.023
1.679,-0.144,3.913,-1.604,0.544,-2.737,0.336,-3.875,-2.129,-1.372,0.0,-1.43,-1.072,0.012,-3.32,0.132,0.691,-2.378,-0.589,0.131,0.521
1.682,0.277,4.82,-0.94,0.397,-3.21,0.45,-4.136,-3.215,-1.472,0.0,-1.585,-0.2,0.251,-3.972,0.186,1.199,-2.17,-0.462,-0.07,0.628
1.467,0.081,4.685,-1.337,0.548,-3.126,0.286,-4.311,-1.587,-1.403,0.0,-1.543,-1.862,-0.021,-4.031,0.268,0.969,-3.595,-1.288,0.027,0.663
1.482,-0.068,4.402,-1.172,0.398,-2.783,0.35,-3.855,-3.222,-1.37,0.0,-1.622,0.59,0.157,-3.52,-0.067,1.046,-1.095,0.611,0.154,0.628
1.391,-0.221,4.142,-1.499,0.376,-3.068,0.499,-3.435,-1.628,-1.507,0.0,-1.536,-1.026,0.152,-3.48,0.171,1.074,-2.233,-0.58,0.096,0.995
1.481,-0.2,3.839,-1.883,0.321,-3.03,0.448,-4.0,-2.633,-1.499,0.0,-1.098,-0.915,0.06,-2.544,-0.12,0.895,-1.983,-0.5,-0.029,0.747
1.306,-0.291,3.104,-1.885,0.58,-3.565,0.126,-3.988,-2.651,-1.756,0.0,-1.082,-1.117,0.047,-1.927,0.063,0.708,-2.204,-0.523,0.231,0.66
1.795,0.283,4.507,-1.395,0.351,-3.074,0.42,-4.024,-1.744,-1.392,0.0,-1.449,-1.581,0.148,-3.53,0.153,0.229,-3.298,-1.232,-0.024,-0.165
1.4,-0.255,4.292,-1.605,0.296,-2.829,0.287,-4.587,-2.476,-1.425,0.0,-1.277,-1.481,0.073,-3.275,-0.002,0.709,-2.739,-1.001,0.272,0.611
1.456,-0.264,3.702,-1.769,0.656,-2.89,0.36,-3.458,-2.141,-1.566,0.0,-1.271,-0.925,0.171,-2.589,0.009,0.323,-2.131,-0.324,-0.314,0.102
1.458,-0.3,4.686,-1.234,-0.001,-2.851,0.545,-3.873,-2.386,-1.129,0.0,-1.54,-0.52,0.151,-3.644,-0.119,1.029,-1.919,-0.111,-0.09,0.815
1.429,-0.259,3.974,-1.749,0.307,-3.047,0.345,-3.794,-1.514,-1.32,0.0,-1.493,-1.504,-0.063,-3.015,0.011,0.475,-2.614,-0.917,0.06,0.443
1.523,0.01,3.561,-1.848,0.479,-2.79,0.295,-4.037,-3.235,-1.451,0.0,-0.856,-0.469,0.208,-2.386,0.14,0.776,-2.156,-0.391,0.078,0.209
1.626,0.437,4.713,-0.671,0.762,-3.06,0.28,-3.564,-1.975,-1.261,0.0,-1.509,-0.697,0.407,-4.134,0.337,1.104,-2.472,-0.899,0.225,0.662
1.46,0.124,4.481,-1.192,0.422,-3.292,0.417,-3.773,-1.327,-1.517,0.0,-1.605,-1.554,0.21,-3.718,-0.051,1.169,-3.133,-0.958,-0.047,1.296
1.41,0.232,3.796,-1.505,0.442,-3.016,0.461,-4.01,-1.816,-1.529,0.0,-1.333,-1.355,0.143,-2.987,0.254,1.032,-3.289,-0.995,0.444,0.95
1.747,0.029,4.917,-1.288,0.521,-3.068,0.565,-3.92,-2.791,-1.116,0.0,-1.422,-0.444,0.087,-3.775,0.087,1.248,-2.072,-0.193,0.03,0.992
1.466,0.183,4.972,-0.692,0.676,-2.498,0.393,-3.999,-2.185,-1.196,0.0,-1.692,-0.754,0.304,-4.897,0.163,1.302,-2.408,-0.614,0.036,1.416
1.289,-0.078,3.857,-1.89,0.536,-2.742,0.444,-3.841,-2.128,-1.304,0.0,-1.01,-1.628,0.133,-2.555,0.161,0.242,-3.017,-0.962,0.174,-0.007
1.614,0.239,4.783,-1.039,0.673,-3.045,0.323,-4.028,-1.518,-1.402,0.0,-1.692,-1.61,0.128,-4.003,0.117,0.514,-3.275,-1.303,0.196,0.499
1.42,-0.276,3.692,-1.8,0.381,-3.145,0.327,-3.667,-2.741,-1.384,0.0,-1.118,-0.295,0.046,-2.53,0.052,0.966,-1.593,0.102,0.161,0.509
1.536,0.078,4.43,-1.272,0.617,-2.903,0.489,-3.8,-3.312,-1.215,0.0,-1.394,0.405,0.402,-3.442,0.175,1.156,-1.452,0.214,0.184,0.423
1.687,-0.249,3.742,-1.847,0.237,-2.548,0.423,-3.929,-2.124,-1.051,0.0,-1.091,-1.471,-0.072,-2.994,-0.059,0.537,-2.652,-0.803,-0.006,0.618
1.388,-0.099,4.86,-1.396,0.632,-3.091,0.327,-4.054,-2.074,-1.5,0.0,-1.523,-1.324,0.107,-3.779,0.17,0.557,-2.858,-0.531,0.24,0.421
1.475,0.059,3.079,-1.889,0.447,-2.953,0.289,-4.409,-3.145,-1.407,0.0,-0.654,-1.229,0.065,-1.847,0.199,0.623,-2.954,-0.835,-0.31,0.475
1.462,-0.238,3.794,-1.729,0.666,-2.704,0.336,-3.819,-2.096,-1.372,0.0,-1.281,-1.283,0.145,-3.151,0.177,0.547,-2.406,-0.568,0.099,0.546
1.394,-0.103,4.346,-1.895,0.712,-2.919,0.392,-4.503,-3.222,-1.373,0.0,-1.32,-0.465,0.153,-3.225,0.142,0.652,-2.19,-0.146,0.071,0.348
1.502,-0.074,3.965,-1.542,0.469,-2.957,0.411,-4.401,-3.167,-1.435,0.0,-1.275,-0.42,0.185,-2.979,0.04,1.047,-2.019,-0.101,0.22,0.874
1.635,0.593,5.04,-0.522,0.436,-3.004,0.57,-3.593,-1.832,-1.596,0.0,-1.679,-1.192,0.169,-4.318,0.26,0.64,-3.359,-1.171,0.108,0.624
1.601,-0.205,4.684,-1.212,0.227,-2.974,0.7,-3.749,-2.788,-1.485,0.0,-1.674,-0.066,0.193,-3.635,-0.017,1.335,-1.606,0.127,0.137,0.749
1.562,0.196,4.04,-1.295,0.482,-2.606,0.332,-3.75,-2.12,-1.244,0.0,-1.482,-0.907,0.106,-3.369,0.024,0.573,-2.449,-0.989,0.093,0.435
1.531,0.131,3.551,-1.763,0.489,-3.21,0.293,-4.057,-1.808,-1.517,0.0,-1.09,-1.793,0.105,-2.354,0.051,0.45,-3.243,-1.16,0.078,0.302
1.553,-0.195,4.792,-1.248,0.567,-3.125,0.412,-3.689,-1.833,-1.371,0.0,-1.562,-1.156,0.309,-3.79,0.147,0.8,-2.478,-0.458,0.028,0.744
1.429,-0.277,3.284,-1.659,0.685,-2.794,0.288,-3.474,-0.931,-1.428,0.0,-1.499,-1.964,0.182,-2.881,0.124,0.853,-2.879,-1.082,-0.078,0.822
1.528,0.434,3.822,-1.237,0.74,-2.815,0.425,-3.929,-2.46,-1.411,0.0,-1.253,-0.952,0.244,-3.139,0.306,0.775,-2.852,-0.989,0.156,0.519
1.486,-0.155,3.93,-1.603,0.338,-2.896,0.348,-3.615,-3.03,-1.429,0.0,-1.143,-0.298,-0.005,-2.512,-0.075,0.66,-1.441,0.038,-0.069,0.269
1.396,0.162,4.02,-1.29,0.458,-2.816,0.263,-3.44,-0.992,-1.243,0.0,-1.304,-1.826,0.185,-3.187,0.157,0.098,-3.28,-1.27,0.124,0.075
1.653,-0.323,4.367,-1.656,0.325,-2.91,0.43,-3.743,-2.395,-1.339,0.0,-1.443,-0.681,0.135,-3.352,-0.021,0.938,-2.047,-0.123,0.293,0.738
1.677,-0.012,4.316,-1.096,0.38,-2.705,0.614,-3.498,-1.887,-1.292,0.0,-1.621,-0.673,-0.138,-3.88,0.012,1.106,-2.201,-0.547,0.136,0.858
1.543,-0.217,4.276,-1.453,0.326,-2.644,0.485,-4.113,-2.008,-1.327,0.0,-1.432,-1.464,0.017,-3.628,0.005,0.892,-2.877,-0.92,0.084,0.818
1.563,0.088,4.97,-0.989,0.729,-3.018,0.243,-3.841,-2.468,-1.51,0.0,-1.712,-0.037,0.28,-4.218,0.182,0.837,-1.863,-0.033,0.181,0.448
1.305,-0.321,4.591,-1.383,0.481,-3.234,0.407,-3.854,-2.079,-1.615,0.0,-1.67,-1.059,0.077,-3.576,-0.005,0.725,-2.385,-0.599,-0.031,0.705
1.503,-0.009,4.956,-0.922,0.569,-3.025,0.461,-3.733,-1.877,-1.406,0.0,-1.824,-0.798,0.092,-4.434,0.172,0.822,-2.313,-0.519,0.11,0.584
1.507,-0.245,4.435,-1.43,0.429,-2.985,0.352,-3.685,-2.504,-1.44,0.0,-1.351,-0.507,0.245,-3.324,0.018,0.687,-1.754,-0.128,0.08,0.215
1.473,0.313,3.574,-2.017,0.685,-3.197,0.081,-3.932,-1.76,-1.644,0.0,-0.835,-2.076,0.054,-1.943,0.279,0.297,-3.595,-1.197,0.212,0.172
1.353,-0.24,3.937,-1.955,0.48,-3.018,0.375,-3.793,-1.666,-1.366,0.0,-1.047,-1.599,0.145,-2.363,0.024,0.365,-2.738,-0.949,-0.056,0.248
1.474,-0.24,4.13,-2.024,0.347,-2.926,0.525,-4.453,-2.201,-1.215,0.0,-1.028,-1.815,-0.018,-2.579,-0.053,0.506,-3.055,-0.931,0.035,0.453
1.561,0.132,4.202,-1.294,0.359,-3.078,0.541,-3.964,-3.55,-1.386,0.0,-1.462,0.56,0.176,-3.487,0.094,1.208,-1.372,0.53,-0.048,0.617
1.502,-0.255,4.983,-1.002,0.525,-2.745,0.681,-3.859,-3.122,-1.4,0.0,-1.794,0.215,-0.09,-4.354,0.125,1.27,-1.099,0.529,0.098,0.694
1.545,-0.096,4.161,-1.7,0.476,-2.581,0.452,-4.03,-2.611,-1.419,0.0,-1.044,-1.069,0.031,-2.74,-0.018,0.301,-2.313,-0.728,-0.018,-0.239
1.572,0.084,3.905,-1.32,0.473,-3.045,0.351,-4.107,-3.033,-1.436,0.0,-1.34,-0.419,-0.032,-3.128,0.005,1.375,-2.406,-0.37,0.07,1.261
1.292,-0.227,2.907,-1.689,0.432,-3.098,0.229,-3.399,-2.991,-1.246,0.0,-0.838,-0.239,0.126,-1.594,-0.004,0.833,-1.477,-0.039,0.353,0.648
1.564,-0.327,4.351,-1.291,0.423,-3.102,0.567,-3.66,-2.218,-1.239,0.0,-1.674,-0.6,0.039,-3.515,0.006,0.912,-1.811,-0.085,0.054,0.749
1.287,0.141,4.356,-1.213,0.541,-2.916,0.3,-4.15,-2.383,-1.316,0.0,-1.618,-0.591,0.277,-3.967,0.026,1.047,-2.436,-0.462,-0.008,1.107
1.592,-0.252,4.111,-1.799,0.483,-3.036,0.557,-4.201,-2.325,-1.523,0.0,-1.387,-1.194,-0.232,-3.214,-0.075,0.61,-2.648,-0.52,0.21,0.591
1.456,-0.321,3.909,-1.837,0.509,-2.833,0.264,-3.959,-1.69,-1.183,0.0,-1.152,-1.498,0.092,-2.82,0.046,0.363,-2.443,-0.553,0.359,0.169
1.484,0.037,3.096,-1.707,0.524,-2.892,0.337,-3.476,-2.174,-1.29,0.0,-1.157,-0.869,0.15,-2.497,0.149,1.219,-2.391,-0.645,0.037,0.866
1.582,-0.105,4.191,-1.399,0.559,-2.475,0.466,-3.992,-2.856,-1.163,0.0,-1.36,-0.308,-0.035,-3.714,0.043,0.882,-1.859,-0.172,0.276,0.479
1.56,-0.141,5.143,-1.508,0.397,-3.235,0.391,-4.48,-3.362,-1.646,0.0,-1.413,-0.407,0.058,-4.016,0.07,0.885,-1.969,-0.257,-0.015,0.533
1.379,-0.093,3.64,-1.755,0.756,-2.868,0.376,-4.537,-2.443,-1.317,0.0,-1.125,-1.421,0.159,-3.009,0.056,0.869,-2.994,-0.698,0.106,0.977
1.357,0.368,4.201,-0.984,0.717,-2.453,0.391,-3.783,-1.538,-1.097,0.0,-1.541,-1.237,0.153,-4.353,0.317,1.062,-2.924,-1.127,0.153,0.923
1.609,0.059,4.579,-1.134,0.274,-2.921,0.392,-3.846,-2.602,-1.483,0.0,-1.693,-0.272,0.101,-3.626,0.005,0.886,-1.801,-0.245,0.417,0.592
1.544,0.355,4.478,-0.965,0.526,-2.617,0.331,-3.657,-2.537,-1.356,0.0,-1.254,-0.523,0.077,-3.21,-0.051,0.085,-2.328,-0.719,-0.004,-0.322
1.348,-0.29,3.943,-1.472,0.636,-3.412,0.449,-3.267,-2.361,-1.627,0.0,-1.327,-0.797,0.251,-3.163,0.27,0.897,-2.133,-0.414,0.322,0.489
1.346,-0.234,4.04,-1.646,0.395,-2.599,0.31,-4.282,-2.6,-1.074,0.0,-1.102,-0.763,-0.125,-2.967,-0.091,0.581,-2.027,-0.377,0.277,0.407
1.712,-0.224,4.992,-1.379,0.443,-2.827,0.283,-4.259,-2.272,-1.415,0.0,-1.506,-1.132,-0.055,-4.254,0.111,1.149,-2.338,-0.621,0.209,0.787
