Unnamed: 0,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,y,x17,x18,x19,x20
85,0.452,-0.393,1.237,-0.033,0.464,0.872,0.154,0.993,2.884,0.255,0.104,1.051,0.719,-0.683,0.595,1.825,0.0,0.466,-0.795,-0.519,-0.073
86,0.178,-0.428,1.209,-0.174,0.591,0.629,-0.381,1.113,3.707,0.279,0.287,0.942,0.687,-0.317,0.816,2.381,0.0,0.54,-0.874,-0.905,0.319
87,0.344,-0.347,1.52,-0.178,0.629,0.567,-0.247,1.056,3.803,-0.058,0.281,1.115,0.831,-0.316,0.789,2.413,0.0,0.629,-1.069,-1.108,0.519
88,0.353,-0.507,0.972,-0.005,0.393,0.544,-0.249,0.891,3.127,0.074,0.568,1.007,0.52,-0.528,0.309,2.148,0.0,0.526,-1.332,-0.935,0.132
89,0.38,-0.4,1.371,-0.249,0.61,0.384,-0.275,0.841,3.28,-0.104,0.318,0.722,0.691,-0.375,0.792,1.909,0.0,0.77,-1.093,-1.11,0.29
90,0.436,-0.229,1.519,-0.199,0.807,0.459,-0.133,1.038,3.417,0.04,0.256,0.931,0.752,-0.617,0.692,2.193,0.0,0.7,-0.79,-0.871,-0.012
91,0.832,-0.478,1.312,-0.29,0.92,0.685,-0.271,1.096,3.674,-0.01,0.516,0.988,0.673,-0.484,0.782,2.073,0.0,0.568,-0.578,-1.173,0.271
92,0.299,-0.509,1.187,0.078,0.685,0.429,-0.344,0.974,3.257,-0.202,0.314,1.08,0.58,-0.349,0.628,1.949,0.0,0.632,-1.052,-0.93,0.51
93,0.319,-0.495,1.326,-0.013,0.546,0.619,-0.277,1.078,3.848,0.114,0.002,1.091,0.891,-0.687,0.609,2.36,0.0,0.713,-1.091,-0.997,0.212
94,0.255,-0.598,1.428,0.065,1.141,0.656,0.041,0.883,4.206,-0.026,0.234,0.913,0.786,-0.823,0.69,2.095,0.0,0.519,0.038,-1.343,-0.039
95,0.404,-0.501,1.303,-0.07,0.455,0.467,-0.653,0.778,3.397,-0.297,-0.064,0.912,0.871,-0.262,0.587,2.161,0.0,0.658,-1.558,-1.098,0.78
96,0.612,-0.436,1.195,0.048,0.882,0.743,0.115,1.036,2.95,0.209,0.115,1.278,0.697,-1.022,0.917,1.606,0.0,0.38,-0.222,-0.788,-0.189
97,0.105,-0.443,1.555,0.007,0.559,0.634,-0.32,1.071,3.792,0.09,0.01,0.946,0.728,-0.743,0.755,2.659,0.0,0.507,-1.097,-1.136,0.254
98,0.118,-0.402,1.385,-0.121,0.503,0.465,-0.464,0.794,3.652,-0.179,0.385,0.948,0.658,-0.264,0.787,2.508,0.0,0.554,-1.319,-0.925,0.467
99,0.413,-0.558,1.572,-0.042,0.819,0.531,0.403,1.02,4.245,0.09,0.047,0.757,0.786,-0.85,0.684,2.411,0.0,0.871,-0.309,-1.303,-0.184
100,0.119,-0.628,1.228,-0.177,0.702,0.745,-0.177,0.793,3.981,0.121,0.486,0.803,0.583,-0.335,0.691,2.345,0.0,0.484,-0.745,-1.245,0.22
101,0.577,-0.489,1.182,-0.157,0.771,0.477,-0.088,0.991,2.998,0.111,0.206,1.141,0.668,-0.694,0.722,1.91,0.0,0.623,-0.779,-0.693,0.173
102,0.229,-0.497,1.384,-0.182,0.669,0.534,0.049,0.874,3.522,0.086,0.375,0.515,0.682,-0.316,0.699,2.094,0.0,0.642,-0.581,-0.894,-0.009
103,0.56,-0.606,1.38,-0.041,0.766,0.316,-0.729,1.083,3.549,-0.179,0.15,1.334,0.794,-0.921,0.703,2.161,0.0,0.763,-1.236,-0.968,0.531
104,0.269,-0.517,1.374,-0.099,0.629,0.618,-0.194,0.923,3.726,0.005,0.204,0.744,0.772,-0.257,0.659,2.324,0.0,0.661,-0.96,-1.007,0.438
105,0.094,-0.329,1.502,-0.057,0.511,0.649,-0.171,0.92,4.001,0.136,0.147,0.949,0.964,-0.487,0.685,2.863,0.0,0.655,-1.311,-1.127,0.245
106,0.266,-0.44,1.3,-0.104,0.693,0.674,-0.352,0.893,3.314,0.064,0.005,0.813,0.936,-0.322,0.929,2.113,0.0,0.619,-1.136,-0.891,0.422
107,0.563,-0.502,1.429,-0.187,0.716,0.43,-0.064,1.159,3.901,0.02,0.327,0.817,0.746,-0.346,0.708,2.447,0.0,0.87,-1.065,-1.17,0.202
108,0.466,-0.414,1.22,-0.262,0.518,0.373,-0.493,0.948,3.566,-0.155,0.66,1.088,0.511,-0.144,0.745,2.133,0.0,0.747,-1.411,-0.889,0.624
109,0.526,-0.558,1.436,0.07,1.032,0.449,0.2,1.107,3.773,0.077,-0.061,0.904,0.675,-0.762,0.729,2.07,0.0,0.75,-0.318,-1.063,-0.102
110,0.153,-0.5,1.28,-0.042,0.782,0.627,0.206,0.899,3.817,0.061,0.327,0.883,0.716,-0.529,0.658,2.394,0.0,0.613,-0.684,-1.115,-0.061
111,0.022,-0.347,1.244,-0.104,0.592,0.448,-0.46,0.824,3.644,-0.357,0.54,1.138,0.635,-0.306,0.645,2.398,0.0,0.804,-1.463,-0.966,0.624
112,-0.003,-0.397,1.672,-0.136,0.866,0.798,0.274,0.968,4.234,0.456,0.338,0.612,0.747,-0.506,0.831,2.749,0.0,0.609,-0.608,-1.293,-0.142
113,0.283,-0.542,1.413,0.11,0.681,0.656,0.195,0.944,3.583,0.191,-0.013,0.557,0.61,-0.443,0.801,2.17,0.0,0.655,-0.679,-0.92,0.065
114,0.554,-0.532,1.294,-0.095,0.832,0.626,0.338,1.182,4.011,0.291,0.197,0.945,0.756,-0.657,0.574,2.262,0.0,0.573,-0.578,-1.196,-0.04
115,0.086,-0.444,1.242,-0.094,0.616,0.637,-0.321,0.876,3.639,-0.09,0.348,0.994,0.697,-0.611,0.602,2.207,0.0,0.546,-0.925,-1.189,0.383
116,0.574,-0.573,1.3,-0.038,0.716,0.671,-0.213,1.107,3.261,0.06,0.232,1.06,0.596,-0.448,0.564,1.81,0.0,0.603,-1.038,-0.839,0.266
117,0.54,-0.52,1.285,-0.131,0.741,0.481,-0.179,0.961,3.502,-0.118,0.09,0.943,0.557,-0.647,0.875,1.891,0.0,0.715,-0.844,-0.945,0.217
118,0.317,-0.738,1.368,0.153,0.965,0.714,-0.379,1.09,3.752,0.142,-0.288,1.076,0.656,-0.657,0.801,1.933,0.0,0.538,-0.739,-1.237,0.298
119,0.203,-0.671,1.132,0.174,0.675,0.502,-0.359,0.906,3.655,0.177,0.186,0.935,0.602,-0.417,0.729,2.081,0.0,0.487,-0.763,-1.221,0.324
120,0.234,-0.566,1.186,-0.126,0.73,0.44,-0.366,0.884,3.568,0.072,-0.06,1.143,0.746,-0.435,0.746,2.323,0.0,0.63,-1.225,-1.0,0.495
121,0.518,-0.691,1.55,0.059,0.769,0.941,0.449,0.967,4.059,0.177,-0.054,0.951,0.77,-0.899,0.64,2.344,0.0,0.437,-0.538,-0.942,-0.062
122,0.18,-0.365,1.148,0.007,0.662,0.589,-0.112,1.004,3.42,0.2,0.113,0.914,0.64,-0.434,0.748,2.258,0.0,0.619,-1.108,-0.922,0.297
123,0.58,-0.388,1.26,0.057,0.604,0.605,-0.224,1.003,3.096,-0.062,0.375,0.616,0.664,-0.328,0.64,1.75,0.0,0.656,-0.913,-1.018,0.254
124,0.143,-0.433,1.508,-0.146,0.681,0.586,0.161,0.974,3.993,-0.127,0.038,1.478,1.047,-1.112,0.742,2.578,0.0,0.606,-0.585,-1.054,0.111
125,0.37,-0.521,1.275,-0.011,0.725,0.809,-0.216,0.935,3.496,0.051,0.32,0.892,0.539,-0.504,0.763,2.18,0.0,0.567,-0.716,-0.976,0.129
126,0.661,-0.291,1.21,-0.082,0.614,0.498,0.025,1.025,3.176,0.037,0.287,1.058,0.801,-0.401,0.726,2.076,0.0,0.717,-0.545,-0.792,-0.035
127,0.23,-0.466,1.418,-0.181,0.79,0.825,-0.109,0.937,3.988,0.342,0.333,0.997,0.627,-0.505,0.519,2.422,0.0,0.395,-0.574,-1.033,0.075
128,0.282,-0.36,1.516,-0.228,0.831,0.652,-0.146,1.037,3.896,0.181,0.219,0.993,0.857,-0.558,0.665,2.41,0.0,0.489,-0.438,-1.093,0.005
129,0.717,-0.375,1.055,-0.05,0.898,0.613,-0.373,1.13,3.079,0.039,0.408,1.058,0.581,-0.34,0.844,1.705,0.0,0.481,-0.728,-0.84,0.342
130,0.283,-0.353,1.525,-0.136,0.603,0.638,-0.006,0.826,3.624,0.142,0.177,0.712,0.773,-0.28,0.779,2.443,0.0,0.839,-1.107,-1.138,0.128
131,0.438,-0.504,1.534,-0.022,0.543,0.583,0.096,1.073,3.512,-0.005,-0.133,0.89,0.946,-0.723,0.813,2.209,0.0,0.794,-1.16,-1.035,0.076
132,0.188,-0.333,1.472,0.046,0.606,0.868,-0.046,0.92,3.832,0.097,-0.163,0.735,0.801,-0.678,0.694,2.443,0.0,0.626,-0.756,-1.156,0.101
133,0.476,-0.337,1.007,-0.121,0.533,0.744,-0.532,0.941,3.33,-0.124,0.227,0.955,0.685,-0.097,0.799,1.903,0.0,0.571,-1.371,-1.054,0.602
134,0.401,-0.321,1.251,0.005,0.715,0.583,-0.175,0.679,3.343,-0.067,0.288,0.334,0.623,-0.203,0.759,2.019,0.0,0.799,-0.971,-1.126,0.247
135,0.616,-0.239,1.235,-0.359,0.341,0.546,-0.857,0.983,2.214,-0.089,0.649,1.077,0.569,0.029,0.566,1.351,0.0,0.59,-1.337,-0.54,0.641
136,0.138,-0.264,1.57,0.052,0.763,0.645,-0.042,0.887,4.053,0.17,-0.031,0.815,1.013,-0.279,0.694,2.654,0.0,0.708,-1.144,-0.977,0.248
137,0.066,-0.58,1.331,0.065,0.726,1.003,0.176,0.923,3.809,0.212,0.399,1.003,0.54,-0.77,0.902,2.257,0.0,0.35,-0.502,-1.29,-0.038
138,0.255,-0.644,1.468,-0.04,0.584,0.752,-0.425,1.004,3.633,-0.106,0.071,1.193,0.571,-0.711,0.5,2.014,0.0,0.55,-0.99,-1.029,0.387
139,0.433,-0.459,1.252,-0.13,0.744,0.406,-0.125,1.069,3.586,-0.196,0.03,0.978,0.842,-0.517,0.728,2.149,0.0,0.749,-1.011,-1.044,0.463
140,0.314,-0.428,1.394,-0.267,0.524,0.585,-0.268,0.982,3.57,0.038,0.283,1.136,0.994,-0.5,0.427,2.193,0.0,0.662,-0.931,-0.934,0.238
141,0.284,-0.461,1.26,-0.329,0.467,0.598,-0.643,1.056,3.525,-0.264,0.42,1.203,0.431,-0.427,0.775,2.243,0.0,0.593,-1.359,-1.089,0.639
142,0.095,-0.487,1.349,-0.184,0.442,0.487,-0.221,0.936,3.656,-0.034,0.065,1.247,0.883,-0.643,0.425,2.329,0.0,0.532,-1.141,-0.963,0.472
143,0.771,-0.474,1.147,-0.123,0.667,0.649,-0.521,1.039,3.153,0.1,0.222,0.995,0.664,-0.192,0.843,1.506,0.0,0.538,-0.762,-0.961,0.533
144,0.263,-0.405,1.321,-0.118,0.507,0.965,-0.335,1.079,3.474,0.14,0.256,1.048,0.687,-0.625,0.734,2.423,0.0,0.179,-0.913,-0.963,0.181
145,0.396,-0.501,1.525,-0.066,0.738,0.632,-0.105,1.08,3.852,-0.012,0.571,1.013,0.499,-0.651,0.642,2.46,0.0,0.576,-0.736,-1.201,0.108
146,0.206,-0.479,1.252,-0.385,0.549,0.504,-0.62,0.874,3.386,-0.108,0.548,1.238,0.693,-0.385,0.703,2.337,0.0,0.551,-1.409,-0.737,0.573
147,0.421,-0.617,1.274,-0.261,0.717,0.755,-0.276,0.941,3.57,-0.002,0.026,1.194,0.833,-0.627,0.72,1.939,0.0,0.627,-0.937,-0.994,0.457
148,0.252,-0.627,1.485,0.138,0.763,0.731,0.133,0.83,3.976,0.141,0.087,0.597,0.582,-0.609,0.714,2.291,0.0,0.557,-0.291,-1.067,0.021
149,0.768,-0.268,1.425,-0.091,0.611,0.277,-0.392,1.032,3.483,-0.185,0.196,1.032,0.77,-0.203,0.882,2.091,0.0,0.862,-1.281,-1.136,0.391
