Unnamed: 0,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,y,x16,x17,x18,x19,x20
20,0.25,-1.462,1.296,-1.447,-0.287,-0.178,-0.193,0.542,2.348,-1.371,-0.278,1.63,-0.202,-1.11,3.992,1.0,0.541,-0.52,-0.53,-1.041,1.677
21,0.215,-1.688,1.172,-1.326,-0.601,0.023,-0.113,0.714,2.391,-1.933,-0.071,1.579,-0.092,-0.913,3.682,1.0,0.523,-0.568,-0.48,-1.056,1.828
22,0.24,-1.571,1.045,-1.52,-0.175,-0.438,-0.279,0.621,2.5,-1.42,-0.315,1.398,-0.289,-1.077,3.319,1.0,0.655,-0.49,-0.342,-1.025,1.753
23,0.167,-1.566,1.139,-1.706,-0.336,0.217,-0.221,0.604,2.568,-1.802,-0.218,1.668,-0.252,-1.256,3.867,1.0,0.776,-0.234,-0.364,-0.971,1.45
24,-0.002,-1.422,1.239,-1.551,-0.143,-0.219,-0.15,0.592,2.495,-1.334,-0.158,1.691,-0.146,-1.284,3.802,1.0,0.349,-0.475,-0.457,-1.154,1.816
25,0.127,-1.371,1.056,-1.46,-0.324,-0.222,-0.005,0.48,2.279,-1.707,-0.063,1.681,-0.205,-1.192,3.996,1.0,0.66,-0.57,-0.464,-1.147,1.945
26,0.071,-1.389,1.262,-1.466,-0.189,-0.065,-0.226,0.632,2.391,-1.406,-0.106,1.631,0.005,-1.204,3.315,1.0,0.486,-0.438,-0.315,-0.997,1.766
27,0.217,-1.404,0.876,-1.423,-0.56,0.113,-0.296,0.526,2.343,-1.57,-0.092,1.62,-0.083,-1.216,3.215,1.0,0.557,-0.624,-0.371,-0.996,1.725
28,0.122,-1.575,1.062,-1.527,-0.122,-0.213,-0.391,0.754,2.518,-1.539,-0.232,1.803,-0.167,-1.172,3.327,1.0,0.486,-0.276,-0.629,-0.897,1.732
29,0.145,-1.51,1.285,-1.204,-0.593,0.095,-0.347,0.446,2.385,-1.886,-0.154,1.555,-0.485,-1.102,3.772,1.0,0.555,-0.29,-0.553,-1.251,1.808
30,-0.001,-1.608,0.941,-1.797,-0.146,-0.344,-0.351,0.624,2.484,-1.512,-0.125,1.697,-0.302,-1.235,3.631,1.0,0.566,-0.558,-0.52,-1.377,1.688
31,0.005,-1.539,1.181,-1.342,-0.454,0.15,-0.312,0.755,2.563,-1.6,-0.169,1.605,-0.155,-1.267,3.773,1.0,0.374,-0.355,-0.423,-1.05,1.807
32,0.213,-1.514,1.077,-1.249,-0.511,0.196,-0.161,0.673,2.434,-1.812,-0.106,1.829,-0.051,-1.245,3.187,1.0,0.698,-0.28,-0.28,-0.951,1.701
33,0.059,-1.647,1.01,-1.497,-0.339,0.126,-0.169,0.58,2.492,-1.448,-0.172,1.601,-0.166,-1.303,3.852,1.0,0.694,-0.432,-0.456,-0.977,1.692
34,0.186,-1.53,1.111,-1.169,-0.694,0.04,-0.049,0.713,2.536,-2.145,0.025,1.886,-0.198,-1.179,4.004,1.0,0.679,-0.435,-0.275,-1.224,1.964
35,0.161,-1.713,1.191,-1.537,-0.154,-0.021,-0.352,0.721,2.518,-1.421,-0.086,1.811,-0.208,-1.218,3.401,1.0,0.511,-0.41,-0.432,-1.096,1.776
36,0.154,-1.538,1.379,-1.105,-0.859,0.492,-0.324,0.558,2.341,-1.957,0.128,1.622,-0.218,-1.088,3.522,1.0,0.701,-0.691,-0.472,-0.934,1.684
37,0.17,-1.44,1.134,-1.22,-0.673,0.273,-0.447,0.523,2.361,-2.024,-0.031,1.822,-0.298,-1.244,4.047,1.0,0.731,-0.662,-0.323,-0.869,1.519
38,0.248,-1.449,0.904,-1.43,-0.134,-0.411,-0.186,0.489,2.335,-1.466,0.055,1.607,-0.318,-1.194,3.695,1.0,0.506,-0.523,-0.327,-1.412,1.946
39,0.024,-1.792,0.922,-1.712,0.047,-0.617,-0.326,0.614,2.38,-1.448,-0.066,1.691,-0.306,-1.092,3.908,1.0,0.67,-0.687,-0.312,-1.22,1.684
40,0.008,-1.735,1.363,-1.566,0.548,-0.759,-0.172,0.629,2.378,-0.887,-0.074,1.608,-0.081,-1.229,3.338,1.0,0.555,-0.488,-0.57,-1.064,1.705
41,0.231,-1.74,1.196,-1.608,-0.367,0.013,-0.203,0.454,2.374,-1.462,-0.077,1.771,-0.323,-1.394,3.405,1.0,0.539,-0.669,-0.522,-1.043,1.847
42,0.188,-1.675,1.131,-1.003,-0.897,0.021,-0.16,0.822,2.439,-2.063,0.003,1.722,-0.004,-1.186,3.851,1.0,0.473,-0.481,-0.435,-1.149,1.69
43,0.086,-1.557,1.085,-1.676,-0.105,-0.607,-0.139,0.612,2.481,-1.632,0.053,1.564,-0.016,-1.369,3.939,1.0,0.628,-0.66,-0.452,-1.102,1.734
44,0.154,-1.61,1.195,-1.54,-0.393,0.021,-0.208,0.692,2.245,-1.779,-0.095,1.432,-0.293,-1.015,2.984,1.0,0.618,-0.311,-0.565,-1.047,1.723
45,0.336,-1.628,1.019,-0.989,-0.806,0.264,0.127,0.729,2.384,-2.115,-0.228,1.423,-0.347,-1.177,3.705,1.0,0.616,-0.208,-0.181,-1.291,1.845
46,0.105,-1.731,1.032,-1.683,-0.162,-0.062,-0.439,0.688,2.506,-1.613,-0.026,1.511,-0.249,-1.228,3.922,1.0,0.937,-0.573,-0.372,-1.081,1.913
47,0.42,-1.605,1.202,-1.357,-0.455,0.031,-0.127,0.75,2.536,-1.738,-0.301,1.51,-0.11,-1.158,3.463,1.0,0.459,-0.324,-0.534,-1.14,1.958
48,0.237,-1.412,0.942,-1.263,-0.873,-0.01,0.024,0.52,2.492,-2.124,-0.025,1.474,-0.371,-1.128,3.836,1.0,0.62,-0.534,-0.253,-1.223,1.796
49,0.094,-1.554,1.075,-0.834,-0.826,0.474,-0.277,0.832,2.239,-2.205,0.094,1.39,-0.119,-0.818,3.882,1.0,0.49,-0.402,-0.454,-1.088,1.716
50,0.032,-1.713,1.131,-1.425,-0.649,0.078,0.072,0.452,2.491,-1.719,-0.081,1.522,-0.42,-1.034,3.7,1.0,0.457,-0.531,-0.715,-1.195,1.686
51,0.24,-1.717,0.979,-1.349,-0.698,0.321,-0.058,0.651,2.62,-2.047,-0.042,1.727,-0.135,-1.332,3.833,1.0,0.484,-0.332,-0.32,-1.136,1.682
52,0.014,-1.428,1.158,-1.338,-0.614,-0.206,-0.175,0.603,2.318,-1.947,-0.101,1.629,-0.288,-1.23,3.671,1.0,0.549,-0.71,-0.445,-1.167,1.612
53,0.211,-1.468,1.229,-0.96,-1.289,0.444,-0.027,0.655,2.303,-2.514,0.188,1.691,-0.071,-1.239,3.861,1.0,0.652,-0.531,-0.422,-1.23,1.881
54,0.105,-1.62,0.861,-1.217,-0.875,-0.006,-0.118,0.902,2.401,-2.155,0.054,1.786,-0.153,-1.163,3.861,1.0,0.566,-0.391,-0.424,-1.339,1.961
55,0.151,-1.672,1.149,-1.572,-0.18,-0.122,-0.193,0.562,2.546,-1.55,-0.088,1.51,-0.372,-1.046,3.658,1.0,0.673,-0.441,-0.579,-1.216,1.932
56,0.327,-1.375,1.29,-1.149,-0.134,-0.021,-0.262,0.514,2.038,-1.309,-0.075,1.527,-0.197,-0.991,3.22,1.0,0.699,-0.449,-0.534,-0.927,1.877
57,0.203,-1.705,0.811,-1.579,-0.271,0.03,-0.291,0.666,2.501,-1.703,-0.056,1.806,-0.345,-1.394,3.603,1.0,0.802,-0.533,-0.455,-0.927,1.697
58,0.12,-1.34,0.934,-1.637,0.031,-0.273,-0.41,0.529,2.314,-0.98,-0.194,1.698,-0.153,-1.149,3.951,1.0,0.344,-0.511,-0.3,-1.237,1.658
59,0.133,-1.409,0.986,-1.493,-0.55,0.002,-0.183,0.804,2.448,-2.06,-0.075,1.412,-0.198,-0.982,3.814,1.0,0.546,-0.312,-0.271,-1.4,1.86
60,0.262,-1.771,0.927,-1.181,-0.863,0.403,-0.075,0.857,2.373,-2.273,-0.059,1.918,0.046,-1.234,3.214,1.0,0.638,-0.564,-0.553,-0.862,1.671
61,0.077,-1.461,1.076,-1.323,-0.744,0.303,-0.337,0.77,2.679,-2.171,0.097,1.83,-0.091,-1.291,3.912,1.0,0.723,-0.43,-0.537,-1.018,1.895
62,0.018,-1.864,1.15,-1.209,-0.874,0.03,0.022,0.766,2.441,-2.189,-0.035,1.648,-0.336,-1.183,3.674,1.0,0.677,-0.36,-0.448,-1.508,1.981
63,0.156,-1.705,1.099,-1.507,-0.559,0.167,0.056,0.535,2.589,-1.827,-0.168,1.846,-0.298,-1.311,3.771,1.0,0.543,-0.595,-0.584,-0.965,1.811
64,0.058,-1.364,1.22,-1.234,-0.608,0.274,-0.035,0.501,2.091,-1.655,0.063,1.419,0.082,-1.139,3.592,1.0,0.426,-0.22,-0.525,-1.025,1.828
65,0.025,-1.634,1.023,-1.554,-0.213,-0.045,-0.288,0.68,2.46,-1.73,-0.184,2.038,-0.292,-1.549,3.534,1.0,0.84,-0.288,-0.417,-1.177,1.764
66,0.13,-1.493,0.838,-1.6,-0.328,-0.305,-0.11,0.649,2.708,-1.714,-0.06,1.956,-0.1,-1.224,3.945,1.0,0.578,-0.672,-0.334,-1.295,1.647
67,0.154,-1.438,1.236,-1.457,-0.383,-0.089,-0.212,0.425,2.565,-1.584,0.133,1.671,-0.397,-1.339,3.887,1.0,0.735,-0.705,-0.508,-1.188,2.014
68,0.226,-1.636,1.009,-1.559,-0.12,-0.048,-0.102,0.437,2.482,-1.375,-0.111,1.72,-0.231,-1.292,3.648,1.0,0.628,-0.58,-0.364,-0.917,1.865
69,0.117,-1.615,1.185,-1.718,-0.268,-0.192,-0.34,0.823,2.626,-1.538,0.058,1.513,-0.103,-0.931,4.042,1.0,0.46,-0.344,-0.503,-1.118,1.873
70,0.324,-1.331,1.026,-0.981,-1.041,0.425,-0.061,0.531,2.366,-2.24,-0.123,1.758,-0.217,-1.213,3.271,1.0,0.606,-0.555,-0.453,-1.158,1.738
71,0.397,-1.556,1.201,-1.564,-0.082,-0.314,-0.069,0.463,2.38,-1.233,-0.027,1.551,-0.36,-1.11,3.565,1.0,0.593,-0.421,-0.459,-1.371,1.934
72,0.152,-1.592,1.118,-0.97,-0.731,0.138,0.096,0.572,2.397,-1.985,-0.17,1.726,-0.235,-1.206,4.038,1.0,0.545,-0.202,-0.417,-1.28,1.748
73,0.268,-1.717,1.024,-1.611,-0.002,-0.424,-0.445,0.692,2.492,-1.32,-0.15,1.806,-0.176,-1.328,3.931,1.0,0.54,-0.487,-0.462,-1.314,1.979
74,0.24,-1.915,0.948,-1.225,-0.415,-0.28,-0.415,0.634,2.422,-1.752,-0.237,1.507,-0.297,-1.202,3.16,1.0,0.715,-0.699,-0.423,-1.018,1.774
75,-0.023,-1.578,0.94,-1.537,-0.548,-0.042,-0.285,0.684,2.612,-1.798,-0.494,1.638,-0.466,-1.337,4.112,1.0,0.424,-0.215,-0.395,-1.399,1.841
76,-0.033,-1.378,0.93,-1.767,0.225,-0.481,-0.313,0.533,2.222,-1.138,0.079,1.808,0.047,-1.314,3.674,1.0,0.429,-0.687,-0.412,-1.095,1.747
77,0.239,-1.717,0.964,-1.257,-0.715,0.123,-0.276,0.592,2.308,-1.992,-0.082,1.647,-0.175,-1.119,2.86,1.0,0.616,-0.697,-0.529,-0.932,1.793
78,0.019,-1.645,1.145,-1.712,0.076,-0.545,-0.392,0.717,2.277,-1.351,-0.131,1.55,-0.318,-1.264,3.971,1.0,0.497,-0.557,-0.541,-1.202,1.926
79,0.194,-1.697,1.21,-1.532,-0.056,-0.304,-0.264,0.728,2.306,-1.515,-0.132,1.835,-0.037,-1.249,3.546,1.0,0.602,-0.672,-0.419,-1.074,1.869
80,0.14,-1.419,1.334,-1.245,-0.298,-0.254,-0.302,0.378,2.597,-1.451,-0.056,1.752,-0.232,-1.182,3.566,1.0,0.63,-0.603,-0.497,-1.294,1.688
81,0.064,-1.832,0.958,-0.921,-0.957,0.316,-0.167,0.633,2.355,-2.305,-0.224,1.483,-0.356,-1.096,3.702,1.0,0.566,-0.65,-0.573,-1.18,1.83
82,0.136,-1.802,1.077,-1.896,0.344,-0.21,-0.37,0.676,2.513,-1.123,-0.208,1.893,-0.188,-1.336,3.809,1.0,0.671,-0.541,-0.702,-0.985,1.731
83,0.203,-1.816,1.017,-1.693,-0.146,-0.464,-0.387,0.655,2.516,-1.779,-0.15,1.812,-0.307,-1.252,3.616,1.0,0.631,-0.638,-0.575,-1.356,1.912
84,0.16,-1.375,1.161,-1.527,0.012,-0.471,-0.577,0.642,2.385,-1.134,0.109,1.726,-0.02,-1.363,3.824,1.0,0.661,-0.728,-0.199,-1.256,1.902
85,-0.045,-1.543,1.191,-1.18,-0.363,-0.06,-0.126,0.487,2.314,-1.619,0.014,1.571,-0.12,-1.375,4.039,1.0,0.59,-0.637,-0.532,-1.043,1.746
86,0.26,-1.399,1.023,-1.559,-0.353,-0.133,-0.062,0.394,2.556,-1.342,0.108,1.783,0.016,-1.194,3.73,1.0,0.377,-0.429,-0.374,-1.166,1.775
87,0.325,-1.452,1.215,-1.609,-0.134,-0.185,-0.247,0.766,2.47,-1.47,-0.259,1.848,-0.105,-1.324,3.874,1.0,0.582,-0.135,-0.324,-1.13,1.844
88,0.189,-1.496,1.271,-1.376,-0.397,-0.206,-0.196,0.658,2.454,-1.689,-0.121,1.693,-0.205,-1.062,3.838,1.0,0.649,-0.491,-0.478,-1.115,1.621
89,0.21,-1.384,1.167,-1.532,-0.415,0.194,-0.27,0.502,2.356,-1.752,0.041,1.727,-0.122,-1.415,3.714,1.0,0.609,-0.412,-0.252,-0.957,1.691
90,0.092,-1.477,1.078,-1.249,-0.613,0.043,-0.207,0.516,2.382,-1.851,0.052,1.64,-0.274,-1.238,3.702,1.0,0.588,-0.512,-0.371,-1.259,1.79
91,-0.007,-1.498,0.944,-1.388,-0.471,0.018,-0.152,0.686,2.589,-1.994,-0.202,1.821,-0.241,-1.124,3.997,1.0,0.645,-0.537,-0.25,-1.171,1.838
92,0.17,-1.504,1.083,-1.242,-0.866,0.318,-0.134,0.524,2.475,-2.256,0.039,1.559,-0.159,-1.035,3.788,1.0,0.525,-0.683,-0.413,-1.093,1.765
93,0.191,-1.575,1.005,-1.276,-0.459,0.039,-0.24,0.787,2.194,-1.852,-0.148,1.816,0.068,-1.542,3.838,1.0,0.708,-0.467,-0.499,-0.946,1.739
94,0.143,-1.396,1.096,-1.464,-0.316,-0.068,-0.253,0.529,2.374,-1.42,-0.153,1.554,-0.08,-1.209,3.765,1.0,0.392,-0.631,-0.376,-1.117,1.844
95,0.081,-1.57,1.185,-1.335,-0.708,0.157,-0.2,0.659,2.409,-1.786,-0.163,1.618,-0.213,-1.267,3.424,1.0,0.529,-0.494,-0.515,-1.027,1.737
96,0.2,-1.483,1.096,-1.272,-0.208,-0.141,-0.282,0.933,2.304,-1.922,-0.218,1.654,0.019,-1.271,3.174,1.0,0.74,-0.42,-0.363,-0.989,1.51
97,0.079,-1.677,1.042,-1.088,-0.9,0.303,-0.173,0.843,2.457,-2.245,-0.01,1.908,-0.122,-1.254,4.145,1.0,0.488,-0.537,-0.534,-1.137,1.785
98,0.297,-1.429,1.269,-1.43,-0.365,-0.257,-0.186,0.537,2.396,-1.656,-0.083,1.654,-0.214,-1.138,3.616,1.0,0.755,-0.619,-0.467,-1.194,1.778
99,0.192,-1.7,0.94,-1.68,-0.154,0.013,-0.309,0.572,2.507,-1.311,0.01,1.497,-0.071,-1.001,3.812,1.0,0.488,-0.627,-0.496,-0.967,1.685
100,0.19,-1.528,1.084,-1.2,-0.66,0.062,-0.161,0.663,2.416,-1.991,-0.181,1.611,-0.177,-1.052,4.109,1.0,0.519,-0.5,-0.372,-1.308,1.728
101,0.072,-1.753,1.189,-1.075,-0.461,-0.179,-0.287,0.597,2.36,-1.529,-0.02,1.718,-0.198,-1.376,3.498,1.0,0.555,-0.398,-0.435,-1.343,2.065
102,0.289,-1.597,1.169,-1.427,-0.222,-0.055,-0.417,0.515,2.241,-1.438,-0.179,1.755,-0.122,-1.28,3.969,1.0,0.685,-0.482,-0.476,-1.098,1.797
103,0.392,-1.626,0.898,-1.201,-0.691,0.04,0.023,0.638,2.458,-1.812,-0.098,1.725,-0.136,-1.217,3.776,1.0,0.401,-0.471,-0.373,-1.167,1.71
104,0.189,-1.566,1.324,-1.351,-0.579,-0.204,-0.173,0.7,2.651,-1.972,-0.064,1.736,-0.267,-1.233,3.9,1.0,0.757,-0.535,-0.583,-1.304,1.848
105,0.115,-1.712,1.057,-1.261,-0.592,0.19,0.085,0.679,2.501,-1.889,0.052,1.717,-0.16,-1.354,3.648,1.0,0.599,-0.508,-0.449,-0.977,1.764
106,0.287,-1.489,1.135,-1.366,-0.171,-0.146,-0.308,0.469,2.402,-1.374,-0.144,1.799,-0.381,-1.172,3.825,1.0,0.473,-0.369,-0.536,-1.268,1.897
107,0.278,-1.711,0.978,-1.536,-0.242,-0.146,-0.05,0.288,2.494,-1.431,-0.127,1.431,-0.333,-0.99,3.321,1.0,0.725,-0.517,-0.564,-0.979,1.721
108,0.317,-1.775,1.213,-1.374,-0.521,0.079,-0.135,0.713,2.607,-2.021,-0.046,1.651,-0.401,-1.228,3.71,1.0,0.624,-0.414,-0.616,-1.116,1.668
109,-0.102,-1.702,1.082,-1.123,-0.726,0.037,-0.101,0.878,2.425,-1.949,-0.303,1.682,-0.157,-1.202,3.687,1.0,0.642,-0.314,-0.494,-1.195,1.75
110,0.102,-1.586,1.061,-1.48,-0.54,0.007,-0.19,0.703,2.72,-1.775,-0.062,1.884,-0.098,-1.33,3.722,1.0,0.612,-0.435,-0.455,-1.328,1.984
111,0.251,-1.598,1.055,-1.788,0.076,-0.281,-0.426,0.586,2.619,-1.235,-0.087,1.867,-0.117,-1.312,3.792,1.0,0.644,-0.46,-0.431,-1.154,1.911
112,0.201,-1.386,0.914,-1.576,-0.488,-0.146,-0.271,0.722,2.516,-1.744,-0.059,1.498,-0.191,-1.122,3.662,1.0,0.525,-0.63,-0.146,-1.083,1.884
113,0.237,-1.783,1.209,-1.027,-0.878,0.074,0.086,0.428,2.294,-1.968,-0.056,1.446,0.009,-1.039,3.718,1.0,0.403,-0.879,-0.698,-1.008,1.66
114,0.243,-1.449,0.999,-1.151,-0.552,-0.044,-0.16,0.38,2.35,-1.72,-0.193,1.971,-0.005,-1.132,3.476,1.0,0.654,-0.726,-0.227,-1.179,1.729
115,0.178,-1.601,0.898,-1.487,-0.369,0.06,0.007,0.644,2.281,-1.929,-0.184,1.78,-0.202,-1.494,4.034,1.0,0.578,-0.294,-0.315,-1.237,1.941
116,0.08,-1.542,1.258,-1.002,-0.664,0.06,-0.088,0.591,2.361,-1.938,0.083,1.71,-0.019,-1.416,3.711,1.0,0.601,-0.439,-0.522,-1.042,1.847
117,0.138,-1.453,1.127,-1.467,-0.454,0.047,-0.107,0.508,2.501,-1.616,-0.221,1.881,-0.075,-1.373,3.225,1.0,0.536,-0.358,-0.395,-1.044,1.613
118,0.167,-1.773,1.12,-1.603,-0.358,-0.465,-0.524,0.711,2.553,-1.823,0.203,1.816,-0.281,-1.212,3.947,1.0,0.683,-0.529,-0.653,-1.349,2.071
119,0.121,-1.587,1.26,-1.445,-0.34,-0.228,-0.347,0.713,2.52,-1.98,0.101,1.661,-0.009,-1.204,3.52,1.0,0.697,-0.631,-0.451,-1.096,1.788
120,0.242,-1.696,0.916,-1.851,-0.175,0.011,-0.238,0.551,2.558,-1.566,-0.244,1.866,-0.181,-1.279,3.79,1.0,0.637,-0.628,-0.435,-0.999,1.84
121,0.055,-1.478,1.198,-0.907,-1.093,0.292,-0.056,0.635,2.241,-2.262,-0.13,1.59,-0.108,-1.214,3.486,1.0,0.609,-0.666,-0.524,-1.197,1.836
122,0.091,-1.562,1.089,-1.544,-0.477,0.008,-0.141,0.502,2.418,-1.657,-0.307,1.847,0.021,-1.446,3.708,1.0,0.543,-0.684,-0.475,-1.113,1.917
123,-0.028,-1.381,1.188,-1.454,-0.103,-0.065,-0.518,0.614,2.051,-1.747,-0.072,1.52,-0.174,-1.081,3.305,1.0,0.94,-0.415,-0.49,-0.836,1.641
124,0.054,-1.684,1.028,-1.65,-0.039,-0.317,-0.272,0.568,2.57,-1.342,-0.168,1.979,-0.496,-1.288,4.0,1.0,0.61,-0.636,-0.415,-1.218,2.005
125,0.221,-1.746,1.126,-1.802,-0.123,-0.534,-0.394,0.746,2.626,-1.41,-0.153,1.553,-0.235,-1.021,3.659,1.0,0.461,-0.617,-0.428,-1.252,1.814
126,0.271,-1.62,1.018,-1.465,-0.311,0.098,-0.248,0.84,2.529,-1.769,-0.295,1.666,-0.342,-1.072,3.668,1.0,0.539,-0.608,-0.363,-0.988,1.885
127,0.146,-1.552,0.968,-1.744,-0.104,-0.569,-0.295,0.521,2.579,-1.513,-0.121,1.584,-0.251,-1.112,3.979,1.0,0.79,-0.657,-0.398,-1.177,1.631
128,0.257,-1.586,0.965,-1.196,-0.903,0.034,-0.087,0.627,2.314,-2.141,-0.229,1.698,-0.212,-1.201,3.295,1.0,0.524,-0.519,-0.382,-1.123,1.635
129,-0.021,-1.756,1.047,-1.197,-0.842,0.368,-0.025,0.693,2.294,-2.117,-0.098,1.772,-0.072,-1.04,3.661,1.0,0.587,-0.615,-0.548,-1.085,1.909
130,0.458,-1.33,1.094,-1.244,-0.612,-0.165,-0.011,0.424,2.433,-1.542,0.133,1.77,-0.156,-1.169,4.064,1.0,0.403,-0.46,-0.41,-1.401,1.962
131,0.424,-1.679,1.059,-1.546,-0.345,0.012,-0.084,0.624,2.487,-1.789,-0.177,1.769,-0.038,-1.169,3.478,1.0,0.384,-0.574,-0.353,-1.012,1.762
132,0.15,-1.413,1.166,-0.965,-0.934,0.42,-0.045,0.503,2.265,-1.811,-0.11,1.622,-0.207,-1.054,3.268,1.0,0.592,-0.505,-0.402,-1.044,1.688
133,0.191,-1.772,1.221,-1.336,-0.212,-0.191,-0.258,0.813,2.472,-1.728,-0.142,1.842,-0.093,-1.299,3.51,1.0,0.917,-0.601,-0.428,-1.005,1.839
134,0.175,-1.652,0.951,-1.567,-0.084,-0.465,-0.23,0.608,2.732,-1.573,-0.246,1.811,-0.443,-1.142,3.87,1.0,0.698,-0.564,-0.418,-1.299,1.779
135,0.192,-1.477,1.012,-0.967,-1.04,0.236,0.211,0.46,2.273,-2.153,-0.009,1.829,-0.081,-1.273,3.941,1.0,0.492,-0.697,-0.387,-1.311,1.801
136,0.196,-1.696,1.068,-1.292,-0.904,0.294,0.056,0.717,2.65,-2.197,-0.104,1.603,-0.162,-1.091,4.146,1.0,0.38,-0.724,-0.476,-1.137,1.742
137,0.101,-1.534,1.246,-1.333,-0.387,-0.161,-0.218,0.571,2.375,-1.824,-0.149,1.628,-0.207,-1.084,3.409,1.0,0.549,-0.543,-0.355,-1.233,1.664
138,-0.131,-1.431,1.12,-1.23,-0.825,0.116,-0.166,0.41,2.484,-1.975,0.322,1.698,-0.151,-1.077,3.781,1.0,0.74,-0.66,-0.428,-1.097,1.746
139,0.279,-1.618,1.261,-1.388,-0.472,0.07,-0.298,0.448,2.475,-1.762,-0.328,1.647,-0.305,-1.28,3.438,1.0,0.756,-0.393,-0.255,-0.941,1.788
140,-0.007,-1.752,1.118,-1.254,-0.563,-0.18,0.096,0.438,2.523,-1.803,0.056,1.855,-0.189,-1.395,3.942,1.0,0.498,-0.87,-0.662,-1.301,1.968
141,0.043,-1.391,0.985,-1.22,-0.8,0.005,-0.052,0.573,2.416,-1.938,-0.171,1.781,-0.221,-1.199,3.524,1.0,0.505,-0.598,-0.248,-1.138,1.841
