x0,x1,x2,x3,x4,x5,y,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
-3.414,-0.262,-4.584,-11.937,1.295,-3.217,1.0,0.266,-7.075,1.633,1.651,-0.312,1.657,0.979,2.199,1.202,-4.287,-3.955,-1.112,-2.325,7.862
-5.298,-0.444,-5.177,-12.953,2.303,-2.216,1.0,1.373,-6.261,1.594,1.621,-0.137,0.112,0.889,2.226,1.385,-3.7,-4.067,-2.242,-2.235,8.095
-4.442,-0.54,-5.038,-12.971,1.989,-3.159,1.0,0.338,-7.861,1.62,1.6,-0.109,1.429,0.761,2.093,1.43,-4.48,-4.028,-1.509,-2.413,8.852
-3.947,-0.477,-4.003,-11.314,1.819,-2.855,1.0,-0.045,-7.019,1.558,1.5,-0.431,0.987,1.071,1.967,1.014,-3.818,-3.249,-1.189,-2.314,8.015
-4.661,-0.638,-4.821,-12.636,1.995,-2.645,1.0,0.805,-7.173,1.699,1.442,0.062,0.838,0.517,2.217,1.315,-3.847,-4.029,-1.919,-2.186,8.211
-3.614,-0.289,-5.048,-12.544,1.541,-3.194,1.0,0.439,-7.351,1.787,1.372,-0.073,1.983,0.575,2.028,1.292,-4.364,-4.51,-1.38,-2.323,8.16
-3.546,-0.325,-5.406,-12.834,1.388,-3.272,1.0,0.498,-7.642,1.835,1.483,0.031,2.142,0.203,2.265,1.051,-4.545,-4.909,-1.113,-2.363,8.196
-3.101,-0.358,-4.077,-11.439,1.525,-3.56,1.0,-0.231,-7.844,1.651,1.529,-0.309,2.312,0.929,2.296,0.95,-4.506,-3.401,-0.574,-2.173,8.11
-3.655,-0.322,-5.307,-12.94,1.416,-3.589,1.0,-0.106,-7.928,1.483,1.6,0.094,2.213,0.114,2.119,1.064,-5.054,-4.25,-1.055,-2.279,8.794
-3.736,-0.373,-3.748,-11.211,1.766,-2.98,1.0,0.229,-6.916,1.627,1.542,-0.378,1.375,0.985,2.255,1.078,-3.93,-3.031,-0.991,-2.129,7.667
-4.406,-0.512,-5.025,-12.878,1.684,-2.684,1.0,0.457,-6.851,1.51,1.45,0.022,0.72,0.634,2.264,1.341,-4.06,-4.322,-2.005,-2.423,8.13
-3.736,-0.497,-4.773,-13.013,1.747,-3.778,1.0,-0.022,-8.535,1.753,1.59,-0.126,2.354,0.67,2.265,1.36,-5.109,-4.136,-0.914,-1.996,9.21
-4.455,-0.565,-5.536,-13.171,1.966,-2.89,1.0,0.8,-7.434,1.595,1.468,0.032,1.343,0.748,2.258,1.223,-4.107,-4.639,-1.938,-2.287,8.543
-4.511,-0.588,-4.646,-12.582,2.128,-2.688,1.0,0.685,-7.162,1.677,1.457,-0.158,0.938,0.615,2.004,1.388,-4.131,-3.648,-1.626,-2.076,8.196
-3.477,-0.531,-4.641,-12.14,1.795,-3.391,1.0,-0.258,-7.788,1.618,1.772,-0.502,2.215,0.984,2.377,1.18,-4.445,-3.794,-0.953,-2.147,8.375
-3.33,-0.559,-5.173,-12.911,1.27,-3.688,1.0,0.114,-8.134,1.782,1.523,-0.239,2.297,0.786,2.005,1.301,-4.83,-4.61,-0.825,-2.367,8.708
-4.469,-0.381,-4.531,-12.923,2.026,-3.187,1.0,0.187,-7.877,1.849,1.417,0.161,1.094,0.675,2.178,1.556,-4.38,-3.754,-1.451,-2.132,8.695
-3.788,-0.443,-4.879,-13.195,1.719,-3.708,1.0,-0.082,-8.283,1.742,1.59,-0.523,1.988,1.024,2.236,1.467,-4.965,-4.101,-1.028,-2.218,8.939
-4.542,-0.486,-4.869,-12.431,1.84,-2.452,1.0,0.424,-6.763,1.375,1.436,-0.111,0.636,0.982,2.087,1.125,-3.804,-3.969,-1.842,-2.313,8.012
-4.531,-0.464,-4.81,-12.293,1.909,-2.165,1.0,0.985,-5.914,1.368,1.383,-0.188,0.39,1.117,2.207,1.24,-3.433,-4.228,-2.323,-2.25,7.466
-4.721,-0.658,-5.097,-12.87,1.989,-2.565,1.0,0.53,-6.618,1.608,1.532,-0.169,0.448,1.0,2.237,1.558,-3.752,-4.152,-2.275,-2.097,7.971
-3.655,-0.448,-4.397,-12.187,1.666,-3.099,1.0,0.298,-7.369,1.679,1.555,-0.125,1.58,0.64,2.39,1.157,-4.583,-3.615,-1.232,-2.25,8.216
-4.384,-0.393,-4.323,-12.537,1.971,-3.038,1.0,0.155,-7.619,1.872,1.818,-0.047,1.202,0.436,2.135,1.106,-4.523,-3.607,-1.26,-2.295,8.734
-4.23,-0.564,-4.236,-11.675,1.79,-2.481,1.0,0.293,-6.613,1.455,1.49,-0.281,0.568,0.994,2.065,1.039,-3.718,-3.461,-1.705,-2.253,7.754
-4.459,-0.505,-4.462,-12.71,1.922,-2.815,1.0,0.432,-7.356,1.991,1.503,0.257,0.772,0.313,2.093,1.229,-4.373,-3.837,-1.699,-2.392,8.484
-3.166,-0.444,-4.838,-12.225,1.057,-3.657,1.0,-0.379,-7.972,1.587,1.571,-0.102,2.102,0.76,2.019,1.276,-4.586,-4.096,-1.094,-2.208,8.441
-3.683,-0.57,-4.58,-12.194,1.775,-3.297,1.0,-0.068,-7.69,1.595,1.71,0.04,1.575,0.356,2.184,1.159,-4.418,-3.736,-1.191,-2.153,8.465
-4.587,-0.499,-4.709,-12.346,2.051,-2.818,1.0,0.541,-7.131,1.453,1.445,-0.304,0.864,1.269,2.402,1.186,-3.922,-3.617,-1.813,-2.316,8.405
-3.406,-0.463,-4.978,-12.281,1.889,-3.3,1.0,0.555,-7.615,1.774,1.715,-0.091,2.536,0.454,2.314,1.191,-4.407,-4.386,-1.196,-2.057,8.074
-4.544,-0.385,-5.102,-12.683,1.613,-2.906,1.0,0.559,-7.341,1.463,1.57,-0.096,0.846,0.985,2.304,1.421,-4.112,-4.048,-1.601,-2.362,8.646
-3.439,-0.51,-5.254,-12.886,1.65,-3.56,1.0,-0.087,-7.98,1.611,1.599,-0.277,2.54,0.671,2.095,1.369,-4.831,-4.3,-0.91,-2.231,8.572
-2.691,-0.17,-4.086,-11.217,1.249,-3.555,1.0,-0.133,-7.585,1.608,1.574,-0.438,2.535,0.777,2.15,1.278,-4.482,-3.485,-0.408,-2.321,7.904
-3.533,-0.618,-5.296,-12.563,1.216,-3.197,1.0,0.068,-7.591,1.516,1.198,-0.347,1.801,1.082,2.011,1.319,-4.354,-4.494,-1.374,-2.379,8.302
-3.266,-0.364,-5.385,-12.46,1.455,-3.228,1.0,0.549,-7.254,1.679,1.445,0.171,2.091,0.401,2.239,1.468,-4.194,-4.686,-1.32,-2.292,7.857
-4.089,-0.631,-4.818,-13.236,1.856,-3.601,1.0,-0.123,-8.449,1.724,1.692,-0.143,1.916,0.541,2.303,1.082,-5.089,-3.841,-1.111,-2.456,9.248
-3.065,-0.364,-5.375,-12.954,1.184,-3.917,1.0,-0.039,-8.563,1.665,1.644,-0.398,2.694,0.793,2.148,1.436,-4.984,-4.703,-0.929,-2.187,8.902
-4.819,-0.396,-4.666,-12.796,2.274,-2.763,1.0,0.711,-7.403,1.596,1.585,-0.404,0.562,1.548,1.99,1.521,-4.114,-3.644,-1.905,-1.975,8.742
-2.311,-0.536,-4.247,-10.851,1.028,-3.767,1.0,-0.685,-7.531,1.452,1.55,-0.501,2.829,1.37,2.162,1.011,-4.469,-3.584,-0.362,-2.22,7.669
-4.696,-0.55,-5.533,-13.618,1.829,-2.688,1.0,0.992,-6.856,1.92,1.642,0.23,0.87,0.287,2.068,1.382,-3.978,-4.89,-2.349,-2.415,8.217
-3.959,-0.423,-4.944,-12.716,1.699,-3.213,1.0,0.279,-7.708,1.59,1.588,-0.009,1.756,0.49,1.963,1.151,-4.55,-4.07,-1.228,-2.345,8.574
-3.769,-0.441,-5.275,-13.305,1.651,-3.611,1.0,-0.076,-8.377,1.534,1.439,0.024,2.123,0.272,2.054,1.205,-5.098,-4.231,-1.173,-2.181,9.058
-4.167,-0.473,-4.934,-12.108,1.638,-2.752,1.0,0.279,-6.894,1.279,1.333,-0.447,1.017,1.438,2.232,1.148,-3.789,-4.132,-1.576,-2.364,7.976
-2.897,-0.571,-4.451,-11.944,1.06,-3.791,1.0,-0.661,-8.228,1.653,1.295,-0.22,2.373,0.862,2.223,1.314,-4.887,-3.703,-0.516,-2.189,8.444
-3.097,-0.405,-4.679,-12.128,1.434,-3.451,1.0,-0.147,-7.685,1.628,1.64,0.034,2.43,0.314,2.121,1.123,-4.7,-3.989,-0.898,-2.436,8.081
-3.016,-0.87,-5.278,-12.635,1.698,-3.721,1.0,-0.225,-8.228,1.568,1.563,-0.079,3.176,0.711,2.099,1.324,-4.786,-4.488,-0.766,-2.096,8.294
-3.281,-0.363,-4.663,-11.569,1.567,-3.327,1.0,0.006,-7.234,1.36,1.47,-0.578,2.009,1.184,2.472,1.037,-4.155,-4.077,-0.921,-2.369,7.712
-3.609,-0.345,-5.044,-12.142,1.576,-2.813,1.0,0.506,-6.921,1.516,1.605,-0.305,1.795,0.974,2.101,1.132,-4.147,-4.284,-1.435,-2.388,7.863
-3.502,-0.595,-5.143,-12.395,1.259,-2.986,1.0,0.177,-6.917,1.388,1.564,-0.313,1.595,1.08,2.021,1.281,-4.214,-4.637,-1.245,-2.264,7.922
-4.041,-0.404,-4.221,-11.563,1.866,-2.736,1.0,0.301,-6.614,1.573,1.384,-0.429,1.072,1.167,2.179,1.185,-3.815,-3.411,-1.254,-2.268,7.692
-3.967,-0.35,-4.999,-12.932,1.723,-3.456,1.0,0.285,-8.177,1.537,1.628,-0.333,1.563,1.03,2.132,1.321,-4.602,-3.981,-1.426,-2.226,8.947
-4.346,-0.496,-4.938,-13.298,1.784,-3.124,1.0,0.1,-7.918,1.749,1.564,0.065,1.183,0.257,2.201,1.458,-4.863,-3.806,-1.549,-2.147,9.004
-2.947,-0.59,-4.438,-11.682,1.453,-3.662,1.0,-0.532,-7.957,1.454,1.623,-0.159,2.658,0.654,2.422,1.029,-4.755,-3.606,-0.404,-2.167,8.216
-4.492,-0.34,-4.999,-13.161,1.934,-2.703,1.0,0.838,-7.444,1.542,1.562,-0.175,1.159,0.416,2.078,1.301,-4.601,-4.032,-1.794,-2.323,8.627
-3.88,-0.694,-4.934,-12.36,1.727,-3.109,1.0,0.396,-7.058,1.552,1.55,-0.288,1.738,1.228,2.085,1.329,-3.932,-4.373,-1.376,-2.308,7.877
-3.769,-0.226,-5.264,-13.478,1.353,-3.845,1.0,-0.451,-9.074,1.394,1.473,-0.342,1.963,0.907,2.261,1.333,-5.248,-4.149,-0.941,-2.27,9.605
-4.105,-0.353,-4.882,-13.127,1.615,-3.001,1.0,0.479,-7.448,1.638,1.684,-0.241,1.279,1.25,2.131,1.61,-4.391,-4.361,-1.708,-2.422,8.363
-3.713,-0.372,-4.831,-11.825,1.699,-3.111,1.0,0.165,-7.295,1.536,1.459,-0.233,1.774,0.672,2.0,1.033,-4.12,-3.944,-1.273,-2.213,7.807
-3.914,-0.51,-4.531,-11.779,1.641,-2.834,1.0,-0.041,-6.982,1.458,1.422,-0.159,1.381,1.156,2.265,1.237,-4.256,-3.5,-1.119,-2.368,8.084
-3.855,-0.45,-5.045,-12.673,1.631,-2.995,1.0,0.282,-7.172,1.596,1.545,0.077,1.52,0.436,1.924,1.335,-4.472,-4.149,-1.637,-2.285,8.081
-4.487,-0.652,-4.858,-13.3,1.813,-3.095,1.0,-0.1,-7.724,1.757,1.584,-0.214,1.027,0.495,2.303,1.404,-4.538,-3.92,-1.624,-2.167,8.738
-3.924,-0.358,-4.683,-12.494,1.711,-3.331,1.0,-0.104,-7.918,1.539,1.631,-0.268,1.722,0.53,2.076,1.295,-4.599,-3.72,-1.056,-2.218,8.588
-4.667,-0.437,-5.157,-12.977,1.822,-2.601,1.0,0.991,-6.815,1.665,1.316,0.183,0.574,0.627,2.236,1.22,-4.005,-4.383,-2.12,-2.343,8.236
-4.231,-0.291,-4.622,-12.24,1.787,-2.93,1.0,0.476,-7.084,1.538,1.537,-0.122,1.112,0.561,1.89,1.079,-4.089,-3.807,-1.431,-2.322,8.083
-5.093,-0.279,-4.269,-11.989,1.992,-2.074,1.0,0.993,-6.185,1.822,1.39,-0.244,-0.308,0.968,2.312,1.016,-3.56,-3.467,-2.045,-2.226,7.974
-3.496,-0.743,-4.972,-12.34,1.519,-3.16,1.0,-0.233,-7.268,1.574,1.581,-0.334,1.814,0.968,2.037,1.257,-4.603,-3.903,-1.081,-2.3,8.12
-4.834,-0.382,-4.937,-13.143,1.942,-2.739,1.0,0.804,-7.242,1.587,1.533,-0.106,0.276,1.272,2.354,1.167,-4.07,-4.185,-2.073,-2.337,8.628
-3.616,-0.294,-4.595,-12.288,1.551,-3.372,1.0,-0.046,-7.582,1.608,1.526,-0.224,1.862,0.874,2.217,1.301,-4.489,-3.971,-0.905,-2.203,8.301
-4.329,-0.485,-4.919,-12.674,1.613,-2.594,1.0,0.591,-6.827,1.654,1.551,-0.103,0.773,0.691,2.149,1.36,-3.957,-4.238,-1.803,-2.194,8.263
-4.879,-0.359,-4.718,-13.103,1.88,-2.406,1.0,0.597,-6.961,1.745,1.538,0.159,0.089,0.588,2.205,1.363,-4.245,-4.023,-2.047,-2.265,8.553
-3.225,-0.207,-4.81,-11.943,1.278,-3.277,1.0,0.115,-7.543,1.491,1.401,0.135,2.222,0.495,2.157,0.964,-4.734,-4.047,-0.749,-2.184,8.166
-4.139,-0.619,-4.688,-12.229,1.895,-3.003,1.0,0.276,-7.226,1.677,1.604,-0.158,1.337,0.595,2.083,0.966,-4.059,-3.989,-1.613,-2.409,8.192
-3.035,-0.404,-4.58,-12.196,1.219,-3.531,1.0,-0.528,-7.726,1.81,1.642,0.036,2.391,0.47,2.04,1.282,-4.939,-3.934,-0.482,-2.234,8.249
-5.55,-0.661,-5.019,-13.043,2.475,-2.001,1.0,1.315,-6.105,1.744,1.508,-0.416,-0.434,1.088,2.109,1.328,-3.501,-4.086,-2.837,-2.304,8.031
-3.283,-0.245,-4.167,-11.506,1.498,-3.116,1.0,0.173,-7.316,1.655,1.446,-0.146,2.07,0.745,2.135,1.246,-4.443,-3.518,-0.674,-2.163,7.953
-3.323,-0.336,-4.549,-12.313,1.748,-3.624,1.0,0.08,-8.087,1.786,1.611,-0.019,2.389,0.438,2.12,1.075,-4.758,-3.77,-0.905,-2.214,8.328
-3.875,-0.309,-4.433,-11.726,1.647,-2.982,1.0,0.153,-7.102,1.648,1.489,-0.208,1.219,0.921,2.131,1.289,-4.143,-3.58,-1.278,-2.072,8.244
-4.102,-0.303,-4.225,-12.092,1.859,-3.247,1.0,0.027,-7.925,1.477,1.507,-0.159,1.529,0.536,2.209,1.543,-4.648,-3.204,-0.897,-1.977,8.629
-4.71,-0.433,-4.651,-12.166,2.07,-2.523,1.0,0.896,-6.632,1.587,1.68,-0.044,0.705,0.868,2.028,1.306,-3.618,-3.794,-1.773,-2.191,8.1
-4.638,-0.749,-4.572,-12.47,1.978,-2.849,1.0,-0.059,-7.626,1.585,1.542,-0.015,0.887,0.619,2.124,1.151,-4.326,-3.293,-1.383,-2.219,8.669
-3.41,-0.448,-4.541,-11.858,1.374,-2.776,1.0,0.474,-6.71,1.649,1.59,-0.339,1.501,0.798,2.176,1.203,-4.135,-4.179,-1.422,-2.252,7.602
-4.564,-0.55,-4.999,-12.712,1.94,-2.52,1.0,0.94,-6.792,1.619,1.67,-0.107,0.719,0.824,2.086,1.249,-3.855,-4.3,-2.067,-2.286,8.269
-3.374,-0.414,-4.797,-12.198,1.49,-3.145,1.0,0.364,-7.179,1.837,1.405,0.008,1.978,0.52,2.252,1.45,-4.266,-4.211,-1.069,-2.253,7.843
-4.693,-0.562,-5.195,-12.893,1.778,-2.196,1.0,0.862,-6.502,1.714,1.465,0.089,0.261,0.537,2.037,1.318,-3.98,-4.259,-2.196,-2.102,7.946
-2.881,-0.373,-4.196,-11.542,1.213,-3.699,1.0,-0.502,-7.841,1.596,1.691,0.062,2.564,0.524,2.044,1.108,-4.768,-3.647,-0.376,-2.354,8.252
-2.985,-0.434,-4.883,-12.131,1.206,-3.558,1.0,-0.08,-7.694,1.567,1.259,-0.493,2.423,0.89,2.117,1.359,-4.539,-4.235,-0.834,-2.107,7.967
-3.534,-0.345,-4.863,-12.548,1.707,-3.046,1.0,0.633,-7.428,1.778,1.686,-0.146,2.32,0.592,1.938,1.094,-4.618,-4.448,-1.269,-2.381,8.143
-3.386,-0.471,-4.617,-12.018,1.406,-3.239,1.0,0.114,-7.118,1.788,1.56,-0.218,1.796,0.633,2.26,1.199,-4.398,-4.119,-1.313,-2.322,7.954
-3.717,-0.443,-4.51,-11.963,1.637,-3.134,1.0,-0.034,-7.495,1.476,1.364,-0.23,1.581,0.73,2.05,1.322,-4.221,-3.727,-1.293,-2.266,8.04
-4.351,-0.72,-4.679,-12.325,1.73,-2.411,1.0,0.623,-6.572,1.552,1.465,-0.169,0.661,1.023,2.283,1.026,-3.836,-4.0,-1.927,-2.425,7.976
-4.785,-0.732,-5.332,-13.13,1.805,-2.441,1.0,0.657,-6.794,1.509,1.145,0.12,0.199,0.4,1.938,1.46,-3.935,-4.347,-2.508,-2.312,8.222
-4.017,-0.358,-5.291,-12.909,1.803,-3.004,1.0,0.833,-7.3,1.701,1.559,-0.505,1.607,1.172,2.1,1.115,-4.128,-4.698,-1.768,-2.181,8.25
-5.602,-0.685,-5.042,-13.282,2.171,-1.907,1.0,0.974,-6.284,1.67,1.419,0.031,-0.604,0.73,2.24,1.375,-3.845,-3.969,-2.798,-2.142,8.34
-3.659,-0.65,-4.553,-12.171,1.301,-3.328,1.0,-0.267,-7.793,1.872,1.463,0.048,1.774,0.277,2.078,1.35,-4.878,-3.655,-0.792,-2.128,8.633
-3.587,-0.46,-4.55,-12.543,1.723,-3.863,1.0,-0.484,-8.61,1.476,1.682,-0.247,2.268,0.956,2.241,1.263,-4.884,-3.68,-0.713,-2.119,8.979
-3.979,-0.302,-4.684,-12.474,1.598,-3.486,1.0,0.049,-7.889,1.484,1.373,-0.719,1.684,1.781,2.098,1.34,-4.561,-3.608,-1.018,-2.145,8.932
-3.693,-0.41,-4.476,-12.186,1.619,-3.542,1.0,-0.358,-8.299,1.599,1.464,-0.144,1.782,0.694,2.148,1.331,-4.566,-3.442,-1.178,-2.32,8.682
-3.355,-0.375,-4.359,-11.721,1.519,-3.493,1.0,-0.228,-7.694,1.622,1.703,-0.191,1.968,0.557,2.114,1.249,-4.361,-3.892,-0.961,-2.173,8.143
-3.221,-0.764,-4.643,-11.813,1.133,-2.896,1.0,0.031,-6.852,1.584,1.39,-0.278,1.715,0.864,2.221,1.156,-4.303,-4.177,-1.278,-2.12,7.683
-4.56,-0.185,-5.012,-12.612,2.012,-2.315,1.0,1.214,-6.611,1.669,1.595,-0.18,0.815,0.801,2.29,1.262,-3.97,-4.061,-2.016,-2.276,8.092
-3.94,-0.375,-4.232,-11.962,1.968,-3.05,1.0,0.205,-7.358,1.667,1.537,-0.067,1.597,0.537,2.035,1.08,-4.459,-3.4,-1.018,-2.095,8.163
-3.109,-0.582,-4.509,-11.665,1.445,-3.413,1.0,-0.098,-7.545,1.516,1.579,-0.379,2.297,0.928,2.288,1.108,-4.352,-3.884,-0.821,-2.287,7.864
-4.615,-0.557,-4.835,-12.408,2.052,-2.259,1.0,1.03,-6.322,1.528,1.523,0.092,0.232,0.981,2.156,1.124,-3.719,-4.105,-2.237,-2.137,7.762
-4.52,-0.378,-4.538,-12.246,1.771,-2.699,1.0,0.644,-6.822,1.679,1.412,-0.171,0.591,0.927,2.277,1.363,-4.051,-3.753,-1.789,-2.129,8.247
-3.967,-0.349,-4.725,-12.547,1.727,-3.421,1.0,-0.073,-8.13,1.631,1.714,-0.32,1.669,0.961,1.997,1.396,-4.66,-3.551,-1.079,-2.092,8.862
-2.581,-0.594,-4.548,-11.991,1.118,-3.992,1.0,-0.675,-8.147,1.652,1.449,0.02,2.849,0.404,2.248,1.179,-4.941,-4.08,-0.472,-2.084,8.062
-4.009,-0.768,-4.571,-12.111,1.858,-2.926,1.0,0.2,-7.245,1.732,1.461,-0.033,1.584,0.607,2.249,1.388,-4.084,-3.903,-1.301,-2.091,8.048
-2.754,-0.403,-4.719,-11.867,1.369,-3.705,1.0,-0.146,-7.746,1.554,1.627,-0.369,2.945,0.775,1.938,1.088,-4.479,-4.228,-0.589,-2.35,7.873
-4.179,-0.253,-4.781,-12.716,1.931,-3.25,1.0,0.211,-7.792,1.791,1.564,-0.208,1.389,0.49,2.123,1.278,-4.52,-3.708,-1.433,-2.161,8.586
-4.464,-0.558,-4.416,-12.48,1.926,-2.907,1.0,0.369,-7.118,1.663,1.483,0.021,0.887,0.702,2.08,1.346,-4.027,-3.607,-1.535,-2.101,8.346
-5.753,-0.471,-4.691,-13.151,2.388,-2.132,1.0,0.83,-6.491,1.84,1.303,0.142,-0.722,0.683,2.169,1.54,-3.815,-3.667,-2.436,-2.285,8.484
-3.298,-0.646,-5.166,-12.122,1.334,-3.119,1.0,0.14,-7.087,1.607,1.395,-0.184,1.881,0.733,2.197,1.183,-4.052,-4.696,-1.529,-2.204,7.696
-4.67,-0.439,-5.19,-13.13,1.953,-2.972,1.0,0.602,-7.592,1.521,1.681,-0.18,1.095,1.044,2.095,1.455,-4.152,-4.305,-1.896,-2.19,8.795
-3.592,-0.385,-4.929,-12.79,1.422,-3.616,1.0,-0.236,-8.174,1.673,1.588,0.184,2.032,0.286,2.052,1.24,-4.994,-4.096,-0.816,-2.352,8.792
-3.868,-0.397,-4.711,-12.23,1.912,-3.178,1.0,0.294,-7.602,1.411,1.511,-0.339,1.895,1.243,2.129,0.866,-4.254,-4.02,-1.222,-2.417,8.299
-4.792,-0.35,-5.161,-13.625,1.909,-3.148,1.0,0.542,-7.765,1.631,1.478,-0.053,0.737,0.583,2.212,1.41,-4.688,-4.054,-1.68,-2.276,8.854
-4.067,-0.443,-4.508,-12.349,1.745,-2.994,1.0,0.27,-7.239,1.701,1.553,-0.18,1.364,0.666,2.195,1.31,-4.377,-3.766,-1.364,-2.142,8.153
-4.322,-0.676,-5.275,-12.99,1.833,-2.686,1.0,0.407,-7.237,1.503,1.447,0.13,1.153,0.506,2.372,1.162,-4.264,-4.07,-1.729,-2.392,8.205
-3.653,-0.344,-4.459,-12.348,1.572,-3.215,1.0,0.162,-7.621,1.964,1.672,0.087,1.552,0.369,2.31,1.111,-4.525,-3.635,-1.256,-2.321,8.523
-3.117,-0.678,-4.704,-12.23,1.329,-3.679,1.0,-0.446,-8.154,1.69,1.668,-0.365,2.733,0.882,2.337,1.238,-4.997,-3.967,-0.419,-2.484,8.608
-4.719,-0.619,-4.436,-12.578,2.018,-2.656,1.0,0.33,-7.043,1.766,1.408,0.096,0.466,0.471,2.07,1.281,-4.106,-3.591,-1.537,-2.231,8.408
-3.472,-0.284,-4.669,-13.003,1.369,-3.933,1.0,-0.46,-8.911,1.79,1.385,-0.107,2.321,0.577,2.182,1.228,-5.234,-3.97,-0.804,-2.306,9.177
-4.592,-0.439,-4.691,-12.562,1.834,-2.599,1.0,0.298,-7.002,1.581,1.329,-0.05,0.534,0.683,2.372,1.44,-3.981,-3.849,-1.847,-2.351,8.159
-4.154,-0.578,-5.522,-13.349,1.578,-3.093,1.0,0.531,-7.753,1.728,1.42,-0.314,1.294,0.891,2.192,1.509,-4.355,-4.817,-1.861,-2.322,8.738
-3.804,-0.567,-5.067,-12.758,1.424,-3.252,1.0,0.14,-7.796,1.621,1.635,-0.303,1.612,1.071,2.257,1.29,-4.545,-4.312,-1.397,-2.274,8.626
-4.368,-0.63,-5.152,-12.976,1.997,-2.699,1.0,0.699,-7.117,1.687,1.43,0.062,1.061,0.463,2.205,1.302,-4.018,-4.452,-2.12,-2.243,7.935
-4.375,-0.591,-4.67,-11.97,1.91,-2.612,1.0,0.388,-6.874,1.573,1.319,-0.12,0.864,0.802,2.107,1.146,-3.883,-3.69,-1.699,-2.366,7.957
-3.751,-0.26,-4.63,-11.523,1.584,-2.706,1.0,0.418,-6.436,1.525,1.61,-0.753,1.318,1.667,2.272,1.237,-3.526,-4.01,-1.615,-2.245,7.427
-3.126,-0.26,-4.639,-12.447,1.389,-4.077,1.0,-0.183,-8.485,1.698,1.713,-0.302,2.849,0.306,2.231,1.518,-4.931,-4.03,-0.608,-1.995,8.608
-3.543,-0.557,-4.979,-12.412,1.535,-3.363,1.0,-0.034,-7.681,1.517,1.52,-0.14,2.058,0.733,2.139,1.229,-4.469,-4.206,-1.096,-2.231,8.191
-3.48,-0.419,-4.549,-11.906,1.526,-3.331,1.0,0.15,-7.507,1.489,1.598,0.037,1.982,0.76,2.225,1.123,-4.391,-3.806,-0.925,-2.25,7.993
-3.988,-0.421,-5.367,-13.041,1.934,-3.335,1.0,0.267,-8.218,1.555,1.753,0.139,1.943,0.088,2.235,1.231,-4.558,-4.318,-1.599,-2.458,8.784
-4.374,-0.318,-4.691,-12.541,1.676,-2.618,1.0,0.716,-6.807,1.958,1.549,0.006,0.655,0.564,2.365,1.443,-4.226,-4.013,-1.725,-2.016,8.199
-4.125,-0.499,-4.658,-12.173,1.716,-2.987,1.0,0.166,-7.34,1.438,1.395,-0.183,1.385,1.278,1.949,1.305,-4.017,-3.742,-1.261,-2.214,8.192
-3.158,-0.286,-4.356,-12.255,1.548,-4.118,1.0,-0.699,-9.042,1.769,1.728,-0.343,2.68,0.597,2.235,1.219,-5.391,-3.143,-0.223,-2.18,9.06
