Unnamed: 0,x0,x1,x2,x3,y,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
60,-0.598,1.846,-0.011,-1.384,0.0,0.883,-2.533,-0.242,-1.205,-0.283,0.291,0.018,-0.183,0.468,-0.597,-0.917,-3.542,-0.066,-0.387,0.742,3.832
61,-0.935,2.013,0.21,-1.0,0.0,0.906,-2.491,0.039,-0.761,-0.155,0.397,0.272,-0.232,0.559,-0.395,-1.061,-3.769,-0.037,-0.088,0.558,4.792
62,-0.81,2.016,-0.012,-1.281,0.0,1.147,-2.726,-0.235,-1.085,-0.273,0.872,0.035,-0.131,0.353,-0.624,-0.682,-3.016,-0.029,-0.273,0.707,4.338
63,-0.326,1.975,-0.153,-1.564,0.0,0.977,-2.717,-0.348,-1.667,-0.365,0.851,-0.146,0.225,0.105,-0.898,-0.729,-3.268,-0.456,-0.653,0.734,3.874
64,-0.721,2.05,0.162,-1.062,0.0,0.804,-2.436,-0.141,-0.752,-0.2,0.052,0.191,-0.331,0.447,-0.347,-0.966,-3.782,0.179,-0.099,0.768,4.331
65,-0.316,1.865,0.103,-1.239,0.0,0.713,-2.249,-0.253,-1.117,-0.315,-0.471,0.042,-0.311,0.264,-0.673,-0.94,-3.734,0.054,-0.41,0.825,3.175
66,-1.02,1.947,0.217,-0.456,0.0,0.562,-1.758,0.299,-0.423,0.504,-0.847,0.037,-0.372,0.418,0.031,-0.975,-3.283,0.629,0.261,0.565,3.958
67,-0.454,1.41,0.001,-1.248,0.0,0.621,-2.185,-0.142,-1.138,-0.133,-0.089,0.148,-0.145,0.218,-0.612,-0.952,-3.235,0.243,-0.212,0.791,3.229
68,-0.801,2.056,0.203,-1.129,0.0,1.099,-2.164,-0.006,-1.129,-0.11,0.195,0.102,-0.102,0.385,-0.396,-0.751,-3.385,0.052,-0.296,0.547,4.33
69,-0.465,1.937,-0.004,-1.172,0.0,0.759,-2.563,-0.435,-1.149,-0.46,1.05,0.122,-0.484,0.206,-0.789,-0.792,-3.433,-0.205,-0.606,0.645,4.037
70,-0.64,2.083,0.123,-1.467,0.0,0.606,-2.481,-0.232,-1.147,-0.117,-0.247,-0.041,-0.321,0.425,-0.749,-0.961,-3.877,-0.123,-0.386,0.747,3.623
71,-0.246,2.064,-0.005,-1.24,0.0,1.014,-2.422,-0.195,-1.295,-0.254,-0.013,-0.043,-0.086,0.101,-0.699,-0.988,-3.79,0.025,-0.298,0.898,3.793
72,-0.474,1.994,-0.241,-1.656,0.0,0.843,-2.487,-0.275,-1.205,-0.318,0.565,-0.013,0.012,0.164,-0.678,-0.739,-3.142,-0.13,-0.454,0.794,4.014
73,-0.648,1.95,0.108,-1.442,0.0,0.941,-2.508,-0.364,-1.039,-0.191,0.218,0.044,-0.302,0.269,-0.555,-0.925,-3.605,-0.136,-0.318,0.823,3.766
74,-0.664,1.917,0.309,-1.105,0.0,0.831,-2.348,-0.199,-1.15,-0.02,-0.113,0.044,-0.174,0.185,-0.635,-0.824,-3.587,0.065,-0.405,0.611,3.746
75,-0.409,1.959,-0.104,-1.316,0.0,1.238,-2.687,-0.433,-1.292,-0.404,1.28,-0.017,0.136,0.243,-0.692,-0.652,-3.218,0.077,-0.534,0.867,4.164
76,-0.94,1.862,-0.028,-1.024,0.0,0.985,-2.272,-0.061,-0.964,0.113,-0.328,-0.016,-0.092,0.624,-0.212,-0.836,-3.353,0.411,-0.206,0.801,3.767
77,-0.742,1.983,0.137,-0.65,0.0,0.888,-1.836,-0.003,-0.0,0.085,-0.744,0.579,-0.04,0.465,-0.034,-0.78,-3.061,0.536,0.288,0.688,3.78
78,-0.831,1.696,0.078,-1.04,0.0,0.972,-2.214,0.074,-0.844,0.123,-0.41,0.073,-0.43,0.504,-0.31,-1.141,-3.507,0.117,-0.099,0.817,3.995
79,-0.359,2.033,-0.023,-1.444,0.0,0.977,-2.531,-0.349,-1.151,-0.359,0.1,0.157,-0.36,0.131,-0.57,-0.712,-3.547,-0.139,-0.363,0.815,3.716
80,-0.744,1.989,0.156,-1.357,0.0,0.63,-2.649,-0.32,-1.044,-0.224,0.16,0.007,-0.075,0.145,-0.49,-0.9,-3.634,0.085,-0.385,0.599,3.908
81,-0.392,1.947,-0.024,-1.495,0.0,1.048,-3.023,-0.359,-1.628,-0.354,0.717,-0.233,-0.276,0.122,-0.864,-0.8,-3.599,-0.405,-0.654,0.845,3.893
82,-1.025,1.517,0.069,-0.613,0.0,0.714,-1.654,0.318,-0.349,0.442,-0.709,-0.02,-0.09,0.545,-0.009,-0.842,-2.781,0.484,0.169,0.561,3.51
83,-0.857,1.979,0.152,-1.293,0.0,0.881,-2.143,0.007,-0.949,-0.09,-0.026,0.157,0.051,0.482,-0.512,-0.887,-3.463,-0.098,-0.176,0.457,4.141
84,-0.698,1.792,0.191,-1.207,0.0,0.406,-2.565,-0.223,-0.819,-0.195,-0.117,0.116,-0.11,0.429,-0.542,-1.09,-3.78,-0.0,-0.312,0.64,3.567
85,-0.463,2.06,-0.036,-0.994,0.0,1.171,-2.362,-0.238,-1.004,-0.253,0.396,0.222,-0.432,0.209,-0.623,-0.94,-3.575,-0.055,-0.127,0.853,4.365
86,-1.291,2.0,0.313,-0.643,0.0,1.11,-1.925,0.42,0.035,0.368,-0.237,0.442,-0.252,0.924,0.378,-0.931,-3.455,0.367,0.285,0.369,5.539
87,-0.239,1.858,0.173,-1.322,0.0,0.786,-2.54,-0.547,-1.189,-0.347,-0.102,0.039,-0.233,0.15,-0.811,-0.845,-3.889,-0.039,-0.431,0.999,3.088
88,-1.107,1.911,0.042,-0.826,0.0,0.668,-1.512,0.323,-0.257,0.364,-0.566,0.122,-0.099,0.852,0.044,-1.07,-3.377,0.226,0.211,0.433,4.568
89,-0.442,2.107,0.091,-1.242,0.0,1.015,-2.305,-0.229,-1.15,-0.146,-0.039,0.148,-0.103,0.235,-0.564,-0.556,-3.122,-0.028,-0.356,0.81,3.419
90,-0.625,2.339,0.058,-1.473,0.0,0.91,-2.761,-0.347,-1.435,-0.212,0.251,-0.137,-0.327,0.338,-0.681,-0.919,-3.948,-0.055,-0.585,0.657,4.42
91,-0.729,2.33,0.132,-1.527,0.0,1.069,-2.689,-0.219,-1.361,-0.224,0.333,0.176,-0.256,0.201,-0.799,-0.792,-3.791,0.063,-0.374,0.66,4.616
92,-0.602,1.967,0.23,-1.196,0.0,0.85,-2.889,-0.345,-1.363,-0.155,0.873,-0.211,-0.309,0.164,-0.811,-0.887,-3.782,-0.266,-0.549,0.637,4.336
93,-0.513,2.13,-0.25,-1.42,0.0,1.042,-2.556,-0.297,-1.373,-0.259,0.013,-0.004,-0.298,0.407,-0.687,-0.927,-3.566,-0.039,-0.284,0.845,3.867
94,-0.5,2.029,-0.017,-0.78,0.0,0.813,-2.112,0.125,-0.272,0.093,-0.545,0.253,-0.161,0.574,-0.028,-0.708,-3.1,0.348,0.044,0.679,3.835
95,-0.19,1.985,-0.175,-1.382,0.0,0.725,-2.865,-0.492,-1.889,-0.296,0.243,-0.338,-0.033,0.216,-0.996,-0.786,-3.627,-0.083,-0.671,0.962,3.192
96,-1.2,2.202,0.257,-0.948,0.0,0.712,-2.34,0.035,-0.71,0.21,-0.441,0.129,-0.15,0.463,-0.285,-1.037,-3.813,-0.011,-0.051,0.592,4.675
97,-0.359,1.914,-0.035,-1.351,0.0,1.014,-2.128,-0.124,-0.944,-0.145,0.261,0.12,-0.246,0.498,-0.486,-0.954,-3.316,-0.12,-0.084,0.828,4.005
98,-1.339,2.074,0.352,-1.212,0.0,0.477,-2.34,0.145,-0.649,0.435,-0.899,-0.091,-0.272,0.581,-0.118,-1.056,-4.059,0.44,-0.053,0.559,4.431
99,-0.704,2.075,0.041,-1.144,0.0,0.905,-2.412,-0.244,-1.009,-0.337,0.589,0.064,-0.294,0.265,-0.626,-0.788,-3.49,-0.174,-0.363,0.658,4.233
100,-0.43,1.92,-0.046,-1.556,0.0,0.723,-2.506,-0.253,-1.653,-0.292,0.196,-0.067,-0.404,0.331,-0.989,-0.899,-3.453,-0.236,-0.421,0.834,3.432
101,-0.584,1.653,0.094,-1.385,0.0,0.786,-2.241,-0.09,-1.103,-0.076,0.349,-0.227,-0.063,0.469,-0.496,-0.998,-3.308,0.024,-0.465,0.792,3.609
102,-0.761,1.939,0.074,-0.762,0.0,0.708,-2.113,-0.084,-0.686,-0.131,-0.055,0.179,-0.089,0.305,-0.279,-0.679,-3.072,-0.138,-0.187,0.473,3.907
103,-0.812,1.909,-0.047,-1.369,0.0,0.74,-2.254,-0.047,-0.686,-0.014,-0.46,0.084,-0.127,0.589,-0.162,-1.067,-3.743,0.175,-0.271,0.769,4.11
104,-0.291,1.757,-0.097,-1.521,0.0,0.911,-2.566,-0.299,-1.192,-0.43,0.117,0.047,-0.068,0.343,-0.595,-0.729,-3.204,-0.182,-0.436,1.032,3.092
105,-0.226,2.049,-0.07,-1.349,0.0,1.224,-2.726,-0.323,-1.396,-0.439,0.651,-0.014,-0.124,0.227,-0.802,-0.723,-3.394,-0.119,-0.52,0.852,3.737
106,-0.336,2.201,-0.185,-1.229,0.0,1.055,-2.542,-0.382,-1.11,-0.418,0.605,0.208,-0.064,0.312,-0.771,-0.886,-3.523,-0.082,-0.319,0.905,4.167
107,-0.597,1.942,0.076,-1.167,0.0,1.023,-2.482,-0.208,-0.972,-0.078,0.01,0.132,-0.027,0.327,-0.58,-0.873,-3.393,-0.165,-0.446,0.803,3.7
108,-1.165,1.89,0.262,-0.502,0.0,0.473,-1.328,0.459,0.168,0.205,-1.039,0.672,-0.043,0.853,0.071,-0.945,-3.187,0.368,0.318,0.296,4.127
109,-0.861,2.108,0.239,-1.079,0.0,0.857,-2.426,-0.13,-0.929,-0.106,-0.377,0.116,-0.137,0.314,-0.458,-0.853,-3.799,0.228,-0.421,0.641,4.124
110,-0.397,1.933,0.053,-1.193,0.0,0.791,-2.68,-0.401,-1.315,-0.298,0.555,-0.06,-0.204,-0.005,-0.888,-0.587,-3.738,-0.089,-0.498,0.929,3.671
111,-0.795,2.155,0.22,-1.168,0.0,1.009,-2.231,-0.16,-0.627,-0.239,-0.033,0.577,-0.174,0.258,-0.491,-0.791,-3.673,-0.006,-0.143,0.571,4.593
112,-0.807,1.831,0.12,-0.624,0.0,0.59,-1.998,0.075,-0.299,-0.004,-0.426,0.47,-0.194,0.458,-0.259,-1.005,-3.485,-0.048,0.03,0.57,3.901
113,-0.837,1.736,0.155,-0.879,0.0,0.582,-1.678,0.159,-0.453,0.076,-1.073,0.368,-0.252,0.621,-0.031,-1.014,-3.318,0.572,0.15,0.55,3.519
114,-0.65,1.614,0.116,-0.875,0.0,0.651,-2.123,-0.109,-0.477,0.068,-0.547,0.224,-0.097,0.491,-0.245,-1.066,-3.72,0.17,-0.018,0.917,3.656
115,-1.018,2.046,0.371,-0.697,0.0,0.85,-2.242,0.077,-0.566,0.19,-0.368,-0.014,-0.293,0.476,-0.213,-1.101,-4.048,0.076,-0.086,0.602,4.66
116,-1.039,1.755,0.224,-0.876,0.0,0.923,-2.2,0.114,-0.707,0.325,-0.134,0.065,-0.172,0.545,-0.164,-0.994,-3.672,0.294,0.032,0.663,4.628
117,-0.237,1.692,-0.036,-1.147,0.0,0.856,-2.469,-0.412,-1.475,-0.189,0.101,-0.302,-0.395,-0.058,-0.726,-0.816,-3.398,-0.097,-0.456,0.968,2.896
118,-0.797,2.104,0.014,-0.863,0.0,1.124,-2.632,-0.179,-0.72,-0.09,0.05,0.134,-0.528,0.302,-0.379,-0.831,-3.706,0.121,-0.252,0.835,4.308
119,-0.712,1.891,-0.114,-1.119,0.0,0.776,-2.148,0.099,-0.71,0.002,-0.715,0.313,-0.192,0.619,-0.236,-1.043,-3.428,0.057,-0.024,0.832,3.97
120,-0.945,2.073,0.073,-0.96,0.0,0.959,-2.445,-0.021,-0.48,0.213,-0.333,0.113,-0.173,0.588,-0.042,-0.81,-3.355,0.442,0.017,0.66,4.326
121,-0.075,2.089,0.01,-1.43,0.0,0.755,-3.137,-0.576,-1.726,-0.514,0.407,-0.289,-0.237,-0.214,-1.019,-0.958,-4.245,-0.478,-0.906,0.995,3.502
122,-0.58,1.841,-0.032,-1.382,0.0,1.049,-2.452,-0.176,-0.886,-0.159,-0.434,0.252,-0.37,0.368,-0.415,-0.811,-3.326,0.09,-0.343,0.975,3.676
123,-0.988,2.152,-0.026,-0.865,0.0,0.83,-2.274,0.097,-0.484,0.088,-0.284,0.133,-0.211,0.383,-0.269,-0.952,-3.499,0.309,0.015,0.616,4.284
124,-0.714,1.762,0.098,-0.812,0.0,0.372,-1.602,0.239,-0.542,0.027,-0.482,0.05,-0.148,0.554,-0.181,-0.975,-3.403,0.324,0.096,0.519,3.725
125,-0.559,2.157,-0.013,-1.384,0.0,0.801,-2.352,-0.159,-0.932,-0.165,0.077,0.042,-0.384,0.294,-0.49,-1.036,-3.655,-0.198,-0.271,0.691,4.348
126,-0.269,1.674,0.034,-1.45,0.0,0.861,-2.664,-0.391,-1.573,-0.277,0.253,-0.168,0.071,0.113,-0.722,-0.975,-3.486,-0.168,-0.48,0.925,3.251
127,-0.433,2.126,-0.076,-1.484,0.0,0.864,-2.7,-0.278,-1.607,-0.146,0.297,-0.324,-0.325,0.387,-0.74,-0.905,-3.859,-0.213,-0.726,0.818,4.093
128,-1.023,2.112,0.218,-1.155,0.0,0.826,-2.233,0.246,-1.05,0.39,-0.717,-0.121,-0.215,0.917,-0.252,-0.974,-3.839,0.376,0.007,0.622,4.637
129,-0.299,1.878,0.129,-1.116,0.0,1.07,-2.706,-0.342,-1.514,-0.419,0.578,-0.072,-0.153,0.153,-0.795,-0.898,-3.651,0.033,-0.733,0.815,3.762
130,-0.306,2.02,-0.09,-1.349,0.0,0.849,-2.676,-0.411,-0.963,-0.6,0.314,0.177,-0.366,0.28,-0.591,-0.901,-3.561,-0.307,-0.463,0.803,3.632
131,-0.38,1.911,0.058,-1.359,0.0,0.916,-2.77,-0.39,-1.399,-0.425,0.273,-0.144,0.102,0.127,-0.896,-0.9,-3.677,-0.194,-0.706,0.709,3.554
132,-0.301,1.679,-0.091,-1.588,0.0,0.978,-2.434,-0.356,-1.575,-0.26,0.257,-0.174,-0.322,0.198,-0.778,-1.037,-3.485,0.034,-0.541,1.046,3.296
133,-0.975,2.113,-0.026,-1.213,0.0,0.822,-2.391,0.015,-0.962,0.165,-0.389,-0.09,-0.292,0.468,-0.389,-1.133,-4.014,-0.015,-0.293,0.602,4.537
134,-0.422,2.078,-0.041,-1.431,0.0,0.999,-2.543,-0.432,-1.324,-0.619,0.636,0.33,-0.286,0.139,-0.898,-0.812,-3.724,-0.266,-0.548,0.86,4.062
135,-0.751,1.92,0.211,-0.812,0.0,0.855,-2.328,-0.005,-0.83,0.161,0.027,-0.029,-0.331,0.165,-0.431,-0.86,-3.558,0.016,-0.311,0.59,4.027
136,-0.516,2.028,-0.098,-1.49,0.0,1.138,-2.681,-0.368,-1.593,-0.318,0.649,-0.058,-0.1,0.293,-0.75,-0.765,-3.261,-0.034,-0.576,0.879,3.72
137,-0.683,1.993,-0.178,-1.344,0.0,0.631,-2.649,-0.223,-1.229,-0.31,0.592,0.027,0.03,0.404,-0.732,-0.939,-3.518,-0.247,-0.52,0.6,4.157
138,-0.673,2.29,-0.048,-1.225,0.0,0.947,-2.863,-0.307,-1.026,-0.13,-0.046,0.103,-0.19,0.262,-0.594,-0.82,-3.82,0.032,-0.336,0.925,4.062
139,-0.562,1.857,-0.027,-1.467,0.0,0.792,-2.663,-0.249,-1.222,-0.253,0.409,0.089,-0.282,0.256,-0.615,-0.81,-3.439,-0.195,-0.449,0.743,3.832
140,-0.795,1.993,-0.12,-1.137,0.0,0.994,-2.157,-0.02,-0.881,0.045,0.163,0.104,0.044,0.574,-0.42,-0.751,-3.004,0.096,-0.123,0.634,4.082
