Unnamed: 0,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,y,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
14,0.014,1.002,2.964,-0.525,0.006,1.419,6.146,2.739,0.246,-2.954,1.0,0.064,-3.4,7.951,0.378,-5.403,-7.81,5.927,0.071,-1.572,0.107
15,0.035,1.683,3.637,-0.084,0.064,1.357,6.075,2.799,0.313,-3.417,1.0,-0.158,-3.177,8.868,0.085,-5.999,-8.271,6.655,-0.138,-1.704,0.145
16,-0.109,1.317,2.926,-0.781,0.69,1.212,6.543,2.993,-0.046,-3.23,1.0,0.52,-3.151,7.583,-0.108,-6.087,-8.348,6.173,-0.014,-1.731,-0.26
17,0.154,1.203,3.05,-0.18,0.483,1.404,6.023,3.122,0.037,-3.187,1.0,0.193,-3.793,7.69,0.654,-5.871,-7.91,5.44,-0.065,-1.786,0.016
18,0.334,2.058,3.55,-0.257,0.648,1.366,7.744,1.912,0.242,-4.044,0.0,-0.11,-2.833,8.959,0.54,-7.601,-10.989,6.532,0.054,-1.375,0.101
19,0.418,1.512,3.581,-0.517,0.836,1.041,6.511,3.238,0.228,-3.535,0.0,0.104,-4.364,8.113,0.639,-6.69,-9.748,6.195,-0.253,-1.735,0.106
20,0.066,1.547,3.747,-0.69,0.2,1.377,7.394,2.287,-0.196,-4.008,0.0,0.096,-3.041,8.136,0.212,-7.378,-10.113,6.187,-0.024,-1.417,-0.107
21,0.438,1.737,3.577,-0.171,0.942,1.572,7.415,2.841,0.173,-3.911,0.0,0.165,-4.117,9.041,1.103,-7.257,-10.502,6.265,-0.114,-1.574,-0.155
22,0.443,2.292,3.096,0.104,0.566,1.377,7.994,1.858,0.076,-3.831,0.0,0.07,-3.005,8.685,0.901,-7.764,-10.571,5.698,0.276,-1.386,-0.086
23,0.541,1.837,3.448,-0.205,1.281,1.317,7.258,2.495,0.07,-3.73,0.0,0.059,-4.002,7.538,0.972,-7.42,-10.028,4.995,-0.067,-1.532,-0.239
24,0.525,2.064,3.718,0.099,0.824,1.632,7.59,2.806,-0.076,-4.006,0.0,0.018,-4.113,9.012,1.171,-7.788,-10.635,5.751,-0.175,-1.373,0.103
25,0.352,1.597,3.478,-0.416,0.628,1.497,7.277,3.177,-0.108,-3.794,0.0,0.052,-4.128,9.011,0.665,-7.144,-10.232,6.439,-0.071,-1.482,-0.074
26,0.138,1.664,3.442,-0.076,0.802,1.234,6.406,0.977,-0.074,-3.662,0.0,-0.007,-1.696,8.247,0.348,-6.59,-8.911,5.664,-0.006,-1.057,-0.176
27,0.537,1.774,3.557,-0.082,0.923,1.359,7.167,2.556,0.134,-3.779,0.0,0.152,-3.406,8.598,0.289,-7.158,-10.256,6.073,0.008,-1.629,-0.094
28,0.191,1.582,3.231,-0.545,0.065,1.201,6.415,3.046,0.005,-3.455,0.0,0.22,-3.987,7.896,0.706,-6.48,-9.141,5.713,-0.317,-1.508,0.141
29,0.121,1.374,3.265,-0.584,-0.018,1.624,7.423,2.862,-0.2,-3.887,0.0,0.364,-4.193,7.692,1.15,-7.33,-9.597,5.168,-0.029,-1.443,-0.062
30,0.504,1.659,3.402,-0.068,0.385,1.259,6.532,2.634,0.427,-3.513,0.0,0.055,-3.58,8.433,0.51,-6.614,-9.558,6.18,0.043,-1.829,-0.09
31,0.187,2.166,3.431,-0.099,0.849,1.637,8.164,2.197,-0.018,-4.284,0.0,0.321,-3.065,7.834,0.581,-8.508,-11.145,5.249,0.052,-1.504,-0.181
32,0.004,0.985,3.158,-1.085,0.279,1.398,7.159,2.715,-0.031,-3.685,0.0,0.339,-3.479,7.569,0.458,-6.772,-9.649,5.886,-0.041,-1.739,0.204
33,0.098,1.274,3.534,-0.165,0.089,1.628,6.64,1.752,0.21,-3.612,0.0,-0.167,-2.039,8.854,-0.013,-6.607,-9.285,6.531,0.141,-1.327,0.149
34,0.278,1.591,3.257,-0.695,1.192,1.208,7.417,2.394,-0.001,-3.884,0.0,0.071,-3.224,8.346,0.083,-7.348,-10.354,6.407,-0.108,-1.381,-0.094
35,0.276,1.568,3.197,-0.121,-0.315,1.356,6.762,3.647,0.358,-3.764,0.0,0.262,-4.443,7.776,0.938,-6.769,-9.53,5.442,-0.015,-1.833,0.206
36,0.358,1.734,3.265,-0.28,0.619,1.477,7.324,2.363,0.131,-3.702,0.0,0.081,-3.505,7.583,0.887,-7.314,-10.082,4.934,-0.135,-1.664,0.176
37,0.054,2.038,3.636,-0.305,0.618,1.428,7.716,1.528,0.088,-4.104,0.0,0.098,-2.156,8.343,-0.053,-7.788,-10.55,6.211,0.216,-1.143,-0.296
38,0.545,1.893,3.221,-0.225,0.421,1.339,7.601,1.733,0.318,-3.91,0.0,0.144,-2.936,7.668,0.768,-7.588,-10.65,5.292,0.003,-1.367,0.047
39,0.298,1.471,3.33,-0.769,0.06,1.528,7.938,2.477,0.17,-4.052,0.0,0.11,-3.476,8.27,0.296,-7.864,-10.985,6.236,0.128,-1.555,0.171
40,0.514,1.85,3.797,-0.071,0.386,1.401,7.549,2.393,0.409,-4.312,0.0,0.242,-3.838,8.224,1.205,-7.969,-11.022,5.562,-0.116,-1.646,0.157
41,0.298,2.122,2.921,-0.087,1.232,1.3,6.84,2.536,-0.105,-3.453,0.0,0.197,-3.953,7.567,1.23,-6.778,-9.157,4.897,-0.114,-1.252,-0.151
42,0.384,1.955,3.117,0.044,0.363,1.3,6.709,3.661,0.331,-3.653,0.0,0.718,-4.534,6.52,0.966,-6.848,-9.614,4.228,-0.0,-1.819,0.227
43,0.477,1.573,3.391,-0.469,0.88,1.327,6.776,3.194,0.025,-3.673,0.0,0.413,-4.124,7.652,0.456,-6.815,-9.499,5.685,0.026,-1.573,-0.001
44,0.363,1.382,2.849,-0.489,0.624,1.261,6.558,3.029,0.019,-3.342,0.0,-0.046,-4.299,8.243,0.871,-6.217,-8.925,5.859,0.025,-1.604,-0.232
45,0.481,1.778,2.977,-0.142,0.933,1.443,7.333,2.171,0.107,-3.572,0.0,0.167,-3.349,8.283,0.72,-7.006,-10.164,5.497,0.038,-1.311,-0.265
46,0.4,1.779,3.045,0.4,1.214,1.507,6.287,1.733,0.098,-3.784,0.0,-0.058,-2.184,7.544,0.283,-6.894,-9.634,4.949,-0.143,-1.212,-0.233
47,0.547,1.619,3.337,-0.379,0.658,1.371,6.84,2.315,0.071,-3.492,0.0,0.042,-3.647,7.857,0.777,-6.66,-9.372,5.578,-0.055,-1.327,0.005
48,0.336,1.835,3.164,0.189,0.819,1.371,7.335,0.976,0.174,-3.718,0.0,-0.046,-2.232,7.623,0.87,-7.391,-9.904,4.929,0.034,-0.917,-0.043
49,0.217,1.534,3.22,-0.536,0.697,1.57,7.576,2.826,-0.028,-4.045,0.0,0.155,-4.011,8.496,0.802,-7.233,-10.168,5.861,-0.019,-1.617,-0.162
50,0.4,1.608,3.29,-0.504,1.037,1.301,7.174,2.663,-0.179,-3.803,0.0,0.212,-3.392,7.941,0.123,-7.422,-9.997,5.96,-0.032,-1.505,-0.352
51,0.565,1.877,3.231,-0.047,1.225,1.281,6.538,1.379,0.087,-3.555,0.0,-0.035,-2.641,7.003,0.698,-6.729,-9.184,4.701,0.029,-0.966,0.061
52,0.226,1.973,3.516,-0.618,1.437,1.386,7.789,2.191,0.188,-3.9,0.0,0.064,-2.995,8.444,0.241,-7.833,-10.851,6.56,0.08,-1.558,-0.09
53,0.208,1.802,3.293,-0.431,-0.022,1.398,7.609,1.913,0.211,-4.114,0.0,-0.173,-2.988,8.071,0.585,-7.374,-10.669,5.752,0.052,-1.542,0.11
54,0.097,1.805,3.516,-0.711,0.085,1.397,8.42,2.808,0.081,-4.609,0.0,0.376,-3.466,8.008,0.475,-8.436,-11.609,5.867,0.016,-1.741,0.0
55,0.45,1.828,3.201,0.161,0.854,1.4,6.841,3.823,0.142,-3.627,0.0,0.348,-4.558,7.699,1.175,-6.726,-9.345,4.913,0.15,-1.695,0.069
56,0.289,1.693,3.451,-0.52,1.102,1.503,6.998,2.49,0.254,-3.675,0.0,0.236,-3.101,7.917,0.086,-7.19,-10.042,5.878,0.032,-1.666,-0.095
57,0.191,1.889,3.337,-0.39,-0.145,1.593,8.172,1.804,0.009,-4.305,0.0,0.209,-2.828,7.728,0.697,-8.268,-11.141,5.403,-0.056,-1.169,0.178
58,0.372,1.912,3.091,-0.335,0.57,1.311,7.53,1.923,0.041,-4.046,0.0,0.166,-2.896,7.491,0.153,-7.759,-10.69,5.156,0.038,-1.274,-0.211
59,-0.095,0.988,2.773,-0.89,0.254,1.38,6.767,2.199,0.122,-3.484,0.0,0.085,-3.106,7.449,0.436,-6.328,-8.948,5.654,0.061,-1.566,0.055
60,0.175,1.509,3.33,-0.119,0.651,1.461,6.575,1.185,0.17,-3.387,0.0,-0.065,-2.107,7.878,0.38,-6.626,-8.988,5.609,0.177,-1.162,0.141
61,0.126,1.909,3.295,-0.387,0.915,1.45,7.765,2.523,0.011,-4.384,0.0,0.434,-3.302,7.789,0.367,-8.147,-11.153,5.524,-0.218,-1.689,-0.066
62,0.667,1.711,3.312,-0.086,0.776,1.445,6.873,1.841,0.174,-3.648,0.0,0.02,-3.505,8.22,1.073,-7.022,-9.961,5.439,-0.162,-1.126,0.022
63,0.316,2.06,3.373,0.166,0.72,1.445,7.422,2.675,0.057,-3.915,0.0,0.306,-3.602,8.905,0.738,-7.362,-10.211,5.858,0.185,-1.489,-0.021
64,0.387,2.022,2.997,0.079,0.719,1.252,7.918,2.134,0.177,-4.116,0.0,0.106,-2.962,8.178,0.416,-7.776,-10.901,5.445,0.097,-1.427,-0.002
65,0.338,1.349,3.077,-0.575,0.512,1.493,7.115,2.296,0.018,-3.748,0.0,0.021,-3.478,7.242,0.436,-7.138,-9.748,5.472,0.005,-1.439,0.127
66,0.38,1.587,3.493,-0.548,0.439,1.435,6.897,2.435,0.146,-4.15,0.0,0.065,-3.801,7.941,0.735,-7.269,-10.289,5.741,-0.343,-1.499,-0.079
67,0.208,1.921,3.268,-0.486,0.226,1.231,7.255,2.606,0.084,-3.951,0.0,0.032,-3.622,7.731,0.706,-7.285,-10.096,5.664,-0.159,-1.892,-0.179
68,0.407,1.625,3.426,-0.316,0.312,1.294,7.085,2.654,0.059,-3.598,0.0,0.259,-3.995,7.643,0.8,-6.937,-9.561,5.273,0.186,-1.628,0.085
69,0.41,1.728,3.507,-0.559,1.169,1.385,7.122,2.379,0.103,-3.937,0.0,0.003,-3.086,8.539,-0.2,-7.389,-10.552,6.638,-0.21,-1.538,-0.197
70,0.356,1.18,3.855,-0.975,0.358,1.551,7.158,3.205,0.157,-3.807,0.0,0.265,-4.32,9.044,0.31,-7.105,-10.098,7.166,-0.015,-1.811,0.091
71,0.102,1.607,3.454,-0.349,0.524,1.506,7.047,2.634,0.116,-3.751,0.0,-0.132,-3.701,8.977,0.827,-6.861,-9.455,6.342,0.03,-1.551,0.096
72,0.538,1.694,3.438,-0.712,0.619,1.306,7.711,2.954,0.041,-4.08,0.0,0.428,-4.255,8.077,0.758,-7.711,-11.005,5.858,-0.148,-1.599,-0.042
73,0.288,1.773,3.42,-0.154,0.568,1.41,6.692,2.446,0.173,-4.154,0.0,0.294,-2.51,7.376,-0.452,-7.511,-10.39,5.533,-0.202,-1.68,0.068
74,0.477,1.232,3.194,-0.936,0.281,1.435,7.828,3.397,0.08,-4.174,0.0,0.636,-5.03,7.738,1.206,-7.403,-10.877,5.49,-0.207,-1.835,-0.096
75,0.282,1.785,3.552,-0.262,0.6,1.347,7.17,2.549,0.076,-4.068,0.0,0.305,-3.706,7.971,0.777,-7.335,-10.043,5.588,-0.048,-1.613,-0.072
76,0.221,1.258,3.338,-0.335,0.565,1.447,6.437,1.718,0.034,-3.392,0.0,0.003,-2.716,7.761,0.477,-6.465,-8.728,5.624,-0.01,-1.391,0.072
77,0.262,1.549,3.353,0.022,0.115,1.586,6.671,2.221,0.118,-3.765,0.0,0.036,-3.091,7.991,0.545,-6.849,-9.475,5.301,0.024,-1.547,0.265
78,0.076,1.714,3.225,0.095,0.543,1.461,6.501,2.618,0.051,-3.445,0.0,0.148,-2.809,7.595,0.112,-6.942,-8.99,5.327,-0.131,-1.462,-0.083
79,0.198,1.221,3.347,-0.558,0.078,1.456,7.075,3.106,0.124,-3.679,0.0,0.227,-3.98,8.022,0.598,-6.881,-9.731,5.888,-0.159,-1.958,0.044
80,0.093,1.289,3.447,-0.55,0.41,1.409,6.739,2.653,0.118,-3.776,0.0,0.17,-3.291,8.063,0.404,-6.907,-9.465,6.204,0.055,-1.512,-0.029
81,0.365,1.362,3.513,-0.32,0.264,1.46,6.422,2.842,0.039,-3.402,0.0,0.107,-4.001,8.238,0.737,-6.231,-8.93,5.98,0.025,-1.602,0.042
82,0.457,1.822,3.082,-0.794,0.41,1.32,8.633,2.401,-0.206,-4.117,0.0,0.186,-4.423,8.402,1.298,-7.987,-11.082,5.835,0.027,-1.168,-0.107
83,0.41,1.735,3.597,-0.286,0.7,1.447,7.09,2.157,0.112,-3.802,0.0,0.042,-3.221,8.832,0.6,-7.114,-9.974,6.467,0.021,-1.372,-0.004
84,0.286,1.543,3.543,-0.53,1.044,1.407,7.463,3.005,0.014,-3.878,0.0,0.388,-3.802,8.397,0.254,-7.455,-10.131,6.355,-0.022,-1.637,0.09
85,0.271,1.681,2.889,-0.124,0.152,1.264,6.455,2.716,0.022,-3.545,0.0,0.089,-3.599,7.947,0.817,-6.416,-8.92,5.364,0.009,-1.612,-0.01
86,0.226,2.144,2.895,0.331,0.577,1.251,7.179,2.286,0.013,-3.988,0.0,0.168,-2.995,8.055,0.427,-7.322,-9.999,5.193,0.046,-1.303,-0.318
87,0.328,1.206,2.9,-0.551,0.76,1.713,6.777,3.059,-0.033,-3.539,0.0,0.461,-3.95,7.318,0.474,-6.763,-9.508,5.279,-0.118,-1.812,-0.197
88,0.158,1.945,3.178,0.191,0.797,1.313,6.584,1.559,-0.106,-3.312,0.0,0.127,-2.394,7.535,0.477,-6.731,-8.592,4.856,0.242,-1.074,-0.209
89,0.453,1.375,3.658,-0.371,1.135,1.384,7.041,3.302,0.136,-3.659,0.0,0.025,-4.176,8.775,0.561,-6.973,-10.052,6.375,-0.061,-1.689,0.118
90,0.381,1.857,3.424,0.15,1.134,1.428,6.186,1.757,0.237,-3.579,0.0,-0.077,-2.468,8.13,0.168,-6.708,-9.094,5.772,-0.012,-1.35,-0.1
91,0.259,1.744,3.432,0.132,0.591,1.471,6.794,2.931,0.162,-3.668,0.0,-0.133,-3.455,8.806,0.428,-7.029,-9.659,6.092,-0.13,-1.6,-0.103
92,0.37,1.202,3.491,-0.768,0.193,1.412,6.753,2.411,0.14,-3.67,0.0,0.004,-3.393,8.562,0.074,-6.665,-9.923,6.887,0.009,-1.453,0.165
93,0.167,2.345,2.926,0.041,0.57,1.184,7.955,1.327,0.077,-4.239,0.0,0.261,-2.437,7.115,0.753,-7.923,-10.783,4.48,0.231,-0.97,0.041
94,0.334,1.718,3.401,0.057,0.3,1.441,6.247,1.491,0.311,-3.403,0.0,-0.152,-2.126,8.431,0.11,-6.387,-9.312,6.057,0.142,-1.387,0.104
95,0.397,2.059,3.831,-0.346,0.307,1.596,7.791,1.872,0.3,-4.137,0.0,0.07,-3.526,8.884,1.145,-7.933,-10.875,6.322,-0.04,-1.415,0.132
96,0.378,1.617,3.098,-0.568,0.989,1.297,7.683,3.689,0.087,-3.982,0.0,0.473,-4.881,8.513,0.864,-7.261,-10.63,6.085,-0.033,-1.879,-0.3
97,0.118,1.376,3.421,-0.571,0.542,1.424,6.852,2.874,-0.045,-3.441,0.0,0.282,-3.263,8.077,-0.222,-6.941,-9.608,6.288,-0.108,-1.859,0.038
98,0.436,1.455,3.281,-0.491,0.7,1.292,6.731,2.187,0.24,-3.567,0.0,-0.011,-3.729,8.121,1.012,-6.539,-9.596,5.804,-0.124,-1.47,0.13
99,0.266,2.224,3.402,-0.037,0.611,1.581,8.672,2.224,0.01,-4.279,0.0,0.278,-2.989,8.189,0.766,-8.507,-11.289,5.469,0.3,-1.289,-0.079
100,0.492,1.171,3.208,-1.052,0.279,1.461,6.915,2.804,0.183,-3.362,0.0,0.028,-4.441,7.331,0.679,-6.648,-9.568,5.637,0.077,-1.784,0.035
101,0.33,1.797,3.577,-0.43,0.402,1.343,7.625,2.556,0.02,-4.232,0.0,0.12,-3.448,8.143,0.534,-7.872,-10.775,5.755,-0.039,-1.463,0.064
102,0.251,1.546,3.012,-0.146,0.884,1.305,7.121,1.989,-0.207,-3.575,0.0,-0.129,-3.022,8.562,0.451,-6.84,-9.592,5.764,-0.015,-1.294,-0.173
103,0.381,1.739,2.966,-0.242,0.882,1.456,7.857,2.389,-0.061,-4.037,0.0,0.489,-3.734,7.598,0.861,-7.87,-10.67,4.915,-0.169,-1.542,-0.22
104,0.314,1.823,3.598,-0.527,0.659,1.508,8.012,1.867,0.106,-4.302,0.0,0.122,-3.474,8.403,0.844,-8.108,-11.183,6.008,-0.083,-1.301,0.072
105,0.416,1.582,3.039,-0.135,0.499,1.286,6.888,2.629,-0.069,-3.87,0.0,0.386,-4.032,7.611,0.735,-6.864,-9.705,5.035,-0.198,-1.469,-0.193
106,0.064,1.787,3.489,-0.608,-0.308,1.519,8.005,3.163,0.264,-4.134,0.0,0.29,-3.8,8.187,0.589,-7.707,-10.736,6.013,0.224,-1.959,0.129
107,0.376,1.676,3.155,-0.53,0.853,1.632,7.736,3.367,-0.095,-3.956,0.0,0.588,-4.151,7.832,0.401,-7.762,-10.781,5.506,-0.208,-1.782,-0.189
108,0.379,1.709,3.718,-0.887,0.229,1.359,7.824,2.673,0.315,-4.061,0.0,0.259,-4.181,8.128,0.86,-7.784,-10.995,6.209,0.007,-1.66,0.071
109,0.598,1.77,3.488,-0.091,0.63,1.336,6.178,1.809,0.087,-3.343,0.0,-0.191,-2.925,8.031,0.297,-6.162,-9.159,5.627,0.035,-1.48,-0.07
110,0.234,1.516,3.1,-0.934,0.381,1.306,7.411,2.214,-0.124,-3.746,0.0,0.205,-3.498,7.96,0.341,-7.025,-9.861,6.136,-0.055,-1.198,-0.179
111,0.346,2.044,3.1,0.039,0.304,1.379,7.172,2.024,0.039,-3.69,0.0,0.063,-2.931,8.433,0.684,-7.029,-9.938,5.663,0.065,-1.44,-0.108
112,0.352,0.861,3.358,-1.316,0.173,1.386,7.0,2.633,-0.057,-3.254,0.0,-0.126,-4.278,8.015,0.8,-6.144,-8.937,6.412,0.233,-1.347,-0.002
113,0.327,1.54,3.236,-0.559,0.883,1.387,6.837,1.962,-0.153,-3.653,0.0,0.256,-2.964,8.075,0.213,-6.748,-9.505,5.951,-0.077,-1.315,-0.09
114,0.168,1.825,2.808,0.042,0.174,1.425,7.173,2.2,0.104,-3.621,0.0,0.063,-3.277,7.931,0.942,-6.882,-9.695,5.04,0.057,-1.339,-0.02
115,0.267,1.643,3.698,-0.122,0.09,1.339,6.382,3.277,0.173,-3.858,0.0,-0.043,-3.691,8.794,0.015,-6.809,-9.778,6.653,-0.227,-1.882,0.016
116,0.134,1.604,3.694,-0.265,0.369,1.567,6.807,2.431,-0.002,-3.637,0.0,-0.029,-3.161,8.757,0.274,-6.714,-9.383,6.37,0.076,-1.455,0.006
117,0.202,1.516,3.098,-0.707,0.539,1.347,7.926,2.442,-0.227,-3.944,0.0,0.241,-3.579,8.351,0.778,-7.49,-10.167,5.875,-0.008,-1.246,-0.1
118,0.419,1.934,2.881,-0.224,0.921,1.461,7.682,2.519,-0.017,-4.074,0.0,0.627,-3.931,7.175,0.961,-7.694,-10.607,4.739,-0.028,-1.351,-0.367
119,0.132,1.508,3.675,-0.834,0.122,1.259,7.542,3.03,0.164,-4.075,0.0,0.32,-4.01,8.501,0.526,-7.387,-10.459,6.586,-0.043,-1.547,0.134
120,0.477,1.983,3.442,-0.454,0.639,1.465,8.177,1.813,0.116,-4.082,0.0,-0.104,-3.014,8.661,0.812,-7.946,-11.113,6.051,-0.034,-1.233,-0.054
121,0.329,1.587,3.231,-0.533,0.495,1.554,7.386,1.881,0.203,-4.06,0.0,0.196,-3.037,7.669,0.501,-7.498,-10.514,5.72,-0.004,-1.207,-0.115
122,0.353,1.705,3.194,-0.701,0.718,1.287,7.886,3.309,-0.012,-3.997,0.0,0.367,-4.453,8.111,0.714,-7.645,-10.708,6.06,-0.063,-1.638,-0.219
123,0.192,1.158,3.148,-0.626,0.881,1.461,6.539,3.757,0.054,-3.662,0.0,0.409,-4.51,6.853,0.664,-6.783,-9.156,5.014,-0.222,-1.847,0.032
124,0.235,1.285,3.107,-1.322,0.726,1.483,8.429,2.198,0.031,-4.045,0.0,0.208,-3.768,7.611,0.875,-7.84,-11.042,5.917,0.098,-1.235,-0.034
125,0.455,1.31,3.291,-0.727,0.808,1.327,7.025,2.09,-0.063,-3.666,0.0,0.012,-3.474,7.728,0.641,-6.633,-9.701,5.685,0.055,-1.225,0.048
126,0.411,1.254,2.869,-0.492,0.84,1.549,7.139,1.898,-0.006,-3.725,0.0,0.323,-3.881,7.916,1.272,-6.677,-9.67,5.198,-0.044,-1.228,-0.086
127,0.312,1.875,3.516,-0.391,0.349,1.377,7.421,2.746,0.131,-4.099,0.0,0.076,-3.44,8.426,0.375,-7.696,-10.784,6.168,-0.225,-1.645,0.013
128,0.195,1.608,3.92,-0.129,0.607,1.332,6.145,2.163,0.04,-3.567,0.0,-0.278,-2.532,8.987,0.13,-6.598,-8.991,6.804,-0.265,-1.452,-0.058
129,0.207,1.765,2.832,0.036,0.893,1.391,6.491,3.886,-0.154,-3.409,0.0,0.443,-4.122,7.884,0.418,-6.484,-8.768,5.264,-0.058,-1.907,-0.031
130,0.251,1.476,3.346,-0.588,1.06,1.431,7.366,2.374,0.178,-3.831,0.0,0.08,-3.612,8.356,0.669,-7.24,-10.323,6.209,-0.08,-1.594,-0.217
131,0.525,1.066,3.065,-0.891,0.856,1.526,7.406,2.964,-0.101,-3.601,0.0,0.458,-4.231,7.987,0.509,-7.001,-9.893,5.926,-0.035,-1.603,-0.245
132,0.185,1.463,3.642,-0.552,0.269,1.487,6.71,2.291,0.209,-3.793,0.0,0.211,-3.219,8.099,0.541,-6.874,-9.667,6.104,-0.245,-1.457,0.302
133,0.44,1.209,3.414,-0.55,0.2,1.607,6.252,2.178,0.196,-3.703,0.0,-0.052,-3.452,7.824,0.673,-6.423,-9.562,5.757,-0.303,-1.634,0.15
134,-0.191,1.727,3.447,-0.377,0.386,1.422,6.963,2.637,-0.001,-3.612,0.0,0.12,-2.476,8.357,-0.35,-6.979,-9.51,6.291,-0.111,-1.774,0.132
135,0.203,1.37,3.175,-0.631,0.872,1.358,7.199,3.584,-0.031,-3.437,0.0,0.544,-4.458,7.634,0.788,-6.889,-9.44,5.54,0.095,-1.802,0.018
136,0.304,1.476,3.033,-0.363,0.845,1.423,6.702,2.037,-0.005,-3.351,0.0,-0.228,-3.776,8.168,1.185,-6.179,-8.639,5.635,0.25,-1.24,-0.207
137,0.51,1.527,3.48,-0.838,0.426,1.543,7.777,1.912,0.026,-3.963,0.0,-0.017,-4.033,8.01,1.202,-7.425,-10.531,5.82,0.003,-1.07,0.084
138,0.557,1.407,3.358,-1.047,0.784,1.489,7.343,2.808,0.271,-3.847,0.0,0.224,-3.943,8.005,0.169,-7.401,-10.63,6.578,-0.042,-1.739,-0.085
139,0.292,1.402,2.996,-0.311,0.616,1.512,6.402,1.851,0.043,-3.263,0.0,0.066,-3.139,7.601,0.904,-6.14,-8.599,5.209,0.182,-1.165,-0.122
140,0.478,1.762,3.195,-0.335,0.865,1.398,7.387,2.149,0.276,-3.763,0.0,0.031,-3.34,7.708,0.358,-7.225,-10.403,5.646,0.117,-1.539,0.144
141,0.065,1.97,3.588,-0.545,-0.069,1.409,7.847,1.97,0.231,-4.409,0.0,0.278,-2.317,7.909,-0.153,-8.465,-11.56,5.998,-0.223,-1.444,0.191
142,0.257,1.125,3.429,-0.847,0.423,1.263,6.945,1.732,0.21,-3.861,0.0,0.034,-2.674,7.935,0.175,-6.915,-9.99,6.327,0.077,-1.28,0.231
143,0.357,1.833,3.071,-0.5,1.312,1.242,7.693,2.7,-0.043,-3.881,0.0,0.427,-3.645,7.779,0.445,-7.567,-10.293,5.618,0.068,-1.635,-0.227
144,0.51,2.126,3.206,-0.08,0.938,1.37,7.098,2.244,-0.019,-4.011,0.0,-0.1,-3.551,8.175,0.445,-7.253,-10.314,5.6,-0.0,-1.4,-0.183
145,0.355,1.517,3.142,-0.509,0.699,1.368,7.589,2.612,-0.065,-3.831,0.0,0.546,-3.705,7.894,0.604,-7.398,-10.203,5.309,-0.118,-1.554,-0.225
146,0.234,1.558,3.859,-0.208,0.999,1.48,6.258,2.479,0.296,-3.523,0.0,0.029,-3.096,9.06,0.005,-6.662,-9.429,6.912,-0.305,-1.614,0.113
147,0.462,1.39,3.266,-0.414,0.784,1.197,6.058,1.803,0.08,-3.311,0.0,0.009,-3.469,8.08,0.798,-6.192,-8.894,5.778,-0.325,-1.227,-0.097
