x0,x1,y,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0.583,0.093,0.0,0.117,1.409,0.254,0.152,-2.615,0.876,0.167,1.286,2.704,0.401,0.22,0.465,-4.151,-1.532,0.029,2.435,-0.106,-1.124
0.707,-0.036,0.0,0.154,1.791,-0.113,0.293,-2.821,1.045,0.237,0.974,2.754,0.02,0.328,0.76,-4.264,-1.28,-0.165,2.828,-0.156,-1.294
0.348,0.241,0.0,0.214,1.008,-0.126,0.53,-1.751,-0.289,0.059,0.242,2.482,-0.162,0.166,0.361,-4.177,-1.28,0.074,1.519,-0.046,-1.225
0.191,0.142,0.0,-0.203,1.292,-0.066,0.057,-2.44,0.971,0.266,0.684,2.613,0.021,0.017,0.497,-4.315,-1.29,0.416,2.889,0.333,-1.512
0.547,-0.029,0.0,0.098,0.881,-0.153,0.067,-1.882,0.62,-0.162,0.328,2.543,-0.075,0.395,0.633,-3.98,-1.083,0.301,2.477,0.095,-1.254
0.126,0.054,0.0,-0.345,1.539,-0.614,-0.071,-2.456,0.965,-0.031,0.266,2.518,-0.374,-0.302,0.316,-4.199,-1.176,0.338,3.218,0.472,-1.598
0.259,0.225,0.0,-0.639,1.747,-0.849,-0.028,-2.496,0.706,0.135,0.453,2.653,0.059,-0.352,0.338,-4.432,-1.275,-0.024,3.28,0.509,-1.81
-0.004,0.307,0.0,-0.427,1.607,-0.861,0.184,-2.413,0.926,-0.197,0.473,2.542,-0.076,-0.228,0.441,-4.453,-1.44,0.336,3.275,0.585,-1.847
0.057,0.025,0.0,-0.314,1.128,-0.456,-0.123,-2.141,1.115,-0.11,0.397,2.691,-0.238,-0.006,0.607,-4.183,-1.289,0.347,3.057,0.418,-1.363
0.144,0.057,0.0,-0.507,1.361,-0.421,0.065,-2.372,0.93,-0.077,0.571,2.674,-0.046,-0.035,0.689,-4.427,-1.453,0.404,2.994,0.504,-1.659
0.723,-0.065,0.0,-0.077,1.08,0.077,0.178,-2.094,0.366,-0.048,0.456,2.908,0.157,0.074,0.53,-4.517,-1.554,0.21,2.34,0.174,-1.511
0.406,0.139,0.0,-0.181,1.262,-0.438,0.524,-2.222,0.365,-0.039,0.331,2.681,-0.349,0.026,0.447,-4.249,-1.603,0.216,2.286,0.374,-1.602
0.162,0.023,0.0,-0.247,1.138,-0.608,0.133,-2.159,0.743,-0.078,0.633,2.531,0.189,0.01,0.571,-4.199,-1.187,0.284,2.56,0.312,-1.457
0.042,0.145,0.0,-0.187,1.517,-0.57,0.358,-2.31,0.48,0.101,0.562,2.803,-0.204,-0.063,0.555,-4.348,-1.529,0.176,2.383,0.15,-1.417
0.884,0.079,0.0,0.215,1.803,0.131,0.014,-2.912,1.684,-0.01,0.963,2.739,0.166,0.144,0.489,-4.055,-1.454,-0.093,3.104,0.025,-1.211
0.68,-0.138,0.0,0.04,1.06,-0.088,0.066,-1.875,0.515,0.016,0.314,2.389,-0.189,0.129,0.52,-3.883,-1.115,0.01,2.219,0.006,-1.183
0.237,0.042,0.0,-0.223,1.632,-0.164,0.308,-2.478,0.721,0.19,0.445,2.463,-0.048,-0.288,0.07,-4.119,-1.16,0.265,2.589,0.17,-1.274
0.87,0.052,0.0,0.098,1.335,0.044,0.407,-2.215,0.216,-0.014,0.128,2.606,-0.095,0.464,0.809,-4.146,-0.948,-0.127,1.909,0.035,-1.413
0.07,0.245,0.0,-0.413,1.675,-0.761,0.223,-2.613,0.323,-0.041,0.212,2.63,0.021,-0.176,0.525,-4.629,-1.489,0.098,2.947,0.47,-1.896
0.528,0.011,0.0,0.014,1.506,-0.184,0.445,-2.115,0.491,-0.012,0.329,2.325,-0.134,0.049,0.504,-3.996,-0.939,0.188,2.131,0.031,-1.358
0.286,0.135,0.0,-0.285,1.137,-0.202,0.223,-1.966,-0.203,0.097,0.07,2.405,-0.285,-0.129,0.518,-4.226,-1.128,0.277,1.899,0.119,-1.306
0.365,0.109,0.0,-0.029,1.233,-0.504,0.345,-1.938,0.728,0.042,0.621,2.506,-0.03,0.082,0.553,-4.14,-1.403,0.171,2.144,0.282,-1.33
-0.207,0.237,0.0,-0.57,1.623,-1.402,0.041,-2.209,0.328,-0.089,0.173,2.8,-0.126,-0.33,0.486,-4.576,-1.552,0.021,2.941,0.681,-1.857
0.002,0.107,0.0,-0.325,1.422,-0.4,0.199,-2.304,0.392,-0.164,0.041,2.65,-0.231,-0.184,0.463,-4.377,-1.192,0.163,3.047,0.647,-2.068
0.381,0.081,0.0,-0.218,1.373,-0.516,-0.162,-2.352,1.103,0.037,0.886,2.667,0.204,0.069,0.434,-4.193,-1.483,-0.003,3.237,0.23,-1.458
0.612,0.207,0.0,-0.158,1.378,-0.04,0.261,-2.464,0.45,0.161,0.295,2.509,-0.051,0.032,0.404,-4.53,-1.259,0.132,2.304,-0.074,-1.371
0.215,0.094,0.0,-0.264,0.897,-0.447,0.293,-1.792,-0.0,0.275,0.368,2.402,-0.126,0.043,0.524,-4.109,-1.043,0.47,1.87,0.224,-1.234
0.133,0.121,0.0,-0.365,1.386,-0.465,0.209,-2.296,0.638,-0.269,0.02,2.558,-0.114,-0.126,0.28,-4.186,-1.295,0.204,2.815,0.46,-1.565
0.71,0.067,0.0,0.055,1.837,-0.046,0.449,-2.776,1.168,-0.03,0.534,2.662,-0.088,0.087,0.509,-4.243,-1.298,-0.014,2.878,0.108,-1.495
0.167,-0.005,0.0,-0.223,1.285,-0.82,0.182,-2.179,0.394,-0.233,0.024,2.571,-0.263,-0.081,0.467,-4.115,-1.25,0.264,2.621,0.416,-1.531
0.202,0.134,0.0,-0.352,1.705,-0.484,0.147,-2.389,0.128,0.033,-0.28,2.494,-0.237,-0.358,0.266,-4.3,-1.015,-0.031,2.672,0.344,-1.657
0.486,0.106,0.0,-0.03,1.843,0.048,0.521,-2.64,0.519,0.087,0.756,2.935,0.066,0.089,0.488,-4.698,-1.499,0.077,2.515,0.166,-1.591
-0.201,0.161,0.0,-0.631,1.414,-1.332,-0.018,-2.215,0.572,-0.213,0.135,2.694,-0.132,-0.337,0.396,-4.449,-1.713,0.088,3.118,0.814,-1.863
0.704,0.013,0.0,0.057,1.395,0.364,0.451,-2.463,0.818,0.4,0.876,2.283,0.156,0.126,0.269,-3.867,-0.989,0.021,2.388,-0.13,-1.2
0.311,0.262,0.0,-0.053,1.693,-0.385,0.205,-2.486,0.813,-0.055,0.596,2.586,0.072,-0.025,0.54,-4.485,-1.407,0.005,2.813,0.216,-1.592
0.154,0.316,0.0,-0.065,1.111,-0.487,0.477,-1.947,0.062,-0.09,0.423,2.803,-0.396,0.045,0.639,-4.628,-1.496,0.374,2.099,0.168,-1.589
-0.234,0.041,0.0,-0.513,1.103,-0.705,0.192,-2.139,0.296,0.01,0.142,2.449,-0.409,-0.357,0.464,-4.461,-1.169,0.415,2.413,0.514,-1.53
0.417,0.076,0.0,0.022,1.52,-0.052,0.601,-2.348,0.036,0.255,0.406,2.455,-0.231,0.033,0.488,-4.289,-1.038,0.254,1.755,-0.039,-1.326
0.432,0.135,0.0,0.001,1.054,-0.482,0.704,-2.063,-0.06,0.017,0.297,2.786,-0.1,0.161,0.566,-4.536,-1.41,0.383,1.816,0.33,-1.676
-0.092,0.113,0.0,-0.448,1.392,-1.299,0.198,-2.019,0.296,-0.212,0.007,2.798,-0.409,-0.15,0.54,-4.567,-1.54,0.052,2.705,0.676,-1.794
0.344,0.011,0.0,0.369,1.601,-0.428,0.602,-2.251,0.672,-0.248,0.592,2.841,-0.141,0.24,0.758,-4.396,-1.527,0.141,2.166,0.148,-1.507
0.147,0.071,0.0,-0.018,1.43,-0.012,0.197,-2.375,0.948,0.101,0.325,2.67,-0.297,0.051,0.538,-4.458,-1.012,0.29,2.39,0.106,-1.207
0.116,0.156,0.0,-0.287,1.328,-0.966,0.163,-2.158,0.436,-0.105,0.344,2.44,-0.346,-0.091,0.424,-4.351,-1.326,0.203,2.856,0.573,-1.776
0.041,0.07,0.0,-0.376,1.1,-0.083,0.129,-2.273,0.175,-0.031,-0.008,2.399,-0.463,-0.277,0.027,-4.608,-0.957,0.225,2.219,0.229,-1.554
0.331,-0.066,0.0,0.037,0.988,-0.334,0.201,-1.957,0.622,0.106,0.717,2.741,-0.073,0.063,0.513,-4.766,-1.253,0.145,2.401,0.134,-1.326
0.474,0.005,0.0,0.011,1.275,0.043,0.48,-2.229,0.253,0.305,0.331,2.517,-0.183,-0.033,0.377,-4.419,-1.223,0.263,1.801,-0.047,-1.277
0.436,-0.063,0.0,-0.153,1.587,0.037,0.163,-2.579,0.626,0.17,0.564,2.609,-0.127,0.044,0.34,-3.965,-1.156,0.103,2.534,0.064,-1.335
0.165,0.209,0.0,-0.192,1.433,-0.551,0.476,-1.978,0.124,-0.198,-0.117,2.669,-0.395,-0.201,0.274,-4.533,-1.048,0.031,2.329,0.436,-1.685
0.977,-0.155,0.0,0.17,1.493,-0.043,0.22,-2.574,1.035,0.071,0.652,2.333,0.021,0.326,0.72,-3.906,-1.032,-0.057,2.683,-0.077,-1.435
0.165,0.283,0.0,-0.147,0.956,-0.39,-0.057,-1.891,0.935,-0.344,0.511,2.688,-0.39,0.028,0.404,-4.628,-1.359,0.35,2.625,0.43,-1.56
0.455,0.067,0.0,-0.204,1.537,0.121,0.086,-2.801,0.83,-0.042,0.518,2.629,0.018,0.145,0.553,-3.985,-1.315,0.182,2.723,0.089,-1.224
0.086,0.294,0.0,-0.243,1.298,-0.729,0.383,-2.117,-0.003,-0.277,0.138,2.68,-0.456,-0.102,0.51,-4.365,-1.527,0.243,2.263,0.463,-1.703
0.469,0.099,0.0,-0.3,1.564,-0.276,0.377,-2.536,0.614,0.297,0.559,2.539,0.04,-0.126,0.441,-4.516,-1.129,0.244,2.657,0.158,-1.358
0.599,0.171,0.0,0.027,1.232,-0.013,0.059,-2.261,0.922,0.038,0.951,3.005,0.016,0.28,0.614,-4.521,-1.637,0.121,2.596,0.187,-1.379
0.585,0.053,0.0,-0.107,1.256,-0.316,0.119,-2.078,0.644,0.247,0.789,2.621,-0.035,0.164,0.667,-4.062,-1.31,-0.044,2.502,0.103,-1.359
0.473,0.158,0.0,-0.07,1.272,-0.137,0.401,-2.521,0.163,-0.066,0.476,2.745,-0.037,0.195,0.609,-4.419,-1.429,0.098,2.273,0.145,-1.423
0.214,0.241,0.0,-0.34,1.158,-0.413,-0.058,-2.319,0.863,0.074,0.806,2.746,0.164,-0.072,0.458,-4.621,-1.508,0.283,2.911,0.367,-1.494
0.051,-0.024,0.0,-0.424,1.55,-0.554,0.376,-2.447,0.082,0.154,0.005,2.552,-0.002,-0.182,0.575,-4.074,-1.057,0.198,2.525,0.423,-1.664
0.455,-0.059,0.0,-0.042,1.392,-0.151,0.143,-2.496,0.936,0.175,0.588,2.661,0.067,0.099,0.646,-4.252,-1.164,0.315,2.692,-0.065,-1.349
0.428,0.016,0.0,-0.15,1.201,-0.427,0.029,-2.289,0.84,-0.089,0.253,2.324,-0.138,0.008,0.342,-4.092,-1.115,0.204,2.611,0.292,-1.449
0.528,0.116,0.0,-0.175,1.563,-0.397,0.343,-2.535,1.065,0.161,0.817,2.702,-0.067,-0.19,0.173,-4.342,-1.394,0.086,2.656,0.295,-1.402
0.598,0.167,0.0,-0.252,1.507,0.05,0.109,-2.69,0.944,-0.233,0.341,2.725,0.126,0.043,0.357,-4.242,-1.503,0.045,3.179,0.293,-1.661
0.167,0.121,0.0,-0.29,1.508,-0.089,0.129,-2.569,0.95,0.02,0.502,2.232,-0.13,-0.128,0.315,-4.284,-1.11,0.151,2.908,0.164,-1.477
0.449,0.05,0.0,0.075,1.488,0.288,0.298,-2.365,0.819,0.268,0.651,2.342,-0.039,0.092,0.474,-3.915,-1.263,0.114,2.357,-0.295,-1.078
0.036,0.162,0.0,-0.344,1.803,-0.76,0.283,-2.738,0.779,-0.158,-0.077,2.619,-0.025,-0.143,0.456,-4.314,-1.179,0.057,3.205,0.47,-1.751
0.485,0.143,0.0,-0.115,1.237,0.03,0.221,-2.322,0.694,-0.188,0.251,2.493,-0.198,0.147,0.677,-4.236,-1.064,0.307,2.659,0.307,-1.554
0.736,0.111,0.0,-0.128,1.274,-0.117,0.494,-2.462,-0.371,0.066,0.032,2.551,-0.182,0.177,0.538,-4.143,-1.28,0.042,1.717,0.211,-1.362
0.664,0.124,0.0,0.024,1.102,0.229,0.131,-2.29,0.833,0.103,0.652,2.697,0.126,0.332,0.633,-4.031,-1.359,0.169,2.458,0.037,-1.249
0.451,0.096,0.0,-0.312,1.351,-0.283,-0.149,-2.743,0.918,0.029,0.985,2.789,0.112,0.053,0.785,-4.182,-1.662,0.135,2.984,0.371,-1.44
0.073,0.118,0.0,-0.435,1.743,-0.8,0.219,-2.511,1.14,-0.047,0.789,2.925,0.102,-0.122,0.39,-4.598,-1.745,0.265,3.385,0.573,-1.928
0.329,0.194,0.0,-0.157,1.423,-0.252,0.173,-2.365,0.268,0.081,0.204,2.534,-0.338,-0.116,0.357,-4.412,-1.25,0.179,2.276,0.19,-1.341
0.313,0.005,0.0,-0.083,1.215,-0.678,0.486,-1.98,0.102,-0.036,0.099,2.543,-0.187,0.061,0.394,-4.214,-1.179,0.061,2.134,0.218,-1.556
0.063,0.009,0.0,-0.373,1.483,-0.356,0.101,-2.376,0.454,0.175,0.345,2.658,-0.444,-0.25,0.289,-4.262,-1.428,0.243,2.634,0.396,-1.489
0.375,0.212,0.0,-0.237,1.635,-0.239,0.472,-2.502,-0.088,0.016,0.194,2.567,-0.128,0.042,0.674,-4.513,-1.283,0.028,1.991,0.262,-1.352
0.273,0.062,0.0,-0.246,1.382,-0.69,0.052,-2.023,0.714,-0.079,0.189,2.443,-0.173,-0.173,0.482,-4.252,-1.175,0.116,2.885,0.354,-1.576
