Unnamed: 0,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
45,1.0,1.217,-1.645,1.647,2.681,-0.514,5.142,-0.594,-0.719,-1.126,0.239,0.023,4.203,-2.761,2.651,3.641,-3.297,-0.182,0.734,-4.114,-0.849
46,1.0,1.491,-1.815,1.731,2.968,-1.202,5.16,-0.395,-0.655,-0.833,0.464,0.335,4.13,-2.682,2.324,3.681,-3.071,-0.075,1.422,-4.348,-0.706
47,1.0,1.206,-1.324,1.526,2.773,-0.358,5.216,-0.563,-0.731,-1.305,0.091,0.049,4.042,-2.424,2.64,3.514,-2.929,-0.268,1.004,-4.149,-0.604
48,1.0,1.524,-1.051,1.41,2.585,-0.089,5.174,-0.147,-0.568,-1.206,-0.161,0.29,4.382,-2.454,2.879,3.488,-3.151,-0.346,1.308,-4.205,-0.415
49,1.0,1.702,-1.286,1.31,2.511,-1.031,5.068,0.063,-0.555,-0.943,0.496,-0.029,4.203,-2.889,2.624,3.416,-3.361,0.054,0.964,-4.096,-0.532
50,1.0,1.609,-1.838,1.622,2.906,-1.065,5.277,-0.225,-0.525,-0.894,0.754,0.19,3.762,-2.807,2.147,3.836,-3.299,-0.027,1.186,-4.421,-0.561
51,1.0,1.792,-2.108,1.525,2.627,-0.722,5.05,-0.342,-0.769,-0.889,0.985,0.545,2.783,-2.892,1.427,3.512,-3.319,-0.148,0.848,-4.151,-0.538
52,1.0,1.431,-1.281,1.129,2.364,-0.536,4.749,0.058,-0.443,-0.948,0.153,0.006,4.606,-2.78,3.021,3.111,-3.324,-0.211,0.732,-3.959,-0.803
53,1.0,1.6,-0.791,1.336,2.235,-0.753,4.616,0.003,-0.698,-0.709,0.093,-0.236,5.108,-2.781,3.417,3.146,-3.265,0.018,0.678,-3.96,-0.882
54,1.0,1.503,-1.83,1.69,2.469,-0.309,5.222,-0.294,-0.867,-1.068,0.345,0.245,4.352,-2.967,2.616,3.444,-3.539,-0.248,0.886,-4.261,-0.671
55,1.0,1.683,-1.728,1.641,2.79,-0.229,5.814,-0.337,-0.692,-1.142,0.387,0.192,4.256,-2.765,2.473,3.677,-3.395,-0.119,1.184,-4.529,-0.44
56,1.0,1.624,-1.666,1.42,1.992,-1.058,4.747,-0.15,-0.624,-1.111,0.595,0.225,4.127,-2.896,2.42,3.102,-3.283,-0.202,0.65,-3.751,-0.698
57,1.0,1.562,-1.603,1.256,2.216,-0.74,4.396,-0.133,-0.711,-0.835,0.418,0.151,3.687,-2.526,2.323,2.965,-3.043,0.01,0.653,-3.626,-0.545
58,1.0,1.333,-1.328,1.118,2.258,-0.73,4.226,0.118,-0.739,-0.538,0.556,-0.282,4.799,-3.032,3.355,3.143,-3.187,0.132,0.533,-3.672,-0.95
59,1.0,1.309,-1.317,1.018,2.07,-0.828,4.165,-0.053,-0.73,-0.718,0.265,-0.085,4.335,-2.581,2.963,2.669,-2.854,0.186,0.437,-3.329,-0.608
60,1.0,1.547,-1.318,1.468,2.384,-0.784,4.893,-0.144,-0.617,-0.832,0.301,0.043,4.26,-2.763,2.743,3.168,-3.085,-0.069,0.866,-3.85,-0.821
61,1.0,2.057,-1.745,1.173,1.813,-1.379,4.732,0.427,-0.625,-1.158,0.936,-0.087,4.143,-3.213,2.544,3.129,-3.67,-0.16,0.548,-3.721,-0.843
62,1.0,1.556,-1.638,1.696,3.111,-0.72,5.414,-0.279,-0.57,-1.026,0.546,0.166,4.025,-2.855,2.509,3.646,-3.232,-0.196,1.273,-4.526,-0.666
63,1.0,1.606,-1.557,1.639,2.585,-0.694,5.313,-0.151,-0.8,-1.174,0.247,0.218,4.878,-2.982,3.011,3.596,-3.5,-0.213,0.805,-4.37,-0.58
64,1.0,1.681,-1.512,1.396,2.371,-0.499,5.097,-0.045,-0.69,-1.287,0.442,0.166,4.183,-2.932,2.509,3.378,-3.466,-0.077,0.768,-4.06,-0.778
65,1.0,1.75,-1.699,1.428,2.534,-0.266,5.523,0.105,-0.685,-1.347,0.516,0.173,3.914,-2.984,2.516,3.619,-3.532,-0.37,1.191,-4.409,-0.446
66,1.0,1.364,-1.244,1.346,2.47,-0.157,4.931,-0.239,-0.673,-1.184,-0.038,-0.185,4.943,-2.611,3.18,3.226,-3.123,-0.106,0.809,-3.883,-0.589
67,1.0,1.706,-1.679,1.488,2.765,-0.558,5.507,-0.15,-0.713,-1.098,0.374,0.16,4.171,-2.669,2.699,3.495,-3.312,-0.186,1.301,-4.502,-0.519
68,1.0,1.644,-1.52,1.481,2.626,-0.932,5.183,-0.522,-0.835,-1.31,0.44,0.175,4.302,-2.6,2.556,3.256,-3.165,-0.184,0.845,-3.984,-0.536
69,1.0,1.908,-1.933,1.72,2.698,-0.461,5.763,-0.124,-0.365,-1.36,0.65,0.344,4.358,-3.084,2.355,3.486,-3.644,-0.347,1.025,-4.521,-0.787
70,1.0,1.914,-1.778,1.686,2.745,-1.177,5.537,-0.462,-0.521,-1.18,0.976,0.473,3.551,-2.704,1.865,3.556,-3.141,-0.286,1.222,-4.341,-0.596
71,1.0,1.423,-1.469,0.957,2.175,-0.874,4.371,0.104,-0.582,-0.739,0.422,-0.223,3.87,-2.706,2.681,2.89,-3.087,0.231,0.459,-3.613,-0.738
72,1.0,1.413,-1.596,1.512,2.902,0.119,5.239,-0.13,-0.715,-1.101,0.442,0.227,3.489,-2.572,1.901,3.559,-3.038,-0.328,1.387,-4.359,-0.238
73,1.0,1.604,-1.734,1.466,2.862,-0.708,5.393,-0.185,-0.744,-1.088,0.66,0.373,3.682,-2.704,2.204,3.644,-3.161,-0.227,1.242,-4.277,-0.596
74,1.0,1.788,-1.608,1.463,2.662,-0.34,5.491,0.177,-0.469,-1.057,0.777,0.197,4.033,-3.143,2.48,3.6,-3.576,-0.217,1.12,-4.389,-0.647
75,1.0,1.937,-1.909,1.577,2.827,0.009,5.9,0.012,-0.715,-1.204,0.555,0.469,4.024,-3.076,2.308,4.074,-3.822,-0.353,1.321,-4.759,-0.6
76,1.0,1.844,-1.755,1.572,2.392,-0.585,5.344,0.005,-0.513,-1.223,0.656,0.172,4.196,-3.072,2.56,3.591,-3.573,-0.325,0.884,-4.274,-0.504
77,1.0,1.424,-1.724,1.408,2.952,-0.728,4.894,-0.293,-0.668,-0.62,0.615,0.333,3.546,-2.628,2.05,3.533,-2.917,-0.018,1.142,-4.272,-0.732
78,1.0,1.438,-1.345,1.561,2.638,-0.331,5.371,-0.213,-0.6,-1.049,0.07,0.057,5.092,-2.832,3.243,3.455,-3.285,-0.114,0.996,-4.296,-0.801
79,1.0,1.306,-1.298,1.241,2.379,-0.612,4.945,0.199,-0.702,-0.95,0.277,-0.097,4.479,-2.969,3.114,3.364,-3.419,-0.143,0.738,-4.023,-0.753
80,1.0,1.655,-1.683,1.481,2.703,-0.52,4.998,-0.277,-0.725,-1.019,0.253,0.136,4.231,-2.475,2.561,3.388,-3.101,-0.071,1.133,-4.108,-0.662
81,1.0,1.356,-1.534,1.327,2.829,-0.713,4.826,-0.178,-0.699,-0.692,0.46,0.206,4.084,-2.521,2.539,3.289,-3.1,0.046,0.943,-4.003,-0.515
82,1.0,1.366,-1.529,1.575,2.852,-0.574,5.481,-0.156,-0.625,-1.083,0.468,0.22,4.51,-2.865,2.718,3.494,-3.19,-0.108,1.302,-4.355,-0.809
83,1.0,1.612,-1.934,1.244,2.242,-0.786,4.637,0.037,-0.617,-1.059,0.864,-0.107,3.939,-2.907,2.319,2.853,-3.297,-0.102,0.7,-3.709,-0.818
84,1.0,1.979,-2.069,1.522,2.328,-0.506,5.298,-0.185,-0.551,-1.306,0.815,0.314,3.286,-2.787,1.715,3.377,-3.406,-0.23,0.831,-4.138,-0.417
85,1.0,1.536,-1.368,1.676,2.777,-0.295,5.828,-0.418,-0.721,-1.415,0.269,0.152,4.516,-2.78,2.775,3.786,-3.481,-0.313,1.176,-4.571,-0.414
86,1.0,1.807,-2.024,1.619,2.442,-0.539,5.275,-0.179,-0.894,-1.107,0.893,0.25,3.78,-3.165,2.216,3.637,-3.591,-0.111,1.105,-4.308,-0.825
87,1.0,1.746,-2.02,1.41,2.403,-0.505,5.133,-0.069,-0.762,-1.197,0.848,0.294,3.482,-3.03,2.019,3.338,-3.487,-0.072,0.739,-4.035,-0.163
88,1.0,1.613,-1.602,1.258,2.319,-0.883,4.826,0.091,-0.729,-0.962,0.648,-0.102,4.474,-2.968,3.069,3.425,-3.378,0.069,0.639,-4.024,-0.971
89,1.0,1.809,-1.923,1.297,2.775,-0.583,5.512,0.42,-0.711,-1.14,0.732,0.37,3.399,-2.954,2.179,3.575,-3.517,-0.227,1.089,-4.456,-0.303
90,1.0,2.103,-1.801,1.578,2.534,-0.317,5.539,0.042,-0.633,-1.346,0.721,0.034,4.14,-3.065,2.545,3.719,-3.66,-0.146,0.901,-4.374,-0.752
91,1.0,1.758,-1.908,1.321,2.267,-0.8,5.057,-0.028,-0.58,-1.124,0.853,0.135,4.011,-2.986,2.379,3.272,-3.516,-0.289,0.501,-3.924,-0.531
92,1.0,1.518,-1.419,1.315,2.528,-0.125,5.076,-0.205,-0.672,-1.186,0.214,0.12,4.064,-2.599,2.569,3.411,-3.16,-0.32,0.815,-3.974,-0.243
93,1.0,1.664,-1.708,1.168,2.27,-0.575,4.735,0.197,-0.684,-0.927,0.655,-0.037,3.991,-2.816,2.638,3.245,-3.254,-0.081,0.741,-3.848,-0.875
94,1.0,1.279,-1.746,1.548,2.471,-0.531,5.092,-0.492,-0.593,-1.326,0.357,0.257,4.024,-2.662,2.46,3.295,-3.116,-0.253,0.829,-3.937,-0.577
95,1.0,1.075,-0.902,1.512,2.718,-0.494,5.358,-0.295,-0.438,-1.121,-0.239,0.004,5.424,-2.594,3.688,3.478,-3.064,-0.085,0.894,-4.166,-0.819
96,1.0,1.304,-1.532,1.521,2.82,-0.575,5.512,-0.275,-0.787,-1.188,0.28,0.37,4.336,-2.744,2.666,3.448,-3.239,-0.147,0.885,-4.338,-0.592
97,1.0,1.944,-1.726,1.446,2.334,-0.73,5.047,-0.115,-0.509,-1.166,0.484,-0.049,4.992,-2.938,2.928,3.463,-3.64,-0.303,0.457,-4.096,-0.994
98,1.0,1.39,-1.143,1.49,2.585,-0.595,5.329,-0.204,-0.565,-1.322,0.134,0.305,4.995,-2.754,3.156,3.565,-3.318,-0.07,1.052,-4.234,-0.636
99,1.0,1.574,-1.398,1.476,2.366,-0.395,5.135,-0.059,-0.937,-0.899,0.145,-0.226,4.843,-3.039,3.184,3.278,-3.501,-0.054,0.827,-4.16,-0.788
100,1.0,1.597,-1.708,1.533,2.511,-0.162,5.226,-0.208,-0.525,-1.411,0.428,-0.125,4.131,-2.843,2.68,3.406,-3.474,-0.354,0.802,-4.107,-0.556
101,1.0,2.123,-1.75,1.568,2.681,-0.284,5.452,-0.002,-0.769,-1.36,0.535,0.16,4.285,-2.976,2.409,3.572,-3.802,-0.449,0.998,-4.333,-0.504
102,1.0,1.926,-1.955,1.411,2.397,-0.766,4.878,-0.419,-0.73,-1.102,0.819,-0.166,3.896,-2.926,2.468,3.332,-3.321,-0.105,0.636,-3.797,-0.885
103,1.0,2.058,-1.874,1.313,2.433,-0.658,5.177,0.129,-0.692,-1.0,0.738,0.325,3.804,-2.9,2.261,3.573,-3.485,-0.077,1.014,-4.132,-0.78
104,1.0,1.93,-2.17,1.489,2.35,-1.267,5.226,0.008,-0.59,-1.243,1.147,0.331,3.535,-3.151,2.02,3.411,-3.709,-0.295,0.879,-4.232,-0.543
105,1.0,1.477,-1.767,1.493,2.289,-0.818,4.965,-0.014,-0.824,-0.92,0.551,0.307,3.929,-2.984,2.305,3.396,-3.38,-0.06,0.926,-4.136,-0.601
106,1.0,1.075,-1.195,1.47,2.616,-0.762,4.936,-0.509,-0.643,-0.853,0.153,-0.09,4.763,-2.743,3.167,3.286,-2.96,0.039,0.711,-3.866,-0.965
107,1.0,1.798,-1.674,1.541,2.825,-0.09,5.354,-0.364,-0.585,-1.082,0.328,0.048,4.278,-2.685,2.596,3.453,-3.165,-0.26,1.069,-4.313,-0.843
108,1.0,1.535,-1.174,1.689,2.438,-0.802,5.198,-0.207,-0.715,-1.296,-0.156,0.001,5.142,-2.85,3.091,3.494,-3.478,-0.183,0.974,-4.088,-0.595
109,1.0,1.574,-1.831,1.624,2.735,-0.879,5.385,-0.244,-0.541,-1.02,0.467,0.108,4.13,-2.984,2.517,3.634,-3.323,-0.11,1.121,-4.385,-0.868
110,1.0,1.598,-1.537,1.302,2.372,-0.442,5.211,-0.003,-0.681,-1.292,0.402,-0.107,4.037,-2.746,2.661,3.347,-3.295,-0.204,0.826,-3.98,-0.594
111,1.0,1.504,-1.857,1.527,2.601,-0.163,5.27,0.038,-0.604,-1.132,0.511,0.456,3.734,-2.626,2.232,3.185,-3.042,-0.304,1.343,-4.296,-0.587
112,1.0,1.333,-1.2,1.574,2.803,-0.786,5.288,-0.416,-0.778,-0.823,0.232,0.125,4.51,-2.574,2.983,3.215,-2.867,-0.12,0.913,-4.064,-0.607
113,1.0,1.482,-1.63,1.309,2.363,-0.87,4.766,-0.032,-0.774,-1.008,0.211,0.065,4.771,-2.914,2.949,3.263,-3.342,0.044,0.638,-3.898,-0.749
114,1.0,1.285,-1.2,1.461,2.49,-0.209,5.252,-0.154,-0.651,-1.16,-0.067,0.115,4.797,-2.677,2.776,3.546,-3.262,-0.231,0.924,-4.195,-0.621
115,1.0,2.267,-1.983,1.37,2.021,-0.953,4.926,0.297,-0.641,-1.376,0.987,0.022,3.498,-2.87,2.032,3.048,-3.644,-0.207,0.725,-3.772,-0.365
116,1.0,2.112,-1.714,1.363,2.225,-0.773,4.975,0.039,-0.751,-1.038,1.07,0.267,3.392,-3.077,2.114,3.35,-3.591,-0.127,0.892,-4.003,-0.518
117,1.0,1.715,-1.581,1.233,2.013,-0.996,4.721,0.033,-0.565,-0.906,0.578,0.021,4.376,-2.854,2.891,3.143,-3.317,-0.146,0.61,-3.839,-0.846
118,1.0,1.637,-1.796,1.577,2.691,0.085,5.374,-0.25,-0.697,-1.062,0.745,0.282,3.125,-2.883,1.744,3.589,-3.26,-0.252,1.258,-4.19,-0.292
119,1.0,1.25,-1.75,1.556,2.703,-0.662,4.784,-0.57,-0.542,-0.747,0.58,0.358,3.407,-2.394,1.936,3.306,-2.865,-0.123,1.038,-4.005,-0.216
120,1.0,1.544,-1.621,1.441,2.132,-0.691,4.534,-0.213,-0.746,-0.843,0.565,-0.138,4.483,-2.828,3.068,3.096,-3.178,0.085,0.739,-3.587,-0.676
121,1.0,1.958,-1.925,1.379,2.16,-0.893,5.086,0.199,-0.61,-1.394,0.76,-0.016,4.552,-2.94,3.006,3.139,-3.601,-0.271,0.67,-3.911,-0.759
122,1.0,1.361,-1.134,1.371,2.405,-0.675,4.941,-0.065,-0.568,-1.094,0.006,0.144,4.735,-2.509,3.073,3.29,-3.158,-0.131,0.783,-3.939,-0.773
123,1.0,1.439,-1.298,1.274,2.4,-0.349,4.857,-0.075,-0.64,-0.957,0.279,-0.057,4.808,-3.074,3.043,3.377,-3.338,-0.052,0.827,-4.05,-0.95
124,1.0,1.46,-1.643,1.713,2.684,-0.879,5.261,-0.19,-0.793,-1.064,0.318,0.233,4.451,-2.84,2.611,3.638,-3.32,-0.152,1.088,-4.377,-0.781
125,1.0,1.106,-0.967,1.157,2.07,-0.922,4.395,0.07,-0.783,-0.554,0.214,-0.273,5.018,-2.764,3.403,3.036,-2.943,0.202,0.727,-3.605,-0.861
126,1.0,1.079,-1.559,1.475,2.623,-0.822,4.853,-0.173,-0.608,-0.757,0.38,0.149,4.064,-2.696,2.484,3.486,-2.999,-0.107,0.99,-4.127,-0.679
127,1.0,2.022,-2.017,1.579,2.292,-0.894,5.159,-0.151,-0.892,-1.117,0.767,0.155,4.206,-2.946,2.602,3.539,-3.742,-0.268,0.589,-4.199,-0.717
128,1.0,1.51,-1.543,1.565,2.537,-0.373,5.257,-0.087,-0.653,-1.136,0.203,0.027,4.741,-2.992,2.929,3.334,-3.441,-0.268,0.782,-4.081,-0.642
129,1.0,1.883,-1.908,1.431,2.354,-0.825,4.976,-0.062,-0.668,-1.103,0.449,0.2,3.801,-2.699,2.401,3.13,-3.513,-0.209,0.875,-4.014,-0.432
130,1.0,1.764,-1.401,1.519,2.53,-0.801,5.103,0.036,-0.695,-1.183,0.646,0.081,4.297,-3.087,2.857,3.526,-3.611,-0.254,0.686,-4.071,-0.707
131,1.0,2.33,-1.981,1.542,2.348,-1.146,5.193,-0.043,-0.782,-1.241,1.169,0.246,2.901,-2.956,1.493,3.364,-3.572,-0.295,0.957,-4.11,-0.233
132,1.0,2.039,-1.687,1.625,2.904,-0.383,5.934,0.005,-0.884,-1.205,0.749,0.228,4.459,-2.871,2.919,3.907,-3.714,-0.167,1.076,-4.756,-0.895
133,1.0,1.682,-1.712,1.583,2.417,-0.581,5.343,-0.086,-0.791,-1.276,0.41,0.151,4.381,-2.992,2.696,3.335,-3.562,-0.142,1.046,-4.161,-0.563
134,1.0,1.583,-1.463,1.259,2.208,-0.638,4.786,0.051,-0.594,-0.868,0.406,-0.043,4.58,-2.931,2.938,3.216,-3.256,-0.156,0.756,-3.84,-0.74
135,1.0,1.653,-1.395,1.328,2.381,-1.212,4.392,0.256,-0.665,-0.648,0.622,-0.292,4.486,-2.922,2.984,2.998,-3.085,0.125,0.925,-3.846,-0.937
136,1.0,1.877,-1.959,1.446,2.181,-1.01,5.103,-0.156,-0.596,-0.888,0.728,0.307,3.66,-2.917,2.202,3.393,-3.57,0.061,0.627,-3.984,-0.797
137,1.0,1.577,-1.484,1.497,2.179,-0.658,4.972,-0.301,-0.528,-1.153,0.415,0.318,3.836,-2.62,2.257,3.202,-3.102,-0.181,0.967,-3.92,-0.428
138,1.0,1.629,-1.708,1.513,2.808,-0.714,5.566,0.043,-0.485,-1.132,0.422,0.337,3.984,-2.934,2.438,3.705,-3.516,-0.221,1.023,-4.498,-0.475
139,1.0,2.057,-1.867,1.514,2.228,-0.877,4.854,0.096,-0.739,-1.057,0.858,0.055,3.62,-3.039,2.11,3.08,-3.684,-0.219,0.768,-3.983,-0.753
140,1.0,1.606,-1.731,1.15,2.223,-0.946,4.83,-0.079,-0.564,-1.082,0.768,-0.204,4.044,-2.904,2.729,2.883,-3.357,-0.125,0.574,-3.716,-0.936
141,1.0,1.547,-1.717,1.218,2.069,-0.94,4.763,0.166,-0.677,-0.96,0.549,-0.051,4.538,-2.966,2.91,3.269,-3.414,-0.051,0.658,-3.859,-0.687
142,1.0,1.263,-1.276,1.565,2.79,-0.235,5.479,-0.112,-0.832,-1.223,-0.062,0.082,4.747,-2.721,2.912,3.641,-3.242,-0.316,1.025,-4.371,-0.209
143,1.0,1.873,-1.839,1.532,2.85,-0.78,5.807,-0.09,-0.748,-1.335,0.654,0.232,4.044,-2.958,2.323,3.521,-3.599,-0.34,1.097,-4.517,-0.695
